# The client's own answer to "which item templates are weapons, and what does each one attack with".
# Tabula Rasa 1.16.5.0, data/game.zip (pyc stamp 2009-02-09), read 2026-09-21.
# One line per item template whose item class carries a weaponclass.lookup row - 5825 of the client's 30225.
# item_class_id: itemclass.itemTemplateItemClass[template]
# attack_action_id, attack_action_arg_id, weapon_anim_condition_code: weaponclass.lookup[class] columns 1, 2, 12
# skill_id: itemclass.itemTemplateSkillRequirement[template][0], empty when the template requires no skill
# A field is empty where the client itself holds no value. Eight classes have no anim condition code; none of
# them requires a skill, so the rule never consults it for them.
# These are the raw client fields, not a conclusion. WeaponRowAuditTests re-derives tool_type and attack_type
# from them; see WeaponRowRepairRows for the rule and its evidence.
item_template_id,item_class_id,attack_action_id,attack_action_arg_id,weapon_anim_condition_code,skill_id
23,629,174,1,13,
33,3419,1,78,8,
55,3782,1,1,8,
62,3845,1,81,1,
64,3877,1,265,2,
65,3878,1,79,8,
66,3898,1,3,8,
71,3944,1,133,1,
75,3952,174,44,8,
79,3991,1,85,8,
80,3996,1,1,8,
98,4082,1,87,8,
104,4095,1,134,2,
111,4263,1,195,8,
116,4314,174,34,8,
117,4327,172,4,14,
118,4365,1,97,8,
124,4401,296,2,,
125,4569,174,9,8,
126,4619,174,26,8,
127,4669,174,13,8,
128,4719,174,24,8,
129,4769,174,14,8,
131,4869,149,6,8,
133,4969,174,17,8,
134,5019,1,3,8,
136,5119,174,18,8,
137,5169,174,18,8,
139,5269,174,12,8,
140,5319,1,130,8,
141,5369,174,10,8,
142,6019,1,154,8,
144,6042,174,11,8,23
145,6048,1,133,1,1
148,6054,1,121,3,1
154,6082,174,1,13,8
155,6083,1,133,1,
156,6098,1,3,8,
157,6164,1,146,8,
159,6238,1,116,8,
162,6271,1,133,1,
163,6272,141,1,4,
164,6302,1,133,1,1
165,6303,1,134,2,1
166,6310,1,121,3,1
167,6313,141,6,3,24
175,6443,1,67,1,1
177,6447,1,135,1,1
179,6449,1,68,2,1
181,6453,1,145,8,
183,6455,1,136,2,1
462,7077,1,109,8,
469,7119,1,149,8,
477,7137,174,25,8,
485,7189,1,152,8,
486,7190,1,152,8,
492,7238,1,232,8,
493,7240,174,17,8,
510,7342,174,27,8,
511,7346,1,152,8,
598,7476,174,28,8,
600,7490,1,123,3,1
601,7491,1,147,3,1
602,7492,1,122,3,1
603,7493,1,66,3,1
630,7614,147,1,17,14
631,7615,147,1,17,14
642,7641,174,1,19,8
643,7642,174,1,18,8
644,7645,296,3,,
645,7646,296,1,,
646,7647,296,4,,
647,7648,296,5,,
648,7652,1,209,8,
667,7677,174,25,8,
668,7678,174,25,8,
685,7698,418,5,6,
763,8084,1,180,8,
771,8105,1,133,1,1
773,8107,1,133,1,1
776,8110,1,133,1,1
781,8115,1,133,1,1
782,8116,1,181,1,1
785,8119,1,181,1,1
791,8125,1,181,1,1
793,8127,1,181,1,1
796,8130,1,181,1,1
801,8135,1,181,1,1
802,8136,1,67,1,1
809,8143,1,67,1,1
811,8145,1,67,1,1
814,8148,1,67,1,1
819,8153,1,67,1,1
820,8154,1,170,1,1
822,8156,1,170,1,1
828,8162,1,170,1,1
830,8164,1,170,1,1
833,8167,1,170,1,1
838,8172,1,170,1,1
839,8173,1,135,1,1
846,8180,1,135,1,1
848,8182,1,135,1,1
851,8185,1,135,1,1
856,8190,1,135,1,1
862,8196,1,134,2,1
864,8198,1,134,2,1
867,8201,1,134,2,1
872,8206,1,134,2,1
873,8207,1,182,2,1
876,8210,1,182,2,1
882,8216,1,182,2,1
884,8218,1,182,2,1
887,8221,1,182,2,1
892,8226,1,182,2,1
893,8227,1,68,2,1
900,8234,1,68,2,1
902,8236,1,68,2,1
905,8239,1,68,2,1
910,8244,1,68,2,1
911,8245,1,168,2,1
919,8253,1,168,2,1
921,8255,1,168,2,1
924,8258,1,168,2,1
929,8263,1,168,2,1
930,8264,1,136,2,1
937,8271,1,136,2,1
939,8273,1,136,2,1
942,8276,1,136,2,1
947,8281,1,136,2,1
953,8287,1,121,3,1
955,8289,1,121,3,1
958,8292,1,121,3,1
963,8297,1,121,3,1
964,8298,1,122,3,1
971,8305,1,122,3,1
973,8307,1,122,3,1
976,8310,1,122,3,1
981,8315,1,122,3,1
982,8316,1,123,3,1
989,8323,1,123,3,1
991,8325,1,123,3,1
994,8328,1,123,3,1
999,8333,1,123,3,1
1000,8334,1,66,3,1
1007,8341,1,66,3,1
1009,8343,1,66,3,1
1012,8346,1,66,3,1
1017,8351,1,66,3,1
1018,8352,1,147,3,1
1025,8359,1,147,3,1
1027,8361,1,147,3,1
1030,8364,1,147,3,1
1035,8369,1,147,3,1
1036,8370,1,185,3,1
1039,8373,1,185,3,1
1045,8379,1,185,3,1
1047,8381,1,185,3,1
1050,8384,1,185,3,1
1055,8389,1,185,3,1
1061,8395,141,6,3,24
1063,8397,141,6,3,24
1066,8400,141,6,3,24
1071,8405,141,6,3,24
1072,8406,141,4,3,24
1078,8412,141,4,3,24
1080,8414,141,4,3,24
1083,8417,141,4,3,24
1088,8422,141,4,3,24
1089,8423,141,5,3,24
1095,8429,141,5,3,24
1097,8431,141,5,3,24
1100,8434,141,5,3,24
1105,8439,141,5,3,24
1106,8440,141,7,3,24
1112,8446,141,7,3,24
1114,8448,141,7,3,24
1117,8451,141,7,3,24
1122,8456,141,7,3,24
1123,8457,141,3,3,24
1129,8463,141,3,3,24
1131,8465,141,3,3,24
1134,8468,141,3,3,24
1139,8473,141,3,3,24
1141,8475,149,1,7,22
1147,8481,149,1,7,22
1149,8483,149,1,7,22
1152,8486,149,1,7,22
1157,8491,149,1,7,22
1159,8493,149,4,7,22
1165,8499,149,4,7,22
1167,8501,149,4,7,22
1170,8504,149,4,7,22
1175,8509,149,4,7,22
1177,8511,149,5,7,22
1183,8517,149,5,7,22
1185,8519,149,5,7,22
1188,8522,149,5,7,22
1193,8527,149,5,7,22
1195,8529,149,3,7,22
1201,8535,149,3,7,22
1203,8537,149,3,7,22
1206,8540,149,3,7,22
1211,8545,149,3,7,22
1213,8550,1,132,15,23
1215,8552,1,132,15,23
1218,8555,1,132,15,23
1223,8560,1,132,15,23
1225,8567,1,128,15,23
1227,8569,1,128,15,23
1230,8572,1,128,15,23
1235,8577,1,128,15,23
1237,8584,1,129,15,23
1239,8586,1,129,15,23
1242,8589,1,129,15,23
1247,8594,1,129,15,23
1249,8601,1,105,15,23
1251,8603,1,105,15,23
1254,8606,1,105,15,23
1259,8611,1,105,15,23
1261,8618,1,177,15,23
1263,8620,1,177,15,23
1266,8623,1,177,15,23
1271,8628,1,177,15,23
1273,8636,1,186,15,23
1275,8638,1,186,15,23
1278,8641,1,186,15,23
1283,8646,1,186,15,23
1285,8648,179,1,4,31
1291,8654,179,1,4,31
1293,8656,179,1,4,31
1296,8659,179,1,4,31
1301,8664,179,1,4,31
1303,8666,179,2,4,31
1309,8672,179,2,4,31
1311,8674,179,2,4,31
1314,8677,179,2,4,31
1319,8682,179,2,4,31
1321,8684,179,3,4,31
1327,8690,179,3,4,31
1329,8692,179,3,4,31
1332,8695,179,3,4,31
1337,8700,179,3,4,31
1339,8702,179,4,4,31
1345,8708,179,4,4,31
1347,8710,179,4,4,31
1350,8713,179,4,4,31
1355,8718,179,4,4,31
1357,8722,140,1,5,40
1359,8724,140,1,5,40
1362,8727,140,1,5,40
1367,8732,140,1,5,40
1369,8736,140,3,5,40
1371,8738,140,3,5,40
1374,8741,140,3,5,40
1379,8746,140,3,5,40
1381,8750,140,2,5,40
1383,8752,140,2,5,40
1386,8755,140,2,5,40
1391,8760,140,2,5,40
1393,8764,140,5,5,40
1395,8766,140,5,5,40
1398,8769,140,5,5,40
1403,8774,140,5,5,40
1405,8778,140,4,5,40
1407,8780,140,4,5,40
1410,8783,140,4,5,40
1415,8788,140,4,5,40
1419,8792,141,1,4,24
1421,8794,141,1,4,24
1424,8797,141,1,4,24
1429,8802,141,1,4,24
1433,8806,141,10,4,24
1435,8808,141,10,4,24
1438,8811,141,10,4,24
1443,8816,141,10,4,24
1447,8820,141,9,4,24
1449,8822,141,9,4,24
1452,8825,141,9,4,24
1457,8830,141,9,4,24
1461,8834,141,8,4,24
1463,8836,141,8,4,24
1466,8839,141,8,4,24
1471,8844,141,8,4,24
1475,8848,141,2,4,24
1477,8850,141,2,4,24
1480,8853,141,2,4,24
1485,8858,141,2,4,24
1487,8862,418,1,6,82
1489,8864,418,1,6,82
1492,8867,418,1,6,82
1497,8872,418,1,6,82
1499,8876,418,3,6,82
1501,8878,418,3,6,82
1504,8881,418,3,6,82
1509,8886,418,3,6,82
1511,8890,418,4,6,82
1513,8892,418,4,6,82
1516,8895,418,4,6,82
1521,8900,418,4,6,82
1523,8904,418,5,6,82
1525,8906,418,5,6,82
1528,8909,418,5,6,82
1533,8914,418,5,6,82
1535,8918,418,2,6,82
1537,8920,418,2,6,82
1540,8923,418,2,6,82
1545,8928,418,2,6,82
1547,8932,230,1,2,50
1549,8934,230,1,2,50
1552,8937,230,1,2,50
1557,8942,230,1,2,50
1559,8946,230,2,2,50
1561,8948,230,2,2,50
1564,8951,230,2,2,50
1569,8956,230,2,2,50
1571,8960,230,3,2,50
1573,8962,230,3,2,50
1576,8965,230,3,2,50
1581,8970,230,3,2,50
1583,8974,230,5,2,50
1585,8976,230,5,2,50
1588,8979,230,5,2,50
1593,8984,230,5,2,50
1595,8988,230,4,2,50
1597,8990,230,4,2,50
1600,8993,230,4,2,50
1605,8998,230,4,2,50
1609,9002,398,2,3,55
1611,9004,398,2,3,55
1614,9007,398,2,3,55
1619,9012,398,2,3,55
1623,9016,398,3,3,55
1625,9018,398,3,3,55
1628,9021,398,3,3,55
1633,9026,398,3,3,55
1637,9030,398,1,3,55
1639,9032,398,1,3,55
1642,9035,398,1,3,55
1647,9040,398,1,3,55
1651,9044,249,2,7,58
1653,9046,249,2,7,58
