classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20586,-15.999,47.999,25.999,-1.57074,-2.156,2.156,-2.156,2.156,0.175
20586,16.000,47.999,25.999,-1.57074,-2.156,2.156,-2.156,2.156,0.175
20586,29.999,47.999,39.998,-1.57074,-2.156,2.156,-2.156,2.156,0.175
20586,-29.999,47.999,39.998,-1.57074,-2.156,2.156,-2.156,2.156,0.175
20635,-23.999,48.000,111.997,-1.57075,-0.045,0.045,-0.045,0.045,1.000
24969,-16.000,36.250,-12.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
24969,16.000,36.250,-12.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
20635,16.000,48.000,31.999,-1.57076,-0.045,0.045,-0.045,0.045,1.000
20321,8.460,47.999,40.142,-3.14159,-1.307,1.307,-0.487,0.487,1.007
8067,9.340,47.999,40.996,-1.57077,-0.193,0.193,-0.190,0.190,0.887
8067,6.231,47.999,41.084,-1.57077,-0.193,0.193,-0.190,0.190,0.887
8067,5.263,47.999,41.023,-0.11833,-0.193,0.193,-0.190,0.190,0.887
8067,2.759,47.999,49.778,-0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,1.519,47.999,49.440,1.57077,-0.193,0.193,-0.190,0.190,0.887
8067,2.089,47.999,50.801,1.57077,-0.193,0.193,-0.190,0.190,0.887
8080,2.000,47.999,49.999,1.57077,-0.385,0.385,-0.382,0.382,1.099
20321,5.547,47.999,40.141,-3.14159,-1.307,1.307,-0.487,0.487,1.007
20321,2.632,47.999,40.142,-3.14159,-1.307,1.307,-0.487,0.487,1.007
8080,13.339,47.999,55.321,-1.57077,-0.385,0.385,-0.382,0.382,1.099
8067,13.250,47.999,54.519,-1.57077,-0.193,0.193,-0.190,0.190,0.887
8067,13.820,47.999,55.879,-1.57077,-0.193,0.193,-0.190,0.190,0.887
8067,12.580,47.999,55.541,-3.14159,-0.193,0.193,-0.190,0.190,0.887
8081,17.357,47.999,38.867,-1.57077,-0.969,0.969,-0.969,0.969,0.930
8081,13.000,47.999,41.042,-1.57077,-0.969,0.969,-0.969,0.969,0.930
8065,18.515,47.999,39.524,1.32533,-0.260,0.260,-0.367,0.367,0.975
8065,12.368,47.999,39.630,-2.78389,-0.260,0.260,-0.367,0.367,0.975
8065,12.107,47.999,42.100,-0.88026,-0.260,0.260,-0.367,0.367,0.975
8065,-11.927,47.999,42.245,0.50759,-0.260,0.260,-0.367,0.367,0.975
8081,-12.767,47.999,40.928,-2.38853,-0.969,0.969,-0.969,0.969,0.930
8065,-13.571,47.999,39.680,-2.53624,-0.260,0.260,-0.367,0.367,0.975
8065,-16.736,47.999,37.810,2.68150,-0.260,0.260,-0.367,0.367,0.975
8081,-17.334,47.999,39.236,-2.38853,-0.969,0.969,-0.969,0.969,0.930
8065,-18.716,47.999,39.308,-1.69801,-0.260,0.260,-0.367,0.367,0.975
8067,3.556,47.999,41.005,-1.57077,-0.193,0.193,-0.190,0.190,0.887
8080,6.882,47.999,55.417,-1.57078,-0.385,0.385,-0.382,0.382,1.099
8067,7.363,47.999,55.976,-1.57078,-0.193,0.193,-0.190,0.190,0.887
8067,-3.398,47.999,56.323,-3.14159,-0.193,0.193,-0.190,0.190,0.887
8067,-2.728,47.999,55.300,-1.57078,-0.193,0.193,-0.190,0.190,0.887
8080,-2.639,47.999,56.102,-1.57078,-0.385,0.385,-0.382,0.382,1.099
8067,-2.158,47.999,56.661,-1.57078,-0.193,0.193,-0.190,0.190,0.887
8080,-8.114,47.999,51.772,1.57078,-0.385,0.385,-0.382,0.382,1.099
8067,-8.108,47.999,52.636,-0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,-8.595,47.999,51.214,1.57078,-0.193,0.193,-0.190,0.190,0.887
8067,-13.142,47.999,55.350,-0.00000,-0.193,0.193,-0.190,0.190,0.887
8080,-13.900,47.999,55.571,1.57078,-0.385,0.385,-0.382,0.382,1.099
8067,-13.811,47.999,56.373,1.57078,-0.193,0.193,-0.190,0.190,0.887
8067,-14.381,47.999,55.012,1.57078,-0.193,0.193,-0.190,0.190,0.887
8067,7.108,47.999,54.655,-1.57078,-0.193,0.193,-0.190,0.190,0.887
25259,0.000,42.000,16.000,-1.57080,-0.376,0.376,-0.358,0.358,1.196
24969,24.000,37.750,-12.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
24969,-16.000,37.250,-36.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
24969,16.000,36.250,-36.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
24969,24.000,37.750,-36.250,-0.00000,-0.286,0.268,-1.734,1.258,3.112
9320,23.703,40.000,116.069,0.41426,-1.223,1.225,-0.534,0.534,0.498
9327,22.000,40.000,116.000,0.59102,-1.566,1.585,-0.441,0.443,0.208
8020,21.355,40.000,118.526,0.00000,-0.646,0.645,-0.341,0.345,1.791
20362,21.155,41.497,118.431,-0.54819,-0.708,0.721,-0.520,0.565,1.181
20362,21.729,41.497,118.401,0.03591,-0.708,0.721,-0.520,0.565,1.181
21045,22.644,40.000,118.309,0.31819,-0.244,0.215,-0.540,0.276,1.679
8063,20.586,40.000,117.828,0.78540,-0.193,0.193,-0.151,0.213,0.357
9327,19.000,40.000,118.000,-1.47726,-1.566,1.585,-0.441,0.443,0.208
25637,-6.288,36.500,-35.170,-0.34890,-1.561,1.565,-1.712,1.702,0.663
25638,-8.047,36.500,-35.997,-0.34890,-1.947,1.954,-1.676,1.667,0.916
25636,3.623,36.500,-23.726,1.57080,-1.927,1.950,-0.924,1.688,0.315
25635,15.141,36.000,34.446,-2.82873,-1.302,1.502,-0.698,1.123,0.680
25637,14.313,36.000,31.662,0.00000,-1.561,1.565,-1.712,1.702,0.663
11318,12.295,36.000,34.836,0.35878,-1.527,2.576,-0.957,0.348,0.340
25637,-3.753,36.223,12.158,0.00000,-1.561,1.565,-1.712,1.702,0.663
25638,4.197,36.918,8.087,-1.44346,-1.947,1.954,-1.676,1.667,0.916
25637,-5.316,37.779,6.027,3.10259,-1.561,1.565,-1.712,1.702,0.663
26375,21.033,40.000,96.040,-3.14159,-1.000,1.000,-1.000,1.000,1.000
20586,16.000,40.000,118.000,0.00000,-2.156,2.156,-2.156,2.156,0.175
20586,-16.000,40.000,118.000,0.00000,-2.156,2.156,-2.156,2.156,0.175
20586,-16.000,48.000,118.000,0.00000,-2.156,2.156,-2.156,2.156,0.175
20586,16.000,48.000,118.000,0.00000,-2.156,2.156,-2.156,2.156,0.175
10426,29.872,36.000,-66.321,-3.14158,-0.181,0.181,-0.181,0.181,1.290
6188,18.019,36.033,-113.011,-1.57061,-1.657,1.658,-0.746,0.668,0.959
8075,18.233,36.897,-114.026,2.74890,-0.102,0.102,-0.349,0.453,0.942
8065,17.316,36.056,-113.234,-2.10655,-0.260,0.260,-0.367,0.367,0.975
6188,17.998,36.033,-62.938,-1.57076,-1.657,1.658,-0.746,0.668,0.959
8065,16.691,36.033,-63.107,-1.90010,-0.260,0.260,-0.367,0.367,0.975
8075,17.536,36.897,-61.954,0.39260,-0.102,0.102,-0.349,0.453,0.942
6188,42.004,34.000,-85.999,-1.57060,-1.657,1.658,-0.746,0.668,0.959
8065,41.243,34.023,-86.122,-1.72792,-0.260,0.260,-0.367,0.367,0.975
8075,41.818,34.863,-84.979,-0.39267,-0.102,0.102,-0.349,0.453,0.942
6188,41.994,34.000,-89.982,-1.57061,-1.658,1.658,-0.746,0.668,0.959
8075,41.526,34.863,-88.992,0.39259,-0.102,0.102,-0.349,0.453,0.942
8065,40.688,34.000,-90.152,-1.89998,-0.260,0.260,-0.367,0.367,0.975
10426,40.117,34.000,-88.000,-1.57051,-0.181,0.181,-0.181,0.181,1.290
10426,26.301,36.000,-69.886,-3.14159,-0.181,0.181,-0.181,0.181,1.290
10426,45.997,34.000,-84.013,-3.14159,-0.181,0.181,-0.181,0.181,1.290
10426,46.050,34.000,-100.038,-3.14159,-0.181,0.181,-0.181,0.181,1.290
10426,29.840,36.000,-113.683,-3.14158,-0.181,0.181,-0.181,0.181,1.290
10426,26.099,36.000,-106.218,-3.14159,-0.181,0.181,-0.181,0.181,1.290
10426,-3.000,40.000,212.500,0.00000,-0.181,0.181,-0.181,0.181,1.290
10426,3.000,40.000,212.500,0.00000,-0.181,0.181,-0.181,0.181,1.290
24969,-21.814,50.000,49.972,-1.57080,-0.286,0.268,-1.734,1.258,3.112
24969,21.837,50.000,50.022,1.57080,-0.286,0.268,-1.734,1.258,3.112
10426,-40.115,34.000,-87.999,1.57053,-0.181,0.181,-0.181,0.181,1.290
8075,-41.524,34.863,-87.006,-2.74885,-0.102,0.102,-0.349,0.453,0.942
8075,-17.529,36.897,-114.051,-2.74885,-0.102,0.102,-0.349,0.453,0.942
10426,-45.995,34.000,-91.985,0.00000,-0.181,0.181,-0.181,0.181,1.290
8065,-17.310,36.056,-62.761,1.03475,-0.260,0.260,-0.367,0.367,0.975
6188,-42.002,34.000,-89.999,1.57060,-1.658,1.657,-0.746,0.668,0.959
10426,-29.835,36.000,-62.312,0.00000,-0.181,0.181,-0.181,0.181,1.290
6188,-41.993,34.000,-86.017,1.57061,-1.658,1.657,-0.746,0.668,0.959
10426,-26.297,36.000,-106.119,0.00000,-0.181,0.181,-0.181,0.181,1.290
6188,-18.014,36.033,-62.984,1.57062,-1.658,1.658,-0.746,0.668,0.959
8065,-41.241,34.023,-89.877,1.41334,-0.260,0.260,-0.367,0.367,0.975
10426,-29.868,36.000,-109.683,0.00000,-0.181,0.181,-0.181,0.181,1.290
10426,-26.095,36.000,-69.778,0.00000,-0.181,0.181,-0.181,0.181,1.290
