classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7703,-132.716,295.894,-615.466,-1.61979,-2.150,2.143,-0.773,0.841,1.261
7705,-139.219,296.000,-634.042,-1.65361,-1.333,1.301,-0.755,0.841,1.244
7705,-136.949,295.871,-625.213,-0.24073,-1.333,1.301,-0.755,0.841,1.244
7705,-139.258,295.794,-632.211,-1.31522,-1.333,1.301,-0.755,0.841,1.244
7701,-120.313,298.333,-638.599,1.93039,-0.552,0.560,-0.366,0.258,0.872
3829,-136.519,297.380,-587.629,-0.11193,-0.756,0.756,-2.224,2.224,0.490
3860,-132.821,297.116,-586.817,-1.33467,-1.018,0.854,-0.796,1.035,1.438
23959,245.898,294.620,-904.649,0.00000,-0.438,0.579,-0.309,0.424,1.101
23959,245.009,294.458,-905.547,-1.41512,-0.438,0.579,-0.309,0.424,1.101
23959,245.733,294.495,-906.106,-0.89540,-0.438,0.579,-0.309,0.424,1.101
23959,229.673,295.917,-912.578,-1.62183,-0.438,0.579,-0.309,0.424,1.101
23959,246.922,295.291,-926.027,2.30514,-0.438,0.578,-0.309,0.424,1.101
10775,395.930,280.098,-489.825,-1.29128,-0.839,0.838,-0.845,0.813,1.634
10775,395.982,280.098,-487.911,-2.07668,-0.839,0.838,-0.845,0.813,1.634
20853,394.862,280.098,-484.629,2.19988,-1.148,1.142,-2.138,2.190,1.884
23959,300.565,317.705,-350.580,-0.50178,-0.438,0.579,-0.309,0.424,1.101
23959,308.788,285.951,-510.044,-2.28732,-0.438,0.579,-0.309,0.424,1.101
23959,305.060,285.914,-513.049,-0.54468,-0.438,0.579,-0.309,0.424,1.101
23959,310.060,285.199,-546.228,-2.38520,-0.438,0.579,-0.309,0.424,1.101
23959,308.938,285.465,-548.653,-0.93525,-0.438,0.579,-0.309,0.424,1.101
23959,425.517,294.430,-626.142,-1.46292,-0.438,0.579,-0.309,0.424,1.101
23959,418.427,294.123,-624.096,0.25442,-0.438,0.578,-0.309,0.424,1.101
23959,418.629,294.123,-626.465,-0.53098,-0.438,0.579,-0.309,0.424,1.101
23967,-187.628,288.422,582.610,0.00000,-0.628,0.526,-0.566,0.609,1.131
23967,-186.235,288.009,582.493,-2.35619,-0.628,0.526,-0.566,0.609,1.131
24809,-55.685,299.097,-795.717,1.57080,-0.142,0.142,-0.275,0.440,1.190
