classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
21944,131.000,514.000,-82.000,0.00000,-2.045,2.000,-2.045,2.045,9.000
10375,123.000,520.000,-99.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
10375,119.000,520.000,-99.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
21944,111.000,514.000,-82.000,1.57080,-2.045,2.000,-2.045,2.045,9.000
21944,111.000,518.000,-92.000,-1.57080,-2.045,2.000,-2.045,2.045,9.000
21944,131.000,518.000,-92.000,-3.14159,-2.045,2.000,-2.045,2.045,9.000
10375,125.000,527.000,15.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
20635,123.000,535.000,17.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20635,91.000,535.000,13.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
11284,119.500,527.000,31.000,1.57080,-1.333,1.441,-0.755,0.899,1.209
7705,121.743,535.000,16.119,0.00000,-1.333,1.301,-0.755,0.841,1.244
7703,118.481,535.000,16.067,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,90.265,535.000,18.992,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,91.469,535.000,16.198,-3.14159,-2.150,2.143,-0.773,0.841,1.261
7703,105.135,535.000,16.176,-3.14159,-2.150,2.143,-0.773,0.841,1.261
7703,101.074,535.000,16.215,-3.14159,-2.150,2.143,-0.773,0.841,1.261
7703,90.211,535.000,37.579,1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,88.999,535.000,40.285,0.00000,-2.150,2.143,-0.773,0.841,1.261
11304,100.490,526.836,18.590,0.00000,-1.283,1.283,-1.283,1.283,1.065
11304,94.197,526.836,18.959,0.00000,-1.283,1.283,-1.283,1.283,1.065
21883,94.155,527.887,18.994,0.00000,-1.114,0.661,-1.421,0.619,1.358
3768,69.000,527.000,15.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
7703,69.000,526.750,-27.750,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,62.272,526.750,-30.228,0.00000,-2.150,2.143,-0.773,0.841,1.261
11284,72.113,526.750,-27.760,0.00000,-1.333,1.441,-0.755,0.899,1.209
7705,77.057,526.750,-27.803,0.00000,-1.333,1.301,-0.755,0.841,1.244
11284,74.667,526.750,-27.740,-3.14159,-1.333,1.441,-0.755,0.899,1.209
7703,84.856,535.000,16.239,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,65.671,535.000,16.271,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,69.662,535.000,16.356,3.14159,-2.150,2.143,-0.773,0.841,1.261
11284,72.853,535.000,16.299,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,90.210,535.000,34.399,1.57079,-1.333,1.441,-0.755,0.899,1.209
11284,115.263,535.000,16.233,3.14159,-1.333,1.441,-0.755,0.899,1.209
20635,129.000,526.000,-94.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20362,91.750,528.500,83.000,0.00000,-0.708,0.721,-0.520,0.565,1.180
9327,90.500,528.500,80.250,-0.78540,-1.566,1.585,-0.441,0.443,0.208
11284,93.250,528.500,83.500,-1.57080,-1.333,1.441,-0.755,0.899,1.209
7701,92.000,528.500,79.250,1.57080,-0.552,0.560,-0.366,0.258,0.872
8063,91.750,528.500,82.000,0.00000,-0.193,0.193,-0.151,0.213,0.357
6334,88.500,528.500,79.000,0.00000,-0.259,0.259,-0.134,0.134,0.358
11284,98.099,528.501,73.747,0.00000,-1.333,1.441,-0.755,0.899,1.209
7705,95.750,528.500,73.750,0.00000,-1.333,1.301,-0.755,0.841,1.244
7705,104.315,528.500,82.417,-3.14159,-1.333,1.301,-0.755,0.841,1.244
11284,101.966,528.501,82.420,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11298,100.000,527.082,21.750,-1.57080,-0.436,0.882,-0.339,0.318,0.571
11295,101.500,527.129,47.750,-2.35619,-1.012,0.988,-1.124,1.288,1.000
20656,114.500,526.379,41.000,0.00000,-0.939,1.061,-0.991,1.257,1.000
11295,77.500,535.000,15.500,-1.57080,-1.012,0.988,-1.124,1.288,1.000
20635,87.000,535.000,41.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
8071,11.750,529.879,-127.500,2.35620,-0.313,0.313,-0.833,0.833,1.163
20366,99.000,515.437,-45.750,0.00000,-1.287,1.143,-0.422,0.116,0.688
20364,96.250,515.437,-45.750,0.00000,-1.053,1.274,-0.393,0.126,0.784
20366,104.250,515.437,-45.500,0.00000,-1.287,1.143,-0.422,0.116,0.688
20366,106.750,515.437,-45.500,0.00000,-1.287,1.143,-0.422,0.116,0.688
20360,94.500,514.523,-50.000,-1.57080,-1.307,1.307,-0.487,0.487,1.007
20360,105.500,514.523,-50.250,-1.57080,-1.307,1.307,-0.487,0.487,1.007
8081,104.165,514.471,-54.389,0.00000,-0.969,0.969,-0.969,0.969,0.930
8065,103.414,514.490,-53.005,0.00000,-0.260,0.260,-0.367,0.367,0.975
8065,104.579,514.581,-55.560,-2.35627,-0.260,0.260,-0.367,0.367,0.975
11297,100.750,514.249,-53.500,0.00000,-0.789,1.211,-0.842,1.190,1.000
11298,107.000,514.523,-55.000,-3.14159,-0.436,0.882,-0.339,0.318,0.571
20324,136.000,516.717,-46.250,0.00000,-1.782,1.924,-0.259,0.109,1.015
20339,136.750,515.497,-46.750,0.00000,-1.086,1.145,-0.267,0.252,0.624
20325,132.250,515.482,-46.500,0.00000,-0.930,0.984,-0.267,0.252,0.624
20325,139.250,515.482,-46.750,0.00000,-0.930,0.984,-0.267,0.252,0.624
20339,130.750,517.040,-46.500,0.00000,-1.086,1.145,-0.267,0.252,0.624
20325,139.750,517.040,-46.750,0.00000,-0.930,0.984,-0.267,0.252,0.624
20339,142.000,517.040,-46.750,0.00000,-1.086,1.145,-0.267,0.252,0.624
20375,142.750,514.568,-59.500,-1.57080,-0.774,0.782,-0.763,0.773,1.292
20375,128.946,514.563,-59.302,-1.57080,-0.774,0.782,-0.763,0.773,1.292
20320,129.067,514.568,-56.110,-1.57080,-1.307,1.307,-0.487,0.487,1.007
20320,142.927,514.568,-56.134,1.57080,-1.307,1.307,-0.487,0.487,1.007
11297,137.250,514.568,-47.750,1.57080,-0.789,1.211,-0.842,1.190,1.000
21046,42.250,514.419,-76.250,-0.78540,-0.244,0.215,-0.540,0.276,1.679
8018,60.000,515.738,-82.000,1.57080,-0.133,0.198,-0.124,0.039,0.597
20700,58.750,514.419,-87.000,-3.14159,-2.020,2.020,-0.000,1.020,1.716
9327,45.629,514.419,-86.518,0.25969,-1.566,1.585,-0.441,0.443,0.208
8079,47.187,514.884,-78.299,0.00000,-0.471,0.471,-0.484,0.484,0.795
7083,47.074,514.563,-76.990,2.35620,-0.155,0.174,-0.149,0.212,0.713
20699,56.750,514.727,-80.000,-1.57080,-1.020,1.020,0.000,1.020,1.716
8008,58.249,514.419,-72.066,0.00000,-1.179,0.940,-0.142,0.078,1.788
8008,45.511,514.419,-72.048,0.00000,-1.179,0.940,-0.142,0.078,1.788
20657,51.705,514.419,-84.935,0.00000,-1.003,0.997,-0.950,1.309,1.000
20363,-15.874,520.005,-49.476,0.00000,-0.708,0.721,-0.520,0.565,1.180
20373,-18.593,520.005,-40.281,0.00000,-0.781,0.778,-0.777,0.757,1.292
20372,-19.079,520.005,-41.615,0.00000,-0.382,0.382,-0.382,0.382,1.292
20372,-17.468,520.005,-40.162,0.00000,-0.382,0.382,-0.382,0.382,1.292
20374,-18.700,520.005,-38.421,0.00000,-0.774,0.782,-0.763,0.773,1.292
8009,-11.960,520.005,-38.353,2.65374,-1.512,0.493,-0.393,0.384,1.895
8008,-10.194,520.004,-53.179,-3.14159,-1.179,0.940,-0.142,0.078,1.788
20699,-10.051,520.005,-37.985,0.00000,-1.020,1.020,0.000,1.020,1.716
9313,61.134,514.393,-120.944,0.00000,-1.460,1.460,-0.766,0.766,0.710
9313,61.134,514.393,-117.194,0.00000,-1.460,1.460,-0.766,0.766,0.710
9322,64.000,514.393,-121.250,-3.14159,-0.609,0.609,-0.523,0.523,0.843
9313,61.250,514.393,-111.750,0.00000,-1.460,1.460,-0.766,0.766,0.710
9313,61.250,514.393,-115.500,0.00000,-1.460,1.460,-0.766,0.766,0.710
9322,60.343,514.393,-113.632,-1.57080,-0.609,0.609,-0.523,0.523,0.843
9313,61.066,514.393,-110.170,0.00000,-1.460,1.460,-0.766,0.766,0.710
9313,61.021,514.393,-106.756,0.00000,-1.460,1.460,-0.766,0.766,0.710
9322,60.170,514.393,-108.448,-1.57080,-0.609,0.609,-0.523,0.523,0.843
8083,74.500,514.393,-123.000,1.57080,-0.287,0.287,-0.389,0.389,0.703
8083,74.500,514.393,-124.750,1.57080,-0.287,0.287,-0.389,0.389,0.703
8083,74.500,514.393,-126.250,1.57080,-0.287,0.287,-0.389,0.389,0.703
8083,74.500,514.393,-127.750,1.57080,-0.287,0.287,-0.389,0.389,0.703
9328,64.250,514.393,-126.250,1.57080,-0.587,0.587,-0.142,0.142,1.115
9328,64.250,514.393,-128.000,1.57080,-0.587,0.587,-0.142,0.142,1.115
9316,65.000,514.813,-126.500,0.00000,-0.356,0.356,-0.385,0.385,0.324
9316,65.000,515.227,-126.000,-1.57080,-0.356,0.356,-0.385,0.385,0.324
9324,65.000,514.393,-126.250,0.00000,-0.426,0.426,-0.758,0.758,1.722
9316,65.000,515.568,-126.250,-3.14159,-0.356,0.356,-0.385,0.385,0.324
9313,74.770,514.393,-115.583,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9322,75.800,514.393,-113.785,1.57080,-0.609,0.609,-0.523,0.523,0.843
9313,74.747,514.393,-111.794,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9313,74.812,514.393,-117.192,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9322,75.740,514.393,-119.016,1.57080,-0.609,0.609,-0.523,0.523,0.843
9313,74.751,514.393,-120.938,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9313,74.755,514.393,-110.181,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9313,74.745,514.393,-106.816,-3.14159,-1.460,1.460,-0.766,0.766,0.710
9303,64.207,515.225,-121.162,0.78540,-0.201,0.201,-0.225,0.225,0.376
6334,75.480,514.393,-119.886,0.29465,-0.259,0.259,-0.134,0.134,0.358
8077,69.274,514.393,-128.800,-3.14159,-0.610,0.610,-0.408,0.396,1.166
8077,67.975,514.393,-128.796,-3.14159,-0.610,0.610,-0.408,0.396,1.166
9326,62.832,514.393,-106.515,0.00000,-0.221,0.221,-0.211,0.211,0.768
9322,75.797,514.393,-108.455,1.57080,-0.609,0.609,-0.523,0.523,0.843
8081,65.181,514.680,-116.090,2.35619,-0.969,0.969,-0.969,0.969,0.930
8065,65.564,514.716,-115.603,-0.80068,-0.260,0.260,-0.367,0.367,0.975
8065,65.952,514.393,-115.740,0.78540,-0.260,0.260,-0.367,0.367,0.975
8065,63.611,514.631,-116.752,1.57080,-0.260,0.260,-0.367,0.367,0.975
8068,193.371,519.010,-36.963,-0.78540,-0.194,0.194,-0.226,0.226,0.887
8080,193.950,519.044,-37.624,0.00000,-0.385,0.385,-0.382,0.382,1.099
8068,195.140,519.245,-29.851,2.00523,-0.194,0.194,-0.226,0.226,0.887
8068,196.546,519.010,-30.738,-1.57080,-0.194,0.194,-0.226,0.226,0.887
