classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10773,-29.579,0.500,-205.477,1.57080,-1.862,2.676,-1.631,1.329,1.960
20782,-313.721,137.584,-119.455,-0.35849,-0.740,0.740,-0.704,0.704,1.356
20782,-302.690,137.528,-119.483,-2.79433,-0.740,0.740,-0.704,0.704,1.356
7465,-299.537,138.902,-75.989,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,-316.512,138.902,-75.989,-1.57079,-0.619,0.619,-0.062,0.212,0.428
10420,-318.740,137.502,-129.446,-1.57080,-1.114,1.114,-2.053,-0.735,1.508
7465,-317.009,138.691,-130.196,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,-317.009,138.691,-128.696,-1.57079,-0.619,0.619,-0.062,0.212,0.428
20830,-281.000,129.500,-109.000,-1.57080,-1.661,1.651,-2.358,2.358,1.848
10421,-273.500,137.500,-150.000,0.00000,-0.739,0.739,-2.053,-0.734,1.508
7743,-273.875,138.689,-151.732,0.00000,-0.619,0.619,-0.062,0.212,0.428
7466,-273.065,138.500,-151.848,0.00000,-0.355,0.356,-0.050,0.200,0.413
20782,-252.500,137.580,-154.750,1.91510,-0.740,0.740,-0.704,0.704,1.356
20782,-252.250,137.580,-165.500,-1.89754,-0.740,0.740,-0.704,0.704,1.356
7743,-240.003,139.794,-151.233,0.00000,-0.619,0.619,-0.062,0.212,0.428
11281,-204.812,137.998,-120.125,0.00000,-0.348,0.190,-0.229,0.327,0.321
20615,-202.175,136.938,-122.445,2.35620,-1.009,1.011,-0.509,0.965,1.979
20615,-206.294,136.938,-118.273,0.00000,-1.009,1.011,-0.509,0.965,1.979
10421,-193.686,136.929,-120.012,1.57080,-0.739,0.739,-2.053,-0.734,1.508
7465,-195.402,138.038,-120.034,1.57079,-0.619,0.619,-0.062,0.212,0.428
20830,-242.250,129.500,-214.000,0.00000,-1.661,1.651,-2.358,2.358,1.848
20829,-195.750,129.500,-208.750,2.35620,-1.661,1.651,-1.180,1.180,1.848
20826,-210.628,137.566,-152.355,0.00000,-0.973,0.969,-0.957,0.944,1.190
10420,-200.610,131.850,-170.075,0.97355,-1.114,1.114,-2.053,-0.734,1.508
7465,-202.355,132.862,-170.808,0.97355,-0.619,0.619,-0.062,0.212,0.428
10420,-200.367,131.850,-149.604,2.17124,-1.114,1.114,-2.053,-0.734,1.508
7465,-201.687,132.862,-148.246,2.17124,-0.619,0.619,-0.062,0.212,0.428
7744,-202.220,133.039,-149.245,2.17124,-0.619,0.619,-0.062,0.212,0.428
7744,-174.635,133.039,-147.966,-2.17975,-0.619,0.619,-0.062,0.212,0.428
10420,-175.626,131.850,-149.572,-2.17975,-1.114,1.114,-2.053,-0.734,1.508
7744,-174.357,133.039,-171.613,-0.97806,-0.619,0.619,-0.062,0.212,0.428
10420,-175.793,131.850,-170.646,-0.97807,-1.114,1.114,-2.053,-0.734,1.508
7743,-188.430,129.672,-167.231,0.00000,-0.619,0.619,-0.062,0.212,0.428
7466,-187.305,129.888,-167.218,0.00000,-0.355,0.356,-0.050,0.200,0.413
7465,-201.620,133.039,-171.668,0.97354,-0.619,0.619,-0.062,0.212,0.428
7743,-173.889,132.862,-148.818,-2.17975,-0.619,0.619,-0.062,0.212,0.428
7466,-174.991,133.387,-172.091,-0.97806,-0.355,0.356,-0.050,0.200,0.413
7466,-174.153,133.387,-170.847,-0.97806,-0.355,0.356,-0.050,0.200,0.413
7463,-140.469,137.580,-160.042,1.57080,-1.864,1.864,-2.053,-0.734,1.508
7466,-142.190,138.762,-160.042,1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,-142.325,138.592,-158.917,1.57079,-0.619,0.619,-0.062,0.212,0.428
7743,-142.325,138.592,-161.167,1.57079,-0.619,0.619,-0.062,0.212,0.428
20830,-154.482,137.585,-160.210,0.00000,-1.661,1.651,-2.358,2.358,1.848
20615,-202.831,131.987,-173.233,-3.14159,-1.009,1.011,-0.509,0.965,1.979
20782,-267.554,137.580,-165.303,-1.22649,-0.740,0.740,-0.704,0.704,1.356
20782,-267.477,137.580,-154.549,1.24405,-0.740,0.740,-0.704,0.704,1.356
20782,-342.922,129.500,-158.172,-0.78540,-0.740,0.740,-0.704,0.704,1.356
20782,-337.328,129.500,-157.922,-2.35619,-0.740,0.740,-0.704,0.704,1.356
20832,-335.750,129.500,-179.250,0.00000,-1.663,2.060,-1.385,1.298,1.911
20832,-326.250,129.500,-116.500,-1.57080,-1.663,2.060,-1.385,1.298,1.911
7463,-437.503,137.580,-263.922,-1.57080,-1.864,1.864,-2.053,-0.735,1.508
7466,-435.782,138.762,-263.922,-1.57080,-0.355,0.356,-0.050,0.200,0.413
7743,-435.648,138.592,-262.797,-1.57080,-0.619,0.619,-0.062,0.212,0.428
7744,-435.648,138.592,-265.047,-1.57080,-0.619,0.619,-0.062,0.212,0.428
10420,-399.000,137.580,-264.000,1.57080,-1.114,1.114,-2.053,-0.734,1.508
10420,-391.675,137.580,-294.132,1.05676,-1.114,1.114,-2.053,-0.734,1.508
10420,-391.250,137.580,-234.000,2.05974,-1.114,1.114,-2.053,-0.734,1.508
7087,-394.000,133.000,-252.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-394.000,133.000,-256.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-382.000,133.000,-256.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-394.000,133.000,-272.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
