classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10773,-227.087,196.501,200.654,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.758,196.501,209.879,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.526,196.501,215.201,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.740,196.501,206.148,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.650,196.501,219.024,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.303,196.501,224.518,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.321,196.501,228.248,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-226.089,196.501,233.570,1.57080,-1.862,2.676,-1.631,1.329,1.960
23885,-200.081,199.732,192.314,-3.14159,-0.613,0.613,-0.192,0.053,0.321
23885,-189.468,199.732,192.284,-3.14159,-0.613,0.613,-0.192,0.053,0.321
23885,-210.580,199.732,192.246,-3.14159,-0.613,0.613,-0.192,0.053,0.321
23885,-220.931,199.732,192.208,-3.14159,-0.613,0.613,-0.192,0.053,0.321
10790,-179.835,196.500,209.787,-1.57080,-1.216,1.215,-0.492,0.381,1.178
10789,-180.103,196.500,220.363,1.57080,-1.365,1.365,-0.698,0.689,0.945
10788,-179.795,196.500,230.592,-1.57080,-1.329,1.328,-0.694,0.646,1.045
20853,-194.684,196.500,199.556,-0.78540,-1.148,1.142,-2.138,2.190,1.884
10772,-181.472,196.500,230.710,-1.57080,-0.500,0.500,-0.544,0.600,1.628
10772,-181.564,196.500,220.770,-1.57080,-0.500,0.500,-0.544,0.600,1.628
10772,-180.888,196.500,209.961,-1.57080,-0.500,0.500,-0.544,0.600,1.628
10777,-224.857,196.500,236.660,-1.57080,-0.417,0.417,-0.734,0.660,1.136
10777,-224.886,196.500,237.596,-1.57080,-0.417,0.417,-0.734,0.660,1.136
10777,-224.968,196.500,238.633,-1.57080,-0.417,0.417,-0.734,0.660,1.136
10790,-189.596,196.500,199.438,0.00000,-1.216,1.216,-0.492,0.381,1.178
10772,-189.422,196.500,200.491,0.00000,-0.500,0.500,-0.544,0.600,1.628
10790,-199.952,196.500,199.299,0.00000,-1.216,1.216,-0.492,0.381,1.178
10772,-199.777,196.500,200.352,0.00000,-0.500,0.500,-0.544,0.600,1.628
10772,-210.657,196.500,200.400,0.00000,-0.500,0.500,-0.544,0.600,1.628
10790,-210.629,196.500,199.367,0.00000,-1.216,1.216,-0.492,0.381,1.178
7703,952.000,144.000,60.000,1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,952.269,144.000,64.787,1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,952.361,144.000,69.121,1.57080,-2.150,2.143,-0.773,0.841,1.261
11284,952.385,143.988,72.323,-1.57080,-1.333,1.441,-0.755,0.900,1.209
11284,952.230,143.988,56.752,1.57080,-1.333,1.441,-0.755,0.899,1.209
11285,923.482,151.765,216.329,0.00000,-1.558,1.537,-1.339,1.191,0.852
11284,923.407,151.749,214.297,-1.57080,-1.333,1.440,-0.755,0.900,1.209
11318,924.443,152.014,213.515,-1.62829,-1.527,2.576,-0.957,0.348,0.340
20635,984.000,144.000,84.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
3768,994.000,136.000,66.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
3768,974.000,136.000,34.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
3768,986.000,136.000,90.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
3768,998.000,136.000,42.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
11285,973.462,154.651,182.538,1.56941,-1.558,1.537,-1.339,1.191,0.852
11285,972.345,152.500,176.609,0.78464,-1.558,1.537,-1.339,1.191,0.852
20361,972.112,152.500,178.910,1.86370,-0.708,0.721,-0.520,0.565,1.181
20361,971.936,152.500,180.393,-2.06168,-0.708,0.720,-0.520,0.565,1.181
6334,969.590,153.675,182.773,1.57004,-0.259,0.259,-0.134,0.134,0.358
21498,970.486,153.661,182.345,-0.78499,-0.218,0.439,-0.578,0.924,0.708
9303,971.125,153.683,181.758,0.00000,-0.201,0.200,-0.225,0.225,0.376
9303,966.420,152.500,183.560,-0.78515,-0.201,0.201,-0.225,0.225,0.376
20361,968.302,152.500,184.319,0.00000,-0.708,0.720,-0.520,0.565,1.181
9328,981.912,145.340,114.088,-0.00002,-0.588,0.587,-0.142,0.142,1.115
9328,983.114,145.340,114.097,-0.00002,-0.588,0.587,-0.142,0.142,1.115
9327,982.570,144.887,113.219,0.00003,-1.566,1.585,-0.441,0.443,0.208
9327,982.617,144.887,112.427,3.14157,-1.566,1.585,-0.441,0.443,0.208
9327,982.742,144.496,111.620,-0.00002,-1.566,1.585,-0.441,0.443,0.208
9320,984.934,144.495,112.196,1.56586,-1.223,1.225,-0.534,0.534,0.498
9316,984.983,144.842,111.561,-1.56599,-0.356,0.356,-0.385,0.385,0.325
9320,987.080,144.495,112.273,1.56605,-1.223,1.225,-0.534,0.534,0.498
8009,988.007,144.495,112.428,1.56626,-1.512,0.493,-0.393,0.384,1.895
9320,988.961,144.495,112.261,1.56634,-1.223,1.225,-0.534,0.534,0.498
8062,988.897,144.495,110.744,-1.56645,-0.206,0.206,-0.144,0.144,0.661
9320,991.107,144.495,112.338,1.56665,-1.223,1.225,-0.534,0.534,0.498
