classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
25462,-422.758,169.841,-125.127,0.00000,-1.101,1.262,-1.007,2.262,1.639
25399,-406.639,169.229,-95.813,-2.35619,-0.819,0.771,-0.736,0.759,1.136
25397,-407.591,169.223,-94.063,0.00000,-0.975,1.062,-0.695,1.615,1.248
25465,-400.083,169.231,-95.393,0.78540,-2.542,2.251,-1.042,2.023,1.768
6972,-418.137,129.650,198.415,0.54415,-1.136,1.730,-1.452,1.096,1.360
6972,-424.720,129.831,207.350,-2.42339,-1.136,1.730,-1.452,1.096,1.360
9331,-156.913,132.612,233.306,0.00000,-1.723,1.764,-1.775,1.790,1.692
9330,-153.013,132.872,229.854,0.00000,-1.605,1.641,-1.508,1.454,0.833
6972,-331.670,133.209,358.228,-0.38144,-1.136,1.730,-1.452,1.096,1.360
7148,-309.757,135.080,308.146,-0.38144,-1.926,1.400,-0.661,1.446,1.686
7149,-308.990,135.094,306.632,-0.38144,-1.401,1.487,-1.615,1.518,1.131
7703,-370.605,206.110,-437.770,0.00000,-2.150,2.143,-0.773,0.841,1.261
20362,-371.540,207.294,-437.913,-0.35333,-0.708,0.721,-0.520,0.565,1.181
20362,-370.298,207.320,-437.903,0.00932,-0.708,0.721,-0.520,0.565,1.181
20362,-368.224,206.367,-438.990,0.28318,-0.708,0.721,-0.520,0.565,1.181
10777,-378.031,187.504,-354.041,0.00000,-0.417,0.417,-0.734,0.660,1.136
20850,-380.806,187.500,-353.587,-0.00000,-0.400,0.402,-0.506,0.730,1.500
24682,-379.477,187.503,-353.697,-1.57079,-0.351,0.351,-0.386,0.386,1.127
24682,-378.892,187.503,-352.651,-0.78540,-0.351,0.351,-0.386,0.386,1.127
24680,-374.709,187.504,-353.817,-1.96350,-0.372,0.372,-0.372,0.372,1.239
24680,-376.705,187.503,-353.543,2.74889,-0.372,0.372,-0.372,0.372,1.239
10789,-362.003,187.500,-322.003,-0.00000,-1.365,1.365,-0.698,0.689,0.945
10772,-363.003,187.500,-325.503,-2.35619,-0.500,0.500,-0.544,0.600,1.628
20850,-399.420,187.500,-302.447,1.64463,-0.400,0.402,-0.506,0.730,1.500
10775,-398.869,189.070,-306.143,1.51370,-0.839,0.838,-0.845,0.813,1.634
10775,-398.525,187.500,-305.063,1.17063,-0.839,0.838,-0.845,0.813,1.634
10775,-398.781,187.500,-307.012,1.68094,-0.839,0.838,-0.845,0.813,1.634
10773,-397.247,187.500,-319.749,-1.57068,-1.862,2.676,-1.631,1.329,1.960
10773,-361.997,187.499,-314.498,1.57069,-1.862,2.676,-1.631,1.329,1.960
10773,-361.997,187.499,-318.998,1.57069,-1.862,2.676,-1.631,1.329,1.960
10773,-397.247,187.500,-315.249,-1.57070,-1.862,2.676,-1.631,1.329,1.960
11303,-354.787,134.798,437.923,-1.98426,-0.989,1.002,-1.919,1.082,1.052
10772,-379.500,187.500,-325.500,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10772,-389.507,187.500,-335.384,2.35620,-0.500,0.500,-0.544,0.600,1.628
10772,-370.873,187.500,-337.465,-1.57079,-0.500,0.500,-0.544,0.600,1.628
10773,-381.750,187.500,-343.000,-3.14150,-1.862,2.676,-1.631,1.329,1.960
10773,-377.250,187.500,-343.000,-3.14148,-1.862,2.676,-1.631,1.329,1.960
10772,-391.000,187.500,-308.000,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10772,-369.250,187.500,-309.250,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10772,-380.000,187.500,-311.500,0.00000,-0.500,0.500,-0.544,0.600,1.628
20375,-397.500,187.500,-341.750,0.00000,-0.774,0.782,-0.763,0.773,1.292
10426,-401.250,195.500,-286.000,0.00000,-0.181,0.182,-0.181,0.182,1.290
10426,-358.750,195.500,-286.000,0.00000,-0.181,0.182,-0.181,0.182,1.290
10426,-400.000,195.500,-355.000,-1.57079,-0.181,0.182,-0.181,0.181,1.290
10426,-400.000,195.500,-281.000,-1.57079,-0.181,0.182,-0.181,0.181,1.290
11318,-177.550,133.266,169.978,-1.92746,-1.527,2.576,-0.957,0.348,0.340
7703,-185.091,134.071,212.038,-1.99331,-2.150,2.143,-0.773,0.841,1.261
20363,-105.896,136.844,200.662,1.26102,-0.708,0.721,-0.520,0.565,1.181
20363,-175.680,133.483,199.454,0.69679,-0.708,0.721,-0.520,0.565,1.181
20375,-167.023,133.493,166.813,-0.68883,-0.774,0.782,-0.763,0.773,1.292
11284,-212.854,132.608,149.099,3.01465,-1.333,1.441,-0.755,0.899,1.209
11318,-177.956,133.566,200.944,-2.28276,-1.527,2.576,-0.957,0.348,0.340
20657,-134.586,132.359,164.303,3.03040,-1.003,0.997,-0.950,1.309,1.000
20656,-148.358,132.919,189.721,-2.35619,-0.939,1.061,-0.991,1.257,1.000
11295,-156.846,132.937,200.650,-1.57080,-1.012,0.988,-1.124,1.288,1.000
20654,-177.858,133.864,205.170,-2.35619,-0.874,1.126,-1.002,1.010,1.000
11297,-167.387,133.437,165.008,0.42506,-0.789,1.211,-0.842,1.190,1.000
11297,-155.983,132.730,134.598,-0.77432,-0.789,1.211,-0.842,1.190,1.000
29065,-417.562,169.794,-94.122,-0.78540,-0.648,0.545,-1.009,0.883,0.101
29067,-396.361,168.987,-87.404,0.00000,-0.525,0.577,-0.592,0.407,0.420
7703,-438.172,141.380,232.205,-0.09027,-2.150,2.143,-0.773,0.841,1.261
7703,-431.644,141.380,234.554,2.35619,-2.150,2.143,-0.773,0.841,1.261
7703,-331.945,136.737,427.286,0.40025,-2.150,2.143,-0.773,0.841,1.261
20361,-364.675,139.327,455.850,0.29854,-0.708,0.721,-0.520,0.565,1.181
11285,-369.368,133.620,436.889,0.08222,-1.558,1.537,-1.339,1.191,0.852
11318,-367.754,133.527,438.618,-0.69091,-1.527,2.576,-0.957,0.348,0.340
11285,-371.124,133.790,438.059,-1.15346,-1.558,1.537,-1.339,1.191,0.852
7702,-371.737,134.025,439.296,-0.12962,-0.635,0.635,-0.419,0.419,0.246
7702,-369.784,133.769,438.837,-1.43559,-0.635,0.635,-0.419,0.419,0.246
7705,-366.304,132.860,436.765,-0.18314,-1.333,1.301,-0.755,0.841,1.244
11284,-422.730,131.559,175.662,-2.58867,-1.333,1.440,-0.755,0.899,1.209
7703,-417.038,131.479,172.598,-2.35619,-2.150,2.143,-0.773,0.841,1.261
11285,-196.794,132.924,205.563,0.00000,-1.558,1.537,-1.339,1.191,0.852
