classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
26592,-154.675,18.187,-4.771,-2.74889,-0.368,0.369,-0.337,0.337,1.586
26591,-153.864,18.171,-4.979,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26592,-147.933,18.143,-27.668,0.00000,-0.368,0.369,-0.337,0.337,1.586
26591,-149.661,18.143,-27.533,-1.57079,-0.430,0.432,-0.431,0.431,1.265
26511,-112.716,17.229,-167.978,0.00000,-2.000,2.000,-0.788,0.788,1.295
26591,-108.991,17.317,-165.969,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26650,-127.742,17.231,-201.766,1.90310,-0.525,0.525,-1.181,1.069,1.169
26650,-128.098,17.243,-225.105,0.00000,-0.525,0.525,-1.181,1.069,1.169
26592,-130.909,17.231,-225.745,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26591,-131.208,17.231,-224.875,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26592,-130.024,17.231,-225.965,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26592,-102.091,17.243,-247.473,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26591,-102.514,17.243,-248.398,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26650,-105.966,17.242,-248.034,-3.14159,-0.525,0.525,-1.181,1.069,1.169
26591,-96.221,17.242,-257.540,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26592,-95.621,17.243,-256.885,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26592,-86.282,17.243,-247.588,-1.57079,-0.368,0.369,-0.337,0.337,1.586
26591,-86.682,17.243,-248.347,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26511,-76.291,17.222,-239.970,-3.14159,-2.000,2.000,-0.788,0.788,1.295
26592,-95.632,17.243,-238.124,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26591,-96.294,17.242,-242.109,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26592,-127.599,17.242,-197.883,-0.78540,-0.368,0.369,-0.337,0.337,1.586
26650,-144.103,17.242,-198.661,-3.14159,-0.525,0.525,-1.181,1.069,1.169
26650,-142.451,17.231,-198.256,1.57079,-0.525,0.525,-1.181,1.069,1.169
26592,-143.560,17.586,-199.020,-2.58768,-0.368,0.369,-0.337,0.337,1.586
26574,-61.575,17.583,-175.181,-0.78540,-1.856,1.916,-1.804,1.986,1.810
26591,-60.990,17.584,-177.374,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26592,-62.864,17.580,-177.131,0.78540,-0.368,0.369,-0.337,0.337,1.586
26574,-73.925,17.455,-176.654,-1.57079,-1.856,1.916,-1.804,1.986,1.810
26650,-77.255,17.582,-177.946,-1.57079,-0.525,0.525,-1.181,1.069,1.169
26592,-21.924,17.869,-137.671,-1.22601,-0.368,0.369,-0.337,0.337,1.586
26591,-21.121,17.579,-138.797,2.35620,-0.430,0.432,-0.431,0.431,1.265
26592,-20.727,17.579,-137.337,2.35619,-0.368,0.369,-0.337,0.337,1.586
26584,82.015,16.000,-94.076,-1.57079,-2.289,2.289,-0.540,0.540,1.450
26584,-23.349,16.000,42.992,0.39270,-2.289,2.289,-0.540,0.540,1.450
26584,-134.947,16.294,-86.391,-1.30144,-2.289,2.289,-0.540,0.540,1.450
26511,-132.661,16.303,-83.689,0.15974,-2.000,2.000,-0.788,0.788,1.295
26511,-135.027,16.303,-89.909,0.55244,-2.000,2.000,-0.788,0.788,1.295
26584,-112.367,16.346,-49.298,2.35619,-2.289,2.289,-0.540,0.540,1.450
26584,-107.203,16.346,-44.210,2.35619,-2.289,2.289,-0.540,0.540,1.450
26591,-103.722,16.313,-46.227,0.00000,-0.430,0.432,-0.431,0.431,1.265
26592,-110.032,16.359,-47.022,0.00000,-0.368,0.369,-0.337,0.337,1.586
26592,-104.412,16.359,-44.894,0.00000,-0.368,0.369,-0.337,0.337,1.586
