classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3829,62.108,246.256,-232.416,0.29148,-0.756,0.756,-2.224,2.224,0.490
6126,141.992,245.083,-253.617,-0.91866,-1.166,1.166,-1.010,2.547,0.861
4099,20.415,252.436,-257.549,-0.92417,-0.809,1.693,-1.332,2.171,0.649
4100,33.578,241.007,-288.864,0.00000,-1.187,1.084,-1.700,1.847,0.672
10775,-328.418,265.822,70.416,2.87505,-0.839,0.838,-0.845,0.813,1.634
10775,-329.356,266.894,71.512,1.64982,-0.839,0.838,-0.845,0.813,1.634
3829,-365.043,265.599,101.591,0.76955,-0.756,0.756,-2.224,2.224,0.491
3829,-363.108,266.533,104.009,1.96908,-0.756,0.756,-2.224,2.224,0.490
24807,39.626,238.811,-271.790,0.00000,-1.646,1.646,-1.030,1.282,0.997
20850,-162.728,241.395,-257.317,-0.71782,-0.400,0.402,-0.506,0.730,1.500
10775,-136.730,241.738,-207.746,2.32146,-0.839,0.838,-0.845,0.813,1.634
10775,-135.352,241.738,-206.272,1.87424,-0.839,0.838,-0.845,0.813,1.634
10775,-136.205,243.320,-206.895,2.65964,-0.839,0.838,-0.845,0.813,1.634
10777,-131.178,242.506,-206.227,-1.39780,-0.417,0.417,-0.734,0.660,1.136
10777,-131.178,241.536,-206.227,-1.39780,-0.417,0.417,-0.734,0.660,1.136
10777,-122.125,241.583,-209.654,-0.29964,-0.417,0.417,-0.734,0.660,1.136
20850,-126.427,241.583,-206.651,2.57753,-0.400,0.402,-0.506,0.730,1.500
24680,-347.596,256.017,-54.799,-0.92832,-0.372,0.372,-0.372,0.372,1.239
24680,-341.595,254.576,-226.790,-0.78540,-0.372,0.372,-0.372,0.372,1.239
24680,-340.517,254.576,-228.679,-1.57078,-0.372,0.372,-0.372,0.372,1.239
24680,-340.035,254.932,-227.815,-2.92670,-0.372,0.372,-0.372,0.372,1.239
3829,-328.204,265.673,69.286,0.76008,-0.756,0.756,-2.224,2.224,0.491
24682,-326.640,265.225,70.602,0.00000,-0.351,0.351,-0.386,0.386,1.127
24680,-327.106,265.328,69.030,-0.78540,-0.372,0.372,-0.372,0.372,1.239
10772,-382.240,266.014,225.677,2.35619,-0.500,0.500,-0.544,0.600,1.628
10775,-412.694,265.581,125.413,1.92854,-0.839,0.838,-0.845,0.813,1.634
10775,-411.984,265.581,127.302,1.48127,-0.839,0.838,-0.845,0.813,1.634
10775,-412.534,267.162,126.400,2.26683,-0.839,0.838,-0.845,0.813,1.634
10777,-411.269,266.542,130.376,-0.78531,-0.417,0.417,-0.734,0.660,1.136
10777,-411.269,265.572,130.376,-0.78535,-0.417,0.417,-0.734,0.660,1.136
10777,-390.273,266.961,210.612,-0.98096,-0.417,0.417,-0.734,0.660,1.136
10777,-390.273,265.996,210.612,-0.98096,-0.417,0.417,-0.734,0.660,1.136
