classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7463,38.977,321.329,-84.273,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7463,-8.000,323.079,-35.000,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7463,-39.023,321.579,-84.273,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7463,-62.000,321.579,-73.000,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7463,62.000,321.329,-73.000,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7478,574.596,352.836,39.230,0.81760,-2.226,2.226,-2.499,2.448,0.507
7478,630.000,348.835,-16.000,0.96329,-2.226,2.226,-2.499,2.448,0.507
7478,738.750,367.500,6.500,0.09953,-2.226,2.226,-2.499,2.448,0.507
7478,709.770,364.929,16.204,-0.04792,-2.226,2.226,-2.499,2.448,0.507
7703,760.369,384.094,-213.912,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,760.037,384.094,-205.652,-1.70578,-2.150,2.143,-0.773,0.841,1.261
7703,665.625,389.033,-209.773,-1.42027,-2.150,2.143,-0.773,0.841,1.261
3887,773.000,384.094,-210.000,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,773.000,384.094,-218.000,0.00000,-0.583,0.583,-0.583,0.583,1.838
10426,730.750,339.000,-537.250,-2.95092,-0.181,0.182,-0.181,0.181,1.290
8072,679.384,339.000,-611.118,2.35620,-0.395,0.395,-0.665,0.665,1.863
7463,295.000,310.109,19.500,-3.14159,-1.864,1.864,-2.053,-0.734,1.508
7463,223.000,310.109,27.500,-3.14159,-1.864,1.864,-2.053,-0.734,1.508
7087,259.000,317.000,-7.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7478,231.098,314.077,-32.434,-0.48546,-2.226,2.226,-2.499,2.448,0.507
7478,284.190,313.327,-35.642,0.40065,-2.226,2.226,-2.499,2.448,0.507
7087,-294.000,340.000,99.000,-0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-294.000,344.000,139.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-294.000,340.000,131.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
7463,-330.000,337.109,137.500,3.14159,-1.864,1.864,-2.053,-0.734,1.508
7478,-234.000,338.833,58.000,-0.72058,-2.226,2.226,-2.499,2.448,0.507
7478,-266.624,339.333,36.717,-0.86274,-2.226,2.226,-2.499,2.448,0.507
7463,-258.000,333.109,129.500,3.14159,-1.864,1.864,-2.053,-0.734,1.508
7087,259.000,317.000,3.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-310.000,336.000,139.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-278.000,332.000,131.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,243.000,309.000,29.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
10425,125.000,415.607,616.000,0.00000,-0.594,0.594,-0.527,0.527,1.137
3903,77.648,377.342,175.500,-3.11801,-1.051,1.051,-1.500,1.500,1.765
3903,75.527,377.342,180.449,2.74889,-1.051,1.051,-1.500,1.500,1.765
3903,89.907,378.092,145.304,0.80898,-1.051,1.051,-1.500,1.500,1.765
10425,-100.500,435.608,681.500,1.57080,-0.594,0.594,-0.527,0.527,1.137
7478,422.000,387.099,123.000,-1.65801,-2.226,2.226,-2.499,2.448,0.507
7478,-253.000,396.480,427.000,-1.65801,-2.226,2.226,-2.499,2.448,0.507
8080,690.620,339.371,-590.381,0.00000,-0.385,0.385,-0.382,0.382,1.099
8067,690.572,339.371,-589.657,0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,691.021,339.371,-590.956,0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,689.728,339.371,-590.694,0.00000,-0.193,0.193,-0.190,0.190,0.887
8080,688.620,339.371,-588.205,-2.35619,-0.385,0.385,-0.382,0.382,1.099
8067,687.965,339.371,-588.150,-2.35619,-0.193,0.193,-0.190,0.190,0.887
8067,688.730,339.371,-588.789,-2.35619,-0.193,0.193,-0.190,0.190,0.887
8080,694.261,339.371,-581.366,0.00000,-0.385,0.385,-0.382,0.382,1.099
8067,693.770,339.371,-581.031,0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,694.762,339.371,-580.942,0.00000,-0.193,0.193,-0.190,0.190,0.887
8067,694.381,339.371,-582.205,0.00000,-0.193,0.193,-0.190,0.190,0.887
8080,696.966,339.371,-581.864,-1.57080,-0.385,0.385,-0.382,0.382,1.099
8067,697.805,339.371,-581.744,-1.57080,-0.193,0.193,-0.190,0.190,0.887
8067,696.541,339.371,-581.362,-1.57080,-0.193,0.193,-0.190,0.190,0.887
8068,698.200,339.371,-591.127,0.00000,-0.194,0.194,-0.226,0.226,0.887
8068,697.637,339.371,-591.961,-0.78540,-0.194,0.194,-0.226,0.226,0.887
8068,697.222,339.371,-593.735,-1.57080,-0.194,0.194,-0.226,0.226,0.887
8068,699.113,339.371,-590.559,2.12850,-0.194,0.194,-0.226,0.226,0.887
8068,700.111,339.371,-589.875,1.15940,-0.194,0.194,-0.226,0.226,0.887
8071,746.995,339.000,-545.703,-2.35620,-0.313,0.313,-0.833,0.833,1.163
8008,726.779,339.510,-556.317,-2.35619,-1.179,0.940,-0.142,0.079,1.788
8070,682.367,345.031,-491.542,-2.35619,-0.710,0.711,-0.710,0.711,1.435
8070,688.107,345.031,-485.803,-2.35619,-0.710,0.711,-0.710,0.711,1.435
9320,685.677,340.020,-480.083,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,683.287,340.020,-481.760,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,681.637,340.020,-483.605,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,680.531,340.020,-485.173,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,678.336,340.020,-487.017,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,675.668,340.020,-489.276,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,693.898,340.020,-488.278,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,692.117,340.020,-490.238,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,690.229,340.020,-492.450,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,688.769,340.020,-493.441,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,686.765,340.020,-495.005,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9320,684.549,340.020,-498.225,-2.35619,-1.223,1.225,-0.534,0.534,0.498
9322,693.742,340.020,-486.269,0.78540,-0.609,0.609,-0.523,0.523,0.843
9321,692.224,340.020,-488.530,0.78540,-0.611,0.611,-0.485,0.485,0.846
9321,691.459,340.020,-491.579,0.78540,-0.611,0.610,-0.485,0.485,0.846
9321,688.578,340.020,-495.095,-2.35619,-0.611,0.611,-0.485,0.485,0.846
9321,686.591,340.020,-496.913,-2.35619,-0.611,0.611,-0.485,0.485,0.846
9322,686.097,340.020,-498.110,2.35620,-0.609,0.609,-0.523,0.523,0.843
9322,676.316,340.020,-488.009,0.78540,-0.609,0.609,-0.523,0.523,0.843
9321,676.770,340.020,-487.143,-2.35619,-0.611,0.611,-0.485,0.485,0.846
9321,678.895,340.020,-485.419,-2.35619,-0.610,0.611,-0.485,0.485,0.846
9321,683.085,340.020,-483.277,0.78540,-0.611,0.611,-0.485,0.485,0.846
9322,683.380,340.020,-480.111,-0.78540,-0.609,0.609,-0.523,0.523,0.843
9321,687.345,340.020,-479.891,0.78540,-0.611,0.611,-0.485,0.485,0.846
8020,697.510,340.020,-479.601,0.84959,-0.646,0.645,-0.341,0.345,1.791
9328,696.988,340.571,-481.638,2.34277,-0.587,0.588,-0.142,0.142,1.115
9328,697.601,340.020,-486.334,-2.34612,-0.587,0.588,-0.142,0.142,1.115
9325,693.375,340.336,-487.786,0.00000,-0.410,0.410,-0.237,0.209,0.425
9325,688.526,340.788,-495.067,-2.35619,-0.410,0.410,-0.237,0.209,0.425
9326,690.562,340.020,-490.693,0.00000,-0.222,0.221,-0.210,0.211,0.768
9316,684.167,340.355,-497.938,-0.78540,-0.356,0.356,-0.385,0.385,0.325
9316,691.931,340.350,-490.115,-0.78540,-0.356,0.356,-0.385,0.385,0.325
9316,685.678,340.363,-480.028,-0.78540,-0.356,0.356,-0.385,0.385,0.325
9316,683.579,340.344,-482.035,-2.35619,-0.356,0.356,-0.385,0.385,0.325
9317,685.304,340.020,-482.319,0.00000,-0.266,0.266,-0.294,0.294,1.000
6334,683.752,340.020,-483.929,-0.78540,-0.259,0.259,-0.134,0.134,0.358
9303,677.463,340.020,-487.937,-1.57080,-0.200,0.201,-0.225,0.226,0.376
9304,694.724,340.020,-486.911,0.78540,-0.143,0.143,-0.169,0.197,1.641
7082,696.603,340.020,-478.863,-2.35619,-0.414,0.411,-0.378,0.385,0.521
7082,696.603,340.541,-478.863,-2.19720,-0.414,0.411,-0.378,0.385,0.521
10775,24.956,337.110,-424.897,1.86002,-0.839,0.838,-0.845,0.813,1.634
10426,573.000,342.643,-454.000,-0.78540,-0.181,0.181,-0.181,0.182,1.290
10426,573.000,342.643,-476.627,-2.35620,-0.181,0.181,-0.181,0.182,1.290
10426,565.000,342.643,-446.000,2.35619,-0.181,0.182,-0.181,0.181,1.290
10426,542.373,342.643,-446.000,-2.35620,-0.181,0.182,-0.181,0.181,1.290
10426,541.000,342.643,-486.000,-0.78540,-0.181,0.181,-0.181,0.182,1.290
10426,563.627,342.643,-486.000,0.78540,-0.181,0.181,-0.181,0.181,1.290
10426,533.000,342.643,-478.000,2.35619,-0.181,0.181,-0.181,0.181,1.290
10426,533.000,342.643,-455.373,0.78540,-0.181,0.181,-0.181,0.181,1.290
10985,756.698,363.000,-765.432,0.00000,-1.000,1.000,-1.000,1.000,1.000
10375,671.000,359.500,-750.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
10375,739.000,359.500,-750.000,-1.57080,-2.000,2.000,-2.000,2.000,8.000
10375,729.000,361.500,-743.000,-1.57080,-2.000,2.000,-2.000,2.000,8.000
10426,878.000,377.000,-710.000,0.00000,-0.181,0.181,-0.181,0.182,1.290
3768,880.000,369.000,-752.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
10426,886.000,377.000,-754.000,0.00000,-0.181,0.181,-0.181,0.182,1.290
10426,866.000,377.000,-710.000,0.00000,-0.181,0.181,-0.181,0.182,1.290
3768,864.000,369.000,-708.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
10375,868.000,361.000,-720.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
