classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7087,259.367,316.872,3.744,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,259.368,316.872,-6.256,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,243.382,308.872,29.740,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-277.573,331.870,131.734,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-293.574,339.870,131.734,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-293.575,343.870,139.734,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-293.576,339.870,99.737,-0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-309.579,335.870,139.735,3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,196.000,318.000,99.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,244.000,294.000,172.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-310.000,318.000,280.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-62.000,352.000,514.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-38.000,352.000,514.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-174.000,342.000,207.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,276.000,290.000,124.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,244.000,290.000,124.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-310.000,314.000,232.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-278.000,314.000,232.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7465,265.250,328.115,251.250,-2.35619,-0.619,0.619,-0.062,0.212,0.428
7463,262.965,326.926,251.086,-2.35619,-1.864,1.864,-2.053,-0.734,1.508
7466,264.537,328.462,251.597,-2.35619,-0.355,0.355,-0.050,0.200,0.413
7744,264.189,328.115,252.311,-2.35619,-0.619,0.619,-0.062,0.213,0.428
7466,263.476,328.462,252.658,-2.35619,-0.355,0.355,-0.050,0.200,0.413
7465,263.129,328.115,253.371,-2.35619,-0.619,0.619,-0.062,0.212,0.428
7465,263.000,328.106,258.750,-0.78539,-0.619,0.619,-0.062,0.212,0.428
7466,263.348,328.454,259.463,-0.78539,-0.355,0.355,-0.050,0.200,0.413
7466,264.408,328.454,260.524,-0.78539,-0.355,0.355,-0.050,0.200,0.413
7465,265.121,328.106,260.871,-0.78539,-0.619,0.619,-0.062,0.212,0.428
7463,262.836,326.917,261.035,-0.78540,-1.864,1.864,-2.053,-0.735,1.508
7465,270.500,328.123,260.750,0.78539,-0.619,0.619,-0.062,0.212,0.428
7466,271.213,328.470,260.403,0.78539,-0.355,0.355,-0.050,0.200,0.413
7465,272.621,328.123,258.629,0.78539,-0.619,0.619,-0.062,0.212,0.428
7463,272.785,326.934,260.914,0.78540,-1.864,1.864,-2.053,-0.735,1.508
7465,272.750,328.119,253.250,2.35619,-0.619,0.619,-0.062,0.212,0.428
7466,272.402,328.467,252.537,2.35619,-0.355,0.356,-0.050,0.200,0.413
7744,271.689,328.119,252.190,2.35619,-0.619,0.619,-0.062,0.212,0.428
7466,271.342,328.466,251.476,2.35619,-0.355,0.356,-0.050,0.200,0.413
7465,270.629,328.119,251.129,2.35619,-0.619,0.619,-0.062,0.212,0.428
7463,272.914,326.930,250.965,2.35620,-1.864,1.864,-2.053,-0.735,1.508
10425,224.750,319.750,144.000,-1.57049,-0.594,0.594,-0.527,0.527,1.137
7466,224.500,321.500,144.500,-1.57056,-0.355,0.355,-0.050,0.200,0.413
7744,224.500,322.000,143.750,-1.57057,-0.619,0.619,-0.062,0.212,0.428
7743,224.500,321.500,142.750,-1.57059,-0.619,0.619,-0.062,0.212,0.428
7465,224.500,322.000,141.750,-1.57061,-0.619,0.619,-0.062,0.212,0.428
7744,247.500,322.000,144.250,1.57068,-0.619,0.619,-0.062,0.212,0.428
7466,247.500,322.000,142.500,1.57072,-0.355,0.356,-0.050,0.200,0.413
7466,247.500,321.500,145.000,1.57073,-0.355,0.356,-0.050,0.200,0.413
7744,264.015,300.002,35.439,5.49760,-0.619,0.619,-0.063,0.212,0.428
7744,264.403,299.369,35.069,5.49760,-0.619,0.619,-0.062,0.212,0.428
7465,260.012,299.801,31.983,-0.00014,-0.619,0.619,-0.062,0.212,0.428
7465,260.013,299.211,31.397,-0.00014,-0.619,0.619,-0.062,0.212,0.428
7744,256.515,300.002,35.439,0.78530,-0.619,0.619,-0.062,0.212,0.428
7744,256.082,299.390,35.006,0.78530,-0.619,0.619,-0.062,0.212,0.428
7466,251.267,297.404,36.372,-1.57077,-0.355,0.355,-0.050,0.200,0.413
7466,251.267,297.404,34.122,-1.57077,-0.355,0.355,-0.050,0.200,0.413
11280,255.018,295.561,37.250,-1.57077,-0.320,0.325,-0.195,0.197,1.160
11280,254.268,295.561,37.250,-1.57077,-0.320,0.325,-0.195,0.197,1.160
7744,251.251,297.552,31.497,-1.57077,-0.619,0.619,-0.062,0.212,0.428
7465,251.500,296.750,32.250,-1.57077,-0.619,0.619,-0.062,0.213,0.428
7463,249.768,295.561,31.500,-1.57078,-1.864,1.864,-2.053,-0.734,1.508
20615,254.518,295.561,33.750,1.57078,-1.009,1.011,-0.509,0.965,1.979
7463,249.768,295.561,35.250,-1.57078,-1.864,1.864,-2.053,-0.734,1.508
7744,255.753,297.491,27.483,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7743,264.250,297.500,27.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7466,268.780,297.275,32.628,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,268.529,296.682,32.250,1.57078,-0.355,0.355,-0.050,0.200,0.413
7466,268.780,297.275,30.378,1.57079,-0.355,0.355,-0.050,0.200,0.413
7463,270.250,295.500,31.500,1.57079,-1.864,1.864,-2.053,-0.735,1.508
7463,270.250,295.500,35.250,1.57079,-1.864,1.864,-2.053,-0.735,1.508
11280,266.500,295.500,37.250,-1.57079,-0.320,0.325,-0.195,0.197,1.160
11280,265.750,295.500,37.250,-1.57079,-0.320,0.325,-0.195,0.197,1.160
11280,265.000,295.500,37.250,-1.57079,-0.320,0.325,-0.195,0.197,1.160
20615,266.000,295.590,34.250,-2.35619,-1.009,1.011,-0.509,0.965,1.979
11280,253.518,295.561,37.250,-1.57079,-0.320,0.325,-0.195,0.197,1.160
7744,268.767,297.491,35.253,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,268.518,296.689,34.500,1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,251.518,296.811,34.500,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,248.500,297.500,81.500,-1.57078,-0.355,0.355,-0.050,0.200,0.413
7744,248.500,298.000,80.750,-1.57078,-0.619,0.619,-0.062,0.212,0.428
7743,248.500,297.500,79.750,-1.57078,-0.619,0.619,-0.062,0.212,0.428
7465,248.500,298.000,78.750,-1.57078,-0.619,0.619,-0.062,0.212,0.428
10425,249.000,295.500,80.000,-1.57078,-0.594,0.594,-0.527,0.527,1.137
7466,259.645,296.675,73.919,-3.14159,-0.355,0.356,-0.050,0.200,0.413
7465,260.770,296.505,74.053,-3.14159,-0.619,0.619,-0.062,0.212,0.428
10420,260.395,295.493,72.198,-3.14159,-1.114,1.114,-2.053,-0.734,1.508
7465,271.500,298.000,81.500,1.57079,-0.619,0.619,-0.062,0.212,0.428
7743,271.500,297.500,80.500,1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,271.500,298.000,79.500,1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,271.500,297.500,78.750,1.57079,-0.355,0.355,-0.050,0.200,0.413
10425,271.250,295.750,79.250,1.57079,-0.594,0.594,-0.527,0.527,1.137
7466,271.500,297.500,65.500,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,271.500,298.000,63.000,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,271.500,297.500,62.500,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,248.500,298.000,64.750,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,248.500,297.500,65.250,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,248.500,298.000,63.000,-1.57080,-0.619,0.619,-0.062,0.212,0.428
7466,248.500,297.500,62.250,-1.57080,-0.355,0.355,-0.050,0.200,0.413
7743,327.460,322.153,78.262,1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,327.500,321.750,79.000,1.57079,-0.355,0.355,-0.050,0.200,0.413
3903,317.250,319.579,65.500,2.35619,-1.051,1.051,-1.500,1.500,1.765
20832,308.226,319.586,67.336,-2.86504,-1.663,2.060,-1.385,1.298,1.911
10425,203.988,335.500,234.988,0.00000,-0.594,0.594,-0.527,0.527,1.137
7743,203.750,337.500,235.488,0.00000,-0.619,0.619,-0.062,0.212,0.428
7744,204.738,338.000,235.488,0.00000,-0.619,0.619,-0.062,0.212,0.428
7466,205.488,337.500,235.488,0.00000,-0.355,0.355,-0.050,0.200,0.413
7465,202.750,338.000,235.488,-0.00000,-0.619,0.619,-0.062,0.212,0.428
7466,197.581,336.576,223.981,-1.57143,-0.355,0.355,-0.050,0.200,0.413
10421,195.736,335.571,223.980,-1.57128,-0.739,0.739,-2.053,-0.734,1.508
7466,195.986,336.576,222.884,0.00000,-0.355,0.355,-0.050,0.200,0.413
10421,195.986,335.571,224.729,0.00000,-0.739,0.739,-2.053,-0.735,1.508
7466,194.390,336.576,223.979,1.57133,-0.355,0.356,-0.050,0.200,0.413
10421,196.236,335.571,223.978,1.57120,-0.739,0.739,-2.053,-0.735,1.508
10421,195.986,335.571,223.228,-3.14159,-0.739,0.739,-2.053,-0.734,1.508
7466,195.986,336.576,225.073,-3.14159,-0.355,0.356,-0.050,0.200,0.413
7466,205.493,337.500,212.503,3.14159,-0.355,0.356,-0.050,0.200,0.413
7466,203.000,338.000,212.500,3.14159,-0.355,0.356,-0.050,0.200,0.413
7466,202.500,337.500,212.499,-3.14159,-0.355,0.356,-0.050,0.200,0.413
10425,271.000,295.500,48.000,1.57081,-0.594,0.594,-0.527,0.527,1.137
7744,271.500,298.000,47.250,1.57081,-0.619,0.619,-0.062,0.212,0.428
7466,271.500,297.500,46.500,1.57081,-0.355,0.355,-0.050,0.200,0.413
7743,271.500,297.500,48.250,1.57081,-0.619,0.619,-0.062,0.212,0.428
7465,271.500,298.000,49.250,1.57081,-0.619,0.619,-0.062,0.212,0.428
10425,248.750,295.750,48.750,-1.57080,-0.594,0.594,-0.527,0.527,1.137
7466,248.500,297.500,49.250,-1.57080,-0.355,0.355,-0.050,0.200,0.413
7744,248.500,298.000,48.500,-1.57080,-0.619,0.619,-0.062,0.212,0.428
7743,248.500,297.500,47.500,-1.57081,-0.619,0.619,-0.062,0.212,0.428
7465,248.500,298.000,46.500,-1.57081,-0.619,0.619,-0.062,0.212,0.428
7463,226.347,335.590,231.219,0.78539,-1.864,1.864,-2.053,-0.735,1.508
7466,224.953,336.949,230.354,0.78539,-0.355,0.355,-0.050,0.200,0.413
7466,225.483,336.949,229.824,0.78539,-0.355,0.355,-0.050,0.200,0.413
7465,225.827,337.581,229.642,0.78539,-0.619,0.619,-0.062,0.212,0.428
7744,225.831,336.602,229.111,0.78539,-0.619,0.619,-0.062,0.212,0.428
7744,224.683,338.888,230.683,3.92685,-0.619,0.619,-0.062,0.212,0.428
7744,224.250,339.500,230.250,3.92685,-0.619,0.619,-0.063,0.212,0.428
20615,224.896,335.578,228.048,2.88351,-1.009,1.011,-0.509,0.965,1.979
7463,229.310,335.579,224.131,1.57079,-1.864,1.864,-2.053,-0.735,1.508
7743,227.578,336.768,224.881,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,227.578,336.768,223.381,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,224.890,339.856,223.999,4.71224,-0.619,0.619,-0.062,0.212,0.428
7465,225.500,339.250,224.000,4.71224,-0.619,0.619,-0.063,0.212,0.428
