classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20829,211.000,18.400,227.600,0.00000,-1.661,1.651,-1.180,1.180,1.848
7087,225.337,19.009,220.131,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,225.400,19.000,236.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,208.800,19.000,220.200,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,208.800,19.000,236.200,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,217.000,23.000,220.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,217.000,23.000,236.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
20828,6.800,18.600,142.800,0.00000,-0.998,1.654,-0.941,1.066,1.190
20832,-2.800,16.400,261.800,-0.80236,-1.663,2.060,-1.385,1.298,1.911
10515,131.576,14.936,206.131,-0.82574,-2.473,0.195,-1.512,1.517,1.109
7087,128.500,15.000,203.000,-2.39656,-2.867,2.867,-2.867,2.867,1.109
7087,119.824,18.503,200.345,-2.35447,-2.867,2.867,-2.867,2.867,1.109
7087,128.571,18.879,208.760,-2.35447,-2.867,2.867,-2.867,2.867,1.109
7087,109.392,18.657,211.245,-2.35448,-2.867,2.867,-2.867,2.867,1.109
7087,122.750,18.750,197.250,-2.35448,-2.867,2.867,-2.867,2.867,1.109
7087,118.310,18.883,219.365,-2.35446,-2.867,2.867,-2.867,2.867,1.109
7087,106.500,18.750,214.000,-2.35452,-2.867,2.867,-2.867,2.867,1.109
7087,111.750,15.500,219.000,-2.36353,-2.867,2.867,-2.867,2.867,1.109
10515,114.916,15.250,222.207,-0.81195,-2.473,0.195,-1.512,1.517,1.109
10515,115.464,15.229,234.253,0.76001,-2.473,0.195,-1.512,1.517,1.109
7087,112.179,15.287,237.157,-0.80721,-2.867,2.867,-2.867,2.867,1.109
7087,109.258,18.491,244.830,-0.78317,-2.867,2.867,-2.867,2.867,1.109
7087,117.901,18.889,236.454,-0.78321,-2.867,2.867,-2.867,2.867,1.109
7087,119.426,18.645,255.959,-0.78325,-2.867,2.867,-2.867,2.867,1.109
7087,106.250,19.000,242.000,-0.78328,-2.867,2.867,-2.867,2.867,1.109
7087,128.113,18.891,247.596,-0.78329,-2.867,2.867,-2.867,2.867,1.109
7087,122.250,18.750,258.750,-0.78333,-2.867,2.867,-2.867,2.867,1.109
7087,128.000,15.750,253.500,-0.78355,-2.867,2.867,-2.867,2.867,1.109
10515,131.423,15.677,250.402,0.76757,-2.473,0.195,-1.512,1.517,1.109
20830,148.466,15.513,226.393,0.00000,-1.661,1.651,-2.358,2.358,1.848
10515,158.757,14.942,221.941,-2.41934,-2.473,0.196,-1.512,1.518,1.109
7087,162.000,15.000,219.000,2.29186,-2.867,2.867,-2.867,2.867,1.109
7087,164.469,18.491,210.802,2.35594,-2.867,2.867,-2.867,2.867,1.109
7087,156.047,18.889,219.499,2.35596,-2.867,2.867,-2.867,2.867,1.109
7087,153.673,18.645,200.313,2.35600,-2.867,2.867,-2.867,2.867,1.109
7087,145.494,18.891,209.173,2.35603,-2.867,2.867,-2.867,2.867,1.109
7087,150.750,18.750,197.500,2.35607,-2.867,2.867,-2.867,2.867,1.109
7087,145.250,15.500,203.000,2.37297,-2.867,2.867,-2.867,2.867,1.109
10515,142.125,15.250,206.247,-2.35545,-2.473,0.195,-1.512,1.518,1.109
10515,142.000,15.000,249.500,2.38388,-2.473,0.196,-1.512,1.517,1.109
7087,145.500,15.000,252.750,0.81544,-2.867,2.867,-2.867,2.867,1.109
7087,154.763,18.491,255.606,0.78520,-2.867,2.867,-2.867,2.867,1.109
7087,145.618,18.889,247.652,0.78522,-2.867,2.867,-2.867,2.867,1.109
7087,164.625,18.645,244.205,0.78526,-2.867,2.867,-2.867,2.867,1.109
7087,155.314,18.891,236.548,0.78529,-2.867,2.867,-2.867,2.867,1.109
7087,167.500,18.750,241.250,0.78534,-2.867,2.867,-2.867,2.867,1.109
7087,161.750,15.500,236.250,0.78035,-2.867,2.867,-2.867,2.867,1.109
10515,158.500,15.250,233.000,2.40709,-2.473,0.195,-1.512,1.517,1.109
20826,-104.300,15.517,351.600,0.00000,-0.973,0.969,-0.957,0.944,1.190
20828,-104.700,15.524,353.400,0.00000,-0.998,1.654,-0.941,1.066,1.190
20830,-91.734,15.562,354.393,0.00000,-1.661,1.651,-2.358,2.358,1.848
10515,-108.500,15.000,334.500,-0.78055,-2.473,0.196,-1.512,1.517,1.109
7087,-111.750,15.000,331.250,-2.35223,-2.867,2.867,-2.867,2.867,1.109
7087,-120.323,18.692,328.345,-2.35387,-2.867,2.867,-2.867,2.867,1.109
7087,-111.628,19.089,336.813,-2.35389,-2.867,2.867,-2.867,2.867,1.109
7087,-130.832,18.845,339.186,-2.35393,-2.867,2.867,-2.867,2.867,1.109
7087,-117.500,18.750,325.500,-2.35394,-2.867,2.867,-2.867,2.867,1.109
7087,-121.952,19.091,347.365,-2.35396,-2.867,2.867,-2.867,2.867,1.109
7087,-133.750,19.000,342.250,-2.35398,-2.867,2.867,-2.867,2.867,1.109
7087,-128.000,15.250,348.000,-2.36168,-2.867,2.867,-2.867,2.867,1.109
10515,-125.000,15.000,351.250,-0.81073,-2.473,0.195,-1.512,1.517,1.109
10515,-124.859,15.000,361.885,0.76410,-2.473,0.196,-1.512,1.517,1.109
7087,-128.000,15.000,365.000,-0.80248,-2.867,2.867,-2.867,2.867,1.109
7087,-130.979,18.692,373.384,-0.78291,-2.867,2.867,-2.867,2.867,1.109
7087,-122.512,19.089,364.687,-0.78294,-2.867,2.867,-2.867,2.867,1.109
7087,-120.139,18.845,383.895,-0.78298,-2.867,2.867,-2.867,2.867,1.109
7087,-133.750,18.750,370.500,-0.78300,-2.867,2.867,-2.867,2.867,1.109
7087,-111.962,19.091,375.013,-0.78302,-2.867,2.867,-2.867,2.867,1.109
7087,-117.000,19.000,386.750,-0.78305,-2.867,2.867,-2.867,2.867,1.109
7087,-111.750,15.750,381.500,-0.73278,-2.867,2.867,-2.867,2.867,1.109
10515,-108.750,15.500,378.250,0.81785,-2.473,0.196,-1.512,1.517,1.109
10515,-81.750,15.000,350.500,-2.38562,-2.473,0.195,-1.512,1.518,1.109
7087,-78.500,15.000,347.250,2.32553,-2.867,2.867,-2.867,2.867,1.109
7087,-75.686,18.692,338.802,2.35591,-2.867,2.867,-2.867,2.867,1.109
7087,-84.154,19.089,347.499,2.35593,-2.867,2.867,-2.867,2.867,1.109
7087,-86.527,18.845,328.291,2.35595,-2.867,2.867,-2.867,2.867,1.109
7087,-72.750,18.750,341.750,2.35596,-2.867,2.867,-2.867,2.867,1.109
7087,-94.706,19.091,337.173,2.35598,-2.867,2.867,-2.867,2.867,1.109
7087,-89.500,19.000,325.250,2.35601,-2.867,2.867,-2.867,2.867,1.109
7087,-94.750,15.750,330.750,2.36100,-2.867,2.867,-2.867,2.867,1.109
10515,-97.914,15.500,333.959,-2.36732,-2.473,0.195,-1.512,1.517,1.109
10515,-97.500,15.000,377.500,2.35002,-2.473,0.195,-1.512,1.517,1.109
7087,-94.250,15.000,380.750,0.78181,-2.867,2.867,-2.867,2.867,1.109
7087,-85.943,18.692,383.642,0.78494,-2.867,2.867,-2.867,2.867,1.109
7087,-94.640,19.089,375.173,0.78497,-2.867,2.867,-2.867,2.867,1.109
7087,-75.432,18.845,372.800,0.78500,-2.867,2.867,-2.867,2.867,1.109
7087,-88.750,18.750,386.500,0.78502,-2.867,2.867,-2.867,2.867,1.109
7087,-84.314,19.091,364.621,0.78503,-2.867,2.867,-2.867,2.867,1.109
7087,-72.500,19.000,370.000,0.78507,-2.867,2.867,-2.867,2.867,1.109
7087,-78.000,15.750,364.750,0.77871,-2.867,2.867,-2.867,2.867,1.109
10515,-81.179,15.500,361.555,2.33346,-2.473,0.196,-1.512,1.518,1.109
7744,-167.620,29.000,324.205,3.41062,-0.619,0.619,-0.062,0.212,0.428
7744,-167.484,28.367,324.723,3.41062,-0.619,0.619,-0.062,0.212,0.428
7744,-164.162,29.326,317.506,-1.27469,-0.619,0.619,-0.062,0.212,0.428
7744,-163.582,28.708,317.330,-1.27469,-0.619,0.619,-0.062,0.212,0.428
7744,-157.296,26.492,315.225,2.65070,-0.619,0.619,-0.062,0.212,0.428
7465,-158.085,25.698,315.092,2.65317,-0.619,0.619,-0.062,0.212,0.428
7463,-156.620,24.491,313.921,2.65070,-1.864,1.864,-2.053,-0.734,1.508
7466,-160.077,25.776,314.047,2.65317,-0.355,0.356,-0.050,0.200,0.413
7463,-159.850,24.143,312.238,2.65071,-1.864,1.864,-2.053,-0.734,1.508
7744,-168.796,26.265,329.003,-0.49082,-0.619,0.619,-0.062,0.212,0.428
7465,-168.023,25.455,329.140,-0.49332,-0.619,0.619,-0.062,0.212,0.428
7463,-169.513,24.284,330.317,-0.49082,-1.864,1.864,-2.053,-0.735,1.508
7466,-166.044,25.430,330.210,-0.49333,-0.355,0.355,-0.050,0.200,0.413
7463,-166.206,24.254,332.084,-0.49083,-1.864,1.864,-2.053,-0.735,1.508
7743,-158.914,26.165,329.875,1.07992,-0.619,0.619,-0.062,0.212,0.428
7744,-154.182,26.096,321.063,1.07992,-0.619,0.619,-0.062,0.212,0.428
7744,-172.403,26.391,364.717,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,-171.700,25.600,364.500,0.00000,-0.619,0.619,-0.062,0.212,0.428
7463,-172.400,24.400,366.200,0.00000,-1.864,1.864,-2.053,-0.735,1.508
7466,-169.778,26.175,364.730,0.00000,-0.355,0.356,-0.050,0.200,0.413
