classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20832,-118.628,120.396,-220.221,-1.57080,-1.663,2.060,-1.385,1.298,1.911
20782,15.211,64.962,-55.091,0.00000,-0.740,0.740,-0.704,0.704,1.356
20832,11.345,65.899,-49.345,-1.57080,-1.663,2.060,-1.385,1.298,1.911
3903,65.811,58.947,-26.601,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,70.965,60.420,-24.980,-0.77134,-1.051,1.051,-1.500,1.500,1.765
3887,-469.118,63.450,242.366,0.00000,-0.583,0.583,-0.583,0.583,1.838
20782,12.052,136.392,-249.768,-2.04968,-0.740,0.740,-0.704,0.704,1.356
20782,-96.861,121.613,-232.821,-0.62891,-0.740,0.740,-0.704,0.704,1.356
20782,-100.078,120.071,-190.763,-2.02959,-0.740,0.740,-0.704,0.704,1.356
20782,-109.961,120.707,-223.499,-2.17030,-0.740,0.740,-0.704,0.704,1.356
20782,-204.359,68.497,183.977,-2.50868,-0.740,0.740,-0.704,0.704,1.356
20782,-207.206,68.989,188.489,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-196.145,68.496,183.692,-2.26727,-0.740,0.740,-0.704,0.704,1.356
