classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
6178,-386.808,537.917,-212.908,0.00000,-0.390,0.386,-0.178,0.179,0.234
10426,-408.000,538.000,-212.000,1.57080,-0.181,0.181,-0.181,0.182,1.290
10426,-434.000,538.000,-222.000,-3.14159,-0.181,0.181,-0.181,0.181,1.290
6334,-537.467,532.000,-169.968,0.00000,-0.259,0.259,-0.134,0.134,0.358
7703,-403.976,531.905,-169.124,0.00000,-2.150,2.143,-0.773,0.841,1.261
21944,-442.000,536.000,-196.000,1.57080,-2.045,2.000,-2.045,2.045,9.000
21944,-446.000,536.000,-196.000,-1.57080,-2.045,2.000,-2.045,2.045,9.000
20371,-445.500,544.000,-249.000,0.00000,-0.382,0.382,-0.382,0.382,1.292
20371,-445.000,544.000,-248.000,0.00000,-0.382,0.382,-0.382,0.382,1.292
20371,-447.067,544.000,-248.767,1.57080,-0.382,0.382,-0.382,0.382,1.292
20371,-446.084,544.000,-247.809,-3.14159,-0.382,0.382,-0.382,0.382,1.292
11285,-316.373,533.042,-204.316,0.00000,-1.558,1.537,-1.339,1.192,0.852
20699,-587.116,536.500,-197.875,1.57076,-1.020,1.020,0.000,1.020,1.716
20699,-587.471,536.500,-201.772,1.57076,-1.020,1.020,0.000,1.020,1.716
8066,-588.054,536.500,-201.853,-2.35618,-0.282,0.282,-0.374,0.374,0.966
8008,-586.813,537.589,-205.208,2.35618,-1.179,0.940,-0.142,0.078,1.788
21046,-589.097,536.500,-204.673,-3.14159,-0.244,0.215,-0.540,0.276,1.679
8011,-589.892,536.500,-204.598,-3.14159,-0.359,0.346,-0.223,0.188,1.484
8009,-592.440,536.500,-204.951,0.00000,-1.512,0.493,-0.393,0.384,1.895
8007,-593.644,537.459,-204.222,-2.35618,-0.135,0.132,-0.208,0.170,0.431
21049,-594.173,537.459,-204.176,-3.14159,-0.325,0.325,-0.406,0.406,0.519
8006,-594.764,537.459,-204.472,-3.14159,-0.191,0.191,-0.277,0.172,0.378
8004,-595.699,537.528,-204.355,1.18880,-0.105,0.145,-0.248,0.518,0.553
8018,-595.523,537.459,-203.760,0.19355,-0.133,0.198,-0.124,0.039,0.597
8003,-595.572,537.527,-204.115,2.35618,-0.095,0.098,-0.199,0.169,0.259
8004,-595.841,537.528,-204.149,3.14159,-0.105,0.145,-0.248,0.518,0.553
6188,-594.916,536.500,-204.324,-3.14159,-1.658,1.657,-0.746,0.668,0.959
8064,-594.300,536.500,-203.662,0.00000,-0.497,0.497,-0.472,0.472,0.789
8008,-613.234,537.655,-205.073,-2.35619,-1.179,0.940,-0.142,0.078,1.788
21047,-610.896,536.500,-204.546,-3.14158,-0.244,0.215,-0.540,0.276,1.679
21048,-611.652,536.500,-204.584,-3.14158,-0.244,0.215,-0.540,0.276,1.679
8016,-597.000,537.500,-163.000,-3.14159,-0.040,0.177,-0.107,-0.012,0.479
8009,-538.241,534.000,-163.024,-1.57080,-1.512,0.493,-0.393,0.384,1.895
20700,-539.000,534.000,-160.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20699,-539.000,534.000,-156.000,-1.57080,-1.020,1.020,-0.000,1.020,1.716
20700,-552.000,536.000,-152.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20701,-532.000,534.000,-156.000,-1.57080,-1.020,1.020,-0.000,2.000,1.663
20700,-539.000,534.000,-148.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20699,-539.000,534.000,-144.000,-1.57080,-1.020,1.020,-0.000,1.020,1.716
20701,-532.000,534.000,-144.000,-1.57080,-1.020,1.020,-0.000,2.000,1.663
20700,-554.000,536.000,-152.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20702,-540.000,535.500,-156.000,-1.57080,-1.032,1.032,-1.180,0.820,1.520
20700,-546.000,536.000,-152.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20700,-544.000,536.000,-152.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20700,-544.000,536.000,-146.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20700,-546.000,536.000,-146.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20700,-554.000,536.000,-146.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20700,-552.000,536.000,-146.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20700,-544.000,536.000,-158.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20700,-546.000,536.000,-158.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20700,-554.000,536.000,-158.000,1.57080,-2.020,2.020,0.000,1.020,1.716
20700,-552.000,536.000,-158.000,-1.57080,-2.020,2.020,-0.000,1.020,1.716
20702,-545.000,537.690,-146.500,1.57080,-1.032,1.032,-1.180,0.820,1.520
20702,-553.000,537.690,-147.000,-1.57080,-1.032,1.032,-1.180,0.820,1.520
11304,-552.749,536.200,-175.513,0.00000,-1.283,1.283,-1.283,1.283,1.065
8064,-551.005,536.000,-144.938,0.78540,-0.497,0.497,-0.472,0.472,0.789
8064,-550.720,536.000,-152.637,2.35620,-0.497,0.497,-0.472,0.472,0.789
8064,-551.010,536.000,-156.693,1.14031,-0.497,0.497,-0.472,0.472,0.789
8064,-546.984,536.000,-157.648,-0.44543,-0.497,0.497,-0.472,0.472,0.789
8064,-546.913,536.000,-151.663,-1.80285,-0.497,0.497,-0.472,0.472,0.789
8064,-546.870,536.000,-144.249,-0.15128,-0.497,0.497,-0.472,0.472,0.789
8064,-542.822,536.162,-145.316,-2.50748,-0.497,0.497,-0.472,0.472,0.789
8064,-543.109,536.162,-152.690,2.20491,-0.497,0.497,-0.472,0.472,0.789
8064,-543.013,536.162,-158.638,2.20491,-0.497,0.497,-0.472,0.472,0.789
11304,-552.699,536.340,-128.543,1.57080,-1.283,1.283,-1.283,1.283,1.065
20362,140.342,542.195,-549.433,0.00000,-0.708,0.721,-0.520,0.565,1.180
20371,139.563,542.031,-550.774,0.00000,-0.382,0.382,-0.382,0.382,1.292
20371,139.046,542.571,-549.837,-0.34922,-0.382,0.382,-0.382,0.382,1.292
20372,139.914,542.140,-552.231,0.00000,-0.382,0.382,-0.382,0.382,1.292
11285,29.834,532.665,-401.916,0.00000,-1.558,1.537,-1.339,1.192,0.852
7701,31.547,532.899,-401.581,0.00000,-0.552,0.560,-0.366,0.258,0.872
11318,30.452,532.740,-403.622,-1.06513,-1.527,2.576,-0.957,0.348,0.340
20362,27.994,539.318,-696.565,-1.96280,-0.708,0.721,-0.520,0.565,1.180
8011,17.482,539.318,-707.499,-2.35619,-0.359,0.346,-0.223,0.187,1.484
8079,18.893,539.318,-707.541,0.00000,-0.471,0.471,-0.484,0.484,0.795
8079,21.780,539.318,-707.466,-1.57080,-0.471,0.471,-0.484,0.484,0.795
8079,23.362,539.318,-707.454,-1.34623,-0.471,0.471,-0.484,0.484,0.795
21944,-442.000,536.000,-232.000,-3.14159,-2.045,2.000,-2.045,2.045,9.000
21944,-450.000,536.000,-232.000,0.00000,-2.045,2.000,-2.045,2.045,9.000
10375,-446.000,536.000,-232.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
10775,337.734,529.442,-217.884,0.00000,-0.839,0.838,-0.845,0.813,1.634
10777,338.103,529.442,-221.008,1.57080,-0.417,0.417,-0.734,0.660,1.136
10777,338.072,529.442,-219.800,1.43239,-0.417,0.417,-0.734,0.660,1.136
10777,338.288,529.442,-214.785,2.17923,-0.417,0.417,-0.734,0.660,1.136
11285,-37.336,535.618,-49.263,0.00000,-1.558,1.537,-1.339,1.192,0.852
25635,-736.917,544.361,-150.597,0.00000,-1.302,1.502,-0.698,1.123,0.680
25636,-733.344,544.500,-154.918,0.00000,-1.927,1.950,-0.924,1.688,0.315
25637,-728.815,544.500,-150.632,0.00000,-1.561,1.565,-1.712,1.702,0.662
8009,-614.500,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
8009,-613.000,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
8009,-611.500,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
8009,-610.500,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
8009,-605.500,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
8009,-604.500,536.500,-232.500,1.57080,-1.512,0.493,-0.392,0.384,1.895
