classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7087,-6.937,292.000,49.385,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-7.010,292.000,-1.560,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-88.000,292.000,-16.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-88.000,292.000,-12.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-38.000,292.000,-16.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-38.000,292.000,-12.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-64.000,305.000,145.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-64.000,305.000,149.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-14.000,305.000,149.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-14.000,305.000,145.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
20830,-127.231,319.976,-498.190,-1.92369,-1.661,1.651,-2.358,2.358,1.848
7465,4.600,330.719,-431.371,-2.44990,-0.619,0.619,-0.062,0.212,0.428
7744,4.600,331.585,-431.371,-2.44990,-0.619,0.619,-0.062,0.212,0.428
7465,-4.000,330.719,-430.878,2.49826,-0.619,0.619,-0.062,0.212,0.428
7744,-4.000,331.585,-430.878,2.49832,-0.619,0.619,-0.062,0.212,0.428
10425,0.008,329.578,-432.394,-3.14159,-0.594,0.594,-0.527,0.527,1.137
11280,-2.712,330.653,-420.905,0.00000,-0.320,0.325,-0.195,0.197,1.160
11281,-4.032,330.653,-420.887,0.00000,-0.348,0.190,-0.229,0.327,0.321
11281,2.831,330.646,-419.560,0.78540,-0.348,0.190,-0.229,0.327,0.321
20615,-1.355,329.579,-420.565,1.57080,-1.009,1.011,-0.509,0.965,1.979
20615,1.355,329.577,-420.316,-1.57080,-1.009,1.011,-0.509,0.965,1.979
20615,5.757,329.589,-419.694,0.78540,-1.009,1.011,-0.509,0.965,1.979
20615,-5.437,329.591,-420.340,-1.57079,-1.009,1.011,-0.509,0.965,1.979
20829,86.557,329.607,-37.627,-0.78540,-1.661,1.651,-1.180,1.180,1.848
20827,125.816,329.607,-34.685,0.00000,-1.332,1.281,-1.302,1.326,1.190
20828,127.173,329.607,-35.433,2.35620,-0.998,1.654,-0.941,1.066,1.190
20829,157.432,329.607,-35.775,-0.78540,-1.661,1.651,-1.180,1.180,1.848
20832,144.096,329.607,-44.638,2.35620,-1.663,2.060,-1.385,1.298,1.911
20830,115.943,329.607,-30.730,-1.57080,-1.661,1.651,-2.358,2.358,1.848
20830,123.508,329.607,-30.960,-1.57080,-1.661,1.651,-2.358,2.358,1.848
20832,122.517,329.607,-49.441,0.00000,-1.663,2.060,-1.385,1.298,1.911
20829,125.017,321.607,-179.516,-0.78540,-1.661,1.651,-1.180,1.180,1.848
3903,113.944,321.607,-156.947,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,146.127,321.607,-155.513,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,154.015,321.607,-148.280,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,185.832,321.607,-148.956,-3.14159,-1.051,1.051,-1.500,1.500,1.765
20362,-42.101,321.607,-585.559,-3.14159,-0.708,0.721,-0.520,0.565,1.181
20362,-41.208,321.607,-585.563,1.02094,-0.708,0.720,-0.520,0.565,1.180
9326,-41.496,321.607,-585.047,-1.57080,-0.221,0.222,-0.211,0.211,0.768
6334,-40.422,321.607,-584.807,-2.94718,-0.259,0.259,-0.134,0.134,0.358
21498,-42.727,321.607,-584.615,-0.78540,-0.218,0.440,-0.578,0.924,0.708
9327,-39.269,321.607,-585.586,-3.14159,-1.566,1.585,-0.441,0.443,0.208
8063,-37.771,321.607,-585.624,2.11380,-0.193,0.193,-0.151,0.213,0.357
3903,177.459,321.607,-148.710,0.78540,-1.051,1.051,-1.500,1.500,1.765
23963,30.561,320.950,-199.004,1.49377,-0.361,0.267,-0.262,0.390,1.332
23963,32.733,320.447,-198.994,-1.48289,-0.361,0.267,-0.262,0.390,1.332
23963,35.508,320.849,-198.952,0.08790,-0.361,0.267,-0.262,0.390,1.332
23963,37.647,320.849,-199.175,1.70399,-0.361,0.267,-0.262,0.390,1.332
23963,39.706,320.849,-199.417,1.70399,-0.361,0.267,-0.263,0.390,1.332
23963,41.794,320.849,-199.748,2.17200,-0.361,0.267,-0.263,0.390,1.332
7087,22.750,319.750,-195.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,11.199,319.717,-192.515,0.16860,-2.867,2.867,-2.867,2.867,1.109
23959,165.499,320.983,-131.041,-0.78540,-0.438,0.579,-0.309,0.424,1.101
23959,164.558,320.983,-131.992,-2.35619,-0.438,0.579,-0.309,0.424,1.101
23959,163.675,320.871,-132.757,-2.35619,-0.438,0.579,-0.309,0.424,1.101
23959,166.136,320.475,-126.988,-2.35619,-0.438,0.579,-0.309,0.424,1.101
23959,172.186,320.475,-126.291,-3.14159,-0.438,0.579,-0.309,0.424,1.101
23959,171.314,320.811,-131.923,-0.78540,-0.438,0.579,-0.309,0.424,1.101
23959,169.802,320.779,-131.161,-0.78540,-0.438,0.579,-0.309,0.424,1.101
23959,163.930,320.750,-126.371,0.78540,-0.438,0.579,-0.309,0.424,1.101
23959,169.329,320.608,-126.428,0.78540,-0.438,0.579,-0.309,0.424,1.101
10420,64.736,320.704,-152.309,-1.57080,-1.114,1.114,-2.053,-0.734,1.508
7465,66.668,322.910,-157.740,-1.57080,-0.619,0.619,-0.062,0.212,0.428
7743,66.668,322.910,-155.490,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,66.668,322.694,-156.615,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7743,69.269,322.910,-147.854,-1.03740,-0.619,0.619,-0.062,0.212,0.428
7744,68.697,322.694,-148.823,-1.03740,-0.619,0.619,-0.062,0.212,0.428
7465,68.125,322.910,-149.792,-1.03740,-0.619,0.619,-0.062,0.212,0.428
10515,-5.060,320.346,-152.024,0.00000,-2.473,0.195,-1.512,1.517,1.109
10515,-5.027,320.346,-148.036,0.00000,-2.473,0.195,-1.512,1.517,1.109
10515,-5.146,320.346,-156.073,0.00000,-2.473,0.195,-1.512,1.517,1.109
