classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
25259,37.000,273.500,-388.000,-1.57062,-0.376,0.376,-0.358,0.358,1.196
25259,-26.500,273.250,-388.000,-1.57061,-0.376,0.376,-0.358,0.358,1.196
25638,35.250,268.500,-380.750,2.25126,-1.947,1.954,-1.676,1.667,0.916
25637,28.464,268.500,-392.276,-0.78533,-1.561,1.565,-1.712,1.702,0.662
25636,-35.541,268.499,-386.408,-1.57068,-1.927,1.950,-0.924,1.688,0.315
25635,-29.760,268.499,-390.665,0.00000,-1.302,1.502,-0.698,1.123,0.680
3861,5.000,268.668,-377.656,-0.67531,-0.162,0.269,-0.444,1.097,1.610
3860,-13.999,268.498,-374.748,0.00000,-1.018,0.854,-0.796,1.035,1.438
3829,5.703,269.051,-377.733,0.89540,-0.756,0.756,-2.224,2.224,0.490
20655,-39.250,268.500,-371.500,0.00000,-1.046,0.954,-0.986,1.328,1.000
11295,34.645,268.500,-385.618,-0.58934,-1.012,0.988,-1.124,1.288,1.000
11296,-40.750,268.500,-374.500,0.00000,-1.091,0.908,-0.956,1.273,1.000
25638,-16.107,268.491,-406.098,3.03669,-1.947,1.954,-1.676,1.667,0.916
25635,4.423,270.463,-415.622,-1.86404,-1.302,1.502,-0.698,1.123,0.680
7703,3.813,268.240,-425.130,0.00001,-2.150,2.143,-0.773,0.841,1.261
7705,-1.027,268.271,-433.162,0.00001,-1.333,1.301,-0.755,0.841,1.244
11285,11.051,268.444,-440.175,1.57073,-1.558,1.537,-1.339,1.191,0.852
11284,0.689,268.278,-425.040,3.14158,-1.333,1.441,-0.755,0.899,1.209
7705,6.378,268.271,-439.008,0.00001,-1.333,1.301,-0.755,0.841,1.244
20361,-4.440,268.500,-434.807,-3.04377,-0.708,0.721,-0.520,0.565,1.181
25638,-10.988,269.136,-398.803,-2.45746,-1.947,1.954,-1.676,1.667,0.916
25636,-12.069,268.417,-400.560,0.00001,-1.927,1.950,-0.924,1.688,0.315
26534,-4.767,268.985,-377.014,-2.35587,-1.687,1.687,-0.750,0.750,0.917
8014,-9.938,268.675,-383.883,-2.35612,-0.244,0.215,-0.540,0.276,1.679
20373,35.000,268.499,-361.002,-1.57074,-0.781,0.778,-0.777,0.757,1.292
20373,33.228,268.499,-360.704,-1.57074,-0.781,0.778,-0.777,0.757,1.292
20372,32.821,268.870,-363.036,2.35613,-0.382,0.382,-0.382,0.382,1.292
8072,17.820,268.499,-425.728,1.57073,-0.395,0.395,-0.665,0.665,1.863
9327,20.252,268.499,-425.460,1.57073,-1.566,1.585,-0.441,0.443,0.208
7083,-11.469,269.996,-434.962,-1.57073,-0.155,0.174,-0.149,0.212,0.713
8020,-11.498,268.499,-434.747,-1.57073,-0.646,0.645,-0.341,0.345,1.791
8013,-11.520,269.996,-434.513,1.57073,-0.122,0.123,-0.182,0.159,0.402
8071,15.531,268.499,-428.640,1.57073,-0.313,0.313,-0.833,0.833,1.163
7705,-9.561,268.271,-442.440,-1.57073,-1.333,1.301,-0.755,0.841,1.244
11285,-10.833,268.499,-441.563,1.57073,-1.558,1.537,-1.339,1.191,0.852
20375,20.002,268.499,-438.245,1.57073,-0.774,0.782,-0.763,0.773,1.292
20361,20.002,268.499,-439.995,1.57073,-0.708,0.720,-0.520,0.565,1.181
9302,-18.748,268.499,-425.247,0.26566,-1.332,1.090,-0.499,0.511,1.017
20655,-32.000,268.500,-360.000,-1.57071,-1.046,0.954,-0.986,1.328,1.000
9302,-19.498,268.499,-428.997,0.00001,-1.332,1.090,-0.499,0.511,1.017
9302,-12.998,268.499,-425.247,-2.93876,-1.332,1.090,-0.500,0.511,1.017
9302,-12.748,268.499,-429.747,2.91343,-1.332,1.090,-0.500,0.511,1.017
9302,-19.498,268.499,-432.997,-0.29048,-1.332,1.090,-0.499,0.511,1.017
20654,28.617,268.500,-391.104,-3.14159,-0.874,1.126,-1.002,1.010,1.000
25636,36.101,268.497,-385.507,-1.91676,-1.927,1.950,-0.924,1.688,0.315
25635,12.847,268.500,-403.897,-3.07832,-1.302,1.502,-0.698,1.123,0.680
21045,-11.677,268.499,-426.420,1.57074,-0.244,0.215,-0.540,0.276,1.679
21045,-11.684,268.499,-428.300,1.57074,-0.244,0.215,-0.540,0.276,1.679
21045,-20.142,268.499,-425.748,-1.21245,-0.244,0.215,-0.540,0.276,1.679
21045,-20.562,268.499,-430.145,-1.57074,-0.244,0.215,-0.540,0.276,1.679
21045,-20.313,268.499,-432.191,-2.01460,-0.244,0.215,-0.540,0.276,1.679
6334,-11.510,268.676,-434.592,1.57074,-0.259,0.259,-0.134,0.134,0.358
21498,11.399,268.499,-429.962,0.00001,-0.218,0.440,-0.578,0.924,0.708
8063,-20.850,268.499,-435.297,1.57074,-0.193,0.193,-0.151,0.213,0.357
7082,-11.643,268.499,-436.192,1.57074,-0.414,0.411,-0.378,0.385,0.521
7082,-11.643,269.020,-436.192,1.73032,-0.414,0.411,-0.378,0.385,0.521
11303,5.498,268.499,-441.902,1.28350,-0.989,1.002,-1.919,1.082,1.052
20337,-31.838,273.300,-404.010,0.00000,-0.560,0.708,-0.264,0.276,0.684
25259,-5.500,273.250,-284.000,0.00000,-0.376,0.376,-0.358,0.358,1.196
21046,8.209,268.498,-300.071,1.57074,-0.244,0.215,-0.540,0.276,1.679
8009,8.549,268.498,-300.053,-3.14159,-1.512,0.493,-0.393,0.384,1.895
8009,-8.549,268.498,-299.945,0.00000,-1.512,0.493,-0.393,0.384,1.895
21046,-8.209,268.498,-299.927,-1.57074,-0.244,0.215,-0.540,0.276,1.679
8009,-8.549,268.498,-267.946,0.00000,-1.512,0.493,-0.393,0.384,1.895
21046,-8.209,268.498,-267.929,-1.57075,-0.244,0.215,-0.540,0.276,1.679
8009,8.550,268.498,-268.055,-3.14159,-1.512,0.493,-0.393,0.384,1.895
21046,8.210,268.498,-268.072,1.57075,-0.244,0.215,-0.540,0.276,1.679
26534,13.906,268.997,-440.561,1.29918,-1.687,1.687,-0.750,0.750,0.917
26534,11.002,268.499,-433.997,-1.57075,-1.687,1.687,-0.750,0.750,0.917
20361,13.386,268.499,-442.845,1.57075,-0.708,0.720,-0.520,0.565,1.181
3768,-54.005,252.002,-256.000,-3.14159,-2.000,2.000,-2.000,2.000,8.000
3768,-74.002,252.002,-256.000,1.57073,-2.000,2.000,-2.000,2.000,8.000
3768,-54.005,252.002,-280.000,-1.57073,-2.000,2.000,-2.000,2.000,8.000
3768,-74.002,252.002,-280.000,0.00000,-2.000,2.000,-2.000,2.000,8.000
3768,-50.005,252.002,-288.000,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-50.005,256.002,-297.995,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-50.005,260.001,-307.995,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.002,252.002,-288.000,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.002,256.002,-297.995,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.002,260.001,-307.995,-1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.002,252.002,-248.002,1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.002,256.002,-238.003,1.57074,-2.000,2.000,-2.000,2.000,8.000
3768,-78.001,260.001,-228.005,1.57074,-2.000,2.000,-2.000,2.000,8.000
