classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
25397,93.641,39.997,-27.147,0.00000,-0.975,1.062,-0.695,1.615,1.248
25458,93.126,39.997,-24.811,-2.35619,-0.680,1.076,-0.938,1.040,1.628
25465,93.670,39.997,-21.098,-1.57080,-2.542,2.251,-1.042,2.023,1.768
25467,97.306,39.997,-31.243,-2.35619,-1.365,2.369,-1.560,1.256,1.118
10773,123.036,48.524,67.630,1.57075,-1.862,2.676,-1.631,1.329,1.960
25399,115.014,48.500,13.168,-2.35619,-0.819,0.771,-0.736,0.759,1.136
25462,120.137,48.500,19.551,-0.78540,-1.101,1.262,-1.007,2.262,1.639
25462,119.299,48.500,23.400,-1.57080,-1.101,1.262,-1.007,2.262,1.639
25462,121.568,48.500,25.158,1.30068,-1.101,1.262,-1.007,2.262,1.639
25462,123.838,48.500,28.975,-0.27011,-1.101,1.262,-1.007,2.262,1.639
25462,121.222,48.500,27.841,2.08608,-1.101,1.262,-1.007,2.262,1.639
25462,123.866,48.500,21.633,0.78540,-1.101,1.262,-1.007,2.262,1.639
25397,110.364,48.500,44.373,0.00000,-0.975,1.062,-0.695,1.615,1.248
25458,77.397,48.500,37.856,1.57080,-0.680,1.076,-0.938,1.040,1.628
25402,75.787,48.500,37.770,-1.57080,-1.818,1.646,-0.990,1.057,1.313
25402,75.793,48.500,47.876,1.57080,-1.818,1.646,-0.990,1.057,1.313
25458,77.600,48.500,47.861,-2.35619,-0.680,1.076,-0.938,1.040,1.628
25467,76.298,48.500,56.026,1.57080,-1.365,2.369,-1.560,1.256,1.118
25462,69.575,48.500,57.360,-0.78540,-1.101,1.262,-1.007,2.262,1.639
25462,70.495,48.500,60.500,0.78540,-1.101,1.262,-1.007,2.262,1.639
25462,69.691,48.500,46.533,-0.99982,-1.101,1.262,-1.007,2.262,1.639
25462,69.922,48.500,49.797,0.57098,-1.101,1.262,-1.007,2.262,1.639
25462,71.781,48.500,48.306,2.14177,-1.101,1.262,-1.007,2.262,1.639
25399,167.570,48.500,65.527,0.00000,-0.819,0.771,-0.736,0.759,1.136
25462,174.536,48.500,62.454,0.00000,-1.101,1.262,-1.007,2.262,1.639
25397,175.246,48.500,74.682,-3.14159,-0.975,1.062,-0.695,1.615,1.248
25465,167.321,48.500,70.496,0.78540,-2.542,2.251,-1.042,2.023,1.768
25399,171.172,48.500,63.703,-0.78540,-0.819,0.771,-0.736,0.759,1.136
25462,166.029,48.500,80.225,1.57080,-1.101,1.262,-1.007,2.262,1.639
25462,165.150,48.500,82.062,-0.78540,-1.101,1.262,-1.007,2.262,1.639
25467,166.213,48.500,85.747,-1.24269,-1.365,2.369,-1.560,1.256,1.118
25462,206.870,48.423,104.499,-2.35619,-1.101,1.262,-1.007,2.262,1.639
25399,207.696,48.423,101.572,-3.14159,-0.819,0.771,-0.736,0.759,1.136
25465,208.839,48.910,97.802,1.57080,-2.542,2.251,-1.042,2.023,1.768
25397,184.905,48.500,102.700,2.35620,-0.975,1.062,-0.695,1.615,1.248
25462,176.276,48.410,106.705,-2.35619,-1.101,1.262,-1.007,2.262,1.639
25399,177.100,48.500,103.528,-3.14159,-0.819,0.771,-0.736,0.759,1.136
25399,176.192,48.500,93.175,-0.78540,-0.819,0.771,-0.736,0.759,1.136
25462,172.579,48.410,97.604,2.35620,-1.101,1.262,-1.007,2.262,1.639
25402,171.891,48.500,146.262,-3.14159,-1.818,1.646,-0.990,1.057,1.313
25462,161.735,48.500,148.090,1.57080,-1.101,1.262,-1.007,2.262,1.639
