classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3887,-369.097,218.462,-447.450,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,-353.113,218.355,-427.217,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,-365.542,212.265,-390.643,0.00000,-0.583,0.583,-0.583,0.583,1.838
6407,-67.045,264.340,136.127,1.66515,-0.747,0.608,-0.176,0.179,1.491
3829,-347.675,219.419,-183.993,0.00000,-0.756,0.756,-2.224,2.224,0.491
3860,-344.639,217.053,-191.130,0.00000,-1.018,0.854,-0.796,1.035,1.438
3861,-347.948,216.857,-197.858,-1.96553,-0.162,0.269,-0.444,1.097,1.610
3860,-330.147,216.405,-190.830,3.86903,-1.018,0.854,-0.796,1.035,1.438
6972,-406.964,168.829,-416.257,0.00000,-1.136,1.730,-1.452,1.096,1.360
6972,-414.515,164.767,-407.616,-0.05689,-1.136,1.730,-1.452,1.096,1.360
6407,-413.747,163.243,-398.574,0.00000,-0.747,0.608,-0.176,0.179,1.491
6972,-407.733,165.382,-401.946,-0.82564,-1.136,1.730,-1.452,1.096,1.360
6178,-410.789,164.118,-395.465,0.52440,-0.390,0.386,-0.178,0.179,0.234
6179,-411.750,163.579,-396.742,0.00000,-0.308,0.282,-0.258,0.282,0.485
6334,-337.268,221.758,-444.258,2.29311,-0.259,0.259,-0.134,0.134,0.358
6962,-435.809,163.198,-282.403,0.00000,-0.836,0.924,-0.900,0.848,1.267
6970,-434.943,163.628,-273.140,0.00000,-0.669,0.683,-0.768,0.778,1.352
6971,-438.625,167.637,-263.604,0.00000,-0.645,0.660,-0.625,0.680,1.169
6972,-449.838,169.898,-275.318,-0.63490,-1.136,1.730,-1.452,1.096,1.360
6407,-419.120,162.811,-318.139,0.00000,-0.747,0.608,-0.176,0.179,1.491
3903,-24.336,258.892,54.797,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-26.476,258.892,54.789,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-25.413,260.689,54.684,-1.57080,-1.051,1.051,-1.500,1.500,1.765
6972,-7.153,263.761,104.914,0.20123,-1.136,1.730,-1.452,1.096,1.360
6971,-21.227,262.127,95.940,0.00000,-0.645,0.660,-0.625,0.680,1.169
6970,-11.088,261.841,96.660,0.25345,-0.669,0.683,-0.768,0.778,1.352
6962,-8.367,262.708,95.417,0.64820,-0.836,0.923,-0.900,0.848,1.267
6407,42.142,267.455,195.540,0.00000,-0.747,0.608,-0.176,0.179,1.491
6407,-84.224,269.796,226.125,-2.19606,-0.747,0.608,-0.176,0.179,1.491
6407,96.693,269.011,270.161,0.00000,-0.747,0.608,-0.176,0.179,1.491
6407,110.049,268.639,251.773,0.00000,-0.747,0.608,-0.176,0.179,1.491
6407,111.798,269.329,135.849,0.00000,-0.747,0.608,-0.176,0.179,1.491
6407,213.125,267.031,183.715,0.00000,-0.747,0.608,-0.176,0.179,1.491
7136,-335.528,221.699,-441.198,1.61807,-0.553,0.553,-0.287,0.292,1.090
3887,271.202,254.907,97.006,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,274.177,255.312,88.742,-1.65451,-0.583,0.583,-0.583,0.583,1.838
7702,342.197,258.758,105.690,-0.76714,-0.635,0.635,-0.419,0.419,0.246
7699,342.563,258.854,106.664,0.00000,-0.394,0.394,-0.290,0.290,0.765
7701,341.757,258.885,105.942,-0.61552,-0.552,0.560,-0.366,0.258,0.872
7703,333.111,258.489,94.416,1.05351,-2.150,2.143,-0.773,0.841,1.261
7705,348.735,258.618,112.595,0.00000,-1.333,1.301,-0.755,0.841,1.244
7703,-347.725,221.017,-432.616,-0.99300,-2.150,2.143,-0.773,0.841,1.261
7703,-346.212,221.148,-428.346,-1.41351,-2.150,2.143,-0.773,0.841,1.261
7703,-346.310,221.734,-423.761,-1.70100,-2.150,2.143,-0.773,0.841,1.261
7703,-344.784,222.635,-408.670,1.50257,-2.150,2.143,-0.773,0.841,1.261
7703,-275.675,228.158,-116.542,-1.39637,-2.150,2.143,-0.773,0.841,1.261
7702,-271.448,228.269,-113.367,0.00000,-0.635,0.635,-0.419,0.419,0.246
7701,-270.372,228.045,-113.670,1.68911,-0.552,0.560,-0.366,0.258,0.872
7699,-270.538,228.295,-114.402,0.00000,-0.394,0.394,-0.290,0.290,0.765
7705,-275.237,229.340,-114.682,-1.35763,-1.333,1.301,-0.755,0.841,1.244
7703,-266.688,229.299,-96.068,-1.08512,-2.150,2.143,-0.773,0.841,1.261
7703,-192.516,276.228,287.861,-0.92528,-2.150,2.143,-0.773,0.841,1.261
7703,-189.808,276.840,291.710,-0.86871,-2.150,2.143,-0.773,0.841,1.261
7703,-187.001,277.434,294.945,-0.84928,-2.150,2.143,-0.773,0.841,1.261
7703,-183.726,277.623,298.372,-0.70837,-2.150,2.143,-0.773,0.841,1.261
7703,-180.275,277.549,300.983,-0.50950,-2.150,2.143,-0.773,0.841,1.261
7705,-179.177,275.807,272.242,0.00000,-1.333,1.301,-0.755,0.841,1.244
7705,-182.096,275.554,273.002,0.90693,-1.333,1.301,-0.755,0.841,1.244
7699,-180.104,275.934,283.046,-1.20821,-0.394,0.394,-0.290,0.290,0.765
7701,-179.877,275.824,273.276,2.98619,-0.552,0.560,-0.366,0.258,0.872
7703,156.288,233.052,-265.954,-0.43130,-2.150,2.143,-0.773,0.841,1.261
7703,-800.869,281.267,352.415,1.01599,-2.150,2.143,-0.773,0.841,1.261
