classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10775,42.610,237.299,-84.883,1.75463,-0.839,0.838,-0.845,0.813,1.634
10775,37.316,236.500,-85.195,1.48176,-0.839,0.838,-0.845,0.813,1.634
9327,50.337,224.500,-14.897,-1.96350,-1.566,1.585,-0.441,0.443,0.208
9327,48.207,224.500,-15.151,-1.48638,-1.566,1.585,-0.441,0.443,0.208
9327,45.309,224.500,-14.656,-1.64858,-1.566,1.585,-0.441,0.443,0.208
8078,46.675,224.500,-14.514,-0.06845,-0.350,0.350,-0.509,0.509,0.858
20363,50.969,224.500,-25.176,-0.35624,-0.708,0.721,-0.520,0.565,1.181
20372,48.892,224.500,-25.396,-2.44924,-0.382,0.382,-0.382,0.382,1.292
20372,48.338,224.872,-26.108,-2.13166,-0.382,0.382,-0.382,0.382,1.292
20362,40.188,224.500,-21.478,1.65621,-0.708,0.721,-0.520,0.565,1.181
8078,44.166,224.500,-23.701,-0.70540,-0.350,0.350,-0.509,0.509,0.858
10777,4.050,224.504,-31.400,-0.65214,-0.417,0.417,-0.734,0.660,1.136
10777,4.095,225.484,-31.436,-0.65214,-0.417,0.417,-0.734,0.660,1.136
10772,2.522,225.082,-33.848,-3.97120,-0.500,0.500,-0.544,0.600,1.628
10773,5.575,224.535,64.567,1.57080,-1.862,2.676,-1.631,1.329,1.960
10775,-10.691,224.500,0.247,2.35620,-0.839,0.838,-0.845,0.813,1.634
10777,-4.604,224.504,7.519,0.64215,-0.417,0.417,-0.734,0.660,1.136
10770,-35.906,224.500,88.841,-0.51985,-0.658,0.658,-1.429,1.429,0.317
10770,-28.652,224.500,92.612,1.37043,-0.658,0.658,-1.429,1.429,0.317
10775,-31.148,224.500,74.481,2.35620,-0.839,0.838,-0.845,0.813,1.634
20850,-36.247,224.500,59.360,2.48711,-0.400,0.402,-0.506,0.730,1.500
10777,37.139,224.500,113.570,0.78540,-0.417,0.417,-0.734,0.660,1.136
10777,37.116,225.507,113.533,0.78540,-0.417,0.417,-0.734,0.660,1.136
10770,38.164,224.500,111.549,0.59687,-0.658,0.658,-1.429,1.429,0.317
10775,35.121,224.500,149.375,-2.67554,-0.839,0.838,-0.845,0.813,1.634
10777,34.051,224.980,149.132,0.43301,-0.417,0.417,-0.734,0.660,1.136
10788,-16.686,225.132,74.057,0.80093,-1.329,1.328,-0.694,0.646,1.045
20362,38.707,224.500,-16.571,0.95727,-0.708,0.721,-0.520,0.565,1.181
20362,39.123,224.500,-22.714,2.32008,-0.708,0.721,-0.520,0.565,1.181
10775,-10.603,224.500,91.566,2.99682,-0.839,0.838,-0.845,0.813,1.634
10775,3.337,224.500,41.742,-0.93017,-0.839,0.838,-0.845,0.813,1.634
10775,-28.411,232.500,122.745,1.12220,-0.839,0.838,-0.845,0.813,1.634
10777,-29.255,232.500,108.223,-1.16937,-0.417,0.417,-0.734,0.660,1.136
10777,-29.255,233.499,108.223,-1.16937,-0.417,0.417,-0.734,0.660,1.136
10775,-28.448,233.334,110.262,1.57078,-0.839,0.838,-0.845,0.813,1.634
10772,-44.609,232.500,130.378,0.27937,-0.500,0.500,-0.544,0.600,1.628
20850,37.870,224.500,112.525,-2.31585,-0.400,0.402,-0.506,0.730,1.500
10770,-22.928,224.500,88.640,0.38019,-0.658,0.658,-1.429,1.429,0.317
10772,5.836,224.500,-15.318,0.60002,-0.500,0.500,-0.544,0.600,1.628
23885,5.690,226.599,-14.171,0.00000,-0.613,0.613,-0.192,0.053,0.321
23886,4.828,226.619,-14.624,-0.52360,-0.365,0.365,-0.192,0.053,0.321
20853,-5.580,224.500,9.211,0.82910,-1.148,1.142,-2.138,2.190,1.884
10777,-3.975,224.500,6.507,0.13991,-0.417,0.417,-0.734,0.660,1.136
10777,-3.979,225.503,6.475,0.13990,-0.417,0.417,-0.734,0.660,1.136
10772,4.728,224.979,176.742,-2.29898,-0.500,0.500,-0.544,0.600,1.628
10772,-10.896,224.500,187.201,-2.86494,-0.500,0.500,-0.544,0.600,1.628
10772,5.619,224.991,188.741,0.99118,-0.500,0.500,-0.544,0.600,1.628
10775,-90.249,241.094,84.716,0.40503,-0.839,0.838,-0.845,0.813,1.634
10775,-90.931,240.500,86.749,-0.45148,-0.839,0.838,-0.845,0.813,1.634
23885,-40.169,250.786,100.843,0.00000,-0.613,0.613,-0.192,0.053,0.321
10772,-40.360,248.500,97.184,1.32772,-0.500,0.500,-0.544,0.600,1.628
10788,-35.878,248.500,99.474,-2.39093,-1.329,1.328,-0.694,0.646,1.045
20850,-32.139,248.549,93.036,-2.67713,-0.400,0.402,-0.506,0.730,1.500
10772,-35.587,248.500,101.782,0.00000,-0.500,0.500,-0.544,0.600,1.628
10770,-48.000,248.549,90.463,-1.63306,-0.658,0.658,-1.429,1.429,0.317
10770,-47.892,248.549,94.963,-1.42241,-0.658,0.658,-1.429,1.429,0.317
10777,-47.781,248.549,91.933,-1.15705,-0.417,0.417,-0.734,0.660,1.136
10777,-48.350,248.549,93.822,-1.37602,-0.417,0.417,-0.734,0.660,1.136
10777,-48.350,249.532,93.822,-1.37602,-0.417,0.417,-0.734,0.660,1.136
10770,-32.850,248.549,84.597,1.74119,-0.658,0.658,-1.429,1.429,0.317
10777,-32.481,248.549,82.891,1.66884,-0.417,0.417,-0.734,0.660,1.136
10777,-32.616,248.549,81.484,1.64080,-0.417,0.417,-0.734,0.660,1.136
10777,-33.043,248.549,78.694,1.64080,-0.417,0.417,-0.734,0.660,1.136
10770,-33.679,248.549,80.049,1.71917,-0.658,0.658,-1.429,1.429,0.317
10772,81.111,248.500,-46.556,0.00000,-0.500,0.500,-0.544,0.600,1.628
10772,81.198,248.971,-33.859,-0.01346,-0.500,0.500,-0.544,0.600,1.628
10772,98.289,248.757,-44.169,0.28702,-0.500,0.500,-0.544,0.600,1.628
10772,108.566,249.070,-37.203,-0.56428,-0.500,0.500,-0.544,0.600,1.628
10772,104.115,248.500,-50.019,0.59218,-0.500,0.500,-0.544,0.600,1.628
20850,-46.048,248.760,100.272,3.07784,-0.400,0.402,-0.506,0.730,1.500
20850,-47.147,248.549,101.506,-3.00237,-0.400,0.402,-0.506,0.730,1.500
10772,7.832,248.500,100.640,2.11311,-0.500,0.500,-0.544,0.600,1.628
20850,16.372,248.549,94.739,-2.81161,-0.400,0.402,-0.506,0.730,1.500
10770,0.060,248.549,94.482,-1.42241,-0.658,0.658,-1.429,1.429,0.317
10777,-0.281,248.549,93.096,-1.50079,-0.417,0.417,-0.734,0.660,1.136
10770,0.853,248.549,90.762,-1.42241,-0.658,0.658,-1.429,1.429,0.317
10770,0.764,248.549,87.595,-0.56063,-0.658,0.658,-1.429,1.429,0.317
10777,15.043,248.500,88.613,0.62509,-0.417,0.417,-0.734,0.660,1.136
10777,15.043,249.513,88.613,0.62509,-0.417,0.417,-0.734,0.660,1.136
10777,15.019,250.514,88.585,0.62509,-0.417,0.417,-0.734,0.660,1.136
20853,14.572,248.500,84.795,2.82173,-1.148,1.142,-2.138,2.190,1.884
10788,73.246,240.500,29.699,-1.60562,-1.329,1.328,-0.694,0.646,1.045
10788,73.578,240.500,34.054,-1.66621,-1.329,1.328,-0.694,0.646,1.045
10789,68.422,240.500,31.302,0.00000,-1.365,1.365,-0.698,0.689,0.945
10789,68.424,240.500,32.682,-3.14159,-1.365,1.365,-0.698,0.689,0.945
10772,67.766,240.500,29.909,-2.60008,-0.500,0.500,-0.544,0.600,1.628
10772,69.296,240.500,34.244,0.54151,-0.500,0.500,-0.544,0.600,1.628
10772,79.079,240.500,34.553,-2.60008,-0.500,0.500,-0.544,0.600,1.628
10772,70.264,240.500,27.218,-2.60008,-0.500,0.500,-0.544,0.600,1.628
10775,77.812,240.549,40.230,-1.53199,-0.839,0.838,-0.845,0.813,1.634
10777,66.779,240.500,27.375,2.23574,-0.417,0.417,-0.734,0.660,1.136
10777,66.208,240.500,26.371,1.91307,-0.417,0.417,-0.734,0.660,1.136
20850,65.825,240.500,39.205,-1.21599,-0.400,0.402,-0.506,0.730,1.500
10775,41.069,244.500,67.245,-2.17153,-0.839,0.838,-0.845,0.813,1.634
10775,42.463,244.500,65.561,-2.14289,-0.839,0.838,-0.845,0.813,1.634
10775,42.175,246.104,66.827,-2.17166,-0.839,0.838,-0.845,0.813,1.634
10775,71.460,240.549,41.183,-2.39153,-0.839,0.838,-0.845,0.813,1.634
10777,75.945,242.134,41.127,0.61891,-0.417,0.417,-0.734,0.660,1.136
10777,75.936,243.131,41.122,0.61891,-0.417,0.417,-0.734,0.660,1.136
10777,43.034,244.908,63.128,-0.33591,-0.417,0.417,-0.734,0.660,1.136
10772,-9.622,248.518,42.754,1.40738,-0.500,0.500,-0.544,0.600,1.628
23885,-11.455,250.563,44.094,-1.57079,-0.613,0.613,-0.192,0.053,0.321
23885,-11.455,251.627,44.094,-1.57079,-0.613,0.613,-0.192,0.053,0.321
23886,-11.003,250.583,43.232,-2.09439,-0.365,0.365,-0.192,0.053,0.321
20853,-5.003,248.500,43.943,2.52123,-1.148,1.142,-2.138,2.190,1.884
10775,13.555,248.500,50.214,-1.87172,-0.839,0.838,-0.845,0.813,1.634
10777,13.316,248.500,45.339,1.98139,-0.417,0.417,-0.734,0.660,1.136
10777,13.217,249.461,45.405,1.98139,-0.417,0.417,-0.734,0.660,1.136
10777,13.907,248.691,46.362,2.05840,-0.417,0.417,-0.734,0.660,1.136
20850,14.464,248.500,46.784,-0.97991,-0.400,0.402,-0.506,0.730,1.500
10775,-20.296,248.500,60.919,-1.17211,-0.839,0.838,-0.845,0.813,1.634
10777,-3.234,248.500,44.499,-2.21068,-0.417,0.417,-0.734,0.660,1.136
10788,38.400,256.500,16.905,1.07669,-1.329,1.328,-0.694,0.646,1.045
10772,41.286,257.069,18.340,1.38529,-0.500,0.500,-0.544,0.600,1.628
20850,43.464,256.500,17.617,-2.63340,-0.400,0.402,-0.506,0.730,1.500
20850,43.526,256.630,20.522,-1.74451,-0.400,0.402,-0.506,0.730,1.500
10777,42.976,256.500,0.639,-3.06483,-0.417,0.417,-0.734,0.660,1.136
10777,40.172,256.500,-0.231,2.27013,-0.417,0.417,-0.734,0.660,1.136
10775,39.303,256.500,-3.175,-0.98304,-0.839,0.838,-0.845,0.813,1.634
23885,-45.892,234.524,131.542,-0.59241,-0.613,0.613,-0.192,0.053,0.321
23886,-45.771,235.589,131.623,-0.59241,-0.365,0.365,-0.192,0.053,0.321
23886,-46.354,234.544,130.685,-1.11601,-0.365,0.365,-0.192,0.053,0.321
10790,15.596,224.500,193.181,-2.35619,-1.216,1.215,-0.492,0.381,1.178
10770,18.688,224.500,194.417,0.07290,-0.658,0.658,-1.429,1.429,0.317
10772,13.920,224.500,193.335,-0.54534,-0.500,0.500,-0.544,0.600,1.628
