classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20362,430.106,72.684,132.334,-0.75990,-0.708,0.721,-0.520,0.565,1.181
9327,432.353,72.557,133.084,0.12781,-1.566,1.585,-0.441,0.443,0.208
9327,432.596,72.397,130.803,-0.99245,-1.566,1.585,-0.441,0.443,0.208
20362,435.667,72.542,132.943,-2.75414,-0.708,0.721,-0.520,0.565,1.181
11284,426.466,73.889,130.584,-0.14798,-1.333,1.440,-0.755,0.899,1.209
11318,427.641,73.569,129.256,0.00598,-1.527,2.576,-0.957,0.348,0.340
7702,426.027,73.843,128.490,-0.06395,-0.635,0.635,-0.419,0.419,0.246
9304,430.892,72.033,132.146,-0.78536,-0.143,0.143,-0.169,0.197,1.641
20372,429.056,73.001,131.740,0.03224,-0.382,0.382,-0.382,0.382,1.292
20362,430.153,73.799,132.443,0.67623,-0.708,0.720,-0.520,0.565,1.181
8062,432.287,72.480,132.209,0.01581,-0.206,0.206,-0.144,0.144,0.661
9303,430.384,72.663,131.287,-0.87180,-0.201,0.200,-0.225,0.225,0.376
20362,433.956,72.007,128.428,0.90952,-0.708,0.721,-0.520,0.565,1.181
20363,424.429,74.447,129.412,-1.18864,-0.708,0.720,-0.520,0.565,1.181
8063,434.917,71.969,128.850,0.06072,-0.193,0.193,-0.151,0.213,0.357
8063,428.507,73.329,130.553,1.78374,-0.193,0.193,-0.151,0.213,0.357
9303,-81.622,87.962,-73.543,-0.20429,-0.201,0.201,-0.225,0.225,0.376
6334,-80.213,88.063,-71.221,-0.96893,-0.259,0.259,-0.134,0.134,0.358
20655,-80.144,88.285,-69.205,0.00000,-1.046,0.954,-0.986,1.328,1.000
7082,-79.218,88.629,-67.541,0.58550,-0.414,0.411,-0.378,0.385,0.521
7702,-78.010,88.211,-70.160,0.02052,-0.635,0.635,-0.419,0.419,0.246
11318,-85.034,88.551,-70.369,-0.78540,-1.527,2.576,-0.957,0.348,0.340
11295,-83.299,88.090,-73.459,-0.78540,-1.012,0.988,-1.124,1.288,1.000
11284,-84.635,89.704,-83.155,0.01618,-1.333,1.441,-0.755,0.899,1.209
11285,-74.343,89.473,-83.488,0.05139,-1.558,1.537,-1.339,1.192,0.852
11318,-74.448,88.866,-80.063,-2.17064,-1.527,2.576,-0.957,0.348,0.340
20657,-74.200,89.453,-87.897,0.00000,-1.003,0.997,-0.950,1.309,1.000
11277,-72.570,89.754,-87.345,-1.09417,-0.174,0.174,-0.358,0.358,0.188
11277,-81.749,88.269,-68.941,-1.03489,-0.174,0.174,-0.358,0.358,0.188
20654,-84.867,89.923,-84.257,0.00978,-0.874,1.126,-1.002,1.010,1.000
11277,-84.038,89.671,-85.219,-0.17699,-0.174,0.174,-0.358,0.358,0.188
20655,-76.053,88.257,-97.766,-0.78540,-1.046,0.954,-0.986,1.328,1.000
11298,37.568,91.806,-212.039,-1.90024,-0.436,0.882,-0.339,0.318,0.571
20655,35.900,90.505,-205.683,-0.06791,-1.046,0.954,-0.986,1.328,1.000
11277,36.966,91.784,-212.053,1.75643,-0.174,0.174,-0.358,0.358,0.188
20655,-280.994,89.984,-172.606,0.10771,-1.046,0.954,-0.986,1.328,1.000
23175,311.088,105.276,288.633,0.00000,-0.991,1.009,-0.856,1.254,1.000
23174,312.909,105.276,283.589,-0.78540,-1.000,1.000,-1.000,1.000,1.000
20654,312.282,118.981,397.220,-0.71728,-0.874,1.126,-1.002,1.010,1.000
11296,309.944,119.383,391.566,-0.76897,-1.092,0.908,-0.956,1.273,1.000
