classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
23175,-464.480,40.591,6.714,-0.78523,-0.991,1.009,-0.856,1.254,1.000
23175,-439.972,60.823,-164.309,-0.78523,-0.991,1.009,-0.856,1.254,1.000
26375,-423.024,74.989,-107.991,0.00000,-1.000,1.000,-1.000,1.000,1.000
26375,-425.276,69.828,-123.256,0.00000,-1.000,1.000,-1.000,1.000,1.000
26375,-441.068,48.142,-115.794,0.00000,-1.000,1.000,-1.000,1.000,1.000
23174,-432.010,40.243,61.401,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-439.878,40.243,59.393,1.57054,-0.991,1.009,-0.856,1.254,1.000
23174,-411.089,40.243,58.294,-2.35606,-1.000,1.000,-1.000,1.000,1.000
23175,-295.774,100.812,24.078,-2.35635,-0.991,1.009,-0.856,1.254,1.000
26375,-360.994,96.238,85.644,0.00000,-1.000,1.000,-1.000,1.000,1.000
26375,-361.041,96.238,101.985,0.00000,-1.000,1.000,-1.000,1.000,1.000
26375,-358.433,96.238,102.209,0.00000,-1.000,1.000,-1.000,1.000,1.000
23174,-463.731,96.251,75.939,-0.78525,-1.000,1.000,-1.000,1.000,1.000
26375,-423.060,69.375,-124.416,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-423.773,80.250,100.213,0.73485,-0.991,1.009,-0.856,1.254,1.000
23174,-407.736,80.250,92.180,0.61764,-1.000,1.000,-1.000,1.000,1.000
23174,-215.982,20.817,-123.990,0.00000,-1.000,1.000,-1.000,1.000,1.000
23174,-210.066,0.261,-16.804,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-219.740,0.249,-20.443,0.00000,-0.991,1.009,-0.856,1.254,1.000
23175,-336.294,0.261,-19.441,-2.35610,-0.991,1.009,-0.856,1.254,1.000
26584,-439.994,80.231,89.259,-0.00000,-2.289,2.289,-0.540,0.540,1.450
26584,-408.005,80.231,89.267,-0.00000,-2.289,2.289,-0.540,0.540,1.450
26591,-272.000,104.268,74.036,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-266.000,104.671,79.786,-3.74636,-0.430,0.432,-0.431,0.431,1.265
26591,-262.250,104.268,68.286,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-278.000,104.243,68.286,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26650,-281.086,104.243,59.235,0.78540,-0.525,0.525,-1.181,1.069,1.169
26591,-281.125,100.828,19.301,0.32576,-0.430,0.432,-0.431,0.431,1.265
26591,-281.945,100.835,17.705,-0.45963,-0.430,0.432,-0.431,0.431,1.265
26591,-313.250,96.666,50.036,-5.64879,-0.430,0.432,-0.431,0.431,1.265
26591,-313.750,96.242,56.036,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-313.725,96.230,56.949,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26650,-314.533,96.230,69.554,-0.78540,-0.525,0.525,-1.181,1.069,1.169
26574,-310.962,96.242,68.591,0.00000,-1.856,1.916,-1.804,1.986,1.810
26584,-326.250,96.268,69.786,0.00000,-2.289,2.289,-0.540,0.540,1.450
26584,-337.750,96.268,69.786,0.00000,-2.289,2.289,-0.540,0.540,1.450
26511,-336.000,96.768,60.036,1.57080,-2.000,2.000,-0.788,0.788,1.295
26650,-318.500,96.268,53.286,-2.35619,-0.525,0.525,-1.181,1.069,1.169
26591,-362.599,96.691,50.175,-5.37295,-0.430,0.432,-0.431,0.431,1.265
26511,-360.641,96.230,74.201,-0.78540,-2.000,2.000,-0.788,0.788,1.295
26650,-361.360,96.231,111.131,0.78540,-0.525,0.525,-1.181,1.069,1.169
26592,-365.411,96.629,114.412,0.94589,-0.368,0.369,-0.337,0.337,1.586
26592,-372.533,96.231,118.201,0.00000,-0.368,0.369,-0.337,0.337,1.586
26584,-379.000,96.268,114.286,0.00000,-2.289,2.289,-0.540,0.540,1.450
26584,-389.000,96.268,114.286,0.00000,-2.289,2.289,-0.540,0.540,1.450
26591,-360.888,96.653,109.601,0.36989,-0.430,0.432,-0.431,0.431,1.265
26591,-358.138,96.671,107.457,1.94068,-0.430,0.432,-0.431,0.431,1.265
26574,-357.488,96.217,118.674,-0.78540,-1.856,1.916,-1.804,1.986,1.810
26650,-358.846,96.231,136.318,-2.35619,-0.525,0.525,-1.181,1.069,1.169
26650,-361.285,96.231,141.067,2.71570,-0.525,0.525,-1.181,1.069,1.169
26591,-373.250,96.268,134.036,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-378.250,96.268,129.786,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-379.179,96.268,130.304,2.35620,-0.430,0.432,-0.431,0.431,1.265
26591,-410.134,96.243,111.987,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26650,-410.103,96.231,117.340,2.35620,-0.525,0.525,-1.181,1.069,1.169
26591,-425.459,96.231,110.887,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-426.067,96.231,111.757,2.35620,-0.430,0.432,-0.431,0.431,1.265
26650,-439.120,96.243,117.301,2.35620,-0.525,0.525,-1.181,1.069,1.169
26650,-441.411,96.243,116.595,-3.14159,-0.525,0.525,-1.181,1.069,1.169
26591,-442.256,96.231,114.681,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-442.256,97.486,114.681,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-441.478,96.231,114.333,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-422.982,96.668,99.331,-0.58060,-0.430,0.432,-0.431,0.431,1.265
26591,-425.687,96.668,93.500,-2.98591,-0.430,0.432,-0.431,0.431,1.265
26591,-414.447,96.231,74.492,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-415.469,96.243,75.329,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-416.615,96.705,74.220,-0.82484,-0.430,0.432,-0.431,0.431,1.265
26591,-422.428,96.633,73.642,-1.61024,-0.430,0.432,-0.431,0.431,1.265
26650,-437.473,96.231,74.858,0.78540,-0.525,0.525,-1.181,1.069,1.169
26592,-474.115,96.521,86.232,-0.77862,-0.368,0.369,-0.337,0.337,1.586
26591,-473.826,96.242,84.755,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-470.040,96.230,89.024,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-485.936,96.231,109.207,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-489.543,96.254,140.926,-0.78540,-0.430,0.432,-0.431,0.431,1.265
26591,-490.200,96.254,141.755,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-489.986,97.528,141.295,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26650,-488.522,96.231,141.895,-3.14159,-0.525,0.525,-1.181,1.069,1.169
26650,-486.729,96.231,142.143,2.82121,-0.525,0.525,-1.181,1.069,1.169
26591,-482.555,96.270,134.025,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-481.681,96.270,133.488,2.35620,-0.430,0.432,-0.431,0.431,1.265
26650,-471.043,93.247,133.557,1.64590,-0.525,0.525,-1.181,1.069,1.169
26591,-460.524,90.233,130.231,-0.95936,-0.430,0.432,-0.431,0.431,1.265
26650,-422.883,80.230,134.232,-2.35619,-0.525,0.525,-1.181,1.069,1.169
26591,-422.074,80.691,111.878,5.39097,-0.430,0.432,-0.431,0.431,1.265
26650,-425.702,80.231,109.094,0.09732,-0.525,0.525,-1.181,1.069,1.169
26591,-422.119,80.231,89.358,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-425.885,80.231,88.232,-1.57080,-0.430,0.432,-0.431,0.431,1.265
26591,-425.566,80.231,87.406,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-410.252,80.582,91.784,0.32157,-0.430,0.432,-0.431,0.431,1.265
26591,-431.989,79.000,33.219,0.00000,-0.430,0.432,-0.431,0.431,1.265
26591,-432.579,79.000,33.908,-1.57080,-0.430,0.432,-0.431,0.431,1.265
26591,-432.953,79.440,34.812,3.11642,-0.430,0.432,-0.431,0.431,1.265
26591,-434.734,79.000,31.820,2.35620,-0.430,0.432,-0.431,0.431,1.265
26591,-448.552,79.031,6.612,-1.57080,-0.430,0.432,-0.431,0.431,1.265
26591,-447.064,79.031,4.005,-2.35619,-0.430,0.432,-0.431,0.431,1.265
26591,-449.726,79.031,4.088,-3.14159,-0.430,0.432,-0.431,0.431,1.265
26591,-449.357,79.031,6.296,-3.14159,-0.430,0.432,-0.431,0.431,1.265
26591,-450.262,79.447,5.633,-3.14159,-0.430,0.432,-0.431,0.431,1.265
26592,-465.000,79.018,-41.714,0.00000,-0.368,0.369,-0.337,0.337,1.586
26592,-467.409,79.000,-43.406,-0.78540,-0.368,0.369,-0.337,0.337,1.586
