classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3903,-549.004,229.953,272.514,-0.49275,-1.051,1.051,-1.500,1.500,1.765
3903,-549.773,231.429,275.659,1.17074,-1.051,1.051,-1.500,1.500,1.765
3903,-554.956,230.382,273.916,2.03424,-1.051,1.051,-1.500,1.500,1.765
7087,-346.000,224.000,118.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-362.000,224.000,118.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-362.000,234.000,118.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
3903,-333.137,225.106,121.501,0.19444,-1.051,1.051,-1.500,1.500,1.765
3903,-334.866,226.594,119.112,-1.04796,-1.051,1.051,-1.500,1.500,1.765
3903,-341.024,226.594,122.176,-1.04796,-1.051,1.051,-1.500,1.500,1.765
3903,-339.704,226.594,121.726,-2.45425,-1.051,1.051,-1.500,1.500,1.765
7087,-551.567,233.059,396.866,-0.53634,-2.867,2.867,-2.867,2.867,1.109
7087,-548.129,233.059,398.909,-0.53634,-2.867,2.867,-2.867,2.867,1.109
7087,-544.690,233.059,400.954,-0.53634,-2.867,2.867,-2.867,2.867,1.109
3903,-289.989,227.305,142.558,-0.64471,-1.051,1.051,-1.500,1.500,1.765
3903,-286.941,227.305,136.845,-1.58114,-1.051,1.051,-1.500,1.500,1.765
3903,-307.307,228.617,146.487,3.14159,-1.051,1.051,-1.500,1.500,1.765
7087,-586.151,208.491,530.787,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-570.430,208.491,527.816,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-581.478,226.491,533.975,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-573.617,226.491,532.489,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-584.449,226.491,518.253,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-576.588,226.491,516.767,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-580.519,226.491,517.510,0.18678,-2.866,2.867,-2.867,2.867,1.109
7087,-577.548,226.491,533.232,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-575.319,226.491,545.023,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-579.250,226.491,545.766,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-571.389,226.491,544.280,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-570.538,208.491,538.013,0.18678,-2.866,2.867,-2.867,2.867,1.109
7087,-582.329,208.491,540.242,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-585.145,208.491,546.880,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-565.493,208.491,543.166,0.18678,-2.866,2.867,-2.867,2.867,1.109
7087,-577.764,226.491,553.627,0.18678,-2.866,2.867,-2.867,2.867,1.109
7087,-573.834,226.491,552.884,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-569.903,226.491,552.141,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-574.468,226.491,538.756,0.18678,-2.867,2.867,-2.867,2.867,1.109
7087,-578.399,226.491,539.499,0.18678,-2.867,2.867,-2.867,2.867,1.109
7705,552.336,224.107,407.636,1.57080,-1.333,1.301,-0.755,0.841,1.244
7705,552.308,224.107,392.345,1.57080,-1.333,1.301,-0.755,0.841,1.244
11284,555.944,224.338,403.820,-0.00000,-1.333,1.440,-0.755,0.899,1.209
11284,555.852,224.338,396.092,-0.00000,-1.333,1.440,-0.755,0.899,1.209
20324,582.138,234.000,356.121,-1.57080,-1.782,1.924,-0.259,0.109,1.015
20700,585.000,220.000,324.000,-3.13258,-2.020,2.020,0.000,1.020,1.716
20700,593.000,220.000,324.000,-3.13258,-2.020,2.020,0.000,1.020,1.716
