classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7087,28.000,151.000,16.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,76.000,151.000,16.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,105.000,113.000,467.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
25396,39.000,135.000,239.000,0.00000,-0.354,0.354,-0.596,0.596,0.659
25396,54.823,133.282,277.235,0.70245,-0.354,0.354,-0.596,0.596,0.659
25396,84.937,140.197,301.334,0.03491,-0.354,0.354,-0.596,0.596,0.659
25396,126.675,141.002,295.877,-0.05338,-0.354,0.354,-0.596,0.596,0.659
25396,158.180,143.851,284.629,0.18969,-0.354,0.354,-0.596,0.596,0.659
25396,150.000,140.000,310.750,0.00000,-0.354,0.354,-0.596,0.596,0.659
25396,119.250,140.750,354.750,0.00000,-0.354,0.354,-0.596,0.596,0.659
25396,99.000,129.109,417.500,0.28774,-0.354,0.354,-0.596,0.596,0.659
25396,120.000,143.000,252.000,0.00000,-0.354,0.354,-0.596,0.596,0.659
20362,-9.945,144.608,-14.425,1.61969,-0.708,0.721,-0.520,0.565,1.181
9327,-10.763,145.517,-16.222,0.63136,-1.566,1.585,-0.441,0.443,0.208
7465,-10.500,153.750,27.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7466,-11.625,153.920,27.366,-3.14159,-0.355,0.355,-0.050,0.200,0.413
7466,-12.375,153.920,27.366,-3.14159,-0.355,0.355,-0.050,0.200,0.413
7743,-13.500,153.750,27.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7463,98.042,114.635,478.009,-0.00716,-1.864,1.864,-2.053,-0.735,1.508
7744,99.175,116.843,476.534,-0.00716,-0.619,0.619,-0.062,0.212,0.428
7465,96.925,116.843,476.518,-0.00716,-0.619,0.619,-0.062,0.212,0.428
7466,96.929,115.994,476.404,-0.00716,-0.355,0.355,-0.050,0.200,0.413
7466,99.179,115.994,476.420,-0.00716,-0.355,0.355,-0.050,0.200,0.413
7466,98.050,117.059,476.538,-0.00716,-0.355,0.355,-0.050,0.200,0.413
20828,-4.804,152.594,66.056,1.15927,-0.998,1.654,-0.941,1.066,1.190
20827,-20.246,152.586,71.479,1.50147,-1.332,1.281,-1.302,1.326,1.190
3903,-8.204,152.594,88.141,0.38770,-1.051,1.051,-1.500,1.500,1.765
7087,292.000,112.000,468.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,321.000,112.000,468.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,266.207,85.740,343.148,-0.22889,-2.867,2.867,-2.867,2.867,1.109
7087,262.312,85.740,342.240,-0.22889,-2.867,2.867,-2.867,2.867,1.109
7087,277.103,85.740,296.402,-0.22889,-2.867,2.867,-2.867,2.867,1.109
7087,273.208,85.740,295.494,-0.22889,-2.867,2.867,-2.867,2.867,1.109
7087,296.883,88.340,250.685,0.01984,-2.867,2.867,-2.867,2.867,1.109
7087,292.884,88.337,250.764,0.01984,-2.867,2.867,-2.867,2.867,1.109
7087,295.930,90.148,202.730,0.01983,-2.867,2.867,-2.867,2.867,1.109
7087,291.931,90.145,202.810,0.01984,-2.867,2.867,-2.867,2.867,1.109
7087,282.115,90.999,385.300,-0.94448,-2.867,2.867,-2.867,2.867,1.109
7087,279.774,90.982,382.057,-0.94452,-2.867,2.867,-2.867,2.867,1.109
7087,320.682,97.282,357.426,-0.94452,-2.867,2.867,-2.867,2.867,1.109
7087,318.341,97.265,354.183,-0.94457,-2.867,2.867,-2.867,2.867,1.109
7466,-0.500,154.500,50.500,1.57078,-0.355,0.355,-0.050,0.200,0.413
7744,-0.500,155.000,51.250,1.57078,-0.619,0.619,-0.062,0.212,0.428
7743,-0.500,154.500,52.250,1.57078,-0.619,0.619,-0.062,0.212,0.428
7465,-0.500,155.000,53.250,1.57078,-0.619,0.619,-0.062,0.212,0.428
10425,-1.000,152.500,52.000,1.57078,-0.594,0.594,-0.527,0.527,1.137
7466,-11.645,153.675,58.081,0.00000,-0.355,0.355,-0.050,0.200,0.413
7465,-12.770,153.505,57.947,0.00000,-0.619,0.619,-0.062,0.212,0.428
10420,-12.395,152.493,59.802,0.00000,-1.114,1.114,-2.053,-0.734,1.508
7465,-23.500,155.000,50.500,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7743,-23.500,154.500,51.500,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,-23.500,155.000,52.500,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,-23.500,154.500,53.250,-1.57079,-0.355,0.355,-0.050,0.200,0.413
10425,-23.250,152.750,52.750,-1.57079,-0.594,0.594,-0.527,0.527,1.137
7466,-23.500,154.500,66.500,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,-23.500,155.000,69.000,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,-23.500,154.500,69.500,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,-0.500,155.000,67.250,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,-0.500,154.500,66.750,1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,-0.500,155.000,69.000,1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,-0.500,154.500,69.750,1.57080,-0.355,0.355,-0.050,0.200,0.413
7466,-23.500,154.750,83.000,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7465,-23.488,155.174,82.276,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,-0.488,154.576,82.026,1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,-0.500,155.000,82.750,1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,-16.872,154.491,28.126,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7743,-6.997,154.491,28.020,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7744,-8.000,157.250,37.750,5.49762,-0.619,0.619,-0.062,0.212,0.428
7744,-7.612,156.617,37.380,5.49762,-0.619,0.619,-0.062,0.212,0.428
7465,-12.003,156.947,34.294,-0.00014,-0.619,0.619,-0.062,0.212,0.428
7465,-12.001,156.357,33.708,-0.00014,-0.619,0.619,-0.062,0.212,0.428
7744,-15.500,157.250,37.750,0.78529,-0.619,0.619,-0.062,0.212,0.428
7744,-15.933,156.638,37.317,0.78529,-0.619,0.619,-0.062,0.212,0.428
7466,-20.733,154.404,36.872,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,-20.733,154.404,34.622,-1.57079,-0.355,0.355,-0.050,0.200,0.413
11280,-16.982,152.561,37.750,-1.57079,-0.320,0.325,-0.195,0.197,1.160
11280,-17.732,152.561,37.750,-1.57079,-0.320,0.325,-0.195,0.197,1.160
7744,-20.749,154.552,31.997,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,-20.500,153.750,32.750,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7463,-22.232,152.561,32.000,-1.57079,-1.864,1.864,-2.053,-0.734,1.508
7463,-22.232,152.561,35.750,-1.57079,-1.864,1.864,-2.053,-0.734,1.508
