classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10775,13.500,112.154,33.250,-1.57080,-0.839,0.838,-0.845,0.813,1.634
10789,38.880,120.500,-78.600,0.00000,-1.365,1.365,-0.698,0.689,0.945
10789,38.880,120.500,-77.280,-3.14159,-1.365,1.365,-0.698,0.689,0.945
10789,38.880,120.500,-67.080,0.00000,-1.365,1.365,-0.698,0.689,0.945
10789,38.880,120.500,-65.760,-3.14159,-1.365,1.365,-0.698,0.689,0.945
10789,33.480,120.500,-72.960,0.00000,-1.365,1.365,-0.698,0.689,0.945
10789,33.480,120.500,-71.640,-3.14159,-1.365,1.365,-0.698,0.689,0.945
10772,50.596,120.873,-59.076,1.17906,-0.500,0.500,-0.544,0.600,1.628
10772,52.156,121.020,-58.640,-1.57080,-0.500,0.500,-0.544,0.600,1.628
10772,40.440,120.500,-76.560,0.78540,-0.500,0.500,-0.544,0.600,1.628
10772,40.200,120.500,-80.040,1.57080,-0.500,0.500,-0.544,0.600,1.628
10772,33.143,120.500,-78.850,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10772,35.056,120.867,-78.591,-4.71238,-0.500,0.500,-0.544,0.600,1.628
10772,31.119,120.923,-79.512,0.00000,-0.500,0.500,-0.544,0.600,1.628
10772,36.840,120.500,-77.280,-0.78540,-0.500,0.500,-0.544,0.600,1.628
10772,52.560,120.847,-59.312,1.57080,-0.500,0.500,-0.544,0.600,1.628
10773,-96.000,120.000,48.000,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-56.000,120.000,48.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-135.750,144.000,-44.000,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-127.750,144.000,-68.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-127.750,144.000,-60.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-135.750,144.000,-84.000,-3.14159,-1.862,2.676,-1.631,1.329,1.960
10773,-0.250,80.000,52.000,-3.14159,-1.862,2.676,-1.631,1.329,1.960
10773,-8.250,80.000,76.000,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-0.250,80.000,92.000,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-248.000,112.500,-24.000,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-248.000,112.500,-32.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
24685,-72.187,120.750,21.256,-3.14159,-0.613,0.613,-0.120,0.450,1.871
24685,-79.823,112.750,22.750,0.00000,-0.613,0.613,-0.120,0.450,1.871
