classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7745,-169.776,441.047,99.714,0.00000,-1.384,1.480,-1.496,1.442,1.749
7731,-60.905,435.645,46.716,0.00000,-0.920,0.981,-0.923,0.931,1.629
7731,29.166,431.580,66.447,0.00000,-1.007,0.993,-0.992,1.008,1.796
3829,515.102,441.211,581.099,-0.78138,-0.756,0.755,-2.224,2.224,0.490
3861,517.000,440.108,592.000,1.63436,-0.162,0.269,-0.444,1.097,1.610
3829,525.000,439.607,597.000,-0.52601,-0.755,0.756,-2.224,2.224,0.490
7478,305.020,430.855,527.049,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,221.033,430.605,527.014,0.17383,-2.226,2.226,-2.499,2.448,0.507
7478,266.149,429.105,530.756,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,134.255,430.605,577.949,1.47504,-2.226,2.226,-2.499,2.448,0.507
3903,138.307,430.355,569.244,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,135.868,430.355,570.320,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,135.213,430.605,584.502,-2.35619,-1.051,1.051,-1.500,1.500,1.765
3903,230.746,430.605,524.650,-1.57080,-1.051,1.051,-1.500,1.500,1.765
3903,228.177,430.355,527.202,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,298.543,430.855,526.772,2.35620,-1.051,1.051,-1.500,1.500,1.765
3903,260.719,429.153,531.319,1.57080,-1.051,1.051,-1.500,1.500,1.765
7463,260.000,436.607,608.000,0.00000,-1.864,1.864,-2.053,-0.735,1.508
3903,-724.309,441.108,113.841,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-727.073,441.108,114.618,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-721.004,441.108,114.616,-1.57080,-1.051,1.051,-1.500,1.500,1.765
3903,-626.043,450.308,175.906,-2.35619,-1.051,1.051,-1.500,1.500,1.765
3903,-629.180,450.299,174.161,3.14159,-1.051,1.051,-1.500,1.500,1.765
3903,-618.965,450.110,202.134,-1.93496,-1.051,1.051,-1.500,1.500,1.765
