classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10772,8.319,272.500,-202.358,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10777,-5.600,272.500,-195.300,-1.57080,-0.417,0.417,-0.734,0.660,1.136
10772,-7.797,272.500,-216.247,2.35620,-0.500,0.500,-0.544,0.600,1.628
10789,8.000,272.500,-200.684,0.00000,-1.365,1.365,-0.698,0.689,0.945
10789,8.005,272.500,-199.310,-3.14159,-1.365,1.365,-0.698,0.689,0.945
10772,5.266,272.500,-200.708,-2.35619,-0.500,0.500,-0.544,0.600,1.628
10772,9.975,272.500,-200.192,1.57080,-0.500,0.500,-0.544,0.600,1.628
23175,-231.600,96.100,-50.500,0.00000,-0.991,1.009,-0.856,1.254,1.000
23174,-225.500,96.400,-54.600,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-355.400,46.600,273.600,0.00000,-0.991,1.009,-0.856,1.254,1.000
23174,-456.000,58.462,-289.300,-1.57079,-1.000,1.000,-1.000,1.000,1.000
23175,411.617,108.026,-434.508,0.00000,-0.991,1.009,-0.856,1.254,1.000
23174,413.285,108.026,-432.616,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-177.446,224.727,182.720,-3.14159,-0.991,1.009,-0.856,1.254,1.000
23174,378.000,184.000,268.000,1.57080,-1.000,1.000,-1.000,1.000,1.000
23175,422.061,107.615,-425.764,2.35619,-0.991,1.009,-0.856,1.254,1.000
23174,418.000,107.651,-430.000,-2.35619,-1.000,1.000,-1.000,1.000,1.000
24680,-0.259,314.092,175.768,0.78540,-0.372,0.372,-0.372,0.372,1.239
24682,-0.115,314.110,176.291,0.78540,-0.351,0.351,-0.386,0.386,1.127
10777,-176.518,224.500,196.379,-3.14159,-0.417,0.417,-0.734,0.660,1.136
24682,-186.800,224.500,179.800,-3.14159,-0.351,0.351,-0.386,0.386,1.127
25462,-167.431,224.266,141.151,2.35619,-1.101,1.262,-1.007,2.262,1.639
25458,-158.000,224.500,180.000,0.39270,-0.680,1.076,-0.938,1.040,1.628
25462,-157.958,224.500,176.733,-1.96350,-1.101,1.262,-1.007,2.262,1.639
25458,-160.959,224.500,178.919,-1.17810,-0.680,1.076,-0.938,1.040,1.628
26078,-166.170,224.500,175.923,0.00000,-0.898,1.156,-0.427,0.976,1.113
