classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
9327,-37.750,423.500,-86.500,1.44901,-1.566,1.585,-0.441,0.443,0.208
20362,-31.750,423.493,-91.250,-0.78540,-0.708,0.721,-0.520,0.565,1.181
9303,-33.500,423.500,-92.750,-2.35619,-0.201,0.201,-0.225,0.225,0.376
7703,-0.750,415.500,-130.500,0.00000,-2.150,2.143,-0.773,0.841,1.261
7705,-3.500,415.500,-139.750,1.57080,-1.333,1.301,-0.755,0.841,1.244
20371,3.000,415.500,-140.500,0.00000,-0.382,0.382,-0.382,0.382,1.292
10773,-111.750,407.500,-150.250,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-111.750,407.500,-164.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-111.500,407.500,-140.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-111.750,407.500,-154.750,1.57080,-1.862,2.676,-1.631,1.329,1.960
10772,-100.464,407.750,-158.459,1.70434,-0.500,0.500,-0.544,0.600,1.628
10772,-100.500,407.750,-146.250,0.78540,-0.500,0.500,-0.544,0.600,1.628
10773,-93.750,407.750,-150.250,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-93.750,407.750,-159.250,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-93.750,407.750,-154.750,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-93.750,407.750,-145.750,1.57080,-1.862,2.676,-1.631,1.329,1.960
10772,-110.000,407.500,-146.750,1.34131,-0.500,0.500,-0.544,0.600,1.628
10772,-109.332,407.500,-163.361,2.75080,-0.500,0.500,-0.544,0.600,1.628
11285,-30.500,423.500,-82.750,0.00000,-1.558,1.537,-1.339,1.192,0.852
24679,2.000,421.000,-137.000,0.00000,-0.333,0.333,-0.333,0.333,0.587
24682,-30.500,423.491,-91.500,0.00000,-0.351,0.351,-0.386,0.386,1.127
24682,-29.750,423.488,-92.000,0.00000,-0.351,0.351,-0.386,0.386,1.127
24682,-35.000,423.594,-93.250,0.30740,-0.351,0.351,-0.386,0.386,1.127
24682,-30.500,423.500,-92.500,0.00000,-0.351,0.351,-0.386,0.386,1.127
11297,-36.500,423.500,-86.500,0.00000,-0.789,1.211,-0.842,1.190,1.000
20654,-38.746,423.546,-82.966,-1.57080,-0.874,1.126,-1.002,1.010,1.000
20655,-31.500,423.500,-80.750,-0.78540,-1.046,0.954,-0.986,1.328,1.000
9327,-39.059,424.761,-94.109,-1.03968,-1.566,1.585,-0.441,0.443,0.208
20374,-4.461,419.508,-92.428,0.00000,-0.774,0.782,-0.763,0.773,1.292
11318,-34.210,423.500,-91.150,-0.78540,-1.527,2.576,-0.957,0.348,0.340
20853,1.500,419.500,-86.750,-0.78540,-1.148,1.142,-2.138,2.190,1.884
7705,-91.000,407.500,-173.250,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7703,17.000,415.500,-139.000,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,-4.250,415.500,-134.000,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7705,11.500,415.500,-133.500,1.57080,-1.333,1.301,-0.755,0.841,1.244
7703,4.500,415.500,-116.000,0.00000,-2.150,2.143,-0.773,0.841,1.261
10985,7.500,415.500,-139.500,0.00000,-1.000,1.000,-1.000,1.000,1.000
24679,-23.500,427.500,-153.250,0.00000,-0.333,0.333,-0.333,0.333,0.587
7705,-90.750,407.500,-180.000,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7705,-104.862,407.500,-170.239,-3.14159,-1.333,1.301,-0.755,0.841,1.244
24679,-75.313,421.000,-137.003,0.00000,-0.333,0.333,-0.333,0.333,0.587
7703,-80.750,407.500,-170.250,-3.14159,-2.150,2.143,-0.773,0.841,1.261
7705,-71.500,407.500,-173.000,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7703,-99.000,407.500,-170.250,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,-96.250,407.500,-139.500,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,-108.000,407.500,-139.250,0.00000,-2.150,2.143,-0.773,0.841,1.261
7705,-96.500,407.500,-180.000,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7705,-69.000,407.500,-179.750,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7703,-95.750,407.500,-122.000,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7705,-95.750,407.500,-128.750,1.57080,-1.333,1.301,-0.755,0.841,1.244
7703,-0.750,419.500,-94.750,0.00000,-2.150,2.143,-0.773,0.841,1.261
11285,-105.500,407.500,-122.250,0.00000,-1.558,1.537,-1.339,1.192,0.852
24679,-52.250,427.500,-152.750,0.00000,-0.333,0.333,-0.333,0.333,0.587
24679,-23.750,427.500,-121.250,0.00000,-0.333,0.333,-0.333,0.333,0.587
24679,-52.500,427.500,-120.750,0.00000,-0.333,0.333,-0.333,0.333,0.587
10985,-74.750,415.500,-188.000,0.00000,-1.000,1.000,-1.000,1.000,1.000
20655,5.873,417.298,-105.762,0.78528,-1.046,0.954,-0.986,1.328,1.000
23175,-1.000,419.500,-88.750,0.78540,-0.991,1.009,-0.856,1.254,1.000
24679,-52.500,427.500,-225.000,0.00000,-0.333,0.333,-0.333,0.333,0.587
24679,-23.750,427.500,-225.500,0.00000,-0.333,0.333,-0.333,0.333,0.587
24679,-24.000,427.500,-193.500,0.00000,-0.333,0.333,-0.333,0.333,0.587
24679,-52.750,427.500,-193.000,0.00000,-0.333,0.333,-0.333,0.333,0.587
10773,-87.250,407.500,-332.250,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-87.250,407.500,-316.750,1.57080,-1.862,2.676,-1.631,1.329,1.960
10772,-84.500,407.712,-322.250,1.10284,-0.500,0.500,-0.544,0.600,1.628
10772,-85.250,407.712,-329.500,0.92690,-0.500,0.500,-0.544,0.600,1.628
10773,-95.000,407.500,-336.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-95.000,407.500,-326.750,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-95.000,407.500,-322.250,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-94.750,407.500,-312.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10772,-93.000,407.750,-318.750,1.58506,-0.500,0.500,-0.544,0.600,1.628
10772,-92.750,407.652,-338.000,2.65863,-0.500,0.500,-0.544,0.600,1.628
10773,-76.750,407.500,-333.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-76.750,407.500,-329.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-76.750,407.500,-324.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-76.750,407.500,-320.000,1.57080,-1.862,2.676,-1.631,1.329,1.960
10772,-80.500,408.089,-337.000,-0.65209,-0.500,0.500,-0.544,0.600,1.628
10773,-76.750,407.500,-315.500,1.57080,-1.862,2.676,-1.631,1.329,1.960
23175,-90.500,407.500,-311.750,1.57080,-0.991,1.009,-0.856,1.254,1.000
10773,-158.500,391.500,-394.500,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-168.250,391.500,-394.500,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-172.750,391.500,-394.500,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-182.500,391.500,-394.250,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-179.500,391.500,-375.750,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-175.000,391.500,-375.750,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-170.500,391.500,-375.750,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-166.000,391.500,-375.750,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-161.500,391.500,-375.750,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-33.825,399.500,-285.322,-1.57080,-1.862,2.676,-1.631,1.329,1.960
10773,-162.750,391.500,-386.000,0.00000,-1.862,2.676,-1.631,1.329,1.960
10773,-178.250,391.500,-386.000,0.00000,-1.862,2.676,-1.631,1.329,1.960
10772,-176.000,391.862,-392.500,0.01426,-0.500,0.500,-0.544,0.600,1.628
10772,-173.022,392.042,-384.377,-0.62720,-0.500,0.500,-0.544,0.600,1.628
10772,-165.250,391.672,-381.250,-0.59149,-0.500,0.500,-0.544,0.600,1.628
10772,-156.500,391.750,-392.250,1.08784,-0.500,0.500,-0.544,0.600,1.628
23174,-179.750,391.500,-390.000,0.00000,-1.000,1.000,-1.000,1.000,1.000
23175,-159.000,391.500,-382.000,-0.62462,-0.991,1.009,-0.856,1.254,1.000
20615,-241.176,398.401,-238.093,-3.04313,-1.009,1.011,-0.509,0.965,1.979
20615,-237.993,398.564,-240.992,-1.57080,-1.009,1.011,-0.509,0.965,1.979
7463,-232.424,398.627,-235.149,0.78540,-1.864,1.864,-2.053,-0.734,1.508
7463,-243.593,398.627,-235.122,-0.78540,-1.864,1.864,-2.053,-0.734,1.508
7463,-232.409,398.627,-246.881,2.35620,-1.864,1.864,-2.053,-0.734,1.508
7463,-243.610,398.627,-246.899,-2.35619,-1.864,1.864,-2.053,-0.735,1.508
6962,-256.729,408.926,-251.438,0.00000,-0.836,0.923,-0.900,0.848,1.267
6970,-255.642,409.272,-249.410,0.00000,-0.669,0.683,-0.768,0.778,1.352
6970,-257.343,409.172,-248.696,-1.57080,-0.669,0.683,-0.768,0.778,1.352
23944,-220.203,400.533,-249.673,0.00000,-0.517,0.621,-0.887,1.334,1.573
10833,-228.378,400.642,-258.244,0.00000,-1.160,1.021,-0.913,1.211,1.426
10833,-228.175,400.559,-260.073,-2.35619,-1.160,1.021,-0.914,1.211,1.426
10833,-230.153,400.559,-260.203,1.57080,-1.160,1.021,-0.914,1.211,1.426
10833,-230.584,400.559,-258.024,1.57080,-1.160,1.021,-0.914,1.211,1.426
10821,-220.127,409.075,-230.341,0.00000,-1.891,2.186,-0.785,0.581,1.873
10819,-218.663,408.873,-230.559,0.00000,-0.520,1.527,-2.426,0.447,0.881
10831,-245.110,400.612,-223.743,1.57080,-0.747,0.608,-0.176,0.165,1.449
10827,-255.776,400.877,-251.645,0.00000,-1.033,1.316,-1.079,1.907,0.638
10827,-257.133,400.877,-250.720,-1.57080,-1.033,1.316,-1.079,1.907,0.638
10831,-245.110,400.612,-223.743,0.78540,-0.747,0.608,-0.176,0.165,1.449
10831,-219.613,408.684,-250.235,-1.57080,-0.747,0.608,-0.176,0.165,1.449
10823,-229.752,408.619,-258.464,0.00000,-0.768,0.982,-0.711,0.921,1.626
23953,-245.610,400.613,-258.586,0.00000,-0.108,0.731,-0.277,0.581,0.732
23944,-229.569,408.556,-222.899,-1.57080,-0.517,0.621,-0.887,1.334,1.573
7465,-234.532,399.639,-235.666,0.78540,-0.619,0.619,-0.062,0.212,0.428
7743,-232.941,399.639,-237.257,0.78540,-0.619,0.619,-0.062,0.212,0.428
7744,-234.005,400.618,-235.665,0.78539,-0.619,0.619,-0.062,0.212,0.428
7744,-232.944,400.618,-236.726,0.78539,-0.619,0.619,-0.062,0.212,0.428
7466,-233.466,401.051,-236.186,0.78539,-0.355,0.355,-0.050,0.200,0.413
7465,-234.517,399.639,-246.364,2.35619,-0.619,0.619,-0.062,0.212,0.428
7743,-232.926,399.639,-244.773,2.35619,-0.619,0.619,-0.062,0.212,0.428
7744,-232.925,400.618,-245.300,2.35619,-0.619,0.619,-0.062,0.212,0.428
7744,-233.986,400.618,-246.361,2.35619,-0.619,0.619,-0.062,0.212,0.428
7466,-233.446,401.051,-245.839,2.35619,-0.355,0.355,-0.050,0.200,0.413
10420,-224.468,398.629,-227.247,0.78540,-1.114,1.114,-2.053,-0.734,1.508
7744,-225.518,400.620,-228.294,0.78539,-0.619,0.619,-0.062,0.212,0.428
10420,-224.424,398.629,-254.768,2.35619,-1.114,1.114,-2.053,-0.734,1.508
7744,-225.471,400.620,-253.718,2.35619,-0.619,0.619,-0.062,0.212,0.428
7466,-242.568,401.051,-245.861,-2.35619,-0.355,0.355,-0.050,0.200,0.413
7466,-242.555,401.051,-236.164,-0.78539,-0.355,0.356,-0.050,0.200,0.413
