classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
10770,-152.766,-23.446,40.109,-1.57080,-0.658,0.658,-1.429,1.429,0.317
10770,-152.766,-23.451,25.309,-1.57080,-0.658,0.658,-1.429,1.429,0.317
10770,-152.766,-23.451,30.109,-1.57080,-0.658,0.658,-1.429,1.429,0.317
10770,-135.026,-23.451,39.989,1.57080,-0.658,0.658,-1.429,1.429,0.317
10770,-135.025,-23.451,35.176,1.57080,-0.658,0.658,-1.429,1.429,0.317
10770,-134.975,-23.460,30.000,1.57080,-0.658,0.658,-1.429,1.429,0.317
10772,-149.750,-23.500,19.750,-0.78540,-0.500,0.500,-0.544,0.600,1.628
10790,-148.750,-23.500,17.750,3.14159,-1.216,1.216,-0.492,0.381,1.178
10772,-148.750,-23.500,16.250,-3.14159,-0.500,0.500,-0.544,0.600,1.628
10775,-124.500,-15.600,-73.000,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-92.250,-23.500,-0.750,-3.14159,-0.839,0.838,-0.845,0.813,1.634
10770,-113.600,-39.451,94.200,0.00000,-0.658,0.658,-1.429,1.429,0.317
10770,-112.350,-39.451,94.200,0.00000,-0.658,0.658,-1.429,1.429,0.317
10772,-103.750,-39.500,88.750,0.78540,-0.500,0.500,-0.544,0.600,1.628
10772,-107.741,-39.500,84.370,-2.35619,-0.500,0.500,-0.544,0.600,1.628
10772,-102.623,-39.500,82.568,2.35620,-0.500,0.500,-0.544,0.600,1.628
20853,-71.000,-23.500,-4.750,2.51372,-1.136,1.136,-2.147,2.178,1.851
10775,-90.500,-23.500,-0.750,-3.14159,-0.839,0.838,-0.845,0.813,1.634
10775,-88.750,-23.500,-0.750,-3.14159,-0.839,0.838,-0.845,0.813,1.634
10775,-102.750,-23.500,-0.750,-3.14159,-0.839,0.838,-0.845,0.813,1.634
10775,-101.000,-23.500,-0.750,-3.14159,-0.839,0.838,-0.845,0.813,1.634
10775,-101.000,-23.500,1.250,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-102.750,-23.500,1.250,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-88.750,-23.500,1.250,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-90.500,-23.500,1.250,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-92.250,-23.500,1.250,0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-101.000,-20.357,1.250,-0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-102.750,-20.357,1.250,-0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-88.750,-20.357,1.250,-0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-90.500,-20.357,1.250,-0.00000,-0.839,0.838,-0.845,0.813,1.634
10775,-92.250,-20.357,1.250,-0.00000,-0.839,0.838,-0.845,0.813,1.634
