classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3861,74.090,108.792,107.580,-0.58472,-0.162,0.269,-0.444,1.097,1.610
3860,69.648,109.015,113.685,0.35212,-1.018,0.854,-0.796,1.035,1.438
3829,74.407,109.597,102.703,-0.06010,-0.756,0.756,-2.224,2.224,0.490
3860,79.247,109.054,101.680,-2.00407,-1.018,0.854,-0.796,1.035,1.438
6219,385.578,137.784,-92.389,2.35618,-0.862,0.457,-0.306,0.962,1.051
6217,385.837,137.784,-91.436,0.00000,-0.300,0.300,-0.331,0.329,0.301
6222,386.877,137.629,-93.456,0.00000,-0.217,0.217,-0.206,0.206,0.720
6221,391.637,137.784,-92.362,0.00000,-0.197,0.197,-0.187,0.187,0.604
3829,58.476,113.333,106.118,-1.60667,-0.756,0.756,-2.224,2.224,0.491
3860,58.352,110.963,106.751,-3.39846,-1.018,0.854,-0.796,1.035,1.438
3861,56.855,108.598,106.273,0.20067,-0.162,0.269,-0.444,1.097,1.610
3861,57.635,108.777,107.597,-0.90341,-0.162,0.269,-0.444,1.097,1.610
3860,79.923,109.403,130.453,0.89140,-1.018,0.854,-0.796,1.035,1.438
3829,95.614,109.298,159.958,-0.13194,-0.756,0.756,-2.224,2.224,0.490
3861,122.883,108.938,163.531,0.13228,-0.162,0.269,-0.444,1.097,1.610
7703,70.840,108.611,128.863,-0.55829,-2.150,2.143,-0.773,0.841,1.261
7703,65.893,108.611,122.638,-0.99826,-2.150,2.143,-0.773,0.841,1.261
7701,68.465,109.009,128.152,2.35619,-0.552,0.560,-0.366,0.258,0.872
7702,70.759,109.786,129.012,0.22710,-0.635,0.635,-0.419,0.419,0.246
7702,72.386,108.972,130.867,-0.22329,-0.635,0.635,-0.419,0.419,0.246
7703,72.837,108.611,146.755,-2.35619,-2.150,2.143,-0.773,0.841,1.261
7699,73.956,108.890,144.682,0.78540,-0.394,0.394,-0.290,0.290,0.765
7701,70.656,108.841,147.669,1.08028,-0.552,0.560,-0.366,0.258,0.872
7701,71.709,109.641,147.837,0.29489,-0.552,0.560,-0.366,0.258,0.872
7705,75.823,108.788,157.184,1.06451,-1.333,1.301,-0.755,0.841,1.244
7699,72.165,108.890,159.562,0.24527,-0.394,0.394,-0.290,0.290,0.765
7699,75.338,109.935,157.839,-0.64327,-0.394,0.394,-0.290,0.290,0.765
8020,80.000,110.316,189.500,-2.27798,-0.646,0.645,-0.341,0.345,1.791
9324,83.230,110.020,183.692,-1.57080,-0.426,0.426,-0.758,0.758,1.722
7136,81.100,110.235,176.213,-1.57080,-0.553,0.553,-0.287,0.292,1.090
9302,85.635,110.020,174.312,3.14159,-1.332,1.090,-0.500,0.511,1.017
9302,85.127,110.020,171.783,-2.68147,-1.332,1.090,-0.499,0.511,1.017
9302,85.307,110.020,179.844,3.14159,-1.332,1.090,-0.500,0.511,1.017
9302,85.306,110.020,177.094,3.14159,-1.332,1.090,-0.500,0.511,1.017
9302,72.297,110.020,174.352,0.00000,-1.332,1.090,-0.500,0.511,1.017
9302,72.365,110.020,171.627,0.00000,-1.332,1.090,-0.500,0.511,1.017
9302,75.831,110.458,179.272,-0.43218,-1.332,1.090,-0.500,0.511,1.017
9302,72.412,110.020,179.787,0.00000,-1.332,1.090,-0.500,0.511,1.017
9326,71.391,110.020,175.742,0.00000,-0.221,0.221,-0.211,0.210,0.768
9321,75.828,110.471,177.628,2.67647,-0.611,0.611,-0.485,0.485,0.846
9321,74.086,110.020,171.462,-1.57080,-0.611,0.611,-0.485,0.485,0.846
9321,72.096,110.020,180.997,0.00000,-0.611,0.611,-0.485,0.485,0.846
9321,83.503,110.020,179.767,1.57080,-0.611,0.611,-0.485,0.485,0.846
9321,86.370,110.020,178.452,0.00000,-0.611,0.611,-0.485,0.485,0.846
9321,83.593,110.020,173.961,3.14159,-0.611,0.611,-0.485,0.485,0.846
9321,86.049,110.296,169.671,-0.78540,-0.611,0.611,-0.485,0.485,0.846
8069,102.665,109.650,181.059,-1.17466,-1.046,1.046,-0.708,0.708,1.253
8072,96.607,109.405,189.078,0.46022,-0.395,0.395,-0.665,0.665,1.863
8070,115.592,112.224,114.780,3.14159,-0.710,0.711,-0.710,0.711,1.435
8014,111.741,109.641,99.653,-1.55253,-0.244,0.215,-0.540,0.276,1.679
8064,114.886,109.880,98.408,0.55896,-0.497,0.497,-0.472,0.472,0.789
8064,118.855,109.433,98.712,0.78540,-0.497,0.497,-0.472,0.472,0.789
8014,123.024,109.433,99.429,1.57080,-0.244,0.215,-0.540,0.276,1.679
8020,120.005,110.061,102.010,-0.14194,-0.646,0.645,-0.341,0.345,1.791
8009,107.909,109.433,100.599,-1.57080,-1.512,0.493,-0.393,0.384,1.895
8079,122.788,109.433,115.995,1.57080,-0.471,0.471,-0.484,0.484,0.795
8078,111.253,109.789,103.749,-2.44342,-0.350,0.350,-0.509,0.509,0.858
8079,122.812,109.433,115.032,1.57080,-0.471,0.471,-0.484,0.484,0.795
6191,122.816,110.224,116.017,0.78540,-0.300,0.081,-0.131,0.131,1.150
8008,123.440,111.149,100.738,1.57080,-1.179,0.940,-0.142,0.078,1.788
8008,123.466,111.186,115.039,1.57080,-1.179,0.940,-0.142,0.078,1.788
7136,120.960,109.433,111.606,-2.07830,-0.553,0.553,-0.287,0.292,1.090
9316,122.228,109.412,100.062,0.00000,-0.356,0.356,-0.385,0.385,0.325
9304,122.948,109.722,103.324,1.57080,-0.143,0.143,-0.169,0.197,1.641
8064,109.808,109.849,102.550,2.80633,-0.497,0.497,-0.472,0.472,0.789
6226,120.380,109.433,118.525,0.00000,-1.714,1.714,-1.725,-0.000,1.865
3829,105.465,111.155,103.074,-1.53734,-0.756,0.756,-2.224,2.224,0.491
3829,-6.247,98.084,92.943,-1.90597,-0.756,0.756,-2.224,2.224,0.490
6174,-71.377,86.842,114.104,0.19396,-0.745,0.485,-0.781,0.709,0.997
6172,-72.052,87.034,95.903,0.18595,-0.877,0.634,-0.608,0.539,1.695
6172,26.925,107.593,159.951,0.11570,-0.877,0.634,-0.608,0.539,1.695
6176,53.244,108.841,142.013,0.00000,-0.403,0.496,-0.469,0.572,0.817
6173,51.780,109.830,97.962,-1.57080,-0.843,0.786,-0.804,0.930,1.320
7703,-208.957,100.044,-62.078,0.82777,-2.150,2.143,-0.773,0.841,1.261
6172,-223.103,96.779,-31.737,0.00000,-0.877,0.634,-0.608,0.539,1.695
3829,96.307,109.298,162.553,2.22425,-0.756,0.756,-2.224,2.224,0.491
4100,-144.273,84.836,87.849,4.68485,-1.187,1.084,-1.700,1.847,0.672
4100,-144.273,84.836,87.849,4.68485,-1.187,1.084,-1.700,1.847,0.672
7705,-29.226,97.530,125.278,1.34684,-1.333,1.301,-0.755,0.841,1.244
7703,-89.340,88.373,149.165,-1.57079,-2.150,2.143,-0.773,0.841,1.261
7703,-89.507,88.172,145.202,-1.57079,-2.150,2.143,-0.773,0.841,1.261
7705,-88.679,87.892,153.065,-1.41372,-1.333,1.301,-0.755,0.841,1.244
3829,-60.747,90.634,53.776,-3.08100,-0.756,0.756,-2.224,2.224,0.490
3633,-214.253,103.809,-6.008,0.00000,-0.586,0.394,-0.582,0.466,0.708
10985,224.025,106.157,95.409,0.00000,-1.000,1.000,-1.000,1.000,1.000
6172,-196.941,98.107,-4.790,0.00000,-0.877,0.634,-0.608,0.539,1.695
3728,-183.638,116.019,-65.464,-0.81427,-1.398,1.575,-0.920,1.086,1.194
3728,-178.362,115.599,-69.592,-0.01821,-1.398,1.575,-0.920,1.086,1.194
3728,-180.589,115.960,-68.072,0.29157,-1.398,1.575,-0.920,1.086,1.194
3728,-190.799,118.029,-87.913,0.01901,-1.398,1.575,-0.920,1.086,1.194
10985,288.000,120.529,60.500,0.00000,-1.000,1.000,-1.000,1.000,1.000
7705,-28.190,97.040,124.997,1.34684,-1.333,1.301,-0.755,0.841,1.244
7705,-29.588,96.448,125.158,1.34684,-1.333,1.301,-0.755,0.841,1.244
11285,-209.061,100.368,-66.382,0.00000,-1.558,1.537,-1.339,1.192,0.852
3829,-82.913,87.063,120.388,-2.35619,-0.756,0.756,-2.224,2.224,0.490
3829,-77.963,86.534,126.598,-0.02832,-0.756,0.756,-2.224,2.224,0.491
3860,-78.599,86.820,136.790,-0.83877,-1.018,0.854,-0.796,1.035,1.438
3829,-173.641,80.266,19.228,-0.20974,-0.756,0.756,-2.224,2.224,0.490
3860,-154.142,82.834,27.003,0.55548,-1.018,0.854,-0.796,1.035,1.438
3728,-178.896,97.629,15.857,0.60256,-1.398,1.575,-0.920,1.086,1.194
10985,417.000,126.781,87.000,0.00000,-0.833,0.833,-0.833,0.833,0.833
10985,377.500,121.030,98.000,0.00000,-0.833,0.833,-0.833,0.833,0.833
10985,410.500,125.531,73.000,0.00000,-0.833,0.833,-0.833,0.833,0.833
10985,411.000,125.531,69.500,0.00000,-0.833,0.833,-0.833,0.833,0.833
7703,-94.075,84.242,54.578,-0.44544,-2.150,2.143,-0.773,0.841,1.261
11284,-96.927,84.266,53.749,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,-93.288,85.322,55.085,2.75302,-1.333,1.441,-0.755,0.899,1.209
11298,-86.874,85.363,53.089,2.39034,-0.436,0.882,-0.339,0.318,0.571
7703,-102.272,85.805,68.644,-0.10590,-2.150,2.143,-0.773,0.841,1.261
7703,-70.562,87.094,87.293,1.83876,-2.150,2.143,-0.773,0.841,1.261
3860,-72.240,86.983,92.054,0.48846,-1.018,0.854,-0.796,1.035,1.438
3860,-75.684,87.434,92.515,0.00364,-1.018,0.854,-0.796,1.035,1.438
11285,73.030,108.882,129.699,-1.37908,-1.558,1.537,-1.339,1.192,0.852
11298,253.011,115.848,79.620,-3.12977,-0.436,0.882,-0.339,0.318,0.571
20655,246.735,115.283,78.675,0.40224,-1.046,0.954,-0.986,1.328,1.000
20657,249.260,115.966,76.969,-0.18274,-1.003,0.997,-0.950,1.309,1.000
3861,115.587,109.027,129.262,-2.93758,-0.162,0.269,-0.444,1.097,1.610
3861,127.931,109.027,128.631,-0.12096,-0.162,0.269,-0.444,1.097,1.610
11284,75.109,108.894,145.294,0.00000,-1.333,1.441,-0.755,0.899,1.209
11318,81.998,109.515,133.525,-0.93193,-1.527,2.576,-0.957,0.348,0.340
11284,83.796,108.894,130.834,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,117.388,108.894,131.405,3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,121.233,108.894,127.793,1.57080,-1.333,1.441,-0.755,0.899,1.209
7703,121.283,108.042,124.645,-1.57079,-2.150,2.143,-0.773,0.841,1.261
7703,80.043,108.145,124.189,-1.57080,-2.150,2.143,-0.773,0.841,1.261
11284,80.046,108.894,127.340,1.57080,-1.333,1.441,-0.755,0.899,1.209
7703,86.586,108.145,130.915,3.05931,-2.150,2.143,-0.773,0.841,1.261
11285,82.012,109.004,132.536,1.57080,-1.558,1.537,-1.339,1.191,0.852
11285,83.523,109.004,133.220,0.00000,-1.558,1.537,-1.339,1.191,0.852
20361,402.498,120.000,156.999,-0.78492,-0.708,0.720,-0.520,0.565,1.181
20373,407.731,121.550,146.217,-1.56956,-0.781,0.778,-0.777,0.757,1.292
20375,407.632,120.000,146.282,-1.56963,-0.774,0.782,-0.763,0.773,1.292
20361,402.793,120.000,155.123,-2.35579,-0.708,0.721,-0.520,0.565,1.181
7703,372.539,119.626,177.142,-1.56927,-2.150,2.143,-0.773,0.841,1.261
11284,372.365,119.262,170.231,1.56907,-1.333,1.441,-0.755,0.899,1.209
7703,377.910,119.626,177.272,-1.56920,-2.150,2.143,-0.773,0.841,1.261
11284,377.772,119.128,170.237,1.56837,-1.333,1.441,-0.755,0.899,1.209
7703,383.423,119.417,177.387,-1.56999,-2.150,2.143,-0.773,0.841,1.261
11284,383.163,119.258,170.258,1.61134,-1.333,1.441,-0.755,0.899,1.209
7703,388.828,119.627,177.565,-1.57039,-2.150,2.143,-0.773,0.841,1.261
11284,388.612,119.333,170.421,1.60768,-1.333,1.441,-0.755,0.899,1.209
10375,375.204,111.591,172.281,0.00000,-2.000,2.000,-2.000,2.000,8.000
20635,377.204,119.591,174.281,0.00000,-0.045,0.045,-0.045,0.045,1.000
10375,380.602,111.591,172.266,0.00000,-2.000,2.000,-2.000,2.000,8.000
20635,382.602,119.591,174.266,0.00000,-0.045,0.045,-0.045,0.045,1.000
10375,386.018,111.591,172.282,0.00000,-2.000,2.000,-2.000,2.000,8.000
20635,388.018,119.591,174.282,0.00000,-0.045,0.045,-0.045,0.045,1.000
7703,383.355,119.288,173.346,-1.57051,-2.150,2.143,-0.773,0.841,1.261
7703,388.745,119.288,173.663,-1.57058,-2.150,2.143,-0.773,0.841,1.261
7703,377.870,119.324,173.466,-1.57065,-2.150,2.143,-0.773,0.841,1.261
7703,372.475,119.324,173.345,-1.57071,-2.150,2.143,-0.773,0.841,1.261
20635,393.000,122.000,158.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20635,401.000,122.000,158.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
8071,408.010,120.000,148.666,-3.14159,-0.313,0.313,-0.833,0.833,1.163
20635,413.000,124.500,140.500,0.00000,-0.045,0.045,-0.045,0.045,1.000
10375,57.301,103.390,124.928,-0.18557,-2.000,2.000,-2.000,2.000,8.000
6188,379.123,119.591,172.555,-1.57080,-1.658,1.657,-0.746,0.668,0.959
6188,373.778,119.591,172.606,-1.57080,-1.658,1.657,-0.746,0.668,0.959
20361,379.649,119.591,171.745,-1.57080,-0.708,0.720,-0.520,0.565,1.181
20361,379.638,119.591,172.698,-1.19770,-0.708,0.720,-0.520,0.565,1.181
20361,374.079,119.591,171.905,-1.57080,-0.708,0.720,-0.520,0.565,1.181
20361,373.995,119.591,173.469,-1.57080,-0.708,0.720,-0.520,0.565,1.181
20361,379.184,120.455,173.268,2.35620,-0.708,0.721,-0.520,0.565,1.181
20361,373.843,120.455,172.611,0.78540,-0.708,0.721,-0.520,0.565,1.181
20361,384.524,120.455,173.159,0.78540,-0.708,0.720,-0.520,0.565,1.181
6188,384.582,119.591,172.484,-1.57080,-1.658,1.657,-0.746,0.668,0.959
20361,384.693,119.591,172.569,-1.57080,-0.708,0.720,-0.520,0.565,1.181
21498,384.577,119.591,170.749,1.57080,-0.218,0.440,-0.578,0.924,0.708
21046,404.202,122.168,170.356,-1.49553,-0.244,0.215,-0.540,0.276,1.679
8009,404.033,122.035,170.338,-1.51200,-1.512,0.493,-0.393,0.384,1.895
8011,404.222,122.035,169.244,1.58657,-0.359,0.346,-0.223,0.187,1.484
8018,404.422,123.021,169.373,-1.56362,-0.133,0.198,-0.124,0.039,0.597
8018,404.411,123.021,169.040,-1.56369,-0.133,0.198,-0.124,0.039,0.597
8018,404.497,122.555,169.032,-1.56375,-0.133,0.198,-0.124,0.039,0.597
8018,404.496,122.555,169.370,-1.56381,-0.133,0.198,-0.124,0.039,0.597
20700,409.425,122.082,170.125,0.00000,-2.020,2.020,-0.000,1.020,1.716
8064,409.425,122.082,169.625,-3.14159,-0.497,0.497,-0.472,0.472,0.789
20700,414.999,122.082,166.043,1.57078,-2.020,2.020,-0.000,1.020,1.716
20701,408.500,122.082,165.000,0.00000,-1.020,1.020,-0.000,2.000,1.663
8068,414.757,122.082,166.928,-3.14159,-0.194,0.194,-0.226,0.226,0.887
20700,409.444,122.082,161.916,3.14159,-2.020,2.020,0.000,1.020,1.716
8068,408.133,122.082,162.419,3.14159,-0.194,0.194,-0.226,0.226,0.887
21046,412.038,122.168,161.495,-3.06683,-0.244,0.215,-0.540,0.276,1.679
8009,412.055,122.035,161.326,-3.08318,-1.512,0.493,-0.393,0.384,1.895
8011,413.149,122.035,161.515,0.01608,-0.359,0.346,-0.223,0.188,1.484
8018,413.021,123.021,161.715,-3.13467,-0.133,0.198,-0.124,0.039,0.597
8018,413.354,123.021,161.704,-3.13467,-0.133,0.198,-0.124,0.039,0.597
8018,413.361,122.555,161.790,-3.13467,-0.133,0.198,-0.124,0.039,0.597
8018,413.024,122.555,161.789,-3.13467,-0.133,0.198,-0.124,0.039,0.597
20321,415.592,122.082,169.540,-1.57080,-1.307,1.307,-0.487,0.487,1.007
20321,411.437,122.082,170.744,-3.14159,-1.307,1.307,-0.487,0.487,1.007
8075,411.922,123.009,170.613,0.78540,-0.102,0.102,-0.349,0.453,0.942
26534,405.272,122.082,161.586,-3.14159,-1.687,1.687,-0.750,0.750,0.917
8075,405.992,122.999,161.733,2.35620,-0.102,0.102,-0.349,0.453,0.942
8064,405.342,122.082,162.272,0.00000,-0.497,0.497,-0.472,0.472,0.789
20702,403.500,125.449,166.000,-1.57080,-1.032,1.032,-1.180,0.820,1.520
11285,296.979,119.833,75.221,0.00000,-1.558,1.537,-1.339,1.191,0.852
11284,288.700,119.083,75.720,0.00000,-1.333,1.440,-0.755,0.899,1.209
11285,314.038,120.048,57.632,0.08677,-1.558,1.537,-1.339,1.191,0.852
7702,313.930,120.901,57.935,-0.45180,-0.635,0.635,-0.419,0.419,0.246
11285,313.969,120.529,62.255,0.00000,-1.558,1.537,-1.339,1.191,0.852
11285,297.370,120.411,66.309,-0.78540,-1.558,1.537,-1.339,1.192,0.852
20361,295.111,120.529,69.539,1.52404,-0.708,0.721,-0.520,0.565,1.181
20361,295.149,120.529,70.410,-1.44968,-0.708,0.721,-0.520,0.565,1.181
7705,294.581,119.912,72.081,-1.69676,-1.333,1.301,-0.755,0.841,1.244
10375,386.149,111.591,185.844,0.00000,-2.000,2.000,-2.000,2.000,8.000
10375,380.647,111.591,185.825,0.00000,-2.000,2.000,-2.000,2.000,8.000
10375,375.305,111.591,185.843,0.00000,-2.000,2.000,-2.000,2.000,8.000
21883,404.783,120.000,148.530,0.00000,-1.114,0.661,-1.421,0.619,1.358
11304,415.586,120.000,144.696,0.00000,-1.283,1.283,-1.283,1.283,1.065
29330,287.500,120.529,61.000,0.00000,-1.947,2.527,-2.729,1.667,0.683
9326,412.776,120.000,146.437,2.35620,-0.221,0.221,-0.210,0.211,0.768
9325,413.539,120.000,146.606,2.35620,-0.410,0.410,-0.237,0.209,0.425
8072,408.224,120.000,157.095,0.00000,-0.395,0.395,-0.665,0.665,1.863
8069,358.821,120.279,151.575,0.00000,-1.046,1.046,-0.708,0.708,1.253
7703,417.886,126.389,85.708,0.00000,-2.150,2.143,-0.773,0.841,1.261
11284,422.034,126.744,89.509,-1.57080,-1.333,1.441,-0.755,0.899,1.209
7705,413.315,125.765,88.608,0.00000,-1.333,1.301,-0.755,0.841,1.244
11284,411.143,125.606,88.477,-3.14159,-1.333,1.441,-0.755,0.899,1.209
10426,368.881,120.279,150.754,0.00000,-0.181,0.181,-0.181,0.181,1.290
10426,365.101,120.279,150.740,0.00000,-0.181,0.181,-0.181,0.181,1.290
10426,393.000,120.000,147.500,0.00000,-0.181,0.181,-0.181,0.181,1.290
25635,116.098,109.351,175.503,0.00000,-1.302,1.502,-0.698,1.123,0.680
29330,114.000,109.324,176.000,-0.25710,-1.947,2.527,-2.729,1.667,0.683
10375,74.437,101.315,92.169,-0.51093,-2.000,2.000,-2.000,2.000,8.000
10375,63.798,101.493,146.973,0.31567,-2.000,2.000,-2.000,2.000,8.000
20657,75.310,109.987,180.464,-0.77710,-1.003,0.997,-0.950,1.309,1.000
11296,72.500,109.027,152.500,0.00000,-1.092,0.908,-0.956,1.273,1.000
11297,83.019,109.027,97.501,0.00000,-0.789,1.211,-0.842,1.190,1.000
20657,129.214,109.027,147.850,0.00000,-1.003,0.997,-0.950,1.309,1.000
11295,100.915,109.027,129.957,0.00000,-1.012,0.988,-1.124,1.288,1.000
20656,82.388,109.987,180.604,0.46873,-0.939,1.061,-0.991,1.257,1.000
20654,74.761,109.987,191.289,0.00000,-0.874,1.126,-1.002,1.010,1.000
26534,115.505,109.741,112.955,0.00000,-1.687,1.687,-0.750,0.750,0.917
21944,66.000,109.000,162.000,1.57080,-2.045,2.000,-2.045,2.045,9.000
20635,68.000,117.000,160.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20635,128.000,117.000,164.000,-1.57080,-0.045,0.045,-0.045,0.045,1.000
21944,126.000,109.000,162.000,0.00000,-2.045,2.000,-2.045,2.045,9.000
8065,373.934,119.529,169.842,0.27641,-0.260,0.260,-0.367,0.367,0.975
8065,379.093,119.529,169.427,-1.10934,-0.260,0.260,-0.367,0.367,0.975
8065,379.581,119.529,167.949,-3.10160,-0.260,0.260,-0.367,0.367,0.975
20656,71.000,109.027,125.000,1.57080,-0.939,1.061,-0.991,1.257,1.000
11295,22.000,106.526,148.000,-1.57080,-1.012,0.988,-1.124,1.288,1.000
20657,-25.840,97.224,131.572,0.00000,-1.003,0.997,-0.950,1.309,1.000
8064,116.635,110.061,116.595,2.80639,-0.497,0.497,-0.472,0.472,0.789
3861,-229.094,100.525,-59.322,-2.93757,-0.162,0.269,-0.444,1.097,1.610
3861,-243.850,102.390,-79.569,5.80010,-0.162,0.269,-0.444,1.097,1.610
3861,-221.357,101.170,-87.661,3.13460,-0.162,0.269,-0.444,1.097,1.610
8069,82.055,109.987,178.334,0.45393,-1.046,1.046,-0.708,0.708,1.253
25635,81.399,109.987,169.999,0.00000,-1.302,1.502,-0.698,1.123,0.680
11297,112.500,109.433,99.000,-1.57080,-0.789,1.211,-0.842,1.190,1.000
11296,120.000,109.433,101.500,2.35620,-1.091,0.908,-0.956,1.273,1.000
21479,-97.567,85.831,70.441,0.00000,-1.183,1.119,-0.910,1.306,1.000
24762,-99.851,85.854,71.331,0.00000,-1.086,0.914,-1.266,1.157,1.000
3860,196.621,108.372,86.418,-2.96381,-1.018,0.854,-0.796,1.035,1.438
3829,195.035,108.446,82.553,1.92470,-0.756,0.756,-2.224,2.224,0.490
11318,208.008,105.180,90.526,0.33562,-1.527,2.576,-0.957,0.348,0.340
7705,189.461,104.775,96.181,0.00000,-1.333,1.301,-0.755,0.841,1.244
11285,209.444,104.889,100.745,0.00000,-1.558,1.537,-1.339,1.191,0.852
11285,157.844,105.843,90.324,-1.14475,-1.558,1.537,-1.339,1.192,0.852
11284,161.153,104.850,94.502,-0.45940,-1.333,1.440,-0.755,0.899,1.209
11285,207.534,105.088,91.395,0.00000,-1.558,1.537,-1.339,1.191,0.852
20657,210.909,105.026,92.549,1.84899,-1.003,0.997,-0.950,1.309,1.000
29788,148.320,104.688,90.374,0.09607,-1.565,1.311,-1.467,1.834,0.566
20827,139.308,109.027,141.878,0.00000,-1.332,1.281,-1.302,1.326,1.190
3903,158.799,111.777,150.015,-1.19888,-1.051,1.051,-1.500,1.500,1.765
29788,201.381,92.630,95.122,0.00000,-1.565,1.311,-1.467,1.834,0.566
29788,190.576,88.231,113.178,0.29071,-1.565,1.311,-1.467,1.834,0.566
7705,-11.500,94.500,70.500,0.00000,-1.333,1.301,-0.755,0.841,1.244
29788,-164.451,85.378,3.301,0.15063,-1.565,1.311,-1.467,1.834,0.566
10653,-209.867,101.290,-81.532,0.00000,-1.206,1.206,-1.020,1.020,0.837
10653,-242.509,101.290,-61.073,0.00000,-1.206,1.206,-1.020,1.020,0.837
10653,-152.308,117.753,-45.409,-2.35619,-1.206,1.206,-1.020,1.020,0.837
24765,19.621,106.526,123.525,-1.57080,-1.300,1.025,-1.232,1.653,1.000
24766,75.629,109.987,176.266,2.94242,-1.177,1.090,-1.307,1.391,1.000
24765,124.063,109.027,142.523,-1.21035,-1.300,1.025,-1.232,1.653,1.000
24765,-24.142,96.774,120.356,-2.24432,-1.300,1.025,-1.106,1.653,0.897
24766,-19.901,97.274,155.862,0.00000,-1.177,1.090,-1.307,1.391,1.000
24765,-126.382,87.280,75.938,-2.30378,-1.300,1.025,-1.232,1.653,1.000
24766,-88.947,84.669,48.773,-3.14159,-1.177,1.090,-1.307,1.391,1.000
24766,77.822,109.027,126.290,-2.35619,-1.177,1.090,-1.307,1.391,1.000
24766,132.665,118.945,136.934,-0.78540,-1.177,1.090,-1.307,1.391,1.000
24765,81.376,109.027,149.042,-1.57080,-1.300,1.025,-1.232,1.653,1.000
7702,388.521,120.463,174.025,0.00000,-0.635,0.635,-0.419,0.419,0.246
7702,372.664,120.570,174.003,-1.35455,-0.635,0.635,-0.419,0.419,0.246
20362,357.719,120.325,153.038,-3.14159,-0.708,0.721,-0.520,0.565,1.181
9320,361.711,120.325,153.265,0.00000,-1.223,1.225,-0.534,0.534,0.498
20362,358.847,120.325,153.002,-3.14159,-0.708,0.721,-0.520,0.565,1.181
9320,356.683,120.325,156.510,-1.57080,-1.223,1.225,-0.534,0.534,0.498
8020,356.657,120.325,159.553,-1.57080,-0.646,0.645,-0.341,0.345,1.791
