classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
25638,48.157,209.019,-135.564,0.00000,-1.947,1.954,-1.676,1.667,0.916
25637,155.973,209.150,-55.926,0.36316,-1.561,1.565,-1.712,1.702,0.662
25636,62.728,209.032,-109.138,0.00000,-1.927,1.950,-0.924,1.688,0.315
30188,-283.000,189.348,-488.000,1.57078,-0.516,0.536,-0.540,0.541,1.322
29911,-63.059,188.277,429.426,1.43286,-1.476,1.446,-0.639,1.019,1.233
29938,164.210,211.553,-73.889,-3.14159,-0.876,0.614,-1.472,2.216,0.916
29903,161.000,209.010,-142.000,-1.57080,-0.889,1.073,-2.283,2.031,0.601
29916,130.982,209.208,-91.870,0.00000,-1.410,1.411,-1.415,1.415,0.600
30186,-329.000,208.801,-249.000,0.00000,-0.370,0.370,-0.370,0.370,1.048
30192,-313.000,209.000,-457.000,-1.57080,-0.300,0.300,-0.300,0.300,1.221
30192,-313.046,209.000,-457.723,-1.57080,-0.300,0.300,-0.300,0.300,1.221
30188,-286.680,209.051,-453.224,0.00000,-0.516,0.536,-0.540,0.541,1.322
30188,-253.613,208.801,-453.239,0.00000,-0.516,0.536,-0.540,0.541,1.322
30232,-289.000,209.000,-431.000,0.00000,-0.174,0.261,-0.266,0.173,0.778
30188,-320.814,209.015,-436.953,1.06882,-0.516,0.536,-0.540,0.541,1.322
30188,-294.000,208.801,-436.000,0.00000,-0.516,0.536,-0.540,0.541,1.322
30186,-227.000,214.497,-474.000,0.00000,-0.370,0.370,-0.370,0.370,1.048
24765,48.732,209.053,-121.252,-1.57080,-1.300,1.025,-1.232,1.653,1.000
24757,44.500,209.010,-135.000,0.00000,-1.000,1.031,-1.409,1.203,1.000
24766,-124.000,208.933,-279.000,1.57080,-1.177,1.090,-1.307,1.391,1.000
30186,-67.000,208.572,-366.000,0.00000,-0.370,0.370,-0.370,0.370,1.048
30194,-13.452,209.150,-338.935,-0.42459,-1.075,1.075,-2.855,2.855,1.017
30192,-19.500,209.000,-302.000,-1.57080,-0.300,0.300,-0.300,0.300,1.221
30192,-19.500,209.000,-303.000,-1.57080,-0.300,0.300,-0.300,0.300,1.221
30192,-127.500,208.998,-293.000,-3.14159,-0.300,0.300,-0.300,0.300,1.221
30192,-128.500,208.998,-293.000,-3.14159,-0.300,0.300,-0.300,0.300,1.221
30186,-112.890,209.332,-269.855,-0.71515,-0.370,0.370,-0.370,0.370,1.048
30186,-373.000,219.771,-556.000,0.00000,-0.370,0.370,-0.370,0.370,1.048
11285,145.219,210.031,-74.582,-0.10527,-1.558,1.537,-1.339,1.192,0.852
30188,164.848,209.032,-106.005,0.00000,-0.516,0.536,-0.540,0.541,1.322
30188,140.240,209.000,-144.466,0.00000,-0.516,0.536,-0.540,0.541,1.322
30192,15.500,209.000,-186.500,1.57080,-0.300,0.300,-0.300,0.300,1.221
30192,15.500,209.000,-185.500,1.57080,-0.300,0.300,-0.300,0.300,1.221
30192,-19.500,209.000,-261.000,-1.57080,-0.300,0.300,-0.300,0.300,1.221
29903,-289.273,189.348,-490.471,-3.03942,-0.889,1.073,-2.283,2.031,0.601
29938,-319.752,189.348,-539.897,0.00000,-0.876,0.614,-1.472,2.216,0.916
11285,-316.728,189.348,-529.458,0.00000,-1.558,1.537,-1.339,1.192,0.852
11318,-316.776,189.367,-530.612,0.00000,-1.527,2.576,-0.957,0.348,0.340
11284,-287.600,189.348,-534.688,0.89441,-1.333,1.440,-0.755,0.900,1.209
20375,-276.458,185.000,-676.706,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,-283.611,189.348,-540.507,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,-283.778,189.348,-538.034,0.00000,-0.774,0.782,-0.763,0.773,1.292
20374,-280.168,185.093,-545.783,0.00000,-0.774,0.782,-0.763,0.773,1.292
11303,-312.000,189.348,-515.000,0.52266,-0.989,1.002,-1.919,1.082,1.052
7705,-279.113,185.093,-641.974,0.00000,-1.333,1.301,-0.755,0.841,1.244
11285,-274.041,184.955,-639.903,0.00000,-1.558,1.537,-1.339,1.192,0.852
7703,-280.731,184.891,-640.641,1.57080,-2.150,2.143,-0.773,0.841,1.261
11285,-315.447,189.348,-517.359,0.00000,-1.558,1.537,-1.339,1.192,0.852
21817,-284.886,195.440,-486.469,-6.28319,-0.503,0.503,-0.532,0.846,1.046
