classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3628,330.970,116.276,244.932,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,332.284,116.274,243.930,0.00000,-0.719,0.687,-0.666,0.513,0.796
3630,198.015,123.154,357.932,0.00000,-0.349,0.343,-0.347,0.354,0.503
3640,190.620,128.374,354.100,0.00000,-0.669,0.994,-0.159,1.625,0.518
3629,190.358,128.615,355.372,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,193.505,127.342,355.667,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,190.788,124.535,311.401,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,192.855,127.562,355.112,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,188.102,130.188,350.320,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,188.322,130.291,350.889,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,185.919,130.457,348.603,0.00000,-0.719,0.687,-0.666,0.513,0.796
3642,194.103,127.389,360.809,0.00000,-0.862,0.962,-0.544,0.927,0.481
3642,188.897,129.427,356.353,0.00000,-0.862,0.962,-0.544,0.927,0.481
3629,320.627,123.835,412.660,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,340.940,112.035,389.603,0.00000,-0.422,0.322,-0.174,0.287,0.482
3628,271.563,114.499,370.548,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,272.114,114.346,370.445,0.00000,-0.719,0.687,-0.666,0.513,0.796
3630,272.371,114.747,371.071,0.00000,-0.349,0.343,-0.347,0.354,0.503
3640,268.483,115.276,365.936,0.00000,-0.669,0.994,-0.159,1.625,0.518
3640,269.316,115.405,367.404,-2.26195,-0.669,0.994,-0.159,1.625,0.518
3640,266.978,113.228,369.240,2.35620,-0.669,0.994,-0.159,1.625,0.518
3640,228.488,113.176,383.310,0.97389,-0.669,0.994,-0.159,1.625,0.518
3640,253.714,115.350,364.249,0.00000,-0.669,0.994,-0.159,1.625,0.518
3640,250.448,115.743,365.179,0.00000,-0.669,0.994,-0.159,1.625,0.518
3630,249.617,115.836,365.660,0.00000,-0.349,0.343,-0.347,0.354,0.503
3630,247.325,115.856,364.947,0.00000,-0.349,0.343,-0.347,0.354,0.503
3630,255.077,115.769,365.497,0.00000,-0.349,0.343,-0.347,0.354,0.503
3630,247.805,116.675,363.798,0.00000,-0.349,0.343,-0.347,0.354,0.503
3640,249.750,115.308,365.238,-0.87965,-0.669,0.994,-0.159,1.625,0.518
3640,219.534,112.677,378.701,-0.87965,-0.669,0.994,-0.159,1.625,0.518
3630,253.336,114.884,382.891,0.00000,-0.349,0.343,-0.347,0.354,0.503
3640,587.517,61.683,230.748,0.00000,-0.669,0.994,-0.159,1.625,0.518
3640,515.338,61.035,216.493,0.00000,-0.669,0.994,-0.159,1.625,0.518
3640,517.168,60.032,217.861,0.00000,-0.669,0.994,-0.159,1.625,0.518
3643,515.006,59.514,213.124,-1.01473,-0.924,0.786,-0.654,1.114,0.602
3629,520.509,60.177,217.460,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,468.628,58.527,184.717,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,490.449,59.203,196.055,0.00000,-0.422,0.322,-0.174,0.287,0.482
3643,467.326,57.716,174.797,0.00000,-0.924,0.786,-0.654,1.114,0.602
3642,467.939,57.965,180.229,0.00000,-0.862,0.962,-0.544,0.927,0.481
3628,471.574,58.321,177.590,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,469.743,58.098,182.312,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,433.640,59.452,73.655,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,347.240,57.797,-22.002,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,351.145,58.021,-53.839,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,362.205,59.891,-77.739,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,359.122,60.036,-22.006,0.00000,-0.422,0.322,-0.174,0.287,0.482
3628,351.115,59.469,-59.278,1.11527,-0.422,0.322,-0.174,0.287,0.482
3628,367.055,59.826,-12.801,0.00000,-0.422,0.322,-0.174,0.287,0.482
3628,358.711,59.151,-77.710,0.00000,-0.422,0.322,-0.174,0.287,0.482
3628,343.177,55.467,-27.844,1.11527,-0.422,0.322,-0.174,0.287,0.482
3629,339.793,56.091,-27.724,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,337.406,55.861,-29.825,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,346.467,57.549,-22.905,0.00000,-0.719,0.687,-0.666,0.513,0.796
3628,355.796,58.090,-52.402,0.00000,-0.422,0.322,-0.174,0.287,0.482
3629,347.505,57.368,-54.489,0.00000,-0.719,0.687,-0.666,0.513,0.796
3640,411.533,59.525,38.013,2.81801,-0.669,0.994,-0.159,1.625,0.518
3640,404.070,59.365,58.520,-1.80327,-0.669,0.994,-0.159,1.625,0.518
3640,404.873,59.470,55.411,-2.83057,-0.669,0.994,-0.159,1.625,0.518
3710,402.997,59.429,56.268,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,409.901,59.547,31.513,0.00000,-0.651,0.703,-0.538,0.540,0.634
3709,403.861,59.297,57.197,0.00000,-0.913,0.373,-0.575,0.937,1.194
3710,401.945,59.334,55.859,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,359.189,59.259,72.556,0.00000,-0.651,0.703,-0.538,0.540,0.634
3711,352.748,59.264,71.343,0.36442,-0.913,0.373,-0.575,0.912,1.013
3711,357.394,59.264,72.216,0.00000,-0.913,0.373,-0.575,0.912,1.013
3710,463.432,59.389,103.130,0.00000,-0.651,0.703,-0.538,0.540,0.634
3629,347.005,59.430,66.544,0.00000,-0.719,0.687,-0.666,0.513,0.796
3710,353.606,59.264,71.096,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,346.771,59.264,65.998,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,348.402,59.264,67.791,0.00000,-0.651,0.703,-0.538,0.540,0.634
3709,403.362,59.825,41.549,0.00000,-0.913,0.373,-0.575,0.937,1.194
3711,409.724,59.605,45.291,0.00000,-0.913,0.373,-0.575,0.912,1.013
3710,406.378,59.661,40.477,0.00000,-0.651,0.703,-0.538,0.540,0.634
3628,-54.830,103.485,233.478,0.00000,-0.422,0.322,-0.174,0.287,0.482
3716,-71.685,99.125,132.072,0.00000,-1.087,1.077,-0.781,1.116,0.923
3642,-75.419,99.799,116.644,0.00000,-0.862,0.962,-0.544,0.927,0.481
3643,-92.868,103.066,112.027,0.00000,-0.923,0.786,-0.654,1.114,0.602
3780,-123.973,114.025,395.467,0.24990,-1.800,1.814,-1.822,1.680,1.811
3780,-123.641,113.965,393.242,-0.62958,-1.800,1.814,-1.822,1.680,1.811
3642,-56.079,115.448,776.118,-0.94562,-0.862,0.962,-0.544,0.927,0.481
3628,16.000,150.142,734.000,0.00000,-0.422,0.322,-0.174,0.287,0.482
3642,-11.905,126.502,733.769,0.00000,-0.862,0.962,-0.544,0.927,0.481
3640,-8.887,126.466,733.687,0.00000,-0.669,0.994,-0.159,1.625,0.518
3728,-0.372,169.654,703.036,0.00000,-1.398,1.575,-0.920,1.086,1.194
3711,-39.398,126.468,709.139,0.00000,-0.913,0.373,-0.575,0.912,1.013
3709,-33.953,126.409,713.955,0.00000,-0.913,0.373,-0.575,0.937,1.194
3728,-26.910,125.761,721.557,0.00000,-1.398,1.575,-0.920,1.086,1.194
3631,-4.544,125.874,737.795,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,-28.671,126.124,724.478,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,-34.994,126.250,714.909,0.00000,-0.145,0.275,-0.245,0.212,0.331
3642,16.488,173.043,718.228,0.00000,-0.862,0.962,-0.544,0.927,0.481
3728,-29.629,114.723,740.582,0.00000,-1.398,1.575,-0.920,1.086,1.194
3728,-58.598,114.245,720.292,0.00000,-1.398,1.575,-0.920,1.086,1.194
3727,-78.678,115.905,699.826,0.00000,-1.575,1.398,-1.086,0.920,1.194
3643,24.847,153.610,786.777,-1.83155,-0.924,0.786,-0.654,1.114,0.602
3643,-35.834,153.206,789.455,0.00000,-0.923,0.786,-0.654,1.114,0.602
3643,-31.036,152.966,788.867,-1.54566,-0.924,0.786,-0.654,1.114,0.602
3642,-0.542,115.135,776.239,-2.05774,-0.862,0.962,-0.544,0.927,0.481
3642,-22.205,130.961,782.467,-0.48066,-0.862,0.962,-0.544,0.927,0.481
3642,-12.051,115.194,774.008,-0.48066,-0.862,0.962,-0.544,0.927,0.481
3640,-58.006,153.148,790.607,0.00000,-0.669,0.994,-0.159,1.625,0.518
3642,-58.000,115.432,768.000,0.00000,-0.862,0.962,-0.544,0.927,0.481
3643,-85.250,131.109,782.225,-2.45673,-0.924,0.786,-0.654,1.114,0.602
3642,-89.082,131.253,782.348,0.00000,-0.862,0.962,-0.544,0.927,0.481
3643,-90.751,131.387,780.910,0.00000,-0.923,0.786,-0.654,1.114,0.602
3727,-98.267,152.911,785.771,0.00000,-1.575,1.398,-1.086,0.920,1.194
3726,-131.143,176.309,743.517,0.00000,-1.516,1.457,-0.900,1.106,1.194
3640,-68.713,122.885,778.541,1.41372,-0.669,0.994,-0.159,1.625,0.518
3643,-4.080,153.816,789.055,-2.12686,-0.924,0.786,-0.654,1.114,0.602
3643,-15.302,154.385,789.669,0.00000,-0.923,0.786,-0.654,1.114,0.602
3709,-25.390,116.085,768.096,0.00000,-0.913,0.373,-0.575,0.937,1.194
3711,-25.247,115.466,767.115,0.00000,-0.913,0.373,-0.575,0.912,1.013
3727,-23.791,115.466,770.796,0.00000,-1.575,1.398,-1.086,0.920,1.194
3710,-12.257,126.069,734.586,0.00000,-0.651,0.703,-0.538,0.540,0.634
3629,-15.544,122.417,740.815,0.00000,-0.719,0.687,-0.666,0.513,0.796
3643,-85.823,115.466,725.855,0.00000,-0.923,0.786,-0.654,1.114,0.602
3709,-90.301,113.964,717.646,0.00000,-0.913,0.373,-0.575,0.937,1.194
3710,-86.685,114.274,722.554,0.00000,-0.651,0.703,-0.538,0.540,0.634
3727,-84.823,115.774,720.454,0.00000,-1.575,1.398,-1.086,0.920,1.194
3729,-84.078,115.670,717.877,0.00000,-1.516,1.457,-0.900,1.106,1.194
3643,50.324,153.792,779.080,0.00000,-0.923,0.786,-0.654,1.114,0.602
3716,22.378,133.510,752.904,1.71531,-1.087,1.077,-0.781,1.116,0.923
3716,19.661,133.658,751.000,0.00000,-1.087,1.077,-0.781,1.115,0.923
3716,-97.058,119.267,707.772,0.00000,-1.087,1.077,-0.781,1.115,0.923
3716,-84.777,115.905,716.432,0.00000,-1.087,1.077,-0.781,1.115,0.923
3640,-96.509,118.856,703.212,2.06403,-0.669,0.994,-0.159,1.625,0.518
3640,-91.474,115.903,716.600,2.54783,-0.669,0.994,-0.159,1.625,0.518
3710,-49.109,115.466,774.472,1.62734,-0.651,0.703,-0.538,0.540,0.634
3710,-41.693,115.466,755.322,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,-48.998,115.466,767.882,0.00000,-0.651,0.703,-0.538,0.540,0.634
3709,-32.836,115.466,753.586,0.00000,-0.913,0.373,-0.575,0.937,1.194
3711,-38.139,115.466,752.891,0.00000,-0.913,0.373,-0.575,0.912,1.013
3709,-35.211,115.466,752.949,0.00000,-0.913,0.373,-0.575,0.937,1.194
3710,-36.242,115.547,753.060,0.00000,-0.651,0.703,-0.538,0.540,0.634
3710,-49.984,115.737,769.211,0.00000,-0.651,0.703,-0.538,0.540,0.634
3628,-104.168,125.572,718.709,0.00000,-0.422,0.322,-0.174,0.287,0.482
3642,-47.494,123.441,712.209,0.00000,-0.862,0.962,-0.544,0.927,0.481
3642,-38.388,125.274,720.534,0.23248,-0.862,0.962,-0.544,0.927,0.481
3642,-63.259,118.470,706.913,-1.03044,-0.862,0.962,-0.544,0.927,0.481
3642,-41.280,123.134,723.211,-1.03044,-0.862,0.962,-0.544,0.927,0.481
3716,-66.561,118.241,705.389,0.00000,-1.087,1.077,-0.781,1.115,0.923
3640,-59.098,123.916,702.634,0.00000,-0.669,0.994,-0.159,1.625,0.518
3643,-61.103,123.587,702.151,0.00000,-0.923,0.786,-0.654,1.114,0.602
3643,-65.333,117.815,707.351,0.00000,-0.923,0.786,-0.654,1.114,0.602
3643,-74.210,118.217,684.536,-0.28588,-0.923,0.786,-0.654,1.114,0.602
3643,-73.710,118.360,696.841,0.00000,-0.923,0.786,-0.654,1.114,0.602
3643,-80.068,115.901,686.794,-1.46712,-0.924,0.786,-0.654,1.114,0.602
3709,-66.208,115.720,713.479,0.00000,-0.913,0.373,-0.575,0.937,1.194
3710,-68.034,115.901,711.988,0.00000,-0.651,0.703,-0.538,0.540,0.634
3727,-62.102,115.756,713.679,0.00000,-1.575,1.398,-1.086,0.920,1.194
3727,-61.533,112.408,721.687,0.00000,-1.575,1.398,-1.086,0.920,1.194
3711,-67.333,115.667,712.763,0.00000,-0.913,0.373,-0.575,0.912,1.013
3710,-53.312,114.222,729.254,0.00000,-0.651,0.703,-0.538,0.540,0.634
3728,-50.342,114.036,732.923,0.00000,-1.398,1.575,-0.920,1.086,1.194
