classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4435,136.422,5.224,45.108,-2.76014,-0.615,0.704,-0.653,0.647,0.704
4434,135.473,5.480,44.210,-1.95857,-0.535,0.753,-0.637,0.663,1.102
4434,150.908,4.636,48.061,0.99334,-0.535,0.753,-0.637,0.663,1.102
4435,57.185,3.953,-24.518,-1.83138,-0.615,0.704,-0.653,0.647,0.704
6221,36.900,-9.307,-42.599,0.00000,-0.197,0.197,-0.187,0.187,0.604
6215,38.428,-9.349,-41.576,0.00000,-0.200,0.200,-0.190,0.190,0.364
6222,36.361,-9.345,-42.587,0.00000,-0.217,0.217,-0.206,0.206,0.720
3903,156.480,3.634,3.162,-0.39316,-1.051,1.051,-1.500,1.500,1.765
10425,202.800,1.800,109.800,0.53196,-0.594,0.594,-0.527,0.527,1.137
7463,204.005,3.598,146.368,0.00000,-1.864,1.864,-2.053,-0.735,1.508
7466,204.011,4.745,144.682,0.00000,-0.355,0.355,-0.050,0.200,0.413
7744,202.879,4.769,144.693,0.00000,-0.619,0.619,-0.062,0.212,0.428
7743,205.120,4.756,144.697,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,202.842,3.885,110.087,0.54937,-0.619,0.619,-0.062,0.212,0.428
7744,189.100,4.000,24.500,3.12243,-0.619,0.619,-0.062,0.212,0.428
7466,188.009,3.989,24.436,3.12243,-0.355,0.356,-0.050,0.200,0.413
7743,186.900,4.000,24.400,3.12243,-0.619,0.619,-0.062,0.212,0.428
7463,188.047,2.842,22.750,3.12243,-1.864,1.864,-2.053,-0.734,1.508
7465,306.243,5.395,111.938,1.56166,-0.619,0.619,-0.062,0.212,0.428
10425,138.370,2.752,75.029,-1.57079,-0.594,0.594,-0.527,0.527,1.137
20362,1.819,30.591,114.852,-0.51128,-0.708,0.721,-0.520,0.565,1.181
21498,2.732,30.481,113.770,0.00000,-0.218,0.440,-0.578,0.924,0.708
9327,0.764,30.549,113.021,-0.42095,-1.566,1.585,-0.441,0.443,0.208
11297,-43.648,30.427,24.418,0.00000,-0.789,1.211,-0.842,1.190,1.000
10985,16.591,13.365,18.327,0.00000,-1.000,1.000,-1.000,1.000,1.000
11298,70.185,12.933,39.497,-3.02013,-0.436,0.882,-0.339,0.318,0.571
9303,70.155,12.943,40.165,0.87298,-0.201,0.201,-0.225,0.225,0.376
21569,-2.101,36.703,86.641,0.00000,-0.720,0.914,-0.296,0.631,0.002
21570,-4.029,36.504,86.552,0.00000,-1.008,0.959,-1.224,1.008,0.002
20832,61.263,11.617,159.588,-0.51682,-1.663,2.060,-1.385,1.298,1.911
20830,42.953,11.988,152.723,-2.35619,-1.661,1.651,-2.358,2.358,1.848
20826,59.546,12.797,162.375,0.00000,-0.973,0.969,-0.957,0.944,1.190
20830,37.713,11.986,172.509,0.55283,-1.661,1.651,-2.358,2.358,1.848
10775,60.554,12.797,170.906,2.12139,-0.839,0.838,-0.845,0.813,1.634
10775,58.645,12.797,171.938,-0.75581,-0.839,0.838,-0.845,0.813,1.634
20827,62.853,11.617,178.582,0.00000,-1.332,1.281,-1.302,1.326,1.190
20829,71.016,11.991,180.444,0.00000,-1.661,1.651,-1.180,1.180,1.848
3903,68.690,11.617,160.669,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,43.693,11.617,162.539,-1.57080,-1.051,1.051,-1.500,1.500,1.765
7087,220.000,10.000,-24.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
