classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3903,-142.664,182.464,133.678,3.14159,-1.051,1.051,-1.500,1.500,1.765
3903,-143.161,182.517,138.839,-3.14159,-1.051,1.051,-1.500,1.500,1.765
3903,-142.230,182.511,136.429,2.18227,-1.051,1.051,-1.500,1.500,1.765
3903,-140.572,181.386,136.279,0.50588,-1.051,1.051,-1.500,1.500,1.765
3903,89.742,211.322,111.054,-1.53725,-1.051,1.051,-1.500,1.500,1.765
3903,90.973,211.614,113.509,-1.37070,-1.051,1.051,-1.500,1.500,1.765
3903,89.024,211.366,109.324,-1.53725,-1.051,1.051,-1.500,1.500,1.765
10421,501.694,231.982,-200.115,1.62215,-0.739,0.739,-2.053,-0.735,1.508
10421,479.998,231.982,-177.855,0.04197,-0.739,0.739,-2.053,-0.734,1.508
10421,479.949,231.982,-221.078,3.04141,-0.739,0.739,-2.053,-0.735,1.508
20829,-38.019,153.494,92.861,0.00000,-1.661,1.651,-1.180,1.180,1.848
9327,-121.792,205.608,519.655,-3.14159,-1.566,1.585,-0.441,0.443,0.208
20362,-118.663,205.608,521.502,-1.02870,-0.708,0.720,-0.520,0.565,1.181
20362,-119.221,205.608,520.622,2.04860,-0.708,0.721,-0.520,0.565,1.181
20362,-118.932,206.427,521.116,2.04860,-0.708,0.721,-0.520,0.565,1.181
20830,-67.827,187.912,294.584,0.00000,-1.661,1.651,-2.358,2.358,1.848
20832,-122.935,160.769,390.487,1.96350,-1.663,2.060,-1.385,1.298,1.911
3903,-124.016,161.531,395.353,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-87.705,196.181,337.705,-0.78540,-1.051,1.051,-1.500,1.500,1.765
20830,-46.000,171.795,166.000,-1.57080,-1.661,1.651,-2.358,2.358,1.848
20830,32.474,153.604,-2.946,0.00000,-1.661,1.651,-2.358,2.358,1.848
20615,475.371,231.617,-201.910,-2.35619,-1.009,1.011,-0.509,0.965,1.979
20615,481.977,231.617,-198.076,0.00000,-1.009,1.011,-0.509,0.965,1.979
20615,500.168,231.876,-204.948,2.35620,-1.009,1.011,-0.509,0.965,1.979
20829,512.941,233.608,-199.982,-1.57080,-1.661,1.651,-1.180,1.180,1.848
20827,486.554,231.986,-181.164,2.35620,-1.332,1.281,-1.302,1.326,1.190
20830,469.495,231.617,-193.951,-2.65308,-1.661,1.651,-2.358,2.358,1.848
20826,472.687,231.617,-210.632,0.00000,-0.973,0.969,-0.957,0.944,1.190
20782,-120.694,201.331,467.323,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-224.350,212.576,311.081,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-160.342,186.756,317.765,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-181.769,186.748,329.726,0.00000,-0.740,0.740,-0.704,0.704,1.356
20830,91.902,145.608,119.344,0.00000,-1.661,1.651,-2.358,2.358,1.848
20830,96.965,209.897,26.684,-0.29664,-1.661,1.651,-2.358,2.358,1.848
20830,174.036,203.137,-75.868,0.00000,-1.661,1.651,-2.358,2.358,1.848
7466,12.010,155.682,0.485,-3.14159,-0.355,0.355,-0.050,0.200,0.413
