classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7087,-208.000,108.000,-572.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-212.000,108.000,-572.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-220.000,108.000,-572.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-224.000,108.000,-572.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-40.000,108.000,-428.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-40.000,108.000,-424.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-40.000,108.000,-416.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-40.000,108.000,-412.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-56.000,116.000,-412.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-56.000,116.000,-416.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-55.996,116.000,-424.019,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-56.000,116.000,-428.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-104.000,108.000,-412.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-104.000,108.000,-416.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-104.000,108.000,-424.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-104.000,108.000,-428.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
6174,-149.344,50.985,-94.797,0.00000,-0.745,0.485,-0.781,0.709,0.997
7466,-128.437,102.838,-457.063,-1.59712,-0.355,0.356,-0.050,0.200,0.413
7463,-81.239,109.561,-484.007,-1.57079,-1.864,1.864,-2.053,-0.734,1.508
7466,-145.135,104.249,-580.161,3.11527,-0.355,0.355,-0.050,0.200,0.413
7463,71.212,99.975,-659.968,1.57080,-1.864,1.864,-2.053,-0.734,1.508
7743,41.168,101.677,-627.618,0.00000,-0.619,0.619,-0.062,0.213,0.428
7744,38.918,101.677,-627.618,0.00000,-0.619,0.619,-0.062,0.213,0.428
7465,40.043,101.893,-627.618,0.00000,-0.619,0.619,-0.062,0.213,0.428
7744,38.811,103.415,-692.018,3.14159,-0.619,0.619,-0.062,0.212,0.428
7465,39.936,103.632,-692.018,3.14159,-0.619,0.619,-0.062,0.212,0.428
7743,41.061,103.415,-692.018,3.14159,-0.619,0.619,-0.062,0.212,0.428
3903,141.000,69.286,-124.000,0.08324,-1.051,1.051,-1.500,1.500,1.765
3903,135.647,69.204,-128.109,-0.69527,-1.051,1.051,-1.500,1.500,1.765
7465,-29.172,102.494,-494.784,-2.09439,-0.619,0.619,-0.062,0.212,0.428
7743,-15.960,104.678,-482.865,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7743,-16.040,104.678,-485.135,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,-2.828,102.494,-473.216,1.04720,-0.619,0.619,-0.062,0.212,0.428
7465,-29.058,102.494,-473.177,-1.04720,-0.619,0.619,-0.062,0.212,0.428
7465,-2.942,102.494,-494.823,2.09439,-0.619,0.619,-0.062,0.212,0.428
7743,-16.040,104.678,-549.135,0.00000,-0.619,0.619,-0.062,0.213,0.428
7743,-15.960,104.678,-546.865,-3.14159,-0.619,0.619,-0.063,0.212,0.428
7466,-79.648,110.937,-485.132,-1.57079,-0.355,0.356,-0.050,0.200,0.413
7463,33.502,109.569,-547.848,1.56183,-1.864,1.864,-2.053,-0.734,1.508
7466,31.901,110.944,-546.737,1.56182,-0.355,0.355,-0.050,0.200,0.413
7463,-95.834,109.580,-547.801,1.55311,-1.864,1.864,-2.053,-0.734,1.508
7466,-97.457,110.955,-548.879,1.60007,-0.356,0.355,-0.050,0.200,0.413
7463,-209.590,109.555,-547.915,-1.57079,-1.864,1.864,-2.053,-0.735,1.508
7466,-208.000,110.930,-546.790,-1.57079,-0.355,0.356,-0.050,0.200,0.413
7463,32.779,109.569,-483.400,1.56183,-1.864,1.864,-2.053,-0.734,1.508
7466,31.179,110.944,-482.290,1.56182,-0.355,0.355,-0.050,0.200,0.413
7743,-81.307,123.777,-145.762,0.00000,-0.619,0.619,-0.062,0.212,0.428
7463,-80.179,121.569,-144.279,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7465,-79.057,123.777,-145.762,0.00000,-0.619,0.619,-0.062,0.212,0.428
7466,-81.304,122.573,-146.125,0.00000,-0.355,0.355,-0.050,0.200,0.413
20412,-69.045,46.690,-1.511,0.00000,-0.328,0.660,-0.580,0.580,0.589
20832,-93.264,48.095,-17.506,0.51055,-1.663,2.060,-1.385,1.298,1.911
20828,-16.832,49.007,-38.693,-1.37935,-0.998,1.654,-0.941,1.066,1.190
20829,-14.268,49.137,-37.067,0.23226,-1.661,1.651,-1.180,1.180,1.848
20782,-31.318,48.418,-27.364,0.24388,-0.740,0.740,-0.704,0.704,1.356
20412,-55.495,46.657,-1.421,3.13519,-0.328,0.660,-0.580,0.580,0.589
20782,-144.623,92.713,-216.202,-2.30180,-0.740,0.740,-0.704,0.704,1.356
20782,-129.936,93.723,-230.268,-2.30180,-0.740,0.740,-0.704,0.704,1.356
7478,-27.746,55.769,-68.938,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,-104.051,55.392,-67.773,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,-3.353,99.192,-268.253,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,-148.216,99.192,-238.568,0.00000,-2.226,2.226,-2.499,2.448,0.507
7743,69.356,100.987,-659.593,1.57079,-0.619,0.619,-0.062,0.212,0.428
7744,69.356,100.987,-661.093,1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,69.742,102.183,-658.840,1.57079,-0.356,0.355,-0.050,0.200,0.413
7466,69.742,102.183,-661.090,1.57079,-0.356,0.355,-0.050,0.200,0.413
20507,-139.125,99.617,-560.898,2.69682,-0.879,0.879,-0.969,1.137,1.907
11301,-135.252,99.617,-558.657,2.55008,-0.879,0.879,-0.969,1.137,1.886
11277,-154.711,100.809,-555.659,2.44500,-0.174,0.174,-0.358,0.358,0.188
20832,-47.975,48.259,-17.223,0.56051,-1.663,2.060,-1.385,1.298,1.911
20782,-75.957,48.033,-13.854,0.00000,-0.740,0.740,-0.704,0.704,1.356
20832,-64.072,99.617,-667.800,1.67595,-1.663,2.060,-1.385,1.298,1.911
10420,-65.469,99.981,-679.973,2.64958,-1.114,1.114,-2.053,-0.735,1.508
7466,-65.503,101.518,-678.321,2.64958,-0.355,0.355,-0.050,0.200,0.413
11301,-74.888,99.975,-637.066,-0.04421,-0.879,0.879,-0.969,1.137,1.863
11254,-69.644,99.975,-637.103,0.09291,-0.879,0.879,-0.969,1.136,1.857
7743,-66.676,100.993,-678.515,2.64958,-0.619,0.619,-0.062,0.212,0.428
9327,-271.893,15.030,316.516,-1.57079,-1.566,1.585,-0.441,0.443,0.208
20362,-268.627,13.607,316.055,-2.35619,-0.708,0.720,-0.520,0.565,1.181
20362,-270.589,13.607,315.355,-3.01308,-0.708,0.720,-0.520,0.565,1.181
