classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7900,155.750,149.250,-263.500,-0.78540,-0.770,0.770,-0.537,0.538,0.266
7901,159.000,148.750,-262.000,0.00000,-0.655,0.556,-0.452,0.541,0.218
7900,162.750,149.000,-263.000,0.70740,-0.770,0.770,-0.538,0.538,0.266
21959,-48.893,147.741,478.178,0.00000,-1.000,1.000,-1.000,1.000,1.000
21957,-1.259,148.151,562.193,0.00000,-1.000,1.000,-1.000,1.000,1.000
21959,-105.203,150.321,554.967,0.00000,-1.000,1.000,-1.000,1.000,1.000
21957,-59.772,147.644,480.684,0.00000,-1.000,1.000,-1.000,1.000,1.000
20373,-50.223,172.542,-469.330,0.00000,-0.781,0.778,-0.777,0.757,1.292
20654,-44.337,162.500,-432.502,1.48786,-0.874,1.126,-1.002,1.010,1.000
11297,-48.589,162.500,-431.098,0.00000,-0.789,1.211,-0.842,1.190,1.000
11277,-44.172,162.500,-431.070,0.36093,-0.174,0.174,-0.358,0.358,0.188
20655,-48.213,164.532,-438.534,0.02175,-1.046,0.954,-0.986,1.328,1.000
20363,-53.000,157.700,-426.100,0.66120,-0.708,0.721,-0.520,0.565,1.181
20362,-46.173,158.500,-418.985,0.68552,-0.708,0.721,-0.520,0.565,1.181
20372,-49.014,162.799,-434.563,0.17274,-0.382,0.382,-0.382,0.382,1.292
20371,-42.320,167.261,-443.792,1.09751,-0.382,0.382,-0.382,0.382,1.292
20363,-48.204,166.796,-446.029,0.83146,-0.708,0.720,-0.520,0.565,1.181
21498,-58.720,172.781,-456.264,0.00000,-0.218,0.440,-0.578,0.924,0.708
20655,18.929,176.793,-408.840,0.00000,-1.046,0.954,-0.986,1.328,1.000
20654,22.754,176.793,-407.245,0.00000,-0.874,1.126,-1.002,1.010,1.000
11277,-16.738,180.044,-396.352,0.00000,-0.174,0.174,-0.358,0.358,0.188
20655,-16.139,180.044,-397.606,0.00000,-1.046,0.954,-0.986,1.328,1.000
11295,-11.500,181.828,-338.750,0.00000,-1.012,0.988,-1.124,1.288,1.000
11296,-33.369,177.181,-335.670,-1.24098,-1.091,0.908,-0.956,1.273,1.000
20362,60.718,185.482,-227.632,0.00000,-0.708,0.721,-0.520,0.565,1.181
20371,63.007,185.482,-242.910,0.00000,-0.382,0.382,-0.382,0.382,1.292
20371,63.309,185.482,-240.132,0.00000,-0.382,0.382,-0.382,0.382,1.292
7082,62.870,185.482,-224.807,0.00000,-0.414,0.411,-0.378,0.385,0.521
20363,67.840,185.482,-225.352,0.00000,-0.708,0.721,-0.520,0.565,1.181
20373,70.234,185.482,-230.441,0.00000,-0.781,0.778,-0.777,0.757,1.292
20362,163.105,148.650,-258.353,-0.82637,-0.708,0.721,-0.520,0.565,1.181
20363,171.179,148.508,-253.936,-0.35699,-0.708,0.721,-0.520,0.565,1.181
20363,160.250,148.924,-233.000,0.28978,-0.708,0.721,-0.520,0.565,1.181
6334,168.902,149.184,-231.111,0.57193,-0.259,0.259,-0.134,0.134,0.358
20372,146.180,149.049,-232.614,-0.40558,-0.382,0.382,-0.382,0.382,1.292
20372,166.685,149.072,-240.452,1.18595,-0.382,0.382,-0.382,0.382,1.292
11297,160.250,149.331,-242.500,0.82282,-0.789,1.211,-0.842,1.190,1.000
20362,177.030,148.881,-246.362,-0.00000,-0.708,0.721,-0.520,0.565,1.181
8079,-26.409,171.792,-457.470,0.00000,-0.471,0.471,-0.484,0.484,0.795
8006,-26.125,172.583,-457.663,0.00000,-0.191,0.191,-0.277,0.172,0.378
8012,-26.622,172.583,-457.508,1.55075,-0.334,0.339,-0.192,0.208,0.263
10653,8.700,176.500,-401.600,-0.74025,-1.206,1.206,-1.020,1.020,0.837
20372,-57.080,158.077,-440.106,-2.18356,-0.382,0.382,-0.382,0.382,1.292
20372,-58.117,158.130,-428.401,-0.61263,-0.382,0.382,-0.382,0.382,1.292
7546,12.153,171.915,-454.440,0.00000,-0.963,0.942,-0.497,0.846,1.553
4444,17.880,172.725,-457.582,0.00000,-1.821,1.350,-1.708,1.528,1.755
7546,-75.297,169.040,-282.684,0.00000,-0.963,0.942,-0.497,0.846,1.553
4444,-24.725,166.864,-259.656,-1.57080,-1.821,1.350,-1.708,1.528,1.755
4444,-70.891,164.527,-268.498,0.00000,-1.821,1.350,-1.708,1.528,1.755
4321,-64.491,162.500,-239.690,0.00000,-1.078,1.252,-0.903,1.651,0.311
20362,309.001,131.456,-202.031,0.29127,-0.708,0.720,-0.520,0.565,1.181
20363,311.750,131.500,-196.000,0.00000,-0.708,0.720,-0.520,0.565,1.181
20361,309.843,132.000,-206.200,0.41782,-0.708,0.721,-0.520,0.565,1.181
20363,303.093,131.094,-206.184,-0.20882,-0.708,0.720,-0.520,0.565,1.181
9303,-34.383,177.259,-336.283,-1.05080,-0.200,0.201,-0.225,0.225,0.376
20363,-33.608,177.211,-329.784,0.07531,-0.708,0.721,-0.520,0.565,1.181
4444,35.730,135.906,41.114,-1.57080,-1.821,1.350,-1.708,1.528,1.755
4444,65.821,141.023,46.764,2.35620,-1.821,1.350,-1.708,1.528,1.755
4321,24.599,131.034,37.870,0.00000,-1.078,1.252,-0.903,1.651,0.311
4321,-0.294,131.109,38.746,0.00000,-1.078,1.252,-0.903,1.651,0.311
4321,2.411,131.109,16.504,0.00000,-1.078,1.252,-0.903,1.651,0.311
4321,-74.133,131.019,-11.729,-1.57080,-1.078,1.252,-0.903,1.651,0.311
4444,-118.629,163.842,64.089,-1.57080,-1.821,1.350,-1.708,1.528,1.755
4444,-121.018,163.315,52.963,2.35620,-1.821,1.350,-1.708,1.528,1.755
4444,-207.703,155.788,95.371,2.35620,-1.821,1.350,-1.708,1.528,1.755
4321,-146.396,131.008,41.903,-1.57080,-1.078,1.252,-0.903,1.651,0.311
4321,-41.807,131.019,-87.360,0.00000,-1.078,1.252,-0.903,1.651,0.311
4321,-19.619,131.032,-65.995,0.00000,-1.078,1.252,-0.903,1.651,0.311
4099,231.971,136.364,-238.528,0.00000,-0.809,1.693,-1.332,2.171,0.649
4100,218.371,146.193,-266.740,-0.52909,-1.187,1.084,-1.700,1.847,0.672
20371,224.466,146.558,-227.176,0.00000,-0.382,0.382,-0.382,0.382,1.292
20363,216.266,146.494,-272.280,-1.57079,-0.708,0.721,-0.520,0.565,1.181
20363,217.220,146.371,-273.054,-0.78540,-0.708,0.721,-0.520,0.565,1.181
20361,223.291,146.356,-262.539,-0.78540,-0.708,0.721,-0.520,0.565,1.181
7082,224.617,146.367,-262.080,-2.35619,-0.414,0.411,-0.378,0.385,0.521
20372,217.194,146.752,-244.106,2.46678,-0.382,0.382,-0.382,0.382,1.292
20372,218.351,146.366,-244.552,0.00000,-0.382,0.382,-0.382,0.382,1.292
20362,223.644,146.372,-226.933,-0.78540,-0.708,0.721,-0.520,0.565,1.181
20363,223.929,146.367,-228.867,0.32046,-0.708,0.720,-0.520,0.565,1.181
4444,90.356,168.438,-196.288,-1.57080,-1.821,1.350,-1.708,1.528,1.755
4444,234.897,140.119,-274.396,0.00000,-1.821,1.350,-1.708,1.528,1.755
4444,228.066,146.320,-214.917,0.00000,-1.821,1.350,-1.708,1.528,1.755
4444,93.979,166.972,-235.895,-1.57079,-1.821,1.350,-1.708,1.528,1.755
4321,42.466,172.826,-183.987,0.00000,-1.078,1.252,-0.903,1.651,0.311
4444,-233.425,138.142,-334.307,0.00000,-1.821,1.350,-1.708,1.528,1.755
4444,-166.995,156.187,-258.429,-2.35619,-1.821,1.350,-1.708,1.528,1.755
7751,-339.250,166.750,-326.000,-3.14159,-2.350,2.657,-2.015,1.295,1.958
20363,-36.397,172.542,-476.960,-0.78540,-0.708,0.721,-0.520,0.565,1.181
20363,-38.709,172.509,-474.798,-1.57079,-0.708,0.721,-0.520,0.565,1.181
1960,-125.796,158.138,-281.019,0.00000,-1.000,1.000,-1.272,1.272,2.000
1960,-206.956,154.225,101.419,-1.43172,-1.000,1.000,-1.000,1.000,2.000
1960,-104.811,142.185,322.705,0.21689,-1.000,1.000,-1.000,1.000,2.000
1960,-104.676,142.154,322.629,0.16712,-2.795,2.796,-1.000,1.000,2.000
1960,-81.858,149.399,281.016,0.00000,-1.974,1.974,-1.000,1.000,2.000
1960,-3.269,142.644,311.367,0.41755,-2.963,2.963,-1.213,1.213,2.000
22243,-68.001,148.375,585.751,2.53795,-0.351,0.351,-0.004,0.004,0.338
22282,-68.001,149.199,585.751,2.53795,-0.351,0.351,-0.004,0.004,0.338
22476,-68.001,147.549,585.751,2.53795,-0.351,0.351,-0.004,0.004,0.338
22488,-68.001,146.722,585.751,2.53795,-0.351,0.351,-0.004,0.004,0.338
22388,-39.749,148.375,585.751,-2.52694,-0.351,0.351,-0.004,0.004,0.338
22368,-39.749,149.199,585.751,-2.52694,-0.351,0.351,-0.004,0.004,0.338
22320,-39.749,147.549,585.751,-2.52694,-0.351,0.351,-0.004,0.004,0.338
22517,-39.749,146.722,585.751,-2.52694,-0.351,0.351,-0.004,0.004,0.338
22476,-62.264,175.828,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
22433,-62.264,174.920,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
22300,-62.264,174.029,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
22275,-62.264,173.126,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
22340,-62.264,172.225,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
22435,-62.250,171.303,-163.250,-3.14159,-0.351,0.351,-0.004,0.004,0.338
20372,-49.644,172.907,-468.027,-0.69002,-0.382,0.382,-0.382,0.382,1.292
7082,-51.028,172.542,-466.785,2.13445,-0.414,0.411,-0.378,0.385,0.521
