classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3630,-304.300,135.900,274.300,0.00000,-0.349,0.343,-0.347,0.354,0.503
4410,637.526,111.470,461.357,-0.78540,-1.016,1.072,-0.245,0.604,1.087
4411,642.188,111.436,464.736,-1.22522,-0.464,0.470,-0.120,0.404,0.660
4411,611.714,109.749,424.546,0.21991,-0.464,0.470,-0.121,0.403,0.660
3709,519.742,109.794,564.603,0.00000,-0.913,0.373,-0.575,0.937,1.194
3709,513.752,109.794,562.828,-1.97920,-0.913,0.373,-0.575,0.937,1.194
3709,513.426,109.794,554.976,2.19912,-0.913,0.373,-0.575,0.937,1.194
3709,509.895,109.500,555.184,0.00000,-0.913,0.373,-0.575,0.937,1.194
3709,516.847,109.500,563.176,0.00000,-0.913,0.373,-0.575,0.937,1.194
3709,517.572,110.098,548.440,-1.97920,-0.913,0.373,-0.575,0.937,1.194
3709,525.940,109.794,532.315,-1.97920,-0.913,0.373,-0.575,0.938,1.194
3709,529.035,109.500,532.663,0.00000,-0.913,0.373,-0.575,0.937,1.194
3709,531.931,109.794,534.090,0.00000,-0.913,0.373,-0.575,0.937,1.194
4444,558.425,109.940,473.092,0.00000,-1.821,1.350,-1.708,1.528,1.755
4444,588.690,110.909,463.665,-0.72257,-1.821,1.350,-1.708,1.528,1.755
3727,-375.172,132.454,-364.080,0.00000,-1.575,1.398,-1.086,0.920,1.194
3727,-378.548,133.674,-400.658,-1.85354,-1.575,1.398,-1.086,0.920,1.194
3727,-350.992,132.754,-369.052,-1.47655,-1.575,1.398,-1.086,0.920,1.194
3727,-348.642,132.762,-361.692,2.29336,-1.575,1.398,-1.086,0.920,1.194
3727,-378.923,133.615,-386.550,0.00000,-1.575,1.398,-1.086,0.920,1.194
3728,-441.821,132.810,-358.405,-2.32478,-1.398,1.575,-0.920,1.086,1.194
3727,-430.937,132.454,-354.670,0.18849,-1.575,1.398,-1.086,0.920,1.194
3728,-400.405,134.025,-332.382,0.56549,-1.398,1.575,-0.920,1.086,1.194
3727,-410.018,132.454,-338.706,3.07876,-1.575,1.398,-1.086,0.920,1.194
3727,-418.849,132.357,-337.233,0.56549,-1.575,1.398,-1.086,0.920,1.194
3728,-485.891,132.454,-370.657,2.67035,-1.398,1.575,-0.920,1.086,1.194
3727,-503.453,132.228,-418.015,0.72257,-1.575,1.398,-1.086,0.920,1.194
3727,-456.533,133.838,-381.714,2.45044,-1.575,1.398,-1.086,0.920,1.194
3727,-460.664,133.838,-389.657,-1.31947,-1.575,1.398,-1.086,0.920,1.194
3727,-355.626,133.531,-410.627,2.35619,-1.575,1.398,-1.086,0.920,1.194
3727,-381.178,133.531,-423.110,1.57080,-1.575,1.398,-1.086,0.920,1.194
3727,-400.871,131.785,-366.421,-0.43982,-1.575,1.398,-1.086,0.920,1.194
3727,-393.824,133.361,-369.066,-1.85354,-1.575,1.398,-1.086,0.920,1.194
3727,-438.425,133.534,-454.795,-2.85885,-1.575,1.398,-1.086,0.920,1.194
3727,-449.820,133.885,-443.171,0.72257,-1.575,1.398,-1.086,0.920,1.194
3727,-460.637,132.454,-498.917,0.72257,-1.575,1.398,-1.086,0.920,1.194
3727,-384.054,132.853,-378.191,-1.85354,-1.575,1.398,-1.086,0.920,1.194
3727,-370.297,132.308,-392.976,-0.47124,-1.575,1.398,-1.086,0.920,1.194
4275,-415.546,135.194,-367.900,-2.19911,-1.016,0.904,-0.930,0.346,1.402
4275,-389.754,136.276,334.473,-1.28805,-1.016,0.904,-0.930,0.346,1.402
3716,-590.196,145.160,721.609,0.63409,-1.087,1.078,-0.780,1.116,0.923
3642,-590.235,145.235,720.328,0.00000,-0.862,0.962,-0.544,0.927,0.481
3642,-591.459,145.272,719.374,0.00000,-0.862,0.962,-0.544,0.927,0.481
3643,-609.299,143.144,709.687,0.46755,-0.923,0.786,-0.654,1.114,0.602
3643,-609.840,142.781,708.574,0.00000,-0.923,0.786,-0.654,1.114,0.602
3780,-593.728,144.868,722.215,0.76203,-1.800,1.814,-1.822,1.680,1.811
3642,-592.494,144.415,681.171,0.00000,-0.862,0.962,-0.544,0.927,0.481
3643,-591.792,143.541,680.420,-0.69207,-0.923,0.786,-0.654,1.114,0.602
3716,-563.978,138.854,644.818,-0.65580,-1.087,1.077,-0.781,1.115,0.923
3642,-567.053,139.847,645.787,-0.10433,-0.862,0.962,-0.544,0.927,0.481
3642,-672.956,137.748,641.184,0.42733,-0.862,0.962,-0.544,0.927,0.481
3728,-670.114,137.626,641.798,0.00000,-1.398,1.575,-0.920,1.086,1.194
3727,-668.064,137.886,641.599,0.00000,-1.575,1.398,-1.086,0.920,1.194
6220,-236.363,178.000,-540.491,1.14756,-0.099,0.087,-0.500,0.503,0.170
6222,-230.662,178.000,-520.263,-1.28407,-0.217,0.217,-0.206,0.206,0.720
6222,-228.870,178.000,-522.315,-0.62453,-0.216,0.217,-0.206,0.206,0.720
6221,-237.810,178.000,-520.542,0.00000,-0.197,0.197,-0.187,0.187,0.604
6221,-236.905,178.000,-520.591,0.96089,-0.197,0.197,-0.187,0.187,0.604
6214,-231.608,179.000,-532.732,2.35619,-0.433,0.433,-0.422,0.422,1.013
6214,-232.275,179.000,-527.580,0.78540,-0.433,0.433,-0.422,0.422,1.013
6214,-230.329,179.000,-531.693,1.57079,-0.433,0.433,-0.422,0.422,1.013
6222,-241.375,178.000,-542.029,-0.35779,-0.217,0.217,-0.206,0.206,0.720
6222,-240.926,178.000,-541.704,-2.62233,-0.217,0.217,-0.206,0.206,0.720
6222,-240.879,178.000,-542.223,-1.40726,-0.217,0.217,-0.206,0.206,0.720
3780,-215.395,184.243,-429.295,-0.17403,-1.800,1.814,-1.822,1.680,1.811
3780,-219.177,184.134,-429.559,1.41687,-1.800,1.814,-1.822,1.680,1.811
6220,-157.746,172.039,-545.922,0.00000,-0.099,0.087,-0.500,0.503,0.170
6220,-157.832,171.722,-545.843,0.52417,-0.099,0.087,-0.500,0.503,0.170
6220,-157.484,171.722,-546.054,0.49370,-0.099,0.087,-0.500,0.503,0.170
7703,-384.250,141.000,580.250,2.31091,-2.150,2.143,-0.773,0.841,1.261
7701,-382.000,141.312,586.000,-1.57080,-0.552,0.560,-0.366,0.258,0.872
7702,-400.000,141.245,579.000,0.00000,-0.635,0.635,-0.419,0.419,0.246
7702,-400.000,141.245,580.000,0.78540,-0.635,0.635,-0.419,0.419,0.246
7702,-398.000,141.245,579.000,-2.72022,-0.635,0.635,-0.419,0.419,0.246
7703,-378.000,142.124,695.000,0.00000,-2.150,2.143,-0.773,0.841,1.261
7703,-378.000,141.178,695.000,0.00000,-2.150,2.143,-0.773,0.841,1.261
