classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7486,-54.237,85.559,178.708,0.00849,-0.297,0.418,-0.354,0.369,0.613
7487,-53.094,85.580,175.809,-2.35619,-0.615,0.704,-0.653,0.647,0.704
7486,-53.652,85.559,176.788,0.00849,-0.297,0.418,-0.354,0.369,0.613
7487,-53.535,85.539,177.780,1.57080,-0.615,0.704,-0.653,0.647,0.704
7486,5.379,77.523,212.511,2.94279,-0.297,0.418,-0.354,0.369,0.613
3630,-89.943,187.697,385.892,0.11860,-0.349,0.343,-0.347,0.354,0.503
7624,-88.441,187.824,387.414,-0.14639,-0.967,1.099,-1.140,1.011,1.393
3643,-88.533,188.058,389.057,-0.00877,-0.923,0.786,-0.654,1.114,0.602
3633,-92.094,188.620,386.934,-0.57469,-0.586,0.394,-0.582,0.466,0.708
7650,-83.429,187.526,408.401,0.16405,-0.696,0.597,-0.718,0.775,0.308
7650,-83.901,187.945,409.674,0.20054,-0.696,0.597,-0.718,0.775,0.308
7650,-84.837,187.261,408.540,0.08527,-0.696,0.597,-0.718,0.775,0.308
7650,-84.210,187.326,407.109,0.01304,-0.696,0.597,-0.718,0.775,0.308
7650,-91.382,187.199,384.040,-1.56051,-0.696,0.597,-0.718,0.775,0.308
7650,-89.851,186.884,383.907,0.67816,-0.696,0.597,-0.718,0.775,0.308
7650,-89.035,187.943,386.256,0.85495,-0.696,0.597,-0.718,0.775,0.308
10421,-72.171,189.578,500.578,0.00000,-0.739,0.739,-2.053,-0.735,1.508
10421,-72.174,189.558,500.298,-3.13353,-0.739,0.739,-2.053,-0.734,1.508
7466,275.021,152.343,586.304,2.37598,-0.355,0.356,-0.050,0.200,0.413
7466,205.304,152.476,588.143,2.37010,-0.355,0.356,-0.050,0.200,0.413
7465,182.900,143.400,701.100,-1.55984,-0.619,0.619,-0.062,0.212,0.428
7466,332.609,132.019,470.005,1.49226,-0.355,0.355,-0.050,0.200,0.413
7744,332.316,130.947,470.005,1.53220,-0.619,0.619,-0.062,0.212,0.428
3643,-91.341,187.630,385.459,0.05828,-0.923,0.786,-0.654,1.114,0.602
7650,-85.038,187.945,409.679,0.20054,-0.696,0.597,-0.718,0.775,0.308
3640,-87.182,187.833,410.511,-2.52904,-0.669,0.994,-0.159,1.625,0.518
3640,-84.961,189.889,411.131,-3.19454,-0.669,0.994,-0.159,1.625,0.518
7650,-88.786,188.052,411.302,0.04734,-0.696,0.597,-0.718,0.775,0.308
7650,-91.002,187.261,408.127,-1.55826,-0.696,0.597,-0.718,0.775,0.308
3640,-92.637,187.746,408.917,1.48466,-0.669,0.994,-0.159,1.625,0.518
7650,-90.912,187.628,409.516,-1.45418,-0.696,0.597,-0.718,0.775,0.308
3632,-89.961,187.935,411.032,0.14635,-0.298,0.344,-0.318,0.331,0.405
7087,-68.000,92.000,232.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-36.000,92.000,220.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-36.000,92.000,224.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
11280,-35.910,93.095,228.696,-1.57080,-0.320,0.325,-0.195,0.197,1.160
11281,-35.341,93.147,228.950,0.00000,-0.348,0.190,-0.229,0.327,0.321
7087,-36.000,92.000,240.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
20615,75.751,105.437,213.108,-1.10015,-1.009,1.011,-0.509,0.965,1.979
7087,-24.000,92.000,232.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-20.000,92.000,232.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-48.000,92.000,232.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-36.000,92.000,244.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
20828,266.490,124.000,491.645,-2.35619,-0.998,1.654,-0.941,1.066,1.190
20828,259.499,136.264,556.140,0.00000,-0.998,1.654,-0.941,1.066,1.190
20657,-36.132,96.034,30.437,0.56039,-1.003,0.997,-0.950,1.309,1.000
20654,-64.388,94.392,45.882,-1.93866,-0.874,1.126,-1.002,1.010,1.000
7478,250.019,155.089,585.818,0.00000,-2.226,2.226,-2.499,2.448,0.507
7478,218.054,155.087,586.036,0.00000,-2.226,2.226,-2.499,2.448,0.507
20655,-73.696,170.831,414.746,0.05546,-1.046,0.954,-0.986,1.328,1.000
11296,-71.414,170.919,415.408,-1.32620,-1.092,0.908,-0.956,1.273,1.000
