classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
22294,-800.000,2.170,63.986,1.57080,-0.351,0.351,-0.004,0.004,0.338
22388,-800.000,1.279,63.986,1.57080,-0.351,0.351,-0.004,0.004,0.338
22393,-739.986,-0.525,124.000,-0.00000,-0.351,0.351,-0.004,0.004,0.338
22296,-740.000,-1.448,124.000,-0.00000,-0.351,0.351,-0.004,0.004,0.338
22308,-739.986,0.376,124.000,-0.00000,-0.351,0.351,-0.004,0.004,0.338
22282,-739.986,2.170,124.000,-0.00000,-0.351,0.351,-0.004,0.004,0.338
22210,-739.986,1.279,124.000,-0.00000,-0.351,0.351,-0.004,0.004,0.338
22199,-680.000,2.170,64.014,-1.57080,-0.351,0.351,-0.004,0.004,0.338
22184,-680.000,1.279,64.014,-1.57080,-0.351,0.351,-0.004,0.004,0.338
22208,-668.396,-7.292,61.663,-1.60635,-0.351,0.351,-0.004,0.004,0.338
22388,-680.000,-0.525,64.014,-1.57080,-0.351,0.351,-0.004,0.004,0.338
22277,-800.000,-0.525,63.986,1.57080,-0.351,0.351,-0.004,0.004,0.338
22244,-680.000,0.376,64.014,-1.57080,-0.351,0.351,-0.004,0.004,0.338
22208,-680.000,-1.448,64.000,-1.57080,-0.351,0.351,-0.004,0.004,0.338
22240,-800.000,0.376,63.986,1.57080,-0.351,0.351,-0.004,0.004,0.338
22382,-800.000,-1.448,64.000,1.57080,-0.351,0.351,-0.004,0.004,0.338
22382,-876.000,-1.718,84.000,-2.35620,-0.351,0.351,-0.004,0.004,0.338
22277,-876.010,-0.796,84.010,-2.35620,-0.351,0.351,-0.004,0.004,0.338
22240,-876.010,0.105,84.010,-2.35620,-0.351,0.351,-0.004,0.004,0.338
22388,-876.010,1.008,84.010,-2.35620,-0.351,0.351,-0.004,0.004,0.338
22294,-876.010,1.899,84.010,-2.35620,-0.351,0.351,-0.004,0.004,0.338
22382,-876.000,-1.718,108.000,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22277,-875.990,-0.796,108.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22240,-875.990,0.105,108.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22388,-875.990,1.008,108.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22294,-875.990,1.899,108.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22199,-606.730,1.899,44.030,0.78540,-0.351,0.351,-0.004,0.004,0.338
22184,-606.730,1.008,44.030,0.78540,-0.351,0.351,-0.004,0.004,0.338
22244,-606.730,0.105,44.030,0.78540,-0.351,0.351,-0.004,0.004,0.338
22388,-606.730,-0.796,44.030,0.78540,-0.351,0.351,-0.004,0.004,0.338
22208,-606.740,-1.718,44.039,0.78540,-0.351,0.351,-0.004,0.004,0.338
22199,-606.749,1.899,20.030,2.35619,-0.351,0.351,-0.004,0.004,0.338
22184,-606.749,1.008,20.030,2.35619,-0.351,0.351,-0.004,0.004,0.338
22244,-606.749,0.105,20.030,2.35619,-0.351,0.351,-0.004,0.004,0.338
22388,-606.749,-0.796,20.030,2.35619,-0.351,0.351,-0.004,0.004,0.338
22208,-606.740,-1.718,20.040,2.35619,-0.351,0.351,-0.004,0.004,0.338
22296,-760.547,-1.718,195.339,0.78540,-0.351,0.351,-0.004,0.004,0.338
22393,-760.538,-0.796,195.330,0.78540,-0.351,0.351,-0.004,0.004,0.338
22308,-760.538,0.105,195.330,0.78540,-0.351,0.351,-0.004,0.004,0.338
22210,-760.538,1.008,195.330,0.78540,-0.351,0.351,-0.004,0.004,0.338
22282,-760.538,1.899,195.330,0.78540,-0.351,0.351,-0.004,0.004,0.338
22296,-784.547,-1.718,195.339,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22393,-784.538,-0.796,195.349,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22308,-784.538,0.105,195.349,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22210,-784.538,1.008,195.349,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22282,-784.538,1.899,195.349,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22396,-979.990,2.807,43.990,0.78540,-0.351,0.351,-0.004,0.004,0.338
22393,-979.990,1.899,43.990,0.78540,-0.351,0.351,-0.004,0.004,0.338
22143,-979.990,1.008,43.990,0.78540,-0.351,0.351,-0.004,0.004,0.338
22244,-979.990,0.105,43.990,0.78540,-0.351,0.351,-0.004,0.004,0.338
22251,-979.990,-0.796,43.990,0.78540,-0.351,0.351,-0.004,0.004,0.338
22324,-980.000,-1.718,44.000,0.78540,-0.351,0.351,-0.004,0.004,0.338
22324,-1004.000,-1.718,44.000,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22251,-1003.990,-0.796,44.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22244,-1003.990,0.105,44.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22143,-1003.990,1.008,44.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22393,-1003.990,1.899,44.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22396,-1003.990,2.807,44.010,-0.78540,-0.351,0.351,-0.004,0.004,0.338
22516,-1010.010,34.912,234.491,2.44035,-0.351,0.351,-0.004,0.004,0.338
22504,-1010.010,34.003,234.491,2.44035,-0.351,0.351,-0.004,0.004,0.338
22240,-1010.010,33.113,234.491,2.44035,-0.351,0.351,-0.004,0.004,0.338
22463,-1010.010,32.210,234.491,2.44035,-0.351,0.351,-0.004,0.004,0.338
22454,-1010.010,31.309,234.491,2.44035,-0.351,0.351,-0.004,0.004,0.338
22238,-1010.000,30.386,234.500,2.44035,-0.351,0.351,-0.004,0.004,0.338
22516,-974.011,34.912,234.008,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22504,-974.011,34.003,234.008,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22240,-974.011,33.113,234.008,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22463,-974.011,32.210,234.008,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22454,-974.011,31.309,234.008,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22238,-974.000,30.386,234.000,-2.53934,-0.351,0.351,-0.004,0.004,0.338
22467,-523.987,-12.906,456.004,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22454,-523.987,-13.815,456.004,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22437,-523.987,-14.705,456.004,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22473,-523.987,-15.608,456.004,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22454,-523.987,-16.509,456.004,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22277,-524.000,-17.432,456.000,-0.32715,-0.351,0.351,-0.004,0.004,0.338
22277,-500.000,-17.432,456.000,0.52432,-0.351,0.351,-0.004,0.004,0.338
22454,-499.988,-16.509,455.993,0.52432,-0.351,0.351,-0.004,0.004,0.338
22473,-499.988,-15.608,455.993,0.52432,-0.351,0.351,-0.004,0.004,0.338
22437,-499.988,-14.705,455.993,0.52432,-0.351,0.351,-0.004,0.004,0.338
22454,-499.988,-13.815,455.993,0.52432,-0.351,0.351,-0.004,0.004,0.338
22467,-499.988,-12.906,455.993,0.52432,-0.351,0.351,-0.004,0.004,0.338
