classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4271,-64.718,89.590,49.239,0.26423,-0.535,0.753,-0.637,0.663,1.102
4271,-64.158,89.879,48.226,0.82971,-0.535,0.753,-0.637,0.663,1.102
4271,-63.852,90.007,48.737,0.02574,-0.535,0.753,-0.637,0.663,1.102
4271,-65.557,90.100,48.855,0.82971,-0.535,0.753,-0.637,0.663,1.102
4271,-64.909,89.827,48.105,0.02574,-0.535,0.753,-0.637,0.663,1.102
4271,20.150,0.000,68.032,2.68285,-0.535,0.753,-0.637,0.663,1.102
4271,70.313,77.590,68.480,-0.45873,-0.535,0.753,-0.637,0.663,1.102
4272,70.417,77.456,67.379,0.86700,-0.615,0.704,-0.653,0.647,0.704
4271,70.082,73.640,68.267,-2.02913,-0.535,0.753,-0.637,0.663,1.102
4272,72.053,77.156,68.523,-1.48919,-0.615,0.704,-0.653,0.647,0.704
4271,71.004,77.549,69.331,-2.98807,-0.535,0.753,-0.637,0.663,1.102
4272,71.553,77.971,69.755,-2.27459,-0.615,0.704,-0.653,0.647,0.704
4271,71.546,77.502,70.231,1.11205,-0.535,0.753,-0.637,0.663,1.102
4272,68.924,72.167,71.444,2.43780,-0.615,0.704,-0.653,0.647,0.704
4271,70.531,77.720,70.190,-0.45834,-0.535,0.753,-0.637,0.663,1.102
4272,69.546,78.008,69.679,0.08160,-0.615,0.704,-0.653,0.647,0.704
4271,68.811,72.720,68.996,2.68285,-0.535,0.753,-0.637,0.663,1.102
4271,70.168,73.102,70.569,-1.41727,-0.535,0.753,-0.637,0.663,1.102
4272,70.591,73.549,70.019,-0.70380,-0.615,0.704,-0.653,0.647,0.704
4271,72.096,77.481,72.471,1.11246,-0.535,0.753,-0.637,0.663,1.102
4272,70.359,72.983,71.994,1.65239,-0.615,0.704,-0.653,0.647,0.704
4271,71.174,77.547,71.406,0.15352,-0.535,0.753,-0.637,0.663,1.102
4272,70.695,77.672,70.937,0.86700,-0.615,0.704,-0.653,0.647,0.704
4272,73.066,76.138,69.084,-0.70380,-0.615,0.704,-0.653,0.647,0.704
4271,72.851,76.434,69.713,2.68325,-0.535,0.753,-0.637,0.663,1.102
4272,73.417,77.164,71.132,-3.05999,-0.615,0.704,-0.653,0.647,0.703
4271,73.361,74.199,71.730,-0.45874,-0.535,0.753,-0.637,0.663,1.102
4271,72.004,76.859,70.157,1.72432,-0.535,0.753,-0.637,0.663,1.102
4272,72.528,76.952,69.111,2.43780,-0.615,0.704,-0.653,0.647,0.704
4271,91.297,0.000,146.514,-1.41727,-0.535,0.753,-0.637,0.663,1.102
4272,91.721,0.000,145.965,-0.70380,-0.615,0.704,-0.653,0.647,0.704
4272,201.889,34.139,235.758,-0.70380,-0.615,0.704,-0.653,0.647,0.704
4271,201.492,34.139,236.190,2.68325,-0.535,0.753,-0.637,0.663,1.102
4272,201.267,34.139,237.522,-3.05999,-0.615,0.704,-0.653,0.647,0.704
4271,200.645,34.139,236.633,1.72432,-0.535,0.753,-0.637,0.663,1.102
4272,200.222,34.139,237.182,2.43780,-0.615,0.704,-0.653,0.647,0.704
4272,200.454,34.139,235.208,-1.48919,-0.615,0.704,-0.653,0.647,0.704
4271,199.565,34.139,235.829,-2.98807,-0.535,0.753,-0.637,0.663,1.102
4272,200.114,34.139,236.253,-2.27459,-0.615,0.704,-0.653,0.647,0.704
4272,201.845,34.139,234.951,0.23868,-0.615,0.704,-0.653,0.647,0.704
4271,202.598,34.139,235.732,-1.26019,-0.535,0.753,-0.637,0.664,1.102
4272,202.931,34.139,235.123,-0.54672,-0.615,0.704,-0.653,0.647,0.704
4272,202.162,34.139,236.708,1.02408,-0.615,0.704,-0.653,0.647,0.704
4272,324.035,28.368,239.940,0.23868,-0.615,0.704,-0.653,0.647,0.704
4272,381.365,45.567,317.274,2.43780,-0.615,0.704,-0.653,0.647,0.704
4271,383.388,46.650,317.195,2.68325,-0.535,0.753,-0.637,0.663,1.102
4272,381.298,45.632,319.372,-3.05999,-0.615,0.704,-0.653,0.647,0.704
4271,381.412,45.347,318.485,1.72432,-0.535,0.753,-0.637,0.663,1.102
4272,380.224,45.556,319.624,2.43780,-0.615,0.704,-0.653,0.647,0.704
4272,380.332,44.957,318.788,-1.48919,-0.615,0.704,-0.653,0.647,0.704
4271,383.013,45.869,316.321,-2.98807,-0.535,0.753,-0.637,0.664,1.102
4272,380.692,44.964,317.946,-2.27459,-0.615,0.704,-0.653,0.647,0.704
4272,382.281,45.728,317.235,2.59488,-0.615,0.704,-0.653,0.647,0.704
4271,382.376,45.960,318.155,-1.26019,-0.535,0.753,-0.637,0.664,1.102
4272,383.156,46.566,318.154,-0.54672,-0.615,0.704,-0.653,0.647,0.704
4272,382.188,46.191,319.084,1.02408,-0.615,0.704,-0.653,0.647,0.704
3887,28.000,87.000,-42.000,0.00000,-0.583,0.583,-0.583,0.583,1.838
