classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3887,-20.609,220.024,-547.690,-1.57080,-0.583,0.583,-0.583,0.583,1.838
3887,-19.781,220.049,-555.026,-1.57080,-0.583,0.583,-0.583,0.583,1.838
3780,322.194,236.062,369.394,-2.85883,-1.800,1.814,-1.822,1.680,1.811
3780,321.008,235.753,371.387,1.28237,-1.800,1.814,-1.822,1.680,1.811
3628,321.421,235.224,372.229,-0.50265,-0.422,0.322,-0.174,0.287,0.482
3780,344.807,235.657,413.581,0.90131,-1.800,1.814,-1.822,1.680,1.811
3780,345.741,236.014,412.967,1.52635,-1.800,1.814,-1.822,1.680,1.811
3780,290.394,227.625,425.740,-0.20420,-1.800,1.814,-1.822,1.680,1.811
3643,272.882,265.822,425.368,-1.12233,-0.924,0.786,-0.654,1.114,0.602
3716,274.440,266.853,428.032,-2.34689,-1.087,1.077,-0.781,1.116,0.923
3642,327.388,269.243,424.098,-2.92648,-0.862,0.962,-0.544,0.927,0.481
3642,333.377,276.301,428.225,-2.92188,-0.862,0.962,-0.544,0.927,0.481
3716,332.824,277.671,431.766,-0.26834,-1.087,1.077,-0.781,1.115,0.923
3642,331.187,276.070,460.000,-1.30547,-0.862,0.962,-0.544,0.927,0.481
3643,331.713,275.990,463.000,0.01550,-0.923,0.786,-0.654,1.114,0.602
3780,342.003,277.789,448.051,-2.27477,-1.800,1.814,-1.822,1.680,1.811
3780,286.844,279.629,451.828,-2.99892,-1.800,1.814,-1.822,1.680,1.811
3780,288.095,230.590,453.082,-1.70430,-1.800,1.814,-1.822,1.680,1.811
3780,285.811,279.345,450.828,3.03285,-1.800,1.814,-1.822,1.680,1.811
3716,307.271,273.496,486.043,1.80642,-1.087,1.077,-0.781,1.116,0.923
3642,310.934,273.767,483.276,-1.96350,-0.862,0.962,-0.544,0.927,0.481
3643,314.123,274.354,476.891,-0.92643,-0.924,0.786,-0.654,1.114,0.602
3643,313.194,273.696,478.631,2.79899,-0.923,0.786,-0.654,1.114,0.602
3642,336.950,240.137,375.418,-1.71223,-0.862,0.962,-0.544,0.927,0.481
3640,335.917,239.085,376.031,-1.42569,-0.669,0.994,-0.159,1.625,0.518
3716,334.548,237.165,377.948,-0.23574,-1.087,1.077,-0.781,1.116,0.923
3716,335.883,237.319,377.996,-2.02697,-1.087,1.077,-0.780,1.116,0.923
3642,332.674,235.274,377.835,0.44206,-0.862,0.962,-0.544,0.927,0.481
3643,301.135,228.025,421.942,-1.86874,-0.924,0.786,-0.654,1.114,0.602
3716,301.239,228.147,422.460,-2.85935,-1.087,1.077,-0.780,1.116,0.923
3642,301.862,228.454,424.647,0.14139,-0.862,0.962,-0.544,0.927,0.481
3716,302.701,227.495,423.404,2.24271,-1.087,1.077,-0.781,1.116,0.923
3643,300.775,229.472,431.073,2.89461,-0.923,0.786,-0.654,1.114,0.602
3716,300.588,229.283,431.145,0.70675,-1.087,1.077,-0.781,1.115,0.923
3642,280.216,238.882,394.330,-0.53780,-0.862,0.962,-0.544,0.927,0.481
3716,282.700,238.749,392.876,-0.00007,-1.087,1.077,-0.781,1.116,0.923
3642,310.135,227.186,377.159,-1.50775,-0.862,0.962,-0.544,0.927,0.481
3643,310.479,227.423,375.955,-2.21731,-0.923,0.786,-0.654,1.114,0.602
3642,345.777,279.857,457.236,-2.02241,-0.862,0.962,-0.544,0.927,0.481
3716,360.953,287.912,460.913,-1.17822,-1.087,1.077,-0.781,1.116,0.923
3716,330.616,227.161,438.213,0.17279,-1.087,1.077,-0.781,1.115,0.923
3642,329.123,227.451,436.214,-1.35101,-0.862,0.962,-0.544,0.927,0.481
3642,325.503,227.455,439.839,-0.84823,-0.862,0.962,-0.544,0.927,0.481
3642,325.079,228.264,448.342,-0.52407,-0.862,0.962,-0.544,0.927,0.481
3716,325.471,228.274,450.470,-0.89956,-1.087,1.077,-0.781,1.116,0.923
4444,325.748,228.171,455.307,-2.57956,-1.821,1.350,-1.708,1.528,1.755
3716,324.147,227.387,457.631,0.65530,-1.087,1.077,-0.781,1.116,0.923
4444,299.633,227.847,425.527,-1.13541,-1.821,1.350,-1.708,1.528,1.755
4444,322.946,227.466,460.722,2.94577,-1.821,1.351,-1.708,1.528,1.755
3780,325.627,228.436,447.329,1.68166,-1.800,1.814,-1.822,1.680,1.811
3780,324.647,227.998,446.421,-2.43702,-1.800,1.814,-1.822,1.680,1.811
3780,324.480,228.137,445.069,2.67628,-1.800,1.814,-1.822,1.680,1.811
3780,324.588,227.268,437.126,-2.02178,-1.800,1.814,-1.822,1.680,1.811
3716,325.347,227.947,454.380,-0.63565,-1.087,1.077,-0.781,1.116,0.923
3643,323.695,227.623,459.550,-2.09594,-0.924,0.786,-0.654,1.114,0.602
3716,310.562,227.658,466.622,0.62435,-1.087,1.077,-0.781,1.115,0.923
3716,313.315,227.811,466.666,2.87257,-1.087,1.077,-0.780,1.116,0.923
3643,320.986,228.078,469.035,-0.23250,-0.924,0.786,-0.654,1.114,0.602
3643,301.165,227.941,464.990,2.02554,-0.923,0.786,-0.654,1.114,0.602
3716,315.528,227.321,466.308,-2.87470,-1.087,1.077,-0.780,1.116,0.923
3642,307.180,227.597,465.664,-0.47979,-0.862,0.962,-0.544,0.927,0.481
3716,308.813,227.551,466.645,-1.01963,-1.087,1.077,-0.780,1.116,0.923
3716,319.351,227.934,470.279,-0.72460,-1.087,1.077,-0.781,1.116,0.923
3642,302.358,227.417,463.594,2.51326,-0.862,0.962,-0.544,0.927,0.481
4444,304.707,227.571,464.257,-2.06565,-1.821,1.350,-1.708,1.528,1.755
3642,334.137,279.007,444.360,-2.44303,-0.862,0.962,-0.544,0.927,0.481
3643,335.328,279.499,442.916,-0.37699,-0.924,0.786,-0.654,1.114,0.602
3642,340.526,278.543,448.564,0.00001,-0.862,0.962,-0.544,0.927,0.481
3643,344.092,279.851,458.497,0.08395,-0.924,0.786,-0.654,1.114,0.602
3716,356.536,287.408,460.755,-1.63379,-1.087,1.077,-0.780,1.116,0.923
3643,339.972,278.338,447.007,-0.22642,-0.924,0.786,-0.654,1.114,0.602
3716,339.750,278.178,448.219,1.09768,-1.087,1.077,-0.781,1.115,0.923
3716,332.757,276.981,429.697,0.52594,-1.087,1.077,-0.781,1.115,0.923
3643,331.984,277.818,433.067,0.00000,-0.924,0.786,-0.654,1.114,0.602
3716,330.927,277.858,434.209,0.03143,-1.087,1.077,-0.781,1.115,0.923
3642,271.456,276.098,438.845,-2.87509,-0.862,0.962,-0.544,0.927,0.481
3716,272.343,276.228,440.249,1.22522,-1.087,1.077,-0.781,1.115,0.923
3643,272.477,275.775,454.566,-0.26533,-0.924,0.786,-0.654,1.114,0.602
3643,270.505,276.273,453.882,0.00000,-0.924,0.786,-0.654,1.114,0.602
3642,265.736,275.452,456.336,-0.38060,-0.862,0.962,-0.544,0.927,0.481
3716,267.164,274.686,461.459,0.00000,-1.087,1.077,-0.781,1.116,0.923
3643,272.348,275.519,461.200,1.17871,-0.923,0.786,-0.654,1.114,0.602
3716,261.367,267.656,443.432,0.31043,-1.087,1.077,-0.781,1.115,0.923
3716,260.437,269.130,444.993,1.44027,-1.087,1.077,-0.781,1.116,0.923
3643,259.423,271.912,454.015,0.14454,-0.924,0.786,-0.654,1.114,0.602
3716,259.777,271.141,451.771,-0.32956,-1.087,1.077,-0.781,1.115,0.923
3643,273.593,277.299,478.668,0.00000,-0.924,0.786,-0.654,1.114,0.602
3716,274.460,277.325,478.683,0.09424,-1.087,1.077,-0.781,1.115,0.923
3643,272.615,276.970,474.529,-0.99539,-0.924,0.786,-0.654,1.114,0.602
3642,283.006,278.241,488.448,-2.21616,-0.862,0.962,-0.544,0.927,0.481
3716,283.838,277.718,487.486,3.04071,-1.087,1.077,-0.780,1.116,0.923
3780,253.595,269.330,438.710,-0.57336,-1.800,1.814,-1.822,1.680,1.811
3780,252.465,269.423,437.577,0.03147,-1.800,1.814,-1.822,1.680,1.811
3780,251.529,269.299,437.629,0.19070,-1.800,1.814,-1.822,1.680,1.811
3642,329.436,285.155,525.087,1.37592,-0.862,0.962,-0.544,0.927,0.481
3716,331.767,286.476,527.643,0.65974,-1.087,1.077,-0.781,1.115,0.923
3642,331.939,286.556,528.796,-1.75415,-0.862,0.962,-0.544,0.927,0.481
3643,291.626,281.920,507.681,1.87790,-0.923,0.786,-0.654,1.114,0.602
3780,292.035,281.623,505.508,-0.15707,-1.800,1.814,-1.822,1.680,1.811
3780,291.937,281.694,504.625,-1.66981,-1.800,1.814,-1.822,1.680,1.811
3716,291.006,281.385,503.776,0.00000,-1.087,1.077,-0.781,1.115,0.923
3642,289.462,281.642,504.759,-2.48737,-0.862,0.962,-0.544,0.927,0.481
3716,288.370,281.807,505.613,-1.00531,-1.087,1.077,-0.780,1.116,0.923
3642,288.129,281.626,504.519,0.00000,-0.862,0.962,-0.544,0.927,0.481
3642,289.711,282.219,508.556,-0.29848,-0.862,0.962,-0.544,0.927,0.481
3643,288.954,276.991,493.299,0.97389,-0.923,0.786,-0.654,1.114,0.602
3716,275.926,278.661,485.477,-1.80642,-1.087,1.077,-0.780,1.116,0.923
3642,276.071,278.860,487.400,0.03141,-0.862,0.962,-0.544,0.927,0.481
3643,292.318,284.501,524.530,0.00000,-0.924,0.786,-0.654,1.114,0.602
3716,293.669,284.426,524.338,0.29314,-1.087,1.077,-0.781,1.115,0.923
3716,293.781,284.555,525.288,-1.23810,-1.087,1.077,-0.780,1.116,0.923
3643,294.360,285.074,544.834,1.99490,-0.923,0.786,-0.654,1.114,0.602
3642,308.062,280.640,513.968,0.00000,-0.862,0.962,-0.544,0.927,0.481
3716,294.617,284.371,522.104,-1.30377,-1.087,1.077,-0.781,1.116,0.923
3716,307.793,284.256,546.051,0.00000,-1.087,1.077,-0.781,1.115,0.923
3643,303.622,285.271,548.258,0.00000,-0.924,0.786,-0.654,1.114,0.602
3640,301.385,285.348,548.974,1.62820,-0.669,0.994,-0.159,1.625,0.518
3643,308.820,280.032,502.315,-0.72254,-0.924,0.786,-0.654,1.114,0.602
3716,294.192,230.195,452.253,0.48313,-1.087,1.077,-0.781,1.116,0.923
4444,293.893,230.556,443.911,2.28301,-1.821,1.350,-1.708,1.528,1.755
3716,293.268,231.053,450.030,-1.93200,-1.087,1.077,-0.780,1.116,0.923
3642,299.451,276.535,481.039,0.04718,-0.862,0.962,-0.544,0.927,0.481
3642,338.369,228.676,350.786,-0.90059,-0.862,0.962,-0.544,0.927,0.481
3716,368.482,228.268,345.267,0.40588,-1.087,1.077,-0.781,1.116,0.923
3643,379.406,227.477,331.457,-2.00680,-0.923,0.786,-0.654,1.114,0.602
3716,374.976,227.133,334.068,-2.29077,-1.087,1.077,-0.780,1.116,0.923
3642,419.824,228.665,301.253,0.23769,-0.862,0.962,-0.544,0.927,0.481
3716,422.456,229.004,300.139,0.34353,-1.087,1.077,-0.781,1.115,0.923
3642,424.572,229.445,301.018,0.42239,-0.862,0.962,-0.544,0.927,0.481
3643,437.812,230.309,343.213,-0.03741,-0.923,0.786,-0.654,1.114,0.602
3716,432.545,229.440,340.717,-0.62510,-1.087,1.077,-0.781,1.116,0.923
3629,406.343,230.915,322.474,0.22418,-0.719,0.687,-0.666,0.513,0.796
3629,406.731,230.915,322.085,-0.32563,-0.719,0.687,-0.666,0.513,0.796
3629,406.200,230.727,322.064,-2.57337,-0.719,0.687,-0.666,0.513,0.796
3629,405.761,230.673,322.299,0.09629,-0.719,0.687,-0.666,0.513,0.796
3629,407.607,231.111,322.398,1.18455,-0.719,0.687,-0.666,0.513,0.796
3631,402.755,233.689,372.521,3.11382,-0.145,0.275,-0.245,0.212,0.331
3631,401.993,233.688,372.377,-1.01196,-0.145,0.275,-0.245,0.212,0.331
3642,413.215,236.047,375.075,2.57810,-0.862,0.962,-0.544,0.927,0.481
3780,351.000,228.426,352.000,0.14935,-1.800,1.814,-1.822,1.680,1.811
3780,348.530,228.681,353.604,2.45678,-1.800,1.814,-1.822,1.680,1.811
3780,347.677,228.571,353.604,1.08780,-1.800,1.814,-1.822,1.680,1.811
3780,368.566,228.472,357.813,-0.00057,-1.800,1.814,-1.822,1.680,1.811
3780,365.478,228.450,357.813,1.33896,-1.800,1.814,-1.822,1.680,1.811
3642,470.524,235.001,294.325,-1.97472,-0.862,0.962,-0.544,0.927,0.481
3642,468.178,234.504,294.550,-1.62684,-0.862,0.962,-0.544,0.927,0.481
4434,-466.614,215.766,-408.756,-1.68224,-0.535,0.753,-0.637,0.663,1.102
4435,-467.387,215.530,-408.637,-0.28466,-0.615,0.704,-0.653,0.647,0.704
4435,-466.513,215.665,-408.227,-2.05775,-0.615,0.704,-0.653,0.647,0.703
4435,-467.052,215.338,-407.329,-2.15909,-0.615,0.704,-0.653,0.647,0.703
4435,-468.037,215.293,-408.076,2.94033,-0.615,0.704,-0.653,0.647,0.704
4434,-466.781,215.529,-407.431,-1.69952,-0.535,0.753,-0.637,0.663,1.102
4434,-454.509,217.345,-400.034,0.35023,-0.535,0.753,-0.637,0.664,1.102
4435,-454.679,217.354,-400.746,-0.09197,-0.615,0.704,-0.653,0.647,0.703
4434,-454.090,217.478,-400.078,-0.07762,-0.535,0.753,-0.637,0.664,1.102
4435,-454.029,217.397,-400.585,-0.33351,-0.615,0.704,-0.653,0.647,0.703
4434,-453.625,214.995,-406.345,0.21780,-0.535,0.753,-0.637,0.664,1.102
4434,-455.412,216.477,-394.209,-1.59715,-0.535,0.753,-0.637,0.663,1.102
4435,-455.679,216.051,-394.542,-1.96116,-0.615,0.704,-0.653,0.647,0.703
4434,-455.261,216.042,-394.709,-2.99652,-0.535,0.753,-0.637,0.663,1.103
4434,-454.305,215.815,-389.613,-0.84492,-0.535,0.753,-0.637,0.663,1.102
4435,-454.819,215.544,-389.408,-1.07532,-0.615,0.704,-0.653,0.647,0.704
4435,-454.526,216.592,-395.087,-0.31430,-0.615,0.704,-0.653,0.647,0.704
4435,-455.253,216.333,-390.473,-1.68425,-0.615,0.704,-0.653,0.647,0.703
4435,-454.767,216.762,-394.449,0.99322,-0.615,0.704,-0.653,0.647,0.703
4435,-455.749,215.505,-389.910,0.22829,-0.615,0.704,-0.653,0.647,0.704
