classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
6214,-322.857,6.913,-170.773,0.13296,-0.433,0.433,-0.422,0.422,1.013
6214,-361.607,7.266,-186.476,-1.39617,-0.433,0.433,-0.422,0.422,1.013
6222,-363.140,7.002,-187.565,-0.70654,-0.216,0.217,-0.206,0.206,0.720
6217,-363.353,6.871,-185.171,-0.18551,-0.300,0.300,-0.331,0.329,0.301
6219,-353.149,7.244,-160.798,0.00000,-0.862,0.457,-0.306,0.962,1.051
6219,-363.632,7.273,-163.664,2.93689,-0.862,0.457,-0.306,0.962,1.051
6222,-362.859,7.002,-169.204,0.00000,-0.217,0.217,-0.206,0.206,0.720
6214,-351.956,7.002,-158.177,-1.39617,-0.433,0.433,-0.422,0.422,1.013
6220,-346.846,6.723,-175.136,-1.08430,-0.099,0.087,-0.500,0.503,0.170
6217,-265.330,38.144,-189.755,-0.09167,-0.300,0.300,-0.331,0.329,0.301
6217,-254.872,37.009,-210.810,-2.01123,-0.300,0.300,-0.331,0.329,0.301
6214,-317.221,6.988,-276.148,-2.35619,-0.433,0.433,-0.422,0.422,1.013
6222,-319.090,6.988,-277.136,-1.57080,-0.217,0.217,-0.206,0.206,0.720
6221,-319.269,6.988,-276.143,-1.57080,-0.197,0.197,-0.187,0.187,0.604
6221,-319.284,6.988,-276.730,-1.57080,-0.197,0.197,-0.187,0.187,0.604
6221,-319.749,6.988,-276.505,-1.57080,-0.197,0.197,-0.187,0.187,0.604
6217,-293.845,7.044,-206.702,-2.48084,-0.300,0.300,-0.331,0.329,0.301
6214,-291.520,6.989,-207.769,3.07402,-0.433,0.433,-0.422,0.422,1.013
6222,-295.430,6.892,-207.231,2.99982,-0.217,0.217,-0.206,0.206,0.720
6222,-286.077,7.026,-193.893,2.48362,-0.217,0.217,-0.206,0.206,0.720
6220,-297.378,6.879,-181.144,0.00000,-0.099,0.087,-0.500,0.503,0.170
6220,-297.032,6.944,-181.331,0.00000,-0.099,0.087,-0.500,0.503,0.170
6220,-297.213,7.083,-181.292,-1.04520,-0.099,0.087,-0.500,0.503,0.170
6214,-303.079,7.728,-259.472,-1.67482,-0.433,0.433,-0.422,0.422,1.013
