classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
6188,123.383,104.576,-30.932,1.88981,-1.658,1.658,-0.746,0.668,0.959
6191,125.523,98.524,-40.258,0.00000,-0.300,0.081,-0.131,0.131,1.150
6187,121.948,100.495,-35.173,0.00000,-0.254,0.260,0.170,1.248,1.021
6187,125.340,100.495,-32.327,-1.91206,-0.254,0.260,0.170,1.248,1.021
6188,2.879,123.903,-152.452,-0.43875,-1.657,1.658,-0.746,0.668,0.959
6187,22.879,118.654,-140.349,6.28317,-0.254,0.260,0.170,1.248,1.021
6188,-117.322,158.491,-175.957,-1.68249,-1.657,1.658,-0.746,0.668,0.959
6226,-106.620,153.799,-185.061,1.99840,-1.714,1.714,-1.725,-0.000,1.865
6190,-106.043,153.966,-183.178,-1.65312,-0.169,0.169,-0.193,0.160,0.532
6191,-108.040,153.925,-183.572,2.16992,-0.300,0.081,-0.131,0.131,1.150
6186,-113.033,154.006,-170.055,3.35875,-0.245,0.245,-0.331,0.302,0.613
7487,38.263,141.077,163.705,0.18351,-0.615,0.704,-0.653,0.647,0.704
7486,37.980,141.219,163.077,0.09906,-0.297,0.418,-0.354,0.369,0.613
7487,37.334,141.777,163.685,-1.34571,-0.615,0.704,-0.653,0.647,0.704
7487,58.244,142.686,156.759,0.00000,-0.615,0.704,-0.653,0.647,0.704
7487,57.526,142.579,156.584,0.18750,-0.615,0.704,-0.653,0.647,0.704
7487,56.856,142.932,157.448,-1.34571,-0.615,0.704,-0.653,0.647,0.704
7487,22.218,140.952,151.750,-2.88460,-0.615,0.704,-0.653,0.647,0.704
7487,23.303,141.267,151.188,1.91791,-0.615,0.704,-0.653,0.647,0.704
7487,23.050,140.893,152.012,1.26508,-0.615,0.704,-0.653,0.647,0.703
7546,84.813,119.502,-112.573,0.00000,-0.963,0.942,-0.497,0.846,1.553
7546,110.096,119.529,-97.638,0.00000,-0.963,0.942,-0.497,0.846,1.553
7546,106.088,119.538,-102.856,-2.35619,-0.963,0.942,-0.497,0.846,1.553
7650,100.077,119.314,-96.990,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,99.557,119.314,-96.461,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,98.979,119.314,-95.905,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,97.547,119.314,-94.476,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,100.915,119.314,-97.839,-0.78540,-0.696,0.597,-0.718,0.775,0.308
3631,101.424,119.314,-98.148,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,98.264,119.314,-95.233,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,103.467,119.314,-95.587,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,102.750,119.314,-94.830,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,102.035,119.314,-94.158,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,101.457,119.314,-93.602,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,100.937,119.314,-93.073,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,100.099,119.314,-92.224,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,99.591,119.314,-91.915,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,114.137,119.314,-96.496,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,113.421,119.314,-95.739,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,112.705,119.314,-95.067,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,112.127,119.314,-94.511,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,111.608,119.314,-93.982,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,110.769,119.314,-93.133,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,110.261,119.314,-92.824,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,109.835,119.314,-97.005,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,110.673,119.314,-97.854,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,108.237,119.314,-95.447,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,106.017,119.314,-102.924,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,106.855,119.314,-103.773,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,104.422,119.314,-101.347,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,105.260,119.314,-102.196,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,104.950,119.314,-101.845,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,103.483,119.314,-100.353,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,104.965,119.314,-87.427,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,104.457,119.314,-87.117,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,105.803,119.314,-88.275,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,106.323,119.314,-88.804,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,106.901,119.314,-89.361,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,107.617,119.314,-90.032,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,108.333,119.314,-90.789,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,107.545,119.314,-90.018,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,87.682,119.314,-105.744,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,88.190,119.314,-106.053,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,89.029,119.314,-106.902,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,89.548,119.314,-107.431,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,90.126,119.314,-107.987,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,90.771,119.314,-108.645,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,90.842,119.314,-108.659,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,91.558,119.314,-109.416,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,82.876,119.314,-110.487,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,83.384,119.314,-110.797,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,84.222,119.314,-111.646,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,84.742,119.314,-112.174,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,85.320,119.314,-112.731,2.35620,-0.696,0.597,-0.718,0.775,0.308
7650,85.964,119.314,-113.388,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,86.035,119.314,-113.402,3.14159,-0.145,0.275,-0.245,0.212,0.331
7650,86.752,119.314,-114.159,2.35620,-0.696,0.597,-0.718,0.775,0.308
3631,84.710,119.314,-116.695,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,84.201,119.314,-116.385,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,83.363,119.314,-115.537,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,82.843,119.314,-115.008,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,82.265,119.314,-114.452,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,81.621,119.314,-113.794,-0.78540,-0.696,0.597,-0.718,0.775,0.308
3631,81.550,119.314,-113.780,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,80.833,119.314,-113.023,-0.78540,-0.696,0.597,-0.718,0.775,0.308
3631,90.342,119.314,-122.481,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,89.834,119.314,-122.172,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,88.995,119.314,-121.323,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,88.475,119.314,-120.794,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,87.897,119.314,-120.238,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,87.253,119.314,-119.580,-0.78540,-0.696,0.597,-0.718,0.775,0.308
3631,87.182,119.314,-119.567,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,86.465,119.314,-118.809,-0.78540,-0.696,0.597,-0.718,0.775,0.308
3631,95.297,119.314,-117.636,0.00000,-0.145,0.275,-0.245,0.212,0.331
7650,94.789,119.314,-117.327,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,93.951,119.314,-116.478,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,93.431,119.314,-115.949,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,92.853,119.314,-115.393,-0.78540,-0.696,0.597,-0.718,0.775,0.308
7650,92.209,119.314,-114.735,-0.78540,-0.696,0.597,-0.718,0.775,0.308
