classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7503,13.336,343.779,194.535,-0.29998,-0.351,0.411,-0.589,0.249,1.712
6334,-54.188,302.993,80.259,0.43993,-0.259,0.259,-0.134,0.134,0.358
3861,-51.107,303.311,83.677,-0.11423,-0.162,0.269,-0.444,1.097,1.610
9303,-51.818,302.995,82.541,-0.78540,-0.201,0.201,-0.225,0.225,0.376
9303,-50.925,303.405,76.133,2.15231,-0.201,0.201,-0.225,0.225,0.376
8063,-53.275,303.423,80.210,0.00000,-0.193,0.193,-0.151,0.213,0.357
7699,-53.356,303.132,82.507,0.98385,-0.394,0.394,-0.290,0.290,0.765
7136,-52.782,303.583,75.318,-3.00955,-0.553,0.553,-0.287,0.292,1.090
7702,-53.320,303.044,81.685,-1.59420,-0.635,0.635,-0.419,0.419,0.246
7702,-51.881,303.085,79.933,0.00000,-0.635,0.635,-0.419,0.419,0.246
7702,-53.313,303.000,80.521,-1.59420,-0.635,0.635,-0.419,0.419,0.246
8022,-51.876,303.400,78.543,1.57080,-0.161,0.161,-0.114,0.118,0.476
9326,-50.782,303.528,77.264,2.56781,-0.221,0.221,-0.210,0.211,0.768
8019,-51.575,303.425,78.849,2.21359,-0.243,0.227,-0.329,0.284,0.175
9327,-51.877,303.002,80.853,1.57080,-1.566,1.585,-0.441,0.443,0.208
7082,-51.582,302.896,78.691,2.01112,-0.414,0.411,-0.378,0.385,0.521
9327,-52.062,303.198,76.948,1.35900,-1.566,1.585,-0.441,0.443,0.208
7702,-53.302,303.296,81.648,-2.37961,-0.635,0.635,-0.419,0.419,0.246
7702,-53.369,303.259,80.476,1.16010,-0.635,0.635,-0.419,0.419,0.246
7702,-53.361,303.482,80.896,-1.19332,-0.635,0.635,-0.419,0.419,0.246
3860,-57.210,302.779,77.413,-1.49877,-1.018,0.854,-0.796,1.035,1.438
3861,-54.147,303.186,77.852,-3.18328,-0.162,0.269,-0.444,1.097,1.610
7082,-58.400,304.835,82.738,0.00000,-0.414,0.411,-0.378,0.385,0.521
7082,-58.977,302.960,81.100,-1.57080,-0.414,0.411,-0.378,0.385,0.521
7082,-58.092,339.833,48.386,1.57080,-0.414,0.411,-0.378,0.385,0.521
7082,-58.850,339.833,48.502,0.78540,-0.414,0.411,-0.378,0.385,0.521
7082,-58.391,340.354,48.442,0.00000,-0.414,0.411,-0.378,0.385,0.521
9317,-60.926,339.833,49.174,-0.78540,-0.266,0.266,-0.294,0.294,1.000
8079,-61.082,339.833,47.908,0.78540,-0.471,0.471,-0.484,0.484,0.795
8006,-61.092,340.624,48.195,-2.35620,-0.191,0.191,-0.277,0.172,0.378
8022,-60.898,340.624,47.872,-2.35620,-0.161,0.161,-0.114,0.118,0.476
7703,21.930,337.332,175.891,2.87267,-2.150,2.143,-0.773,0.841,1.261
6222,7.153,344.375,190.091,-0.78540,-0.217,0.217,-0.206,0.206,0.720
6215,7.588,344.375,192.319,-0.78540,-0.200,0.200,-0.190,0.190,0.364
6220,8.265,344.435,191.095,-3.14159,-0.099,0.087,-0.500,0.503,0.170
6221,7.270,344.435,191.137,-0.78540,-0.197,0.197,-0.187,0.187,0.604
6215,178.393,351.922,-3.318,0.00000,-0.200,0.200,-0.190,0.190,0.364
6221,178.957,352.190,-3.362,-0.00000,-0.197,0.197,-0.187,0.187,0.604
3629,20.327,343.465,186.301,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,10.349,343.465,189.163,0.00000,-0.719,0.687,-0.666,0.513,0.796
3629,11.088,343.465,194.425,0.00000,-0.719,0.687,-0.666,0.513,0.796
21933,25.858,343.437,188.000,-3.14159,-0.999,0.999,-0.999,0.999,0.200
21934,26.538,343.665,185.988,0.00000,-0.921,0.921,-0.921,0.921,0.189
21935,23.933,343.658,186.706,0.00000,-0.978,0.978,-0.898,0.952,0.148
21498,151.822,318.386,185.095,1.76824,-0.218,0.440,-0.578,0.924,0.708
21479,74.049,329.594,192.347,0.78540,-1.183,1.119,-0.910,1.306,1.000
21478,70.973,328.296,192.726,-0.00839,-1.043,1.176,-0.934,1.217,1.000
3780,164.543,352.790,-0.604,0.00000,-1.800,1.814,-1.822,1.680,1.811
6222,188.411,355.456,-10.444,0.00000,-0.217,0.216,-0.206,0.206,0.720
6222,194.390,355.334,-9.804,0.00000,-0.217,0.217,-0.206,0.206,0.720
6217,194.286,355.337,-9.165,0.00000,-0.300,0.300,-0.331,0.329,0.301
6219,183.305,351.929,2.589,0.00000,-0.862,0.457,-0.306,0.962,1.051
6221,191.130,355.369,-7.606,0.00000,-0.197,0.197,-0.187,0.187,0.604
3780,181.830,352.957,16.132,-1.57080,-1.800,1.814,-1.822,1.680,1.811
6220,193.300,355.369,-7.429,0.00000,-0.099,0.087,-0.500,0.503,0.170
6219,147.527,343.490,3.337,0.00000,-0.862,0.457,-0.306,0.962,1.051
4435,191.614,355.299,-5.801,0.00000,-0.615,0.704,-0.653,0.647,0.703
4435,191.651,355.330,-6.298,-0.78540,-0.615,0.704,-0.653,0.647,0.703
7503,-169.476,335.982,185.762,-0.26566,-0.351,0.411,-0.589,0.249,1.712
7627,-166.139,335.221,218.701,-0.05273,-0.291,0.298,-0.164,0.345,0.881
20633,-165.945,335.332,216.347,-0.78540,-1.170,1.280,-1.161,0.940,0.990
20626,-137.542,335.332,244.397,1.57080,-1.010,1.098,-1.096,1.271,1.659
20633,-133.140,335.332,242.369,0.78540,-1.170,1.280,-1.161,0.940,0.990
7627,-131.418,335.332,241.975,1.51807,-0.291,0.298,-0.164,0.345,0.881
10653,-132.162,335.332,199.837,0.05861,-1.206,1.206,-1.020,1.020,0.836
3628,-164.932,335.332,187.225,-1.57080,-0.422,0.322,-0.174,0.287,0.482
3628,-134.202,335.486,179.508,0.00000,-0.422,0.322,-0.174,0.287,0.482
20362,151.519,316.881,186.528,0.00000,-0.708,0.720,-0.520,0.565,1.181
20362,152.673,316.829,186.475,-2.35619,-0.708,0.721,-0.520,0.565,1.180
6334,152.328,316.891,186.898,2.55097,-0.259,0.259,-0.134,0.134,0.358
9303,151.243,316.962,187.127,-3.14159,-0.201,0.201,-0.225,0.225,0.376
8063,153.312,316.779,186.740,-2.19838,-0.193,0.193,-0.151,0.213,0.357
9326,153.130,317.057,185.979,-0.77663,-0.221,0.221,-0.211,0.210,0.768
9325,150.519,317.198,186.606,-2.15988,-0.410,0.410,-0.237,0.209,0.425
9327,151.701,316.835,188.019,-2.84672,-1.566,1.585,-0.441,0.443,0.208
3780,56.858,350.680,100.015,-1.56648,-1.800,1.814,-1.822,1.680,1.811
3780,27.528,351.494,130.069,-1.65741,-1.800,1.814,-1.822,1.680,1.811
3780,-71.246,339.833,63.006,-1.63295,-1.800,1.814,-1.822,1.680,1.811
3780,-43.992,339.477,-9.457,-1.98136,-1.800,1.814,-1.822,1.680,1.811
21562,376.116,336.852,256.120,0.69183,-1.382,1.583,-1.249,1.053,1.136
21539,375.569,338.383,256.198,0.90806,-0.423,0.429,-0.507,0.479,1.136
21562,372.186,341.028,257.842,3.12868,-1.382,1.583,-1.249,1.053,1.136
21562,374.280,339.467,259.589,0.79927,-1.382,1.583,-1.249,1.053,1.136
21562,375.343,336.767,261.958,0.20941,-1.382,1.583,-1.249,1.053,1.136
21562,374.436,339.151,253.674,0.64614,-1.382,1.583,-1.249,1.053,1.136
21562,375.457,336.767,258.891,0.20941,-1.382,1.583,-1.249,1.053,1.136
21562,372.286,341.028,254.806,3.12868,-1.382,1.583,-1.249,1.053,1.136
21562,372.220,340.124,246.881,-4.59881,-1.382,1.583,-1.249,1.053,1.136
21539,373.676,340.248,257.447,1.09407,-0.423,0.429,-0.507,0.479,1.136
21562,372.613,341.028,252.133,3.12868,-1.382,1.583,-1.249,1.053,1.136
21562,371.714,340.854,249.462,-4.59881,-1.382,1.583,-1.249,1.053,1.136
21562,374.668,338.886,251.400,-3.36018,-1.382,1.583,-1.249,1.053,1.136
21562,374.745,337.219,248.233,-3.80743,-1.382,1.583,-1.249,1.053,1.136
21562,371.323,339.151,243.738,0.96532,-1.382,1.583,-1.249,1.053,1.136
21562,370.304,339.151,269.214,0.20030,-1.382,1.583,-1.249,1.053,1.136
21562,373.243,339.357,264.303,0.54092,-1.382,1.583,-1.249,1.053,1.136
21539,373.197,338.383,267.785,0.90806,-0.423,0.429,-0.507,0.479,1.136
21562,370.553,341.028,264.791,1.41113,-1.382,1.583,-1.249,1.053,1.136
6214,173.726,343.334,52.553,1.37658,-0.433,0.433,-0.422,0.422,1.013
6222,176.048,342.974,46.539,-1.57080,-0.217,0.217,-0.206,0.206,0.720
6222,175.566,343.224,47.160,-2.35641,-0.217,0.217,-0.206,0.206,0.720
6221,175.148,343.032,46.780,0.00000,-0.197,0.197,-0.187,0.187,0.604
6215,173.990,343.147,48.788,1.24391,-0.200,0.200,-0.190,0.190,0.364
6220,174.425,342.974,46.978,-2.35619,-0.099,0.087,-0.500,0.503,0.170
6219,175.548,342.974,48.082,0.00000,-0.862,0.457,-0.306,0.962,1.051
6214,171.084,342.974,52.796,0.00000,-0.433,0.433,-0.422,0.422,1.013
6219,172.401,342.974,53.049,-0.78540,-0.862,0.457,-0.306,0.962,1.051
6222,173.755,342.974,46.023,-2.35619,-0.217,0.217,-0.206,0.206,0.720
6215,173.302,342.974,46.409,0.00000,-0.200,0.200,-0.190,0.190,0.364
6220,172.614,342.974,45.842,-2.35619,-0.099,0.087,-0.500,0.503,0.170
6217,173.784,342.974,51.902,0.00000,-0.300,0.300,-0.331,0.329,0.301
4271,173.549,343.103,51.049,0.45163,-0.535,0.753,-0.637,0.663,1.102
4272,173.580,343.063,50.865,-0.06768,-0.615,0.704,-0.653,0.647,0.703
4435,173.362,343.006,50.948,0.40860,-0.615,0.704,-0.653,0.647,0.703
20399,190.343,355.369,-9.996,0.00000,-0.149,0.149,-0.003,-0.003,0.198
4272,172.811,342.974,50.934,-0.06768,-0.615,0.704,-0.653,0.647,0.703
3860,-159.988,335.526,199.953,-1.40238,-1.018,0.854,-0.796,1.035,1.438
3861,-154.514,334.800,202.731,-0.52457,-0.162,0.269,-0.444,1.097,1.610
3829,-160.349,335.421,204.775,-0.34372,-0.756,0.756,-2.224,2.224,0.490
