classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3829,-23.829,16.325,140.946,0.62038,-0.756,0.756,-2.224,2.224,0.490
3860,-20.780,21.966,133.663,6.28318,-1.018,0.854,-0.796,1.035,1.438
3829,-63.615,34.873,-207.688,-1.63272,-0.756,0.756,-2.224,2.224,0.490
3860,-21.587,27.630,-212.397,1.43855,-1.018,0.854,-0.796,1.035,1.438
7465,235.023,19.826,103.825,1.57080,-0.619,0.619,-0.062,0.212,0.428
7743,235.023,19.826,101.575,1.57080,-0.619,0.619,-0.062,0.212,0.428
7744,235.023,19.609,102.700,1.57080,-0.619,0.619,-0.062,0.212,0.428
7466,234.660,18.590,103.838,1.57079,-0.355,0.355,-0.050,0.200,0.413
7463,236.506,17.585,102.713,1.57080,-1.864,1.864,-2.053,-0.735,1.508
7466,234.660,18.590,103.088,1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,212.483,19.609,103.763,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,212.846,18.590,102.625,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7463,211.000,17.585,103.000,-1.57080,-1.864,1.864,-2.053,-0.734,1.508
7466,212.721,18.767,103.750,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7463,221.373,17.585,109.145,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7466,220.248,18.590,107.299,0.00000,-0.355,0.355,-0.050,0.200,0.413
7466,220.998,18.590,107.299,0.00000,-0.355,0.355,-0.050,0.200,0.413
7463,226.626,17.585,109.089,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7466,225.501,18.590,107.243,0.00000,-0.355,0.355,-0.050,0.200,0.413
7744,227.017,18.624,107.252,0.00000,-0.619,0.619,-0.062,0.212,0.428
7744,227.520,19.609,97.449,2.61799,-0.619,0.619,-0.062,0.212,0.428
7465,228.494,19.826,98.011,2.61799,-0.619,0.619,-0.062,0.212,0.428
7465,225.132,19.393,96.600,3.14159,-0.619,0.619,-0.062,0.212,0.428
7465,222.882,19.393,96.600,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7744,220.433,19.609,97.401,-2.61799,-0.619,0.619,-0.062,0.212,0.428
7465,219.459,19.826,97.963,-2.61799,-0.619,0.619,-0.062,0.212,0.428
7465,266.000,19.826,118.000,1.06267,-0.619,0.619,-0.062,0.212,0.428
7466,265.439,18.590,117.619,1.06267,-0.355,0.355,-0.050,0.200,0.413
7466,265.804,18.590,116.964,1.06267,-0.355,0.355,-0.050,0.200,0.413
7744,266.310,19.609,116.802,1.06267,-0.619,0.619,-0.062,0.212,0.428
7463,267.599,17.585,117.534,1.06267,-1.864,1.864,-2.053,-0.735,1.508
7465,247.194,19.609,104.798,-2.07892,-0.619,0.619,-0.062,0.212,0.428
7744,246.100,19.609,106.763,-2.07892,-0.619,0.619,-0.062,0.212,0.428
7466,246.241,18.590,107.256,-2.07892,-0.355,0.355,-0.050,0.200,0.413
7466,246.606,18.590,106.601,-2.07892,-0.355,0.355,-0.050,0.200,0.413
7463,245.176,17.585,105.376,-2.07892,-1.864,1.864,-2.053,-0.734,1.508
