classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7705,-136.750,209.250,-632.500,0.87650,-1.333,1.301,-0.755,0.841,1.244
7703,-158.500,209.500,-625.500,0.21807,-2.150,2.143,-0.773,0.841,1.261
7703,-302.531,202.204,-792.968,0.00000,-2.150,2.143,-0.773,0.841,1.261
21272,-305.031,199.930,-737.647,0.00000,-0.421,0.362,-0.487,0.570,0.122
21274,-303.795,199.959,-741.184,0.00000,-0.519,0.348,-0.813,0.509,0.108
20373,-968.400,218.200,-672.500,0.00000,-0.781,0.778,-0.777,0.757,1.292
20373,-302.513,202.435,-784.424,-0.54583,-0.781,0.778,-0.777,0.757,1.292
20374,-300.108,202.339,-784.233,0.00000,-0.774,0.782,-0.763,0.773,1.292
21498,-300.348,202.299,-798.981,0.00000,-0.218,0.440,-0.578,0.924,0.708
7703,-291.340,202.698,-740.270,0.87826,-2.150,2.143,-0.773,0.841,1.261
11285,-213.025,200.819,-619.914,0.00000,-1.558,1.537,-1.339,1.192,0.852
20373,-160.379,209.341,-638.328,0.00000,-0.781,0.778,-0.777,0.757,1.292
20373,-163.000,209.250,-638.750,0.00000,-0.781,0.778,-0.777,0.757,1.292
21935,-1193.000,115.000,695.000,0.00000,-0.978,0.978,-0.898,0.952,0.148
21479,1004.640,210.720,20.640,0.00000,-1.183,1.119,-0.910,1.306,1.000
21478,934.080,213.600,-19.680,0.00000,-1.043,1.176,-0.934,1.217,1.000
21478,936.000,213.600,-20.640,-1.51884,-1.043,1.176,-0.934,1.217,1.000
6176,-56.160,203.040,165.600,0.00000,-0.403,0.496,-0.469,0.572,0.817
6176,-55.200,203.040,164.640,0.00000,-0.403,0.496,-0.469,0.572,0.817
20372,-578.700,200.400,-232.700,0.00000,-0.382,0.382,-0.382,0.382,1.292
20373,-581.300,200.400,-230.600,0.00000,-0.781,0.778,-0.777,0.757,1.292
20373,-578.106,199.884,-225.572,0.00000,-0.781,0.778,-0.777,0.757,1.292
20372,-572.906,199.884,-220.572,0.00000,-0.382,0.382,-0.382,0.382,1.292
21817,-577.606,202.284,-218.472,0.00000,-0.503,0.503,-0.532,0.846,1.045
20373,-827.600,198.500,-375.500,0.00000,-0.781,0.778,-0.777,0.757,1.292
20372,-821.900,198.500,-370.300,0.00000,-0.382,0.382,-0.382,0.382,1.292
21817,-827.100,200.600,-368.400,0.00000,-0.503,0.503,-0.532,0.846,1.045
20362,-579.300,199.793,-1043.800,0.00000,-0.708,0.721,-0.520,0.565,1.181
7899,885.000,180.200,-953.100,0.00000,-0.404,0.403,-0.281,0.281,0.216
20832,794.500,243.500,722.000,0.00000,-1.663,2.060,-1.385,1.298,1.911
7703,-1084.100,211.700,-667.700,2.89784,-2.150,2.143,-0.773,0.841,1.261
7703,-1007.500,214.600,-646.400,-1.57080,-2.150,2.143,-0.773,0.841,1.261
7703,-1001.100,217.900,-665.800,2.35620,-2.150,2.143,-0.773,0.841,1.261
21883,-1007.300,214.500,-641.100,1.88469,-1.115,0.660,-1.421,0.619,1.358
7703,-992.400,218.000,-661.800,-0.37412,-2.150,2.143,-0.773,0.841,1.261
20829,-81.800,209.333,-280.300,0.87445,-1.661,1.651,-1.180,1.180,1.848
20826,-83.700,209.533,-278.500,0.00000,-0.973,0.969,-0.957,0.944,1.190
20827,-85.600,209.333,-276.700,0.00000,-1.332,1.281,-1.302,1.326,1.190
20826,46.797,211.785,-317.384,-1.30855,-0.973,0.969,-0.957,0.944,1.190
20827,44.566,211.585,-318.753,-1.30855,-1.332,1.281,-1.302,1.326,1.190
20829,48.997,211.552,-315.984,-0.43410,-1.661,1.651,-1.180,1.180,1.848
20829,48.597,211.552,-320.784,-1.17061,-1.661,1.651,-1.180,1.180,1.848
20829,60.300,211.400,-335.400,-1.17061,-1.661,1.651,-1.180,1.180,1.848
20829,60.700,211.400,-330.600,-0.43410,-1.661,1.651,-1.180,1.180,1.848
11295,-41.000,237.200,-457.100,0.00000,-1.012,0.988,-1.124,1.288,1.000
10375,-50.200,237.100,-438.100,0.00000,-2.000,2.000,-2.000,2.000,8.000
3861,-43.900,241.800,-444.500,1.57080,-0.162,0.269,-0.444,1.097,1.610
3861,-33.400,243.000,-443.800,1.57080,-0.162,0.269,-0.444,1.097,1.610
3861,-42.200,243.000,-443.800,-1.57080,-0.162,0.269,-0.444,1.097,1.610
24807,-43.200,237.100,-459.700,0.00000,-1.646,1.646,-1.030,1.282,0.997
3861,-38.200,243.100,-443.300,4.04647,-0.162,0.269,-0.444,1.097,1.610
20701,-39.800,245.100,-436.700,-1.57080,-1.020,1.020,-0.000,2.000,1.663
20702,-39.600,246.800,-436.800,1.57080,-1.032,1.032,-1.180,0.820,1.520
20702,-37.500,246.800,-437.100,-1.57080,-1.032,1.032,-1.180,0.820,1.520
20701,-35.400,245.100,-436.600,-1.57080,-1.020,1.020,-0.000,2.000,1.663
10375,-26.300,237.100,-438.100,0.00000,-2.000,2.000,-2.000,2.000,8.000
21944,-15.400,235.000,-438.100,1.57079,-2.045,2.000,-2.045,2.045,9.000
10375,-15.300,233.000,-445.100,0.00000,-2.000,2.000,-2.000,2.000,8.000
20375,-21.192,214.300,-661.798,-0.78245,-0.774,0.782,-0.763,0.773,1.292
7082,-24.066,214.200,-663.165,-0.78245,-0.414,0.411,-0.378,0.385,0.521
20361,-26.120,213.900,-665.536,-0.78245,-0.708,0.721,-0.520,0.565,1.181
20373,-47.329,214.402,-687.748,-2.82743,-0.781,0.778,-0.777,0.757,1.292
20373,-49.581,214.302,-686.911,-2.82743,-0.781,0.778,-0.777,0.757,1.292
7703,-60.800,213.900,-662.700,-0.74874,-2.150,2.143,-0.773,0.841,1.261
7703,-63.800,213.900,-665.300,-0.74874,-2.150,2.143,-0.773,0.841,1.261
7703,-44.400,214.000,-648.000,-1.10526,-2.150,2.143,-0.773,0.841,1.261
11285,-53.100,209.500,-645.100,0.00000,-1.558,1.537,-1.339,1.192,0.852
7702,-48.800,211.700,-647.200,0.00000,-0.635,0.635,-0.419,0.419,0.246
7701,-54.000,209.700,-648.300,0.00000,-0.552,0.560,-0.366,0.258,0.872
3716,900.500,259.900,-458.300,0.00000,-1.087,1.077,-0.780,1.116,0.923
11304,-72.448,214.075,-671.423,2.35620,-1.283,1.283,-1.283,1.283,1.065
11304,-306.217,202.299,-792.926,1.64934,-1.283,1.283,-1.283,1.283,1.065
11304,-279.789,203.064,-748.279,-2.27765,-1.283,1.283,-1.283,1.283,1.065
11304,-289.884,202.881,-737.371,-2.27765,-1.283,1.283,-1.283,1.283,1.065
20699,-19.673,214.371,-669.715,-0.78540,-1.020,1.020,0.000,1.020,1.716
8078,-18.437,214.371,-668.248,0.00000,-0.350,0.350,-0.509,0.509,0.858
20375,-1171.700,238.800,-717.400,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,-1171.500,238.800,-720.900,0.00000,-0.774,0.782,-0.763,0.773,1.292
25637,-1143.400,238.000,-686.000,0.00000,-1.561,1.565,-1.712,1.702,0.663
25638,-1152.200,238.800,-689.000,-0.03359,-1.947,1.954,-1.676,1.668,0.916
25638,-1145.800,237.700,-682.800,0.00000,-1.947,1.954,-1.675,1.668,0.916
25638,-1141.800,238.800,-678.200,-0.03359,-1.947,1.954,-1.676,1.668,0.916
25638,-1084.800,211.600,-609.600,-0.03359,-1.947,1.954,-1.675,1.668,0.916
25637,-1094.034,211.264,-609.002,-1.27726,-1.561,1.565,-1.712,1.701,0.663
25638,-1097.700,212.100,-610.400,-1.28426,-1.947,1.954,-1.676,1.667,0.916
25638,-1098.600,213.000,-616.600,-0.03359,-1.947,1.954,-1.676,1.668,0.916
7703,-1093.700,211.700,-670.800,2.89784,-2.150,2.143,-0.773,0.841,1.261
11304,-188.060,207.051,-471.784,-2.98451,-1.283,1.283,-1.283,1.283,1.065
11304,-181.509,207.051,-479.446,0.00000,-1.283,1.283,-1.283,1.283,1.065
11295,-164.304,199.625,-368.455,0.00000,-1.012,0.988,-1.124,1.288,1.000
20656,-192.481,204.800,-309.431,0.00000,-0.939,1.061,-0.991,1.257,1.000
20657,-155.392,199.951,-353.610,-0.47124,-1.003,0.997,-0.950,1.309,1.000
11295,-169.621,201.519,-323.316,-1.02102,-1.012,0.988,-1.124,1.288,1.000
20656,-253.388,204.824,-323.244,2.04203,-0.939,1.061,-0.991,1.257,1.000
20657,-234.173,204.800,-311.786,0.00000,-1.003,0.997,-0.950,1.309,1.000
24766,-257.500,204.800,-305.086,2.82743,-1.177,1.090,-1.307,1.391,1.000
24766,-194.628,204.800,-299.867,2.59181,-1.177,1.090,-1.307,1.391,1.000
24765,-193.000,205.750,-453.500,0.00000,-1.300,1.025,-1.232,1.653,1.000
24766,-207.495,207.121,-441.283,2.35619,-1.177,1.090,-1.307,1.391,1.000
24765,-176.250,208.750,-459.750,-0.70686,-1.300,1.025,-1.232,1.653,1.000
24766,-188.808,206.053,-462.819,-2.12057,-1.177,1.090,-1.307,1.391,1.000
24757,-183.575,207.051,-433.800,2.98451,-1.000,1.031,-1.410,1.203,1.000
11297,-174.867,207.126,-416.350,0.00000,-0.789,1.211,-0.842,1.190,1.000
20655,-190.468,207.051,-406.248,0.00000,-1.046,0.954,-0.986,1.328,1.000
20657,-181.143,204.800,-382.520,0.00000,-1.003,0.997,-0.950,1.309,1.000
24766,-187.800,206.686,-401.542,2.35619,-1.177,1.090,-1.307,1.391,1.000
24765,-173.769,204.800,-396.279,0.00000,-1.300,1.025,-1.232,1.653,1.000
11285,-999.100,218.200,-664.300,0.00000,-1.558,1.537,-1.339,1.192,0.852
11285,-994.600,218.100,-662.700,0.00000,-1.558,1.537,-1.339,1.192,0.852
11304,-988.400,218.200,-651.400,1.64934,-1.283,1.283,-1.283,1.283,1.065
11295,-1017.800,213.400,-648.600,0.00000,-1.012,0.988,-1.124,1.288,1.000
20654,-1017.600,213.500,-647.200,-1.67007,-0.874,1.126,-1.002,1.010,1.000
11298,-1008.600,214.700,-642.500,0.00000,-0.436,0.882,-0.339,0.318,0.571
7703,-1045.700,214.800,-675.200,3.11239,-2.150,2.143,-0.773,0.841,1.261
7703,-1037.300,214.900,-675.900,-3.04494,-2.150,2.143,-0.773,0.841,1.261
7703,-1045.700,215.900,-675.200,3.11239,-2.150,2.143,-0.773,0.841,1.261
7703,-1037.300,215.900,-675.800,-3.10459,-2.150,2.143,-0.773,0.841,1.261
11285,-1048.000,215.300,-675.800,0.00000,-1.558,1.537,-1.339,1.192,0.852
11285,-1039.300,215.200,-675.700,0.00000,-1.558,1.537,-1.339,1.192,0.852
11285,-1035.200,215.300,-676.200,0.00000,-1.558,1.537,-1.339,1.192,0.852
11285,-949.700,238.200,-617.200,0.00000,-1.558,1.537,-1.339,1.192,0.852
