classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20615,-175.461,139.617,-230.908,1.05340,-1.009,1.011,-0.509,0.965,1.979
20615,-194.500,139.617,-236.500,-2.99656,-1.009,1.011,-0.509,0.965,1.979
20615,-198.394,139.617,-230.770,-0.48327,-1.009,1.011,-0.509,0.965,1.979
20615,-181.000,139.617,-237.000,-3.03061,-1.009,1.011,-0.509,0.965,1.979
20615,-196.000,139.617,-218.000,2.22195,-1.009,1.011,-0.509,0.965,1.979
20615,-192.500,139.617,-215.000,2.02089,-1.009,1.011,-0.509,0.965,1.979
7463,-176.842,139.617,-213.920,0.78530,-1.864,1.864,-2.053,-0.734,1.508
20615,-179.000,139.617,-218.000,-2.89904,-1.009,1.011,-0.509,0.965,1.979
7465,-193.572,141.646,-212.852,-0.56273,-0.619,0.619,-0.062,0.212,0.428
7743,-194.525,141.862,-213.453,-0.56271,-0.619,0.619,-0.062,0.212,0.428
7466,-192.813,140.836,-212.656,-0.56266,-0.355,0.356,-0.050,0.200,0.413
7466,-195.097,141.013,-213.949,-0.56272,-0.355,0.356,-0.050,0.200,0.413
7466,-197.906,141.825,-217.131,-1.01472,-0.355,0.356,-0.050,0.200,0.413
7743,-197.500,141.392,-216.500,-1.01472,-0.619,0.619,-0.062,0.212,0.428
7466,-178.769,140.976,-214.251,0.78531,-0.355,0.355,-0.050,0.200,0.413
7465,-178.690,141.825,-214.168,0.78533,-0.619,0.619,-0.062,0.212,0.428
7744,-177.895,142.042,-214.963,0.78534,-0.619,0.619,-0.062,0.212,0.428
7466,-178.240,140.976,-214.781,0.78533,-0.355,0.355,-0.050,0.200,0.413
7743,-177.101,141.825,-215.758,0.78535,-0.619,0.619,-0.062,0.212,0.428
7463,-195.000,139.654,-212.000,-0.56266,-1.864,1.864,-2.053,-0.734,1.508
11254,-192.000,149.585,-278.000,-1.57080,-0.879,0.879,-0.969,1.136,1.857
20507,-192.000,149.584,-286.000,-1.57080,-0.879,0.879,-0.969,1.137,1.880
