classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
6215,-74.544,60.264,-464.484,0.00000,-0.200,0.200,-0.190,0.190,0.364
6219,-66.298,60.266,-458.600,0.00000,-0.862,0.457,-0.306,0.962,1.051
25694,-67.420,60.265,-441.621,0.00000,-0.231,0.231,-0.231,0.231,0.598
21479,-18.408,79.076,-271.137,0.14768,-1.183,1.119,-0.910,1.306,1.000
6214,-131.035,60.629,-423.868,-2.87720,-0.433,0.433,-0.422,0.422,1.013
6221,-134.185,60.264,-427.785,0.00000,-0.197,0.197,-0.187,0.187,0.604
6214,-140.671,60.495,-427.378,-1.62428,-0.433,0.433,-0.422,0.422,1.013
6214,-148.848,60.495,-417.088,-1.57131,-0.433,0.433,-0.422,0.422,1.013
6214,-112.618,60.264,-518.642,-0.80247,-0.433,0.433,-0.422,0.422,1.013
6220,-110.817,60.224,-520.987,-0.31400,-0.099,0.087,-0.500,0.503,0.170
6214,-110.014,60.264,-523.135,2.33912,-0.433,0.433,-0.422,0.422,1.013
6214,-110.162,60.808,-518.080,5.24773,-0.433,0.433,-0.422,0.422,1.013
6215,629.542,56.264,-412.951,0.00000,-0.200,0.200,-0.190,0.190,0.364
6219,632.187,56.264,-415.409,0.39270,-0.862,0.457,-0.306,0.962,1.051
7465,468.966,33.049,100.150,1.85173,-0.619,0.619,-0.062,0.212,0.428
7744,468.966,33.915,100.150,1.85175,-0.619,0.619,-0.062,0.212,0.428
7466,468.567,33.449,98.721,1.85179,-0.355,0.356,-0.050,0.200,0.413
6215,678.077,56.264,-360.709,0.78540,-0.200,0.200,-0.190,0.190,0.364
6215,614.276,56.264,-410.946,0.00000,-0.200,0.200,-0.190,0.190,0.364
6221,632.468,56.264,-413.370,-1.57080,-0.197,0.197,-0.187,0.187,0.604
6221,614.993,56.264,-411.553,0.00000,-0.197,0.197,-0.187,0.187,0.604
6221,433.266,58.256,-246.766,0.03933,-0.197,0.197,-0.187,0.187,0.604
7465,456.150,33.263,117.819,0.20017,-0.619,0.619,-0.062,0.212,0.428
7744,456.150,34.129,117.819,0.20018,-0.619,0.619,-0.062,0.212,0.428
7466,457.607,33.663,117.536,0.20018,-0.355,0.355,-0.050,0.200,0.413
11318,161.997,72.008,-482.493,-1.52594,-1.527,2.576,-0.957,0.348,0.340
11318,163.838,70.908,-482.939,-2.76165,-1.527,2.576,-0.958,0.348,0.340
11318,168.325,71.745,-494.140,-1.85677,-1.527,2.576,-0.957,0.348,0.340
11318,169.272,71.418,-504.776,0.09798,-1.527,2.576,-0.957,0.348,0.340
7701,169.190,71.730,-493.640,0.93012,-0.552,0.560,-0.366,0.258,0.872
7699,169.607,71.407,-494.443,0.00000,-0.394,0.394,-0.290,0.290,0.765
7701,168.883,71.757,-492.762,2.21868,-0.552,0.560,-0.366,0.258,0.872
7701,160.282,72.444,-496.148,0.08785,-0.552,0.560,-0.366,0.258,0.872
7701,161.440,72.099,-495.285,-2.14343,-0.552,0.560,-0.366,0.258,0.872
7699,162.575,71.901,-494.620,-1.55935,-0.394,0.394,-0.290,0.290,0.765
11318,162.323,71.982,-495.954,2.79022,-1.527,2.576,-0.958,0.348,0.340
7701,160.722,72.260,-495.006,-2.14343,-0.552,0.560,-0.366,0.258,0.872
7701,165.100,72.215,-493.663,-1.90591,-0.552,0.560,-0.366,0.258,0.872
6222,-5.426,88.110,-351.381,0.00000,-0.217,0.217,-0.206,0.206,0.720
6215,-4.893,88.237,-351.182,0.00000,-0.200,0.200,-0.190,0.190,0.364
6215,-5.583,87.707,-353.849,0.00000,-0.200,0.200,-0.190,0.190,0.364
6221,-5.645,87.835,-353.461,0.00000,-0.197,0.197,-0.187,0.187,0.604
6215,145.779,55.913,-276.133,0.00000,-0.200,0.200,-0.190,0.190,0.364
