classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
11304,-529.000,666.500,-248.000,1.57080,-1.283,1.283,-1.283,1.283,1.065
11304,-527.275,665.287,-225.930,1.57080,-1.283,1.283,-1.283,1.283,1.065
21944,-270.000,663.000,-277.000,-3.14159,-2.045,2.000,-2.045,2.045,9.000
7478,-469.482,716.814,167.793,0.00000,-2.226,2.226,-2.499,2.448,0.507
6221,-539.838,631.370,731.680,0.00000,-0.197,0.197,-0.187,0.187,0.603
6215,-538.263,631.370,731.819,0.00000,-0.200,0.200,-0.190,0.190,0.364
3829,-21.791,442.190,-272.435,-1.79346,-0.756,0.756,-2.224,2.224,0.490
20829,459.750,469.865,306.750,-0.78540,-1.661,1.651,-1.180,1.180,1.848
20830,470.250,469.865,323.000,-2.92781,-1.661,1.651,-2.358,2.358,1.848
20827,473.000,469.865,313.000,0.00000,-1.332,1.281,-1.303,1.326,1.190
8069,-322.582,668.163,-276.949,0.00000,-1.046,1.046,-0.708,0.708,1.253
21705,-282.184,753.858,-563.950,-3.14159,-1.548,1.038,-1.868,0.414,0.603
11284,-353.323,667.288,-241.470,-0.26174,-1.333,1.441,-0.755,0.899,1.209
20782,-506.000,711.515,-41.000,0.02852,-0.740,0.740,-0.704,0.704,1.356
20782,-464.505,712.833,-28.317,-1.13996,-0.740,0.740,-0.704,0.704,1.356
20782,-471.032,714.554,22.088,-0.29440,-0.740,0.740,-0.704,0.704,1.356
20782,-502.524,716.809,122.796,2.84719,-0.740,0.740,-0.704,0.704,1.356
20782,-518.500,711.515,-26.000,-2.23221,-0.740,0.740,-0.704,0.703,1.356
11304,-274.498,668.152,-257.492,1.57080,-1.283,1.283,-1.283,1.283,1.065
8072,-228.113,737.144,-594.648,1.60203,-0.395,0.395,-0.665,0.665,1.863
20782,-606.000,668.433,-63.000,0.00000,-0.740,0.740,-0.704,0.704,1.356
20361,-301.647,672.423,-311.034,-0.57052,-0.708,0.721,-0.520,0.565,1.180
20830,71.963,241.059,371.986,-0.78540,-1.661,1.651,-2.358,2.358,1.848
20832,106.487,241.059,385.843,0.00000,-1.663,2.060,-1.385,1.298,1.911
20782,546.250,357.014,76.750,-1.57079,-0.740,0.740,-0.703,0.704,1.356
20782,516.876,356.858,25.737,-1.57079,-0.740,0.740,-0.703,0.704,1.356
7463,607.343,529.976,331.804,0.00000,-1.864,1.864,-2.053,-0.735,1.508
20782,342.645,240.863,226.591,-0.85841,-0.740,0.740,-0.704,0.704,1.356
20782,682.750,469.434,308.750,0.00001,-0.740,0.740,-0.704,0.704,1.356
20782,683.000,469.434,327.750,0.00000,-0.740,0.740,-0.704,0.704,1.356
20830,679.500,469.865,294.500,-2.92781,-1.661,1.651,-2.358,2.358,1.848
20830,678.250,469.865,344.500,2.56997,-1.661,1.651,-2.358,2.358,1.848
11284,-361.406,737.085,-661.851,-1.57080,-1.333,1.441,-0.755,0.899,1.209
11284,-370.589,737.085,-661.802,-1.57080,-1.333,1.441,-0.755,0.899,1.209
21944,-192.500,737.000,-646.500,1.57080,-2.045,2.000,-2.045,2.045,9.000
10375,-202.000,733.000,-646.500,0.00000,-2.000,2.000,-2.000,2.000,8.000
20363,-325.615,710.061,-666.836,2.30047,-0.708,0.720,-0.520,0.565,1.180
20375,-328.750,710.000,-670.500,0.00000,-0.774,0.782,-0.763,0.773,1.292
20361,-325.750,710.000,-670.750,-1.96350,-0.708,0.721,-0.520,0.565,1.180
20362,-326.500,710.000,-662.750,0.00000,-0.708,0.721,-0.520,0.565,1.180
8071,-325.925,710.000,-667.073,0.71532,-0.313,0.313,-0.833,0.833,1.163
20635,-335.745,714.000,-674.746,0.00000,-0.045,0.045,-0.045,0.045,1.000
10426,-375.500,714.000,-644.000,0.00000,-0.181,0.182,-0.181,0.182,1.290
10426,-375.500,714.000,-642.000,0.00000,-0.181,0.182,-0.181,0.182,1.290
8072,-378.399,714.000,-646.786,-1.96350,-0.395,0.395,-0.665,0.665,1.863
8008,-377.978,714.000,-629.292,0.00000,-1.179,0.940,-0.142,0.079,1.788
20699,-345.000,714.000,-616.500,0.00000,-1.020,1.020,0.000,1.020,1.716
20699,-355.000,714.000,-616.000,0.00000,-1.020,1.020,0.000,1.020,1.716
8009,-342.500,714.000,-616.000,0.00000,-1.512,0.493,-0.392,0.384,1.895
8009,-352.500,714.000,-616.000,0.00000,-1.512,0.493,-0.392,0.384,1.895
8065,-356.220,710.023,-646.295,-0.53594,-0.260,0.260,-0.367,0.367,0.975
8075,-356.846,710.863,-647.124,-1.96350,-0.102,0.102,-0.349,0.453,0.942
8075,-349.024,710.863,-646.582,1.96350,-0.102,0.102,-0.349,0.453,0.942
8075,-345.009,710.863,-646.743,-1.96350,-0.102,0.102,-0.349,0.453,0.942
10426,-346.000,710.000,-663.000,-3.14159,-0.181,0.181,-0.181,0.181,1.290
10426,-342.000,710.000,-663.000,-3.14159,-0.181,0.181,-0.181,0.181,1.290
8065,-354.323,714.008,-713.353,-0.59878,-0.260,0.260,-0.367,0.367,0.975
8009,-355.000,714.004,-715.000,2.67767,-1.512,0.493,-0.393,0.384,1.895
10426,116.971,392.464,596.928,-1.37010,-0.181,0.181,-0.181,0.181,1.290
9320,141.708,382.642,588.389,0.00000,-1.223,1.225,-0.534,0.534,0.498
21046,139.990,382.642,587.640,2.35620,-0.243,0.215,-0.540,0.276,1.679
21045,145.725,382.642,590.352,1.32221,-0.244,0.215,-0.540,0.276,1.679
9320,145.233,382.642,588.698,-1.57080,-1.223,1.225,-0.534,0.534,0.498
9320,145.810,382.642,593.139,-1.57080,-1.223,1.225,-0.534,0.534,0.498
21046,145.777,382.642,591.498,1.74262,-0.244,0.215,-0.540,0.276,1.679
9320,139.500,382.642,594.000,0.00000,-1.223,1.225,-0.534,0.534,0.498
21045,137.847,382.642,594.225,0.72458,-0.244,0.215,-0.540,0.276,1.679
9328,134.654,382.257,587.811,-3.14159,-0.587,0.587,-0.142,0.142,1.115
9323,132.544,382.642,587.666,0.00000,-0.606,0.610,-0.525,0.521,0.957
20362,125.381,382.500,594.359,-0.42566,-0.708,0.720,-0.520,0.565,1.181
3768,98.000,374.500,586.500,0.00000,-2.000,2.000,-2.000,2.000,8.000
11304,99.641,392.646,531.066,0.00000,-1.283,1.283,-1.283,1.283,1.065
10985,-290.702,697.170,-436.385,0.00000,-1.000,1.000,-1.000,1.000,1.000
20375,117.910,392.418,627.550,-0.92547,-0.775,0.782,-0.763,0.773,1.292
20363,116.614,392.379,629.413,2.35620,-0.708,0.721,-0.520,0.565,1.181
20321,119.397,392.418,629.763,2.60190,-1.307,1.307,-0.487,0.487,1.007
7703,122.233,392.041,612.657,0.42102,-2.150,2.143,-0.773,0.841,1.261
7703,119.957,391.594,615.515,1.04952,-2.150,2.143,-0.773,0.841,1.261
11285,116.005,392.379,622.954,0.00000,-1.558,1.537,-1.339,1.191,0.852
