classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
25635,188.000,24.000,-10.000,0.00000,-1.302,1.502,-0.698,1.123,0.680
20372,264.998,24.865,-36.962,-3.57810,-0.382,0.382,-0.382,0.382,1.292
20372,266.259,24.880,-32.016,1.34835,-0.382,0.382,-0.382,0.382,1.292
20372,265.361,24.799,-30.316,2.37402,-0.382,0.382,-0.382,0.382,1.292
8008,276.165,25.601,-22.497,1.57080,-1.179,0.940,-0.142,0.078,1.788
8064,265.315,24.951,-28.999,3.75887,-0.497,0.497,-0.472,0.472,0.789
8079,263.704,24.966,-80.104,-5.21238,-0.471,0.471,-0.484,0.484,0.795
8011,249.070,24.683,-70.850,0.26596,-0.359,0.346,-0.223,0.188,1.484
8014,252.737,24.682,-67.997,-0.31528,-0.244,0.215,-0.540,0.276,1.679
20699,256.039,24.500,-67.280,0.00000,-1.020,1.020,0.000,1.020,1.716
8009,244.460,24.500,-91.146,0.00000,-1.512,0.493,-0.393,0.384,1.895
8012,248.188,24.628,-75.435,-2.24967,-0.334,0.339,-0.192,0.208,0.263
25635,254.407,12.000,-169.803,-1.57079,-1.302,1.502,-0.698,1.123,0.680
25636,234.570,12.000,-195.620,-1.57079,-1.927,1.950,-0.924,1.688,0.315
11297,237.410,12.000,-184.538,-0.78540,-0.789,1.211,-0.842,1.190,1.000
11295,231.070,12.000,-189.063,0.00000,-1.012,0.988,-1.124,1.288,1.000
20657,232.452,12.000,-166.017,-0.78540,-1.003,0.997,-0.950,1.309,1.000
11285,228.192,12.000,-173.543,0.00000,-1.558,1.537,-1.339,1.192,0.852
8064,235.998,12.406,-185.987,-0.45067,-0.497,0.497,-0.472,0.472,0.789
20324,222.758,13.217,-183.269,-1.57080,-1.782,1.924,-0.259,0.109,1.015
20320,234.000,12.000,-183.040,-1.57079,-1.307,1.307,-0.487,0.487,1.007
7699,232.950,12.000,-176.809,-3.05445,-0.394,0.394,-0.290,0.290,0.765
20372,224.767,11.999,-203.474,-0.78540,-0.382,0.382,-0.382,0.382,1.292
7082,230.120,12.000,-197.238,-2.35619,-0.414,0.411,-0.378,0.385,0.521
20363,229.554,12.000,-202.095,-0.78540,-0.708,0.721,-0.520,0.565,1.181
20363,340.530,32.500,-244.887,-3.14159,-0.708,0.721,-0.520,0.565,1.181
20362,342.717,32.500,-244.628,-0.78540,-0.708,0.721,-0.520,0.565,1.181
20363,338.961,32.500,-245.279,-0.78540,-0.708,0.720,-0.520,0.565,1.181
20374,344.005,32.501,-205.894,-0.78540,-0.774,0.782,-0.763,0.773,1.292
20374,343.866,32.501,-207.517,-3.14159,-0.774,0.782,-0.763,0.773,1.292
20374,342.953,32.501,-212.261,2.35620,-0.774,0.782,-0.763,0.773,1.292
20702,319.769,34.936,-265.943,-1.57079,-1.032,1.032,-1.180,0.820,1.520
20702,319.672,35.974,-262.026,-1.57074,-1.032,1.032,-1.180,0.820,1.520
20699,321.467,32.500,-262.015,-1.57079,-1.020,1.020,0.000,1.020,1.716
20699,321.464,32.500,-265.990,-1.57079,-1.020,1.020,0.000,1.020,1.716
20363,446.786,28.000,-271.584,-0.78540,-0.708,0.720,-0.520,0.565,1.181
8069,450.829,28.000,-276.774,-2.35619,-1.046,1.046,-0.708,0.708,1.253
11318,470.786,28.000,-276.890,-1.57079,-1.527,2.576,-0.957,0.348,0.340
11285,471.002,28.000,-272.658,-1.57080,-1.558,1.537,-1.339,1.192,0.852
8081,444.047,32.273,-306.599,3.14955,-0.969,0.969,-0.969,0.969,0.930
8081,435.956,32.262,-306.314,-2.07701,-0.969,0.969,-0.969,0.969,0.930
20374,329.635,32.501,-216.449,0.78540,-0.774,0.782,-0.763,0.773,1.292
20374,325.772,32.501,-206.048,-2.35619,-0.774,0.782,-0.763,0.773,1.292
20374,340.058,32.501,-204.077,0.78540,-0.774,0.782,-0.763,0.773,1.292
25636,381.371,32.465,-281.405,3.22394,-1.927,1.950,-0.924,1.688,0.315
25638,378.550,32.418,-281.369,2.10310,-1.947,1.954,-1.676,1.667,0.916
8081,336.675,32.998,-205.310,0.19889,-0.969,0.969,-0.969,0.969,0.930
8072,334.985,32.886,-201.268,-2.73818,-0.395,0.395,-0.665,0.665,1.863
8081,440.010,32.000,-297.904,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,447.018,32.000,-298.060,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,431.655,32.246,-296.783,-1.36387,-0.969,0.969,-0.969,0.969,0.930
8066,432.234,32.234,-295.801,1.00343,-0.282,0.282,-0.374,0.374,0.966
8081,431.624,32.000,-303.463,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,451.334,32.000,-306.751,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,424.083,32.866,-300.930,0.98719,-0.969,0.969,-0.969,0.969,0.930
8081,419.063,32.000,-306.731,-1.57080,-0.969,0.969,-0.969,0.969,0.930
8081,423.013,32.294,-296.626,-3.22919,-0.969,0.969,-0.969,0.969,0.930
8081,415.800,32.000,-300.696,-1.57080,-0.969,0.969,-0.969,0.969,0.930
21791,418.452,33.711,-294.653,-3.14159,-0.312,0.465,-0.548,0.500,0.760
21791,431.637,32.612,-305.368,1.57080,-0.312,0.465,-0.548,0.500,0.760
8020,414.774,32.337,-290.357,-2.36619,-0.646,0.645,-0.341,0.345,1.791
10426,466.000,28.000,-262.000,0.00000,-0.181,0.181,-0.181,0.182,1.290
10426,466.000,28.000,-256.000,0.00000,-0.181,0.181,-0.181,0.181,1.290
