classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
11158,-45.414,19.553,-146.329,-0.51279,-0.724,0.624,-0.778,0.711,0.277
11158,-48.060,19.461,-149.348,-1.26743,-0.724,0.624,-0.778,0.711,0.277
11158,-47.854,18.753,-149.369,2.28514,-0.724,0.624,-0.778,0.711,0.277
11158,-47.680,17.616,-149.422,-1.71736,-0.724,0.624,-0.778,0.711,0.277
11158,-44.560,21.063,-144.806,-0.84751,-0.724,0.624,-0.778,0.711,0.277
11158,-47.345,21.288,-162.014,2.47939,-0.724,0.624,-0.778,0.711,0.277
11158,-49.457,18.444,-164.739,0.52383,-0.724,0.624,-0.778,0.711,0.277
11158,-50.035,16.582,-163.676,-0.88746,-0.724,0.624,-0.778,0.711,0.277
11158,-65.407,17.931,-123.885,-1.04936,-0.724,0.624,-0.778,0.711,0.277
11158,-65.741,16.391,-118.447,0.28161,-0.724,0.624,-0.778,0.711,0.277
11158,-66.247,17.163,-121.770,2.69707,-0.724,0.624,-0.778,0.711,0.277
11158,-61.581,18.077,-114.643,-2.51873,-0.724,0.624,-0.778,0.711,0.277
11158,-57.959,7.546,-138.093,-3.11530,-0.724,0.624,-0.778,0.711,0.277
11158,-60.771,6.604,-138.044,-3.31586,-0.724,0.624,-0.778,0.711,0.277
20608,-59.883,6.936,-138.348,-0.09169,-0.690,0.733,-1.056,0.803,1.103
11158,-58.513,14.077,-168.295,1.52733,-0.724,0.624,-0.778,0.711,0.277
