classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4238,-310.531,215.089,592.169,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,-311.284,215.183,592.842,0.00000,-0.446,0.329,-0.290,0.411,1.599
6132,-249.116,214.678,-160.307,0.00000,-2.608,2.608,0.000,1.166,6.399
6132,-249.116,214.678,-192.307,3.14159,-2.608,2.608,-0.000,1.166,6.399
6132,-21.939,214.792,-161.481,-0.40861,-2.608,2.608,0.000,1.166,6.399
6132,-15.582,214.792,-176.164,2.73298,-2.608,2.608,-0.000,1.166,6.399
6132,-330.232,214.592,55.300,-1.97598,-2.608,2.608,-0.000,1.166,6.399
6132,-771.033,213.423,68.492,-1.68591,-2.608,2.608,-0.000,1.166,6.399
6132,-415.627,214.776,479.056,-2.06912,-2.608,2.608,-0.000,1.166,6.399
6132,-401.573,214.776,486.703,1.07246,-2.608,2.608,0.000,1.167,6.399
4434,-166.901,216.804,724.886,0.00000,-0.535,0.753,-0.637,0.663,1.102
4435,-167.734,216.804,724.561,0.00000,-0.615,0.704,-0.653,0.647,0.704
4435,-166.204,216.700,724.679,-1.57079,-0.615,0.704,-0.653,0.647,0.703
4435,-166.909,216.576,726.153,-2.35619,-0.615,0.704,-0.653,0.647,0.704
7563,-34.587,216.805,506.675,0.00000,-0.183,0.183,-0.621,0.149,1.354
4434,-419.126,215.052,569.959,0.00000,-0.535,0.753,-0.637,0.663,1.102
4435,-416.615,215.053,572.902,0.00000,-0.615,0.704,-0.653,0.647,0.704
4434,-419.405,215.052,574.611,-1.57079,-0.535,0.753,-0.637,0.663,1.102
4434,-414.671,215.052,562.431,3.14159,-0.535,0.753,-0.637,0.664,1.102
4435,-420.368,215.053,569.220,-2.35619,-0.615,0.704,-0.653,0.647,0.704
4435,-418.094,215.053,569.036,-1.57079,-0.615,0.704,-0.653,0.647,0.704
4434,-413.880,215.052,561.934,1.57080,-0.535,0.753,-0.637,0.664,1.102
4435,-414.508,215.053,563.824,2.35619,-0.615,0.704,-0.653,0.647,0.704
4434,-415.248,215.052,565.065,-1.57079,-0.535,0.753,-0.637,0.663,1.102
4435,-414.325,215.053,566.097,3.14159,-0.615,0.704,-0.653,0.647,0.704
4434,-419.330,215.052,572.318,1.57080,-0.535,0.753,-0.637,0.664,1.102
4434,-418.834,215.052,573.109,0.00000,-0.535,0.753,-0.637,0.663,1.102
4434,-424.576,215.052,578.356,-0.78540,-0.535,0.753,-0.637,0.663,1.102
4435,-424.882,215.053,582.213,-0.78540,-0.615,0.704,-0.653,0.647,0.704
4434,-428.063,215.052,581.448,-2.35619,-0.535,0.753,-0.637,0.663,1.102
4434,-416.103,215.052,576.183,2.35620,-0.535,0.753,-0.637,0.664,1.102
