classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4321,-144.000,122.000,80.000,-2.38761,-1.078,1.252,-0.903,1.651,0.312
4321,-132.000,122.000,69.000,-2.38761,-1.078,1.252,-0.903,1.651,0.312
4321,-146.000,122.000,80.000,-2.38761,-1.078,1.252,-0.903,1.651,0.312
4321,-134.000,122.000,68.000,-2.38761,-1.078,1.252,-0.903,1.651,0.311
3903,24.557,131.001,188.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,21.557,131.001,188.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,18.557,131.001,188.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,15.557,131.001,188.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,16.557,131.001,184.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,19.557,131.001,184.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,22.557,131.001,184.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,24.557,131.001,180.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,21.557,131.001,180.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,18.557,131.001,180.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,15.557,131.001,180.973,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-28.237,132.000,96.128,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-28.956,132.000,94.770,-0.87965,-1.051,1.051,-1.500,1.500,1.765
3903,-28.787,135.011,95.486,-0.25133,-1.051,1.051,-1.500,1.500,1.765
3903,-26.858,132.000,94.760,-0.87965,-1.051,1.051,-1.500,1.500,1.765
3903,-136.356,122.149,-3.302,0.29580,-1.051,1.051,-1.500,1.500,1.765
3903,-132.479,121.462,-1.204,-2.28313,-1.051,1.051,-1.500,1.500,1.765
3903,-140.668,122.273,3.173,2.89038,-1.051,1.051,-1.500,1.500,1.765
3903,-112.491,122.149,-6.845,-2.42624,-1.051,1.051,-1.500,1.500,1.765
3903,-101.378,123.316,-0.747,-5.50500,-1.051,1.051,-1.500,1.500,1.765
3903,-107.173,122.542,-0.520,-0.57175,-1.051,1.051,-1.500,1.500,1.765
3903,-131.757,120.857,4.338,-0.92160,-1.051,1.051,-1.500,1.500,1.765
3903,56.783,131.001,74.575,-0.82906,-1.051,1.051,-1.500,1.500,1.765
3903,58.561,131.001,76.287,-0.82906,-1.051,1.051,-1.500,1.500,1.765
3903,62.237,131.001,75.157,-0.82906,-1.051,1.051,-1.500,1.500,1.765
3903,60.664,131.001,73.206,-0.82906,-1.051,1.051,-1.500,1.500,1.765
3903,59.128,131.001,71.385,-0.82346,-1.051,1.051,-1.500,1.500,1.765
4321,-141.602,122.000,73.101,-2.38761,-1.078,1.252,-0.903,1.651,0.312
4321,-148.639,122.000,69.979,-2.38761,-1.078,1.252,-0.903,1.651,0.312
3861,110.219,128.205,327.801,-0.22357,-0.162,0.269,-0.444,1.097,1.610
3860,107.638,128.216,329.877,-0.46355,-1.018,0.854,-0.796,1.035,1.438
3829,118.563,129.659,338.800,-0.09894,-0.756,0.756,-2.224,2.224,0.491
3860,122.793,128.797,334.246,0.64968,-1.018,0.854,-0.796,1.035,1.438
4435,55.182,123.345,326.172,2.57129,-0.615,0.704,-0.653,0.647,0.704
4435,28.994,122.284,335.684,-2.55700,-0.615,0.704,-0.653,0.647,0.704
4434,28.225,122.251,334.949,0.00000,-0.535,0.753,-0.637,0.663,1.102
4434,29.916,122.251,336.313,0.00000,-0.535,0.753,-0.637,0.663,1.102
4434,27.758,122.251,336.449,0.00000,-0.535,0.753,-0.637,0.663,1.102
4435,-31.460,123.891,331.568,-2.55700,-0.615,0.704,-0.653,0.647,0.704
4434,-32.229,123.859,330.833,0.00000,-0.535,0.753,-0.637,0.663,1.102
