classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
7087,608.000,256.000,-248.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,608.000,256.000,-244.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7465,729.500,260.000,-139.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7743,728.500,259.500,-139.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7744,727.500,260.000,-139.500,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7466,726.750,259.500,-139.500,-3.14159,-0.355,0.356,-0.050,0.200,0.413
7465,604.044,262.980,12.437,2.35604,-0.619,0.619,-0.062,0.212,0.428
7744,604.000,261.750,12.500,2.35604,-0.619,0.619,-0.062,0.212,0.428
7465,607.987,262.980,15.674,3.14145,-0.619,0.619,-0.062,0.212,0.428
7744,611.500,261.750,12.500,3.92686,-0.619,0.619,-0.063,0.212,0.428
7465,607.987,262.367,16.286,3.14145,-0.619,0.619,-0.062,0.212,0.428
7465,607.987,262.980,15.674,3.14145,-0.619,0.619,-0.062,0.212,0.428
7744,603.612,261.117,12.870,2.35604,-0.619,0.619,-0.062,0.212,0.428
7744,611.933,261.138,12.933,3.92686,-0.619,0.619,-0.062,0.212,0.428
7087,528.000,256.000,-120.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,528.000,256.000,-136.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,520.000,252.000,-136.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,536.250,252.000,-136.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,536.250,252.000,-120.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,520.000,252.000,-120.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
11281,652.153,293.973,-211.614,0.00000,-0.348,0.190,-0.229,0.327,0.321
7466,765.750,322.250,-134.500,1.57079,-0.355,0.355,-0.050,0.200,0.413
7466,765.750,322.250,-136.000,1.57079,-0.355,0.355,-0.050,0.200,0.413
7463,767.223,320.713,-136.000,1.57080,-1.864,1.864,-2.053,-0.735,1.508
7466,765.750,322.250,-137.500,1.57079,-0.355,0.355,-0.050,0.200,0.413
7744,765.065,321.966,-133.738,0.78540,-0.619,0.619,-0.062,0.212,0.428
10421,766.000,320.750,-132.250,0.78540,-0.739,0.739,-2.053,-0.735,1.508
10421,766.000,320.750,-139.750,2.35620,-0.739,0.739,-2.053,-0.735,1.508
7744,765.043,321.966,-138.285,2.35619,-0.619,0.619,-0.062,0.212,0.428
7466,764.693,322.287,-138.974,2.35619,-0.355,0.356,-0.050,0.200,0.413
3903,754.000,320.000,-117.250,-0.78540,-1.051,1.051,-1.500,1.500,1.765
7466,773.078,322.399,-120.690,0.78540,-0.355,0.355,-0.050,0.200,0.413
7466,773.603,322.399,-121.235,0.78540,-0.355,0.355,-0.050,0.200,0.413
7744,773.360,321.350,-120.969,0.78540,-0.619,0.619,-0.063,0.212,0.428
7744,774.420,321.350,-122.030,0.78540,-0.619,0.619,-0.063,0.212,0.428
7744,774.420,322.216,-122.030,0.78540,-0.619,0.619,-0.063,0.212,0.428
7466,774.948,321.750,-122.540,0.78540,-0.355,0.355,-0.050,0.200,0.413
7466,773.888,321.750,-121.479,0.78540,-0.356,0.355,-0.050,0.200,0.413
7466,773.184,321.775,-151.112,2.35619,-0.355,0.356,-0.050,0.200,0.413
7744,773.750,322.250,-150.500,2.35619,-0.619,0.619,-0.063,0.212,0.428
7466,774.245,321.775,-150.051,2.35619,-0.355,0.356,-0.050,0.200,0.413
7744,774.755,322.241,-149.523,2.35619,-0.619,0.619,-0.062,0.212,0.428
7463,753.000,318.750,-140.500,-2.10585,-1.864,1.864,-2.053,-0.734,1.508
7466,764.693,322.287,-133.026,0.78540,-0.356,0.355,-0.050,0.200,0.413
7087,647.938,295.729,-222.075,0.00000,-2.867,2.867,-2.867,2.867,1.109
10185,651.500,294.000,-210.250,-2.35619,-0.250,0.250,-0.216,0.216,0.779
7087,585.250,249.000,-12.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
20412,803.697,322.250,-120.052,0.00000,-0.328,0.660,-0.580,0.580,0.589
20412,812.250,322.250,-120.000,-3.14159,-0.328,0.660,-0.580,0.580,0.589
20412,664.018,289.918,-99.786,1.50091,-0.328,0.660,-0.580,0.580,0.589
