classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4321,-59.285,55.000,-240.840,0.00000,-1.078,1.252,-0.903,1.651,0.312
6219,103.328,58.500,-253.354,0.00000,-0.862,0.457,-0.306,0.962,1.051
6220,98.931,58.514,-254.274,0.77821,-0.099,0.087,-0.500,0.503,0.170
6222,104.750,58.668,-248.000,0.95545,-0.217,0.217,-0.206,0.206,0.720
6220,99.759,58.514,-254.421,0.49511,-0.099,0.087,-0.500,0.503,0.170
6214,106.250,58.500,-244.750,-3.11980,-0.433,0.433,-0.422,0.422,1.013
4321,62.297,53.018,-215.216,0.00000,-1.078,1.252,-0.903,1.651,0.312
4238,94.924,56.749,-203.903,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,126.801,57.204,-184.445,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,126.904,56.986,-184.904,-1.43188,-0.446,0.329,-0.290,0.411,1.599
4238,221.084,56.042,-13.227,-1.43188,-0.446,0.329,-0.290,0.411,1.599
4238,250.798,57.389,35.463,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,252.352,57.633,34.979,-1.43188,-0.446,0.329,-0.290,0.411,1.599
4238,210.810,55.544,46.061,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,210.434,58.960,197.567,-1.43188,-0.446,0.329,-0.290,0.411,1.599
4238,211.299,59.263,198.493,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,208.817,59.086,198.757,0.00000,-0.446,0.329,-0.290,0.411,1.599
4321,196.549,55.000,-158.207,0.00000,-1.078,1.252,-0.903,1.651,0.312
4321,173.281,55.000,-114.430,0.00000,-1.078,1.252,-0.903,1.651,0.312
4321,250.399,55.000,-15.111,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,188.873,55.370,187.147,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,-4.391,55.000,19.554,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,30.383,55.000,-13.088,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,-105.069,55.000,-22.669,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,-64.955,55.000,-96.611,0.68726,-1.078,1.252,-0.903,1.651,0.312
4321,-84.484,55.000,-112.454,0.68726,-1.078,1.252,-0.903,1.651,0.312
3642,-101.026,64.120,-302.921,0.00000,-0.862,0.962,-0.544,0.927,0.481
3633,-100.949,63.795,-307.199,0.00000,-0.586,0.394,-0.582,0.466,0.708
3628,131.591,72.017,-142.197,0.00000,-0.422,0.322,-0.174,0.287,0.482
3631,130.619,72.018,-142.245,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,130.277,72.018,-142.357,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,130.710,72.018,-142.154,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,130.559,72.018,-141.638,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,130.239,72.018,-141.694,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,130.458,72.018,-141.976,0.00000,-0.145,0.275,-0.245,0.212,0.331
3631,129.914,72.018,-141.992,0.00000,-0.145,0.275,-0.245,0.212,0.331
3632,128.892,72.018,-143.174,0.00000,-0.298,0.344,-0.318,0.331,0.405
3632,127.744,72.019,-143.866,0.00000,-0.298,0.344,-0.318,0.331,0.405
3632,127.893,72.019,-142.537,0.00000,-0.298,0.344,-0.318,0.331,0.405
3633,126.870,72.018,-143.125,0.00000,-0.586,0.394,-0.582,0.466,0.708
3633,125.981,72.018,-142.805,-1.57080,-0.586,0.394,-0.582,0.466,0.708
7570,240.479,55.783,34.996,0.00000,-1.314,1.016,-0.912,0.885,1.556
7570,269.000,56.000,-21.000,1.57080,-1.314,1.016,-0.912,0.885,1.556
4275,268.000,56.750,-22.250,0.00000,-1.016,0.904,-0.930,0.346,1.402
4275,202.536,55.263,-64.512,0.00000,-1.016,0.904,-0.930,0.346,1.402
4321,239.331,55.000,-48.422,0.00000,-1.078,1.252,-0.903,1.651,0.312
7570,246.058,55.550,-27.020,0.00000,-1.314,1.016,-0.912,0.885,1.556
7570,169.458,56.018,-72.496,0.00000,-1.314,1.016,-0.912,0.885,1.556
4444,-102.534,55.724,-16.747,0.00000,-1.821,1.350,-1.708,1.528,1.755
4444,-77.259,59.407,-77.310,0.78540,-1.821,1.350,-1.708,1.528,1.755
4444,-76.987,59.374,-79.056,-0.78540,-1.821,1.350,-1.708,1.528,1.755
4275,40.678,58.500,21.917,0.00000,-1.016,0.904,-0.930,0.346,1.402
7570,40.500,58.500,20.250,0.00000,-1.314,1.016,-0.912,0.885,1.556
6173,298.000,54.750,193.500,0.00000,-0.843,0.786,-0.804,0.930,1.320
6172,299.493,54.669,187.041,-1.57080,-0.877,0.634,-0.608,0.539,1.695
6172,301.046,54.669,193.918,3.14159,-0.877,0.634,-0.608,0.539,1.695
6172,281.501,54.669,190.905,0.78540,-0.877,0.634,-0.608,0.539,1.695
6172,299.072,54.669,186.744,3.14159,-0.877,0.634,-0.608,0.539,1.695
6172,276.237,54.669,197.567,3.14159,-0.877,0.634,-0.608,0.539,1.695
6222,55.562,58.979,-1.722,-1.57080,-0.217,0.217,-0.206,0.206,0.720
6220,56.974,58.764,-5.963,-1.57080,-0.099,0.087,-0.500,0.503,0.170
6220,57.849,58.764,-6.162,-2.35619,-0.099,0.087,-0.500,0.503,0.170
6222,233.880,54.771,-17.813,0.00000,-0.217,0.217,-0.206,0.206,0.720
3729,183.000,55.000,-188.750,0.00000,-1.516,1.457,-0.900,1.106,1.194
3729,185.500,55.000,-193.000,-0.78540,-1.516,1.457,-0.900,1.106,1.194
3729,172.500,55.000,-190.500,-0.78540,-1.516,1.457,-0.900,1.106,1.194
3729,173.500,55.000,-176.750,0.00000,-1.516,1.457,-0.900,1.106,1.194
3729,187.750,55.250,-177.750,0.00000,-1.516,1.457,-0.900,1.106,1.194
6221,248.750,54.804,52.000,0.00000,-0.197,0.197,-0.187,0.187,0.604
6219,222.500,55.313,8.750,-1.22419,-0.862,0.457,-0.306,0.962,1.051
6222,219.000,56.520,12.750,-1.30860,-0.217,0.217,-0.206,0.206,0.720
6222,218.500,56.520,13.000,4.18916,-0.217,0.217,-0.206,0.206,0.720
6222,262.103,56.570,-28.896,2.21924,-0.217,0.217,-0.206,0.206,0.720
6215,261.750,56.544,-29.250,2.35620,-0.200,0.200,-0.190,0.190,0.364
6222,223.000,60.698,-17.250,-1.30860,-0.217,0.217,-0.206,0.206,0.720
6222,222.500,60.698,-17.000,4.23371,-0.217,0.217,-0.206,0.206,0.720
6222,222.000,60.516,-16.500,-1.70774,-0.217,0.217,-0.206,0.206,0.720
6215,222.000,60.490,-16.000,-1.57080,-0.200,0.200,-0.190,0.190,0.364
6214,222.500,55.789,18.250,-2.68049,-0.433,0.433,-0.422,0.422,1.013
6214,230.500,55.762,51.750,3.04470,-0.433,0.433,-0.422,0.422,1.013
6221,242.723,56.102,17.349,1.59776,-0.197,0.197,-0.187,0.187,0.604
6172,274.656,57.188,169.342,-2.35620,-0.877,0.634,-0.608,0.539,1.695
6221,287.500,55.000,132.500,-0.35135,-0.197,0.197,-0.187,0.187,0.604
6215,285.250,55.000,137.750,0.51212,-0.200,0.200,-0.190,0.190,0.364
6172,238.814,57.188,226.561,-2.35620,-0.877,0.634,-0.608,0.539,1.695
7087,9.000,55.250,166.500,1.57080,-2.867,2.867,-2.867,2.867,1.109
10515,5.750,55.000,163.250,2.35620,-2.473,0.195,-1.512,1.517,1.109
10653,141.750,65.500,-14.500,-0.69647,-1.206,1.206,-1.020,1.020,0.837
6172,149.250,65.750,-26.500,0.00000,-0.877,0.634,-0.608,0.539,1.695
4444,-77.750,55.250,-88.000,-2.35619,-1.821,1.350,-1.708,1.528,1.755
4444,-75.750,55.250,-84.000,-0.40382,-1.821,1.350,-1.708,1.528,1.755
3729,-83.250,55.000,-86.500,0.00000,-1.516,1.457,-0.900,1.106,1.194
3729,-58.000,55.000,-98.500,0.00000,-1.516,1.457,-0.900,1.106,1.194
6132,52.092,56.514,-127.002,2.63052,-2.608,2.608,-0.000,1.166,6.399
6132,19.970,55.941,-85.840,-2.61540,-2.608,2.608,-0.000,1.166,6.399
6132,19.953,56.344,-71.781,-0.50810,-2.608,2.608,0.000,1.166,6.399
6222,26.000,55.500,-120.000,0.00000,-0.217,0.217,-0.206,0.206,0.720
6221,24.250,56.000,-124.500,-0.68215,-0.197,0.197,-0.187,0.187,0.604
6132,21.093,57.110,-98.536,-0.49268,-2.608,2.608,0.000,1.166,6.399
6222,15.250,57.000,8.250,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,15.500,57.000,8.750,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,16.000,57.000,8.250,0.00000,-0.217,0.217,-0.206,0.206,0.720
6217,50.750,58.750,12.000,0.00000,-0.300,0.300,-0.331,0.329,0.301
6215,52.500,58.778,11.250,0.00000,-0.200,0.200,-0.190,0.190,0.364
6214,46.346,58.865,26.469,-1.57080,-0.433,0.433,-0.422,0.422,1.013
6214,47.846,58.865,27.969,0.00000,-0.433,0.433,-0.422,0.422,1.013
6222,45.754,58.885,24.849,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,51.250,58.885,27.500,0.00000,-0.217,0.217,-0.206,0.206,0.720
6221,50.750,58.879,27.500,0.00000,-0.197,0.197,-0.187,0.187,0.604
6220,55.883,58.764,12.289,-0.14312,-0.099,0.087,-0.500,0.503,0.170
