classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3903,-230.000,106.000,-80.000,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-225.174,106.000,-80.118,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-227.662,106.000,-80.128,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-222.679,106.000,-80.222,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-223.350,106.983,-80.254,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-225.842,106.983,-80.236,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-228.290,106.983,-80.137,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-225.186,107.927,-80.221,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-227.662,107.939,-80.128,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-225.842,109.035,-80.236,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-226.412,110.087,-80.144,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-252.034,108.683,-120.831,3.18053,-1.051,1.051,-1.500,1.500,1.765
3903,-201.975,104.983,-59.935,2.25034,-1.051,1.051,-1.500,1.500,1.765
3903,-201.167,104.983,-62.602,1.04652,-1.051,1.051,-1.500,1.500,1.765
3903,-203.535,104.983,-66.386,3.06704,-1.051,1.051,-1.500,1.500,1.765
3903,-200.782,104.983,-66.818,-2.01232,-1.051,1.051,-1.500,1.500,1.765
7743,-381.871,109.109,63.973,-1.57079,-0.619,0.619,-0.062,0.212,0.428
3903,-178.000,111.000,3.000,-0.41402,-1.051,1.051,-1.500,1.500,1.765
3903,-173.611,112.398,2.528,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-174.808,110.939,3.639,1.54722,-1.051,1.051,-1.500,1.500,1.765
3903,-174.167,110.939,1.424,1.05818,-1.051,1.051,-1.500,1.500,1.765
3903,-176.000,111.000,2.000,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-20.513,107.587,184.953,-1.55322,-1.051,1.051,-1.500,1.500,1.765
3903,-174.881,109.578,-9.574,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-176.207,109.578,-12.813,-2.35619,-1.051,1.051,-1.500,1.500,1.765
3903,-173.001,109.578,-11.736,0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-173.905,111.364,-11.520,-1.57080,-1.051,1.051,-1.500,1.500,1.765
10425,-381.349,107.608,63.992,-1.57080,-0.594,0.594,-0.527,0.527,1.137
10425,-164.324,107.614,-43.169,-1.60347,-0.594,0.594,-0.527,0.527,1.137
7463,-15.823,106.943,176.699,1.52521,-1.864,1.864,-2.053,-0.734,1.508
7463,-15.308,107.626,176.631,1.57180,-1.864,1.864,-2.053,-0.734,1.508
7744,-17.022,108.842,175.117,1.57180,-0.619,0.619,-0.062,0.212,0.428
7743,-17.019,108.842,178.117,1.57180,-0.619,0.619,-0.062,0.212,0.428
20373,-206.716,107.347,-234.370,0.00000,-0.781,0.778,-0.777,0.757,1.292
8014,-200.535,107.347,-235.153,2.35620,-0.244,0.215,-0.540,0.276,1.679
8068,-201.036,107.347,-234.393,-1.57080,-0.194,0.194,-0.226,0.226,0.887
8006,-200.459,108.844,-246.422,-3.14159,-0.191,0.191,-0.277,0.172,0.378
8007,-200.607,108.391,-246.232,3.14159,-0.135,0.132,-0.208,0.170,0.431
8020,-200.766,107.347,-246.195,-3.14159,-0.646,0.645,-0.341,0.345,1.791
8009,-201.304,107.347,-236.081,-3.14159,-1.512,0.493,-0.393,0.384,1.895
8007,-200.895,108.391,-246.205,-3.14159,-0.135,0.132,-0.208,0.170,0.431
6188,-203.622,107.276,-246.246,0.00000,-1.657,1.658,-0.746,0.668,0.959
6190,-204.452,108.235,-246.213,-3.14159,-0.169,0.169,-0.193,0.160,0.532
6191,-203.370,108.235,-246.475,1.57080,-0.300,0.081,-0.131,0.131,1.150
6187,-204.049,107.347,-245.484,-0.78540,-0.254,0.260,0.170,1.248,1.021
6183,-202.521,107.166,-246.509,0.00000,-0.555,0.390,-0.412,0.432,1.433
7136,-205.439,107.347,-231.256,-0.45771,-0.553,0.553,-0.287,0.292,1.090
8071,-206.575,107.347,-232.614,-1.29401,-0.313,0.313,-0.833,0.833,1.163
20372,-206.552,107.819,-231.988,1.84758,-0.382,0.382,-0.382,0.382,1.292
7087,-152.000,122.000,8.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-56.000,106.000,-24.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-68.000,102.000,-20.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-64.000,102.000,-24.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-68.000,102.000,-28.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-92.000,94.000,-44.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-68.000,94.000,-4.000,1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-92.000,94.000,-4.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-68.000,94.000,-44.000,1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-124.000,126.000,-12.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-124.000,126.000,28.000,-1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-100.000,126.000,-12.000,1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-100.000,126.000,28.000,1.57080,-2.867,2.867,-2.867,2.867,1.109
7087,-160.500,118.000,8.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-164.500,118.000,4.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-164.500,118.000,12.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-180.000,110.000,-4.000,-3.14159,-2.867,2.867,-2.867,2.867,1.109
7087,-180.000,110.000,20.500,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,-20.000,106.000,224.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
20507,-72.000,91.346,184.000,3.14159,-0.879,0.879,-0.969,1.137,1.928
11301,-48.000,90.938,264.000,0.00000,-0.879,0.879,-0.969,1.137,1.959
11254,-48.000,90.938,184.000,-3.14159,-0.879,0.879,-0.969,1.136,1.857
11254,-72.000,90.938,264.000,0.00000,-0.879,0.879,-0.969,1.136,1.857
20615,-20.676,107.579,177.495,-0.78540,-1.009,1.011,-0.509,0.965,1.979
10425,-91.114,97.617,176.227,-1.60141,-0.594,0.594,-0.527,0.527,1.137
3903,-213.897,108.504,-130.580,3.15366,-1.051,1.051,-1.500,1.500,1.765
20830,-206.979,107.608,-132.300,-1.57080,-1.661,1.651,-2.358,2.358,1.848
20830,-218.000,107.608,-124.000,-3.14159,-1.661,1.651,-2.358,2.358,1.848
20832,-253.000,107.608,-132.000,-1.57080,-1.663,2.060,-1.385,1.298,1.911
20830,-228.944,107.608,-131.549,-3.14159,-1.661,1.651,-2.358,2.358,1.848
10425,-23.000,115.586,-102.500,0.00000,-0.594,0.594,-0.527,0.527,1.137
10425,-42.517,115.586,-119.790,-3.14159,-0.594,0.594,-0.527,0.527,1.137
20782,-24.523,115.411,-116.996,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-39.558,115.363,-117.268,0.64536,-0.740,0.740,-0.704,0.704,1.356
20830,-22.000,107.596,168.000,-1.57080,-1.661,1.651,-2.358,2.358,1.848
7744,61.097,109.816,-96.084,-1.57230,-0.619,0.619,-0.062,0.212,0.428
7744,-245.413,109.816,-64.040,1.54729,-0.619,0.619,-0.062,0.212,0.428
20782,-55.007,107.500,170.279,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-55.252,107.500,185.838,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-30.772,107.500,180.048,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-93.990,97.500,190.758,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-93.481,97.500,161.353,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-103.646,107.347,93.703,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-82.156,107.347,87.039,0.00000,-0.740,0.740,-0.704,0.704,1.356
20826,-108.487,107.608,83.635,0.00000,-0.973,0.969,-0.957,0.944,1.190
20832,-145.732,107.608,79.925,-2.35619,-1.663,2.060,-1.385,1.298,1.911
20830,-150.324,107.608,62.261,0.36241,-1.661,1.651,-2.358,2.358,1.848
20828,-114.455,107.608,83.125,-1.12238,-0.998,1.654,-0.941,1.066,1.190
20827,-98.803,107.608,83.568,-1.57080,-1.332,1.281,-1.302,1.326,1.190
20830,-131.957,107.608,79.657,-0.33251,-1.661,1.651,-2.358,2.358,1.848
20828,-92.179,107.608,95.853,-3.10409,-0.998,1.654,-0.941,1.066,1.190
20832,-68.053,107.608,81.694,-1.33121,-1.663,2.060,-1.385,1.298,1.911
20830,-37.767,107.608,71.601,-0.60096,-1.661,1.651,-2.358,2.358,1.848
20830,-37.349,107.608,49.174,-1.80839,-1.661,1.651,-2.358,2.358,1.848
20832,-36.474,107.608,35.657,0.00000,-1.663,2.060,-1.385,1.298,1.911
20830,10.885,107.608,35.982,-1.74118,-1.661,1.651,-2.358,2.358,1.848
20830,-211.250,107.500,60.250,0.00000,-1.661,1.651,-2.358,2.358,1.848
20832,-204.500,107.500,67.750,-1.57080,-1.663,2.060,-1.385,1.298,1.911
20828,-221.250,107.500,59.250,-0.78540,-0.998,1.654,-0.941,1.066,1.190
7087,104.000,114.000,-26.000,1.57080,-2.867,2.867,-2.867,2.867,1.109
20829,-183.961,107.608,-121.034,-0.78540,-1.661,1.651,-1.180,1.180,1.848
20832,-175.598,107.608,-125.203,-2.35619,-1.663,2.060,-1.385,1.298,1.911
20829,-165.846,107.608,-53.943,-1.16204,-1.661,1.651,-1.180,1.180,1.848
20829,-155.722,107.608,-50.412,-3.10950,-1.661,1.651,-1.180,1.180,1.848
3903,-161.463,108.423,-61.094,1.58287,-1.051,1.051,-1.500,1.500,1.765
20782,-220.532,107.559,-70.001,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-171.500,115.000,2.250,0.00000,-0.740,0.740,-0.704,0.704,1.356
20782,-171.500,115.000,14.000,0.00000,-0.740,0.740,-0.704,0.704,1.356
20829,-15.240,109.560,-29.760,0.00000,-1.661,1.651,-1.180,1.180,1.848
9320,-206.261,107.347,-242.412,0.00000,-1.223,1.225,-0.534,0.534,0.498
9320,-206.280,107.347,-239.733,0.00000,-1.223,1.225,-0.534,0.534,0.498
8063,-207.255,107.347,-240.720,0.00000,-0.193,0.193,-0.151,0.213,0.357
20362,-206.675,107.276,-235.959,-3.14159,-0.708,0.721,-0.520,0.565,1.181
9316,-206.422,108.141,-246.287,1.57080,-0.356,0.356,-0.385,0.385,0.325
21045,-206.823,107.347,-243.611,-2.35619,-0.244,0.215,-0.540,0.276,1.679
9324,-206.479,107.347,-246.328,-1.57080,-0.426,0.426,-0.758,0.758,1.722
8019,-206.110,108.499,-246.442,-3.14159,-0.243,0.227,-0.329,0.284,0.175
8077,-200.106,107.347,-241.620,1.57080,-0.610,0.610,-0.408,0.396,1.166
10425,-210.513,107.579,68.579,0.04475,-0.594,0.594,-0.527,0.527,1.137
10425,-164.063,107.521,-37.033,-1.60347,-0.594,0.594,-0.527,0.527,1.137
10425,-218.922,107.521,60.185,-3.03407,-0.594,0.594,-0.527,0.527,1.137
8078,-202.697,107.347,-241.093,1.57080,-0.350,0.350,-0.509,0.509,0.858
8078,-202.697,107.347,-240.403,-1.57080,-0.350,0.350,-0.509,0.509,0.858
8078,-202.696,107.347,-241.781,-1.57080,-0.350,0.350,-0.509,0.509,0.858
20830,-36.410,107.608,-141.315,0.00000,-1.661,1.651,-2.358,2.358,1.848
20782,-26.239,107.295,-138.312,0.00000,-0.740,0.740,-0.704,0.704,1.356
