classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3829,-537.279,395.494,192.026,-0.00001,-0.755,0.756,-2.224,2.224,0.490
3829,-573.000,395.287,205.500,0.69115,-0.755,0.756,-2.224,2.224,0.491
4099,66.666,362.064,26.556,-1.62869,-0.809,1.693,-1.332,2.171,0.649
6222,394.300,368.536,606.018,1.12451,-0.216,0.217,-0.206,0.206,0.720
6222,394.630,368.536,605.632,0.30046,-0.217,0.217,-0.206,0.206,0.720
6221,392.133,368.536,611.474,1.12451,-0.197,0.197,-0.187,0.187,0.604
6215,391.881,368.536,611.766,1.12451,-0.200,0.200,-0.190,0.190,0.364
6214,247.934,350.424,567.798,-0.67651,-0.433,0.433,-0.422,0.422,1.013
6214,251.321,350.424,569.459,-0.02969,-0.433,0.433,-0.422,0.422,1.013
6215,251.973,350.524,568.723,-0.67651,-0.200,0.200,-0.190,0.190,0.364
3903,189.479,313.608,-236.129,-1.96350,-1.051,1.051,-1.500,1.500,1.765
3903,185.800,313.608,-236.543,2.35619,-1.051,1.051,-1.500,1.500,1.765
3903,153.250,315.000,-211.500,0.00000,-1.051,1.051,-1.500,1.500,1.765
7478,53.516,442.039,-306.312,2.72087,-2.226,2.226,-2.499,2.448,0.507
7478,-200.105,442.306,-284.065,-2.50702,-2.226,2.226,-2.499,2.448,0.507
6220,-764.511,442.858,421.857,0.49508,-0.099,0.087,-0.500,0.503,0.170
6220,-764.298,442.858,421.822,0.39270,-0.099,0.087,-0.500,0.503,0.170
6220,-764.088,442.858,421.728,0.50621,-0.099,0.087,-0.500,0.503,0.170
6220,-764.196,442.955,421.755,0.48429,-0.099,0.087,-0.500,0.503,0.170
6220,-764.434,443.000,421.777,0.39270,-0.099,0.087,-0.500,0.503,0.170
6214,-790.000,443.020,437.000,0.00000,-0.433,0.433,-0.422,0.422,1.013
6214,-794.000,443.020,432.000,-1.57080,-0.433,0.433,-0.422,0.422,1.013
6214,-790.000,443.020,427.000,3.14159,-0.433,0.433,-0.422,0.422,1.013
6221,-792.495,443.017,436.972,0.00000,-0.197,0.197,-0.187,0.187,0.604
6215,-792.026,443.018,437.222,0.00000,-0.200,0.200,-0.190,0.190,0.364
6222,-793.069,443.017,436.906,0.00000,-0.216,0.217,-0.206,0.206,0.720
6217,-787.570,443.018,426.786,0.00000,-0.300,0.300,-0.331,0.329,0.301
6219,-786.873,443.019,426.822,0.00000,-0.862,0.457,-0.306,0.962,1.051
6219,-787.550,443.019,436.900,-0.78540,-0.862,0.457,-0.306,0.962,1.051
6221,-792.930,443.018,426.952,3.14159,-0.197,0.197,-0.187,0.187,0.604
6215,-792.339,443.018,426.714,3.14159,-0.200,0.200,-0.190,0.190,0.364
8067,22.773,399.718,927.632,-3.14159,-0.193,0.193,-0.190,0.190,0.887
8069,-28.250,399.348,931.000,-0.00000,-1.046,1.046,-0.708,0.708,1.253
8009,-70.500,399.398,947.250,1.57080,-1.512,0.493,-0.393,0.384,1.895
8070,26.250,419.031,844.460,0.00000,-0.711,0.710,-0.711,0.710,1.435
8070,26.250,419.031,836.343,0.00000,-0.711,0.710,-0.711,0.710,1.435
8071,-109.043,399.348,867.466,0.78540,-0.313,0.313,-0.833,0.833,1.163
8072,-109.191,399.348,873.223,0.00000,-0.395,0.395,-0.665,0.665,1.863
8080,31.235,400.230,929.529,-3.14159,-0.385,0.385,-0.382,0.382,1.099
8065,12.030,413.154,840.495,-3.14159,-0.260,0.260,-0.367,0.367,0.975
8065,11.323,413.067,845.800,0.78540,-0.260,0.260,-0.367,0.367,0.975
8067,32.037,400.230,929.440,-3.14159,-0.193,0.193,-0.190,0.190,0.887
8081,-68.000,399.397,943.000,0.00000,-0.969,0.969,-0.969,0.969,0.930
8064,-71.129,404.146,953.166,-2.78099,-0.497,0.497,-0.472,0.472,0.789
8064,-68.820,404.146,953.059,3.00985,-0.497,0.497,-0.472,0.472,0.789
8064,-68.489,399.397,945.060,-0.13175,-0.497,0.497,-0.472,0.472,0.789
8064,-69.250,399.397,942.750,-1.70254,-0.497,0.497,-0.472,0.472,0.789
8069,-30.250,399.098,945.500,0.00000,-1.046,1.046,-0.708,0.708,1.253
8069,-13.633,399.348,937.528,1.96080,-1.046,1.046,-0.708,0.708,1.253
8069,-31.000,399.348,931.000,0.24810,-1.046,1.046,-0.708,0.708,1.253
3887,383.800,376.800,345.200,0.00000,-0.583,0.583,-0.583,0.583,1.838
7082,371.478,369.340,350.614,2.12811,-0.414,0.411,-0.378,0.385,0.521
7082,369.684,369.340,348.953,-3.14159,-0.414,0.411,-0.378,0.385,0.521
6132,314.156,360.961,646.329,-2.70645,-2.608,2.608,0.000,1.166,6.399
6217,262.699,350.530,567.683,0.28671,-0.300,0.300,-0.331,0.329,0.301
6222,261.553,349.531,569.701,0.44965,-0.217,0.217,-0.206,0.206,0.720
6221,265.919,350.416,568.941,0.44965,-0.197,0.197,-0.187,0.187,0.604
6215,268.617,349.531,569.080,0.44965,-0.200,0.200,-0.190,0.190,0.364
6214,261.777,349.531,570.692,-1.12114,-0.433,0.433,-0.422,0.422,1.013
6214,264.690,349.531,571.509,0.44965,-0.433,0.433,-0.422,0.422,1.013
6219,412.611,366.249,575.552,1.57080,-0.862,0.457,-0.306,0.962,1.051
6222,411.706,366.250,576.865,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,412.712,366.250,576.579,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,409.804,366.250,579.496,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,409.072,366.250,579.317,0.00000,-0.217,0.217,-0.206,0.206,0.720
8070,-31.021,418.153,848.623,0.00000,-0.710,0.711,-0.711,0.710,1.435
8070,-11.013,418.153,848.623,0.00000,-0.710,0.711,-0.711,0.710,1.435
6219,240.160,349.777,531.610,2.80016,-0.862,0.457,-0.306,0.962,1.051
6222,239.691,349.777,532.947,-1.91223,-0.217,0.217,-0.206,0.206,0.720
6222,239.474,349.777,534.099,-1.91223,-0.217,0.217,-0.206,0.206,0.720
6222,246.279,349.777,536.919,-1.91223,-0.217,0.217,-0.206,0.206,0.720
6222,246.511,349.777,536.224,-1.91223,-0.217,0.217,-0.206,0.206,0.720
6214,246.975,349.777,534.149,2.01476,-0.433,0.433,-0.422,0.422,1.013
6214,396.679,368.718,611.906,0.33911,-0.433,0.433,-0.422,0.422,1.013
6214,398.103,368.718,609.116,1.90991,-0.433,0.433,-0.422,0.422,1.013
6221,397.202,368.718,608.385,1.12451,-0.197,0.197,-0.187,0.187,0.604
6215,395.613,368.718,611.736,1.12451,-0.200,0.200,-0.190,0.190,0.364
6219,402.017,368.668,609.249,0.46547,-0.862,0.457,-0.306,0.962,1.051
6219,182.013,358.578,496.169,0.00000,-0.862,0.457,-0.306,0.962,1.051
6219,178.999,358.578,497.057,-2.81011,-0.862,0.457,-0.306,0.962,1.051
8071,469.500,378.092,349.000,0.78540,-0.313,0.313,-0.833,0.833,1.163
3887,454.000,378.092,299.750,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,442.000,378.092,295.500,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,446.750,378.092,299.500,0.00000,-0.583,0.583,-0.583,0.583,1.838
3887,460.750,378.092,295.250,0.00000,-0.583,0.583,-0.583,0.583,1.838
8009,370.735,369.411,377.081,-2.24354,-1.512,0.493,-0.392,0.385,1.895
9316,360.968,369.938,377.361,1.62399,-0.356,0.356,-0.385,0.385,0.325
8020,371.437,369.411,372.146,1.61373,-0.646,0.645,-0.341,0.345,1.791
9316,371.404,370.908,372.200,0.04294,-0.356,0.356,-0.385,0.385,0.325
9328,371.322,369.153,373.361,1.57080,-0.587,0.588,-0.142,0.142,1.115
9323,357.000,369.411,365.000,-1.57080,-0.606,0.610,-0.525,0.522,0.957
9327,357.609,369.411,370.675,0.00000,-1.566,1.585,-0.441,0.443,0.208
9327,357.609,369.475,370.675,0.00000,-1.566,1.585,-0.441,0.443,0.208
9327,357.609,369.539,370.675,0.00000,-1.566,1.585,-0.441,0.443,0.208
9327,357.586,369.608,370.620,0.00001,-1.566,1.585,-0.441,0.443,0.208
8065,368.777,369.411,364.567,1.57079,-0.260,0.260,-0.367,0.367,0.975
8065,362.646,369.411,364.515,-0.07180,-0.260,0.260,-0.367,0.367,0.975
