classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20412,108.549,-130.833,122.802,-1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.553,-129.827,133.204,1.57080,-0.328,0.660,-0.580,0.580,0.589
20832,145.775,-131.062,132.544,0.00000,-1.663,2.060,-1.385,1.298,1.911
3903,146.904,-131.062,122.904,-1.57080,-1.051,1.051,-1.500,1.500,1.765
20412,108.553,-130.841,133.204,1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.549,-129.833,122.802,-1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.549,-129.000,122.802,-1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.553,-128.976,133.204,1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.549,-128.024,122.802,-1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.553,-128.000,133.204,1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.576,-127.030,133.196,1.57080,-0.328,0.660,-0.580,0.580,0.589
20412,108.572,-127.053,122.794,-1.57080,-0.328,0.660,-0.580,0.580,0.589
20615,72.335,-132.383,122.376,0.00000,-1.009,1.011,-0.509,0.965,1.979
10420,75.511,-132.383,127.997,-1.57079,-1.114,1.114,-2.053,-0.734,1.508
11281,86.748,-131.140,130.177,0.00000,-0.348,0.190,-0.229,0.327,0.321
11280,86.052,-131.140,131.316,0.00000,-0.320,0.325,-0.195,0.197,1.160
20615,76.034,-132.383,119.110,1.02788,-1.009,1.011,-0.509,0.965,1.979
7463,82.063,-132.383,121.404,-3.14159,-1.864,1.864,-2.053,-0.734,1.508
20615,79.858,-132.383,128.662,1.07833,-1.009,1.011,-0.509,0.965,1.979
20615,83.121,-132.383,125.094,-0.33539,-1.009,1.011,-0.509,0.965,1.979
20615,87.993,-132.383,127.676,-3.00574,-1.009,1.011,-0.509,0.965,1.979
7465,83.191,-130.175,122.886,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7744,80.941,-130.608,122.886,-3.14159,-0.619,0.619,-0.062,0.212,0.428
20615,85.249,-132.383,133.610,0.92125,-1.009,1.011,-0.509,0.965,1.979
7466,83.188,-131.024,123.001,-3.14159,-0.355,0.355,-0.050,0.200,0.413
7465,82.063,-131.194,123.135,-3.14159,-0.619,0.619,-0.062,0.212,0.428
7466,80.938,-131.378,123.249,-3.14159,-0.355,0.355,-0.050,0.200,0.413
7743,77.243,-131.194,127.997,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7466,76.981,-130.392,128.744,-1.57080,-0.355,0.355,-0.050,0.200,0.413
7465,93.787,-130.175,134.915,1.04616,-0.619,0.619,-0.062,0.212,0.428
7466,94.174,-130.608,134.272,1.04616,-0.355,0.356,-0.050,0.200,0.413
20615,92.117,-132.383,134.038,-2.22034,-1.009,1.011,-0.509,0.965,1.979
3903,63.309,-132.012,133.800,-0.78540,-1.051,1.051,-1.500,1.500,1.765
20829,100.106,-132.009,122.349,-2.67035,-1.661,1.651,-1.180,1.180,1.848
20832,76.394,-132.010,146.327,-0.78540,-1.663,2.060,-1.385,1.298,1.911
3903,75.372,-132.014,109.245,-2.35619,-1.051,1.051,-1.500,1.500,1.765
3903,21.393,-129.006,76.380,0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,21.471,-130.472,74.107,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,76.707,-130.494,108.010,1.57080,-1.051,1.051,-1.500,1.500,1.765
20829,47.665,-130.392,42.853,1.57080,-1.661,1.651,-1.180,1.180,1.848
20829,47.565,-130.392,36.747,-1.57080,-1.661,1.651,-1.180,1.180,1.848
3903,46.667,-130.392,39.720,-1.09956,-1.051,1.051,-1.500,1.500,1.765
3903,44.026,-128.959,34.980,0.78540,-1.051,1.051,-1.500,1.500,1.765
20832,51.732,-118.896,43.551,1.57080,-1.663,2.060,-1.385,1.298,1.911
20832,-41.667,-114.895,36.898,-1.57080,-1.663,2.060,-1.385,1.298,1.911
3903,54.154,-118.894,39.489,-2.67035,-1.051,1.051,-1.500,1.500,1.765
3903,7.410,-114.895,43.831,2.04204,-1.051,1.051,-1.500,1.500,1.765
3903,9.501,-113.471,44.778,0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,6.136,-113.471,34.910,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-42.447,-114.850,41.782,2.04204,-1.051,1.051,-1.500,1.500,1.765
3903,-40.355,-113.427,42.729,0.78540,-1.051,1.051,-1.500,1.500,1.765
7463,25.528,-128.457,57.531,-1.57080,-1.864,1.864,-2.053,-0.734,1.508
7466,27.125,-127.098,56.406,-1.57079,-0.355,0.355,-0.050,0.200,0.413
7465,27.010,-126.249,56.404,-1.57080,-0.619,0.619,-0.062,0.212,0.428
7466,27.125,-127.098,57.156,-1.57079,-0.355,0.355,-0.050,0.200,0.413
