classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
20346,582.126,294.505,-612.320,-1.31653,-1.714,2.002,-1.919,2.081,0.804
11285,593.530,293.974,-594.165,0.00000,-1.558,1.537,-1.339,1.192,0.852
11285,594.808,294.068,-596.211,0.78540,-1.558,1.537,-1.339,1.191,0.852
11285,594.016,294.331,-598.138,-1.57079,-1.558,1.537,-1.339,1.192,0.852
11284,586.172,294.007,-596.786,-1.57079,-1.333,1.441,-0.755,0.900,1.209
11285,593.582,294.759,-596.646,0.78540,-1.558,1.537,-1.339,1.191,0.852
11285,590.252,294.906,-599.497,0.78540,-1.558,1.537,-1.339,1.191,0.852
20346,-526.198,226.093,475.437,-0.07519,-1.714,2.002,-1.919,2.081,0.804
9246,-509.515,225.513,443.854,2.95992,-0.134,0.134,-0.427,0.430,1.155
20346,-526.369,226.778,475.893,1.90477,-1.714,2.002,-1.919,2.081,0.804
10426,-432.143,225.831,453.624,0.00000,-0.181,0.182,-0.181,0.181,1.290
10426,-446.717,225.831,453.765,0.00000,-0.181,0.182,-0.181,0.181,1.290
10426,-446.509,225.877,429.593,0.00000,-0.181,0.182,-0.181,0.181,1.290
10426,-432.311,225.877,458.560,-3.14159,-0.181,0.181,-0.181,0.181,1.290
4002,-425.682,225.806,467.259,0.00000,-0.268,0.268,-1.340,1.340,0.328
4002,-425.644,225.806,474.377,0.00000,-0.268,0.268,-1.340,1.340,0.328
21705,-456.107,238.677,443.131,0.78540,-1.548,1.039,-1.868,0.414,0.603
20346,-420.076,225.885,446.288,-0.78540,-1.714,2.002,-1.919,2.081,0.804
20346,-420.149,226.734,446.607,2.20949,-1.714,2.002,-1.919,2.081,0.804
20373,-415.375,226.071,467.973,-1.03419,-0.781,0.778,-0.777,0.757,1.292
20373,-423.052,226.071,473.725,-2.35619,-0.781,0.778,-0.777,0.757,1.292
4002,-542.668,225.885,456.431,0.00000,-0.268,0.268,-1.340,1.340,0.328
4002,-542.746,225.885,446.946,0.00000,-0.268,0.268,-1.340,1.340,0.328
8071,-521.726,226.036,466.861,-2.27765,-0.313,0.313,-0.833,0.833,1.163
11304,-488.464,244.071,447.013,3.14159,-1.283,1.283,-1.283,1.283,1.065
11304,-460.037,244.071,447.015,3.14159,-1.283,1.283,-1.283,1.283,1.065
11304,-499.602,227.239,509.778,-1.57079,-1.283,1.283,-1.283,1.283,1.065
11304,-514.346,225.885,461.306,-1.57079,-1.283,1.283,-1.283,1.283,1.065
11304,-424.000,226.251,477.413,1.57080,-1.283,1.283,-1.283,1.283,1.065
20363,-565.952,235.480,535.291,-0.04188,-0.708,0.721,-0.520,0.565,1.181
20371,-566.480,235.853,536.292,-2.05117,-0.382,0.382,-0.382,0.382,1.292
20371,-566.534,235.913,537.059,-2.83586,-0.382,0.382,-0.382,0.382,1.292
20371,-565.367,235.891,537.816,0.30573,-0.382,0.382,-0.382,0.382,1.292
20361,-566.002,235.480,538.818,1.50834,-0.708,0.721,-0.520,0.565,1.181
20371,-566.606,236.499,536.629,-4.40750,-0.382,0.382,-0.382,0.382,1.292
8071,-564.751,235.602,535.433,0.18690,-0.313,0.313,-0.833,0.833,1.163
6334,-566.102,236.597,538.571,0.23396,-0.259,0.259,-0.134,0.134,0.358
6334,-566.202,236.597,538.891,-2.94802,-0.259,0.259,-0.134,0.134,0.358
6334,-565.875,236.599,539.103,-2.35619,-0.259,0.259,-0.134,0.134,0.358
20361,-562.125,235.480,520.960,-0.04390,-0.708,0.721,-0.520,0.565,1.181
20361,-560.643,235.480,520.887,0.09910,-0.708,0.721,-0.520,0.565,1.181
20361,-561.207,236.661,521.026,-2.88819,-0.708,0.720,-0.520,0.565,1.181
20374,-553.294,235.409,529.503,0.00000,-0.774,0.782,-0.763,0.773,1.292
20374,-551.905,235.409,532.585,2.63390,-0.774,0.782,-0.763,0.773,1.292
20374,-555.005,235.360,532.418,-2.35619,-0.774,0.782,-0.763,0.773,1.292
20371,-553.295,236.719,529.532,1.09026,-0.382,0.382,-0.382,0.382,1.292
20374,-554.249,235.653,505.181,-1.57078,-0.774,0.782,-0.763,0.773,1.292
20374,-552.666,235.653,503.668,-1.57078,-0.774,0.782,-0.763,0.773,1.292
20371,-551.901,235.782,504.643,1.98765,-0.382,0.382,-0.382,0.382,1.292
20374,-559.889,235.409,503.773,0.00000,-0.774,0.782,-0.763,0.773,1.292
20374,-559.907,235.409,505.362,-1.57068,-0.774,0.782,-0.763,0.773,1.292
20374,-558.324,235.409,503.849,-1.57070,-0.774,0.782,-0.763,0.773,1.292
20374,-558.354,235.409,505.389,-3.14159,-0.774,0.782,-0.763,0.773,1.292
20374,-559.144,236.701,504.595,-1.57075,-0.774,0.782,-0.763,0.773,1.292
20371,-559.146,237.993,504.512,-2.05133,-0.382,0.382,-0.382,0.382,1.292
9316,-517.854,226.675,501.115,-1.09955,-0.356,0.356,-0.385,0.385,0.325
8007,-520.020,226.071,516.319,-2.35664,-0.135,0.132,-0.208,0.171,0.431
8079,-520.427,226.071,517.243,-1.57079,-0.471,0.471,-0.484,0.484,0.795
8007,-520.421,226.071,518.022,-1.57079,-0.135,0.132,-0.208,0.170,0.431
9323,-504.059,225.945,519.487,-1.33517,-0.607,0.610,-0.525,0.521,0.957
8065,-515.783,226.071,504.419,-2.67980,-0.260,0.260,-0.367,0.367,0.975
8079,-514.642,226.071,505.126,-0.54978,-0.471,0.471,-0.484,0.484,0.795
8065,-515.647,226.033,506.092,-0.80806,-0.260,0.260,-0.367,0.367,0.975
8062,-521.227,226.071,506.289,-1.57079,-0.206,0.206,-0.144,0.144,0.661
9322,-519.391,226.071,499.621,-3.14159,-0.609,0.609,-0.523,0.523,0.843
9322,-516.347,226.071,499.621,-3.14159,-0.609,0.609,-0.523,0.523,0.843
9322,-513.428,226.071,513.675,-3.14159,-0.609,0.609,-0.523,0.523,0.843
9316,-514.863,226.662,515.239,-1.09955,-0.356,0.356,-0.385,0.385,0.325
9322,-516.457,226.071,513.375,-3.14159,-0.609,0.609,-0.523,0.523,0.843
9322,-519.658,226.071,513.545,-3.14159,-0.609,0.609,-0.523,0.523,0.843
20363,-509.773,226.071,531.539,1.52890,-0.708,0.721,-0.520,0.565,1.181
20371,-508.773,226.475,532.067,-0.48050,-0.382,0.382,-0.382,0.382,1.292
20371,-508.005,226.452,532.121,-1.26504,-0.382,0.382,-0.382,0.382,1.292
20371,-507.249,226.446,530.954,1.87653,-0.382,0.382,-0.382,0.382,1.292
20361,-506.247,226.071,531.589,3.07918,-0.708,0.720,-0.520,0.565,1.181
20371,-508.424,227.181,532.196,-2.83664,-0.382,0.382,-0.382,0.382,1.292
8071,-509.632,226.071,530.338,1.75770,-0.313,0.313,-0.833,0.833,1.163
6334,-506.493,227.310,531.688,1.80476,-0.259,0.259,-0.134,0.134,0.358
6334,-506.174,227.310,531.788,-1.37722,-0.259,0.259,-0.134,0.134,0.358
6334,-505.962,227.310,531.462,-0.78540,-0.259,0.259,-0.134,0.134,0.358
20361,-513.800,226.071,531.915,-3.10696,-0.708,0.720,-0.520,0.565,1.181
20361,-515.272,226.071,532.104,-2.96395,-0.708,0.720,-0.520,0.565,1.181
20363,-512.383,226.071,531.961,0.03666,-0.708,0.721,-0.520,0.565,1.181
20361,-513.795,227.251,531.936,0.03464,-0.708,0.721,-0.520,0.565,1.181
21498,-515.578,227.251,531.929,0.88289,-0.218,0.440,-0.578,0.924,0.708
9325,-514.361,226.071,530.847,1.72692,-0.410,0.410,-0.237,0.209,0.425
