classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4099,175.342,172.808,-50.722,0.00000,-0.809,1.693,-1.332,2.171,0.649
3903,127.868,171.362,4.665,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,135.972,170.669,-23.921,-0.80362,-1.051,1.051,-1.500,1.500,1.765
3903,137.219,171.179,-11.465,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,129.457,171.862,-13.880,0.06269,-1.051,1.051,-1.500,1.500,1.765
6126,334.264,169.601,0.324,-1.42968,-1.166,1.166,-1.010,2.547,0.861
20832,331.069,167.332,-4.120,-1.18092,-1.663,2.060,-1.385,1.298,1.911
7478,225.014,183.014,95.145,0.00000,-2.226,2.226,-2.499,2.448,0.507
6126,145.327,178.406,-98.688,-1.50227,-1.166,1.166,-1.010,2.547,0.861
7087,192.000,164.000,-196.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,280.000,183.000,24.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,300.000,183.000,28.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,340.000,183.000,84.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7463,65.438,178.809,-16.055,3.13311,-1.864,1.864,-2.053,-0.734,1.508
10420,61.194,178.562,-12.138,-1.58713,-1.114,1.114,-2.053,-0.734,1.508
7466,63.926,180.345,-14.595,3.13311,-0.355,0.355,-0.050,0.200,0.413
7743,66.173,179.998,-14.318,3.13311,-0.619,0.619,-0.062,0.212,0.428
7466,66.926,180.345,-14.570,3.13311,-0.355,0.356,-0.050,0.200,0.413
7466,65.426,180.345,-14.582,3.13311,-0.355,0.356,-0.050,0.200,0.413
20615,65.608,178.608,-9.446,0.30507,-1.009,1.011,-0.509,0.965,1.979
7478,106.198,183.011,47.465,0.00000,-2.226,2.226,-2.499,2.448,0.507
20362,358.550,169.291,5.734,0.60101,-0.708,0.721,-0.520,0.565,1.181
9327,355.688,170.636,7.690,-1.66967,-1.566,1.585,-0.441,0.443,0.208
7463,150.321,157.608,-193.609,-1.49081,-1.864,1.864,-2.053,-0.734,1.508
7466,151.670,159.144,-195.222,-1.49080,-0.355,0.356,-0.050,0.200,0.413
7743,151.988,158.797,-194.495,-1.49080,-0.619,0.619,-0.062,0.212,0.428
7466,155.563,158.881,-191.393,-0.00368,-0.355,0.355,-0.050,0.200,0.413
7463,155.183,157.522,-189.797,-0.00368,-1.864,1.864,-2.053,-0.734,1.508
7466,151.790,159.144,-193.726,-1.49080,-0.355,0.355,-0.050,0.200,0.413
7466,154.813,158.881,-191.395,-0.00368,-0.355,0.355,-0.050,0.200,0.413
7087,286.000,183.000,88.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,340.000,183.000,52.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,300.000,183.000,88.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,280.000,183.000,84.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,280.000,183.000,52.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,282.000,183.000,114.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7087,278.000,183.000,150.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
24798,136.548,176.840,62.974,0.96280,-2.446,2.603,-2.915,0.129,1.502
24798,138.625,176.840,59.108,-2.72399,-2.446,2.603,-2.915,0.129,1.502
24803,132.637,176.543,65.453,-2.35640,-2.777,2.880,-1.816,1.882,1.789
24798,63.884,177.193,73.441,3.02085,-2.446,2.603,-2.915,0.129,1.502
24798,69.996,178.074,76.644,-0.31654,-2.446,2.603,-2.915,0.129,1.502
24803,67.429,179.214,73.047,-0.05306,-2.777,2.880,-1.816,1.882,1.789
24803,48.816,176.808,74.324,-0.17975,-2.777,2.880,-1.816,1.882,1.789
