classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3727,-895.714,940.759,497.425,-2.47470,-1.576,1.398,-1.086,0.920,1.194
3727,-896.935,940.825,495.179,-0.08348,-1.575,1.398,-1.086,0.920,1.194
4321,841.221,665.458,354.982,0.00000,-1.078,1.252,-0.903,1.651,0.311
4321,830.618,665.458,356.401,-1.24093,-1.078,1.252,-0.903,1.651,0.311
4238,452.992,682.303,-343.260,-0.04712,-0.446,0.329,-0.290,0.411,1.599
4238,450.014,682.303,-347.126,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,442.961,682.303,-348.385,1.11526,-0.446,0.329,-0.290,0.411,1.599
4238,447.771,682.303,-345.847,-1.80642,-0.446,0.329,-0.290,0.411,1.599
4238,445.894,682.303,-347.374,-0.97389,-0.446,0.329,-0.290,0.411,1.599
4238,443.595,682.731,-347.701,0.00000,-0.446,0.329,-0.290,0.411,1.599
4238,445.092,682.303,-346.842,1.46084,-0.446,0.329,-0.290,0.411,1.599
4238,442.712,682.524,-349.046,0.00000,-0.446,0.329,-0.290,0.411,1.599
4272,152.956,669.702,-459.950,0.13706,-0.615,0.704,-0.653,0.647,0.704
4271,152.684,669.284,-462.198,-2.15195,-0.535,0.753,-0.637,0.664,1.102
4272,155.767,669.411,-465.331,3.06325,-0.615,0.704,-0.653,0.647,0.703
4271,157.304,669.547,-465.380,1.34747,-0.535,0.753,-0.637,0.663,1.102
4272,156.565,669.773,-464.417,0.94248,-0.615,0.704,-0.653,0.647,0.703
4272,202.133,673.823,-464.575,-0.83162,-0.615,0.704,-0.653,0.647,0.703
4271,203.681,672.588,-466.861,2.67048,-0.535,0.753,-0.637,0.663,1.102
4272,203.337,671.966,-469.304,0.00000,-0.615,0.704,-0.653,0.647,0.703
4271,202.157,671.993,-469.026,0.00000,-0.535,0.753,-0.637,0.664,1.102
4272,191.249,673.484,-464.783,2.15756,-0.615,0.704,-0.653,0.647,0.703
4271,232.784,676.208,-452.298,1.20947,-0.535,0.753,-0.637,0.663,1.102
4271,231.487,675.998,-453.082,0.00000,-0.535,0.753,-0.637,0.663,1.102
4272,233.433,675.830,-453.338,-0.86355,-0.615,0.704,-0.653,0.647,0.703
4272,306.218,668.654,-437.811,-0.34222,-0.615,0.704,-0.653,0.647,0.703
4271,303.101,669.203,-438.059,0.36140,-0.535,0.753,-0.637,0.664,1.102
4271,302.875,668.543,-439.747,0.00000,-0.535,0.753,-0.637,0.664,1.102
4271,301.900,668.620,-440.086,1.38224,-0.535,0.753,-0.637,0.663,1.102
4271,339.937,669.158,-413.943,-1.47654,-0.535,0.753,-0.637,0.664,1.102
4271,325.190,670.373,-399.912,-0.09836,-0.535,0.753,-0.637,0.664,1.102
4271,325.031,670.419,-401.017,1.00119,-0.535,0.753,-0.637,0.663,1.102
4271,323.285,670.865,-400.655,2.13596,-0.535,0.753,-0.637,0.663,1.102
4272,328.367,670.912,-393.898,1.14670,-0.615,0.704,-0.653,0.647,0.703
4272,463.704,669.391,-177.200,-0.42055,-0.615,0.704,-0.653,0.647,0.703
4272,464.878,669.085,-177.651,1.59342,-0.615,0.704,-0.653,0.647,0.704
4271,464.685,669.543,-176.939,0.00000,-0.535,0.753,-0.637,0.663,1.102
4272,473.310,670.322,-174.114,0.00000,-0.615,0.704,-0.653,0.647,0.703
4272,475.570,669.354,-176.919,1.72419,-0.615,0.704,-0.653,0.647,0.703
4272,495.919,670.006,-182.328,0.00000,-0.615,0.704,-0.653,0.647,0.703
4272,493.871,669.598,-182.708,1.30369,-0.615,0.704,-0.653,0.647,0.703
4271,495.925,669.649,-184.009,0.00000,-0.535,0.753,-0.637,0.663,1.102
4272,839.751,675.148,638.984,-2.65441,-0.615,0.704,-0.653,0.647,0.703
4271,839.132,675.114,642.068,2.26195,-0.535,0.753,-0.637,0.663,1.102
4272,841.109,675.449,643.961,-0.64403,-0.615,0.704,-0.653,0.647,0.703
4272,840.331,675.340,643.620,-1.66505,-0.615,0.704,-0.653,0.647,0.704
4272,844.573,675.440,649.416,0.97390,-0.615,0.704,-0.653,0.647,0.703
4272,844.936,675.414,648.265,-0.85781,-0.615,0.704,-0.653,0.647,0.703
4272,858.506,679.585,595.939,-0.00026,-0.615,0.704,-0.653,0.647,0.703
4272,861.294,680.674,594.105,-2.89043,-0.615,0.704,-0.653,0.647,0.703
4271,860.469,680.484,595.992,-1.96340,-0.535,0.753,-0.637,0.663,1.102
4272,868.705,681.016,614.197,0.00000,-0.615,0.704,-0.653,0.647,0.703
4271,867.343,680.850,613.222,-1.00531,-0.535,0.753,-0.637,0.664,1.102
4272,876.213,682.526,610.978,0.00000,-0.615,0.704,-0.653,0.647,0.703
