classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
3903,-167.374,155.539,-149.561,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-168.888,157.045,-147.137,-1.57080,-1.051,1.051,-1.500,1.500,1.765
7091,-169.000,155.578,-152.000,0.00000,-2.273,2.274,-1.974,1.974,1.178
7744,-77.003,154.409,-156.970,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7463,-63.969,151.588,-168.720,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7744,-78.314,154.409,-158.798,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7743,-77.659,154.192,-157.884,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7463,-63.297,151.588,-167.673,-2.09439,-1.864,1.864,-2.053,-0.735,1.508
7463,-64.590,151.588,-167.645,2.09439,-1.864,1.864,-2.053,-0.734,1.508
7744,-63.953,152.804,-170.433,0.00000,-0.619,0.619,-0.062,0.212,0.428
7744,-61.821,152.804,-166.802,-2.09439,-0.619,0.619,-0.062,0.212,0.428
7744,-66.081,152.804,-166.803,2.09439,-0.619,0.619,-0.062,0.212,0.428
7744,-77.022,154.409,-179.024,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7743,-77.696,154.192,-178.123,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7744,-78.371,154.409,-177.222,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7744,-50.980,154.409,-156.965,0.92804,-0.619,0.619,-0.062,0.212,0.428
7743,-50.306,154.192,-157.865,0.92804,-0.619,0.619,-0.062,0.212,0.428
7744,-49.632,154.409,-158.766,0.92804,-0.619,0.619,-0.062,0.212,0.428
7744,-49.688,154.409,-177.190,2.19279,-0.619,0.619,-0.062,0.212,0.428
7743,-50.344,154.192,-178.104,2.19279,-0.619,0.619,-0.062,0.212,0.428
7744,-50.999,154.409,-179.019,2.19279,-0.619,0.619,-0.062,0.212,0.428
7465,-64.049,156.427,-169.283,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,-64.044,156.427,-166.733,3.14159,-0.619,0.619,-0.062,0.212,0.428
7465,-65.291,156.427,-168.046,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,-62.741,156.427,-168.051,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7087,20.500,156.000,-120.000,0.00000,-2.867,2.867,-2.867,2.867,1.109
7744,-77.003,154.409,67.030,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7463,-63.969,151.588,55.280,0.00000,-1.864,1.864,-2.053,-0.734,1.508
7744,-78.314,154.409,65.202,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7743,-77.659,154.192,66.116,-0.94880,-0.619,0.619,-0.062,0.212,0.428
7463,-63.297,151.588,56.328,-2.09439,-1.864,1.864,-2.053,-0.734,1.508
7463,-64.590,151.588,56.355,2.09439,-1.864,1.864,-2.053,-0.734,1.508
7744,-63.953,152.804,53.567,0.00000,-0.619,0.619,-0.062,0.212,0.428
7744,-61.821,152.804,57.198,-2.09439,-0.619,0.619,-0.062,0.212,0.428
7744,-66.081,152.804,57.197,2.09439,-0.619,0.619,-0.062,0.212,0.428
7744,-77.022,154.409,44.977,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7743,-77.697,154.192,45.877,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7744,-78.371,154.409,46.778,-2.21355,-0.619,0.619,-0.062,0.212,0.428
7744,-50.980,154.409,67.035,0.92804,-0.619,0.619,-0.062,0.212,0.428
7743,-50.306,154.192,66.135,0.92804,-0.619,0.619,-0.062,0.212,0.428
7744,-49.632,154.409,65.234,0.92804,-0.619,0.619,-0.062,0.212,0.428
7744,-49.688,154.409,46.810,2.19279,-0.619,0.619,-0.062,0.212,0.428
7743,-50.344,154.192,45.896,2.19279,-0.619,0.619,-0.062,0.212,0.428
7744,-50.999,154.409,44.981,2.19279,-0.619,0.619,-0.062,0.212,0.428
7465,-64.038,156.427,54.730,0.00000,-0.619,0.619,-0.062,0.212,0.428
7465,-64.033,156.427,57.279,3.14159,-0.619,0.619,-0.062,0.212,0.428
7465,-65.279,156.427,55.967,1.57079,-0.619,0.619,-0.062,0.212,0.428
7465,-62.730,156.427,55.962,-1.57079,-0.619,0.619,-0.062,0.212,0.428
7087,-148.500,156.000,8.000,3.14159,-2.867,2.867,-2.867,2.867,1.109
3903,38.861,155.578,-187.167,-0.85829,-1.051,1.051,-1.500,1.500,1.765
3903,40.638,156.970,-189.002,-0.07287,-1.051,1.051,-1.500,1.500,1.765
3903,37.525,156.970,-189.065,-0.85826,-1.051,1.051,-1.500,1.500,1.765
3903,40.646,156.970,-185.756,5.60425,-1.051,1.051,-1.500,1.500,1.765
3903,52.492,153.608,-143.630,-0.85829,-1.051,1.051,-1.500,1.500,1.765
3903,53.095,155.109,-146.422,-0.07287,-1.051,1.051,-1.500,1.500,1.765
3903,59.762,155.109,-148.345,-0.87307,-1.051,1.051,-1.500,1.500,1.765
3903,60.807,155.108,-143.664,1.44287,-1.051,1.051,-1.500,1.500,1.765
3903,55.469,155.108,-138.993,1.49791,-1.051,1.051,-1.500,1.500,1.765
3903,-154.372,153.608,84.176,-0.30046,-1.051,1.051,-1.500,1.500,1.765
3903,-156.640,155.035,84.691,0.00000,-1.051,1.051,-1.500,1.500,1.765
3903,-154.438,155.035,80.274,-1.57080,-1.051,1.051,-1.500,1.500,1.765
3903,-184.029,153.608,-194.701,-0.78540,-1.051,1.051,-1.500,1.500,1.765
3903,-168.413,155.578,-187.205,-2.35619,-1.051,1.051,-1.500,1.500,1.765
