classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
4435,-45.762,85.878,-156.358,0.08711,-0.615,0.704,-0.653,0.647,0.704
4435,20.861,62.666,-201.899,0.44039,-0.615,0.704,-0.653,0.647,0.704
4434,23.384,65.147,-204.096,0.02084,-0.535,0.753,-0.637,0.663,1.102
4435,71.905,44.964,-228.563,-2.35619,-0.615,0.704,-0.653,0.647,0.704
4435,70.172,44.926,-228.992,-2.35619,-0.615,0.704,-0.653,0.647,0.704
4435,70.948,44.915,-228.767,2.65033,-0.615,0.704,-0.653,0.647,0.704
4435,71.050,45.210,-230.196,-2.35619,-0.615,0.704,-0.653,0.647,0.704
4435,71.148,45.214,-229.661,-0.73234,-0.615,0.704,-0.653,0.647,0.704
4434,70.406,45.040,-230.313,-2.35619,-0.535,0.753,-0.637,0.663,1.102
4435,70.688,45.282,-230.971,-1.78804,-0.615,0.704,-0.653,0.647,0.704
4434,89.059,37.930,-242.931,0.00000,-0.535,0.753,-0.637,0.663,1.102
4435,88.395,37.820,-242.664,0.56833,-0.615,0.704,-0.653,0.647,0.704
4435,89.621,38.301,-242.459,-0.50516,-0.615,0.704,-0.653,0.647,0.704
4435,88.200,37.876,-243.478,0.53504,-0.615,0.704,-0.653,0.647,0.704
4434,88.951,37.807,-241.861,0.00000,-0.535,0.753,-0.637,0.663,1.102
4435,93.365,47.245,-198.461,0.03073,-0.615,0.704,-0.653,0.647,0.704
4434,86.889,46.962,-201.329,0.97689,-0.535,0.753,-0.637,0.663,1.102
4434,88.120,46.727,-200.737,-0.33595,-0.535,0.753,-0.637,0.663,1.102
4434,87.945,46.955,-202.544,-0.33595,-0.535,0.753,-0.637,0.663,1.102
4435,87.849,46.714,-201.500,0.00000,-0.615,0.704,-0.653,0.647,0.704
4435,86.223,47.279,-201.743,-0.46697,-0.615,0.704,-0.653,0.647,0.704
4435,87.201,47.204,-202.390,-1.56614,-0.615,0.704,-0.653,0.647,0.704
4435,92.510,47.035,-198.402,1.29663,-0.615,0.704,-0.653,0.647,0.704
4434,92.982,47.054,-198.898,1.22182,-0.535,0.753,-0.637,0.663,1.102
4435,93.718,47.305,-199.517,-1.02936,-0.615,0.704,-0.653,0.647,0.704
4435,94.213,31.441,-223.699,0.00000,-0.615,0.704,-0.653,0.647,0.704
4435,94.829,31.606,-224.244,-1.35639,-0.615,0.704,-0.653,0.647,0.704
4434,94.114,31.708,-224.211,-0.56252,-0.535,0.753,-0.637,0.663,1.102
4435,95.010,31.289,-223.736,0.00000,-0.615,0.704,-0.653,0.647,0.704
4434,93.653,31.619,-223.812,-0.56252,-0.535,0.753,-0.637,0.663,1.102
4435,124.938,32.637,-181.896,-1.24815,-0.615,0.704,-0.653,0.647,0.704
4435,124.102,32.400,-182.359,-3.10149,-0.615,0.704,-0.653,0.647,0.704
4435,123.938,32.924,-181.407,0.59578,-0.615,0.704,-0.653,0.647,0.704
4435,-3.428,74.736,-33.521,0.10540,-0.615,0.704,-0.653,0.647,0.704
4435,-2.575,74.081,-33.407,1.12076,-0.615,0.704,-0.653,0.647,0.704
4435,-2.816,73.826,-34.206,2.24860,-0.615,0.704,-0.653,0.647,0.704
4434,-4.244,75.444,-33.008,0.13351,-0.535,0.753,-0.637,0.663,1.102
4435,-4.202,75.019,-33.877,0.06678,-0.615,0.704,-0.653,0.647,0.704
4435,-3.663,74.252,-34.516,-2.95615,-0.615,0.704,-0.653,0.647,0.704
4435,-4.358,74.518,-35.156,0.39194,-0.615,0.704,-0.653,0.647,0.704
4435,-39.654,76.048,-130.991,-0.95227,-0.615,0.704,-0.653,0.647,0.704
4434,-39.120,76.280,-130.294,0.00000,-0.535,0.753,-0.637,0.663,1.102
4434,-38.227,75.012,-126.839,-1.43629,-0.535,0.753,-0.637,0.663,1.102
4435,-38.132,75.480,-127.708,-0.75604,-0.615,0.704,-0.653,0.647,0.704
4435,-77.117,83.871,18.567,0.18148,-0.615,0.704,-0.653,0.647,0.704
6222,-38.531,48.352,-208.912,-1.97311,-0.217,0.217,-0.206,0.206,0.720
6222,-38.763,48.499,-209.360,0.02795,-0.217,0.217,-0.206,0.206,0.720
6222,-39.498,48.352,-209.075,0.00000,-0.217,0.217,-0.206,0.206,0.720
6222,-39.152,48.352,-209.552,-1.02456,-0.217,0.217,-0.206,0.206,0.720
6222,-39.028,48.352,-208.997,-1.29747,-0.217,0.217,-0.206,0.206,0.720
6217,-39.122,48.968,-217.860,1.04838,-0.300,0.300,-0.331,0.329,0.301
6219,-46.363,48.352,-218.095,0.00000,-0.862,0.457,-0.306,0.962,1.051
6219,-46.367,48.352,-218.471,1.62261,-0.862,0.457,-0.306,0.962,1.051
6214,-45.182,48.368,-215.759,-2.35619,-0.433,0.433,-0.422,0.422,1.013
6214,-46.344,48.368,-213.964,-1.57080,-0.433,0.433,-0.422,0.422,1.013
6214,-45.955,48.368,-212.279,-0.78540,-0.433,0.433,-0.422,0.422,1.013
6220,-39.577,48.352,-210.697,-0.75458,-0.099,0.087,-0.500,0.503,0.170
6220,-39.779,48.352,-210.932,-0.75458,-0.099,0.087,-0.500,0.503,0.170
6220,-39.677,48.485,-210.845,0.71764,-0.099,0.087,-0.500,0.503,0.170
6188,-57.021,55.434,-195.194,-2.35619,-1.658,1.658,-0.746,0.668,0.959
6186,-57.902,56.393,-194.650,0.76275,-0.245,0.245,-0.331,0.302,0.613
6187,-56.839,55.434,-196.396,-2.80131,-0.254,0.260,0.170,1.248,1.021
6186,-44.620,63.367,-174.100,0.00000,-0.245,0.245,-0.331,0.302,0.613
6188,6.392,47.375,-198.428,-1.57080,-1.657,1.658,-0.746,0.668,0.959
6222,-5.816,47.375,-212.840,0.00000,-0.217,0.217,-0.206,0.206,0.720
6215,-3.469,48.375,-214.721,0.00000,-0.200,0.200,-0.190,0.190,0.364
6215,-3.453,48.375,-214.305,1.05406,-0.200,0.200,-0.190,0.190,0.364
6219,-1.140,47.375,-221.678,0.00000,-0.862,0.457,-0.306,0.962,1.051
6219,-1.667,47.375,-221.916,2.56794,-0.862,0.457,-0.306,0.962,1.051
6214,-44.953,62.760,-175.271,-2.45767,-0.433,0.433,-0.422,0.422,1.013
6214,-59.217,55.434,-195.457,-1.59584,-0.433,0.433,-0.422,0.422,1.013
6222,-47.127,48.383,-235.171,0.00000,-0.217,0.217,-0.206,0.206,0.720
6221,-46.081,48.967,-236.267,0.66266,-0.197,0.197,-0.187,0.187,0.604
6222,-45.765,48.383,-237.137,0.00000,-0.217,0.217,-0.206,0.206,0.720
6219,-45.448,48.303,-237.534,0.48109,-0.862,0.457,-0.306,0.962,1.051
6214,-38.461,73.260,-166.697,-1.24944,-0.433,0.433,-0.422,0.422,1.013
4435,110.884,60.492,-343.767,1.07328,-0.615,0.704,-0.653,0.647,0.704
4435,110.641,60.210,-342.490,-2.76110,-0.615,0.704,-0.653,0.647,0.704
4434,110.043,60.166,-343.486,-0.33595,-0.535,0.753,-0.637,0.664,1.102
4435,139.967,11.812,-10.691,1.24693,-0.615,0.704,-0.653,0.647,0.704
4435,187.005,14.486,-15.851,-0.75747,-0.615,0.704,-0.653,0.647,0.704
4435,187.857,14.633,-16.070,0.18148,-0.615,0.704,-0.653,0.647,0.704
4435,211.358,10.960,-50.026,2.83548,-0.615,0.704,-0.653,0.647,0.704
4435,210.563,10.952,-49.516,-0.04711,-0.615,0.704,-0.653,0.647,0.704
4434,210.349,10.882,-50.364,0.05067,-0.535,0.753,-0.637,0.663,1.102
4435,172.481,19.020,-81.665,-0.99192,-0.615,0.704,-0.653,0.647,0.704
4435,172.467,18.726,-80.837,2.80736,-0.615,0.704,-0.653,0.647,0.704
4435,219.793,14.362,-22.692,-0.55568,-0.615,0.704,-0.653,0.647,0.704
4435,220.737,14.388,-22.266,0.24423,-0.615,0.704,-0.653,0.647,0.704
4435,220.368,14.362,-21.230,0.99604,-0.615,0.704,-0.653,0.647,0.704
4435,166.240,17.121,-31.853,-1.31329,-0.615,0.704,-0.653,0.647,0.704
4435,166.646,17.452,-30.689,1.47705,-0.615,0.704,-0.653,0.647,0.704
4435,212.083,8.301,14.518,2.96611,-0.615,0.704,-0.653,0.647,0.704
4435,212.202,7.834,15.835,0.00178,-0.615,0.704,-0.653,0.647,0.704
4434,211.067,8.167,13.880,0.05067,-0.535,0.753,-0.637,0.663,1.102
4435,207.690,9.294,50.357,-0.75747,-0.615,0.704,-0.653,0.647,0.704
4435,207.395,9.101,49.544,-0.97904,-0.615,0.704,-0.653,0.647,0.704
4435,206.616,9.348,50.039,-0.97904,-0.615,0.704,-0.653,0.647,0.704
4435,58.348,64.746,-27.009,-0.78283,-0.615,0.704,-0.653,0.647,0.704
4435,59.508,64.869,-27.003,0.18148,-0.615,0.704,-0.653,0.647,0.704
4435,84.189,68.399,-72.702,-0.32573,-0.615,0.704,-0.653,0.647,0.704
4435,84.849,68.514,-72.192,0.24423,-0.615,0.704,-0.653,0.647,0.704
4435,83.850,68.101,-71.837,0.97500,-0.615,0.704,-0.653,0.647,0.704
8063,-2.849,47.375,-183.341,0.00000,-0.193,0.193,-0.151,0.213,0.357
9316,7.438,47.694,-187.291,0.33816,-0.356,0.356,-0.385,0.385,0.325
9318,-1.626,47.375,-184.472,-0.78540,-0.522,0.522,-0.292,0.292,1.023
9317,1.374,47.375,-183.099,-0.78540,-0.266,0.266,-0.294,0.294,1.000
9319,2.825,47.375,-183.763,0.00000,-0.266,0.266,-0.315,0.315,0.513
