classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
11284,53.835,422.147,157.134,-1.57079,-1.333,1.441,-0.755,0.899,1.209
11284,53.666,421.626,162.903,1.57079,-1.333,1.441,-0.755,0.899,1.209
11304,238.000,426.531,44.000,0.00000,-1.283,1.283,-1.283,1.283,1.065
11304,-358.000,426.531,36.000,0.00000,-1.283,1.283,-1.283,1.283,1.065
29319,-51.000,433.500,297.500,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-68.000,433.500,297.500,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29319,-51.000,434.000,-217.500,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-68.000,434.000,-217.500,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29320,-155.402,427.990,116.280,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29320,-64.630,439.822,74.284,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29319,-55.514,439.767,74.249,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29319,-55.313,439.800,5.828,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-64.526,439.796,5.832,-6.28319,-0.938,0.938,-0.182,0.182,0.364
29319,26.504,427.684,220.757,-3.14159,-0.938,0.938,-0.182,0.182,0.364
7705,47.099,424.954,168.412,-1.57079,-1.333,1.301,-0.755,0.841,1.244
7705,-166.500,424.954,168.500,1.57080,-1.333,1.301,-0.755,0.841,1.244
11284,-53.044,424.896,106.180,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,-67.323,424.896,105.972,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,-66.796,423.591,-165.204,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,-52.517,423.591,-164.996,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,-99.882,430.916,31.896,-1.57080,-1.333,1.441,-0.755,0.899,1.209
11284,-20.318,430.916,48.288,1.57080,-1.333,1.441,-0.755,0.899,1.209
11284,46.936,425.041,170.713,-1.57079,-1.333,1.440,-0.755,0.899,1.209
11284,46.879,424.806,178.652,1.57079,-1.333,1.441,-0.755,0.899,1.209
11284,-166.261,424.687,157.893,-1.57079,-1.333,1.440,-0.755,0.899,1.209
11284,-166.389,424.669,166.611,1.57080,-1.333,1.441,-0.755,0.899,1.209
7703,-202.062,424.500,-200.654,-2.35619,-2.150,2.143,-0.773,0.841,1.261
