classId,x,y,z,yaw,minX,maxX,minZ,maxZ,maxY
11284,53.835,422.147,157.134,-1.57080,-1.333,1.440,-0.755,0.899,1.209
11284,53.666,421.626,162.903,1.57080,-1.333,1.441,-0.755,0.899,1.209
11304,238.000,426.531,172.000,0.00000,-1.283,1.283,-1.283,1.283,1.065
11304,-358.000,426.531,164.000,0.00000,-1.283,1.283,-1.283,1.283,1.065
29319,-51.000,433.500,297.500,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-68.000,433.500,297.500,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29319,-51.000,434.000,38.500,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-68.000,434.000,38.500,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29320,-155.402,427.990,116.280,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29320,-64.630,439.822,202.284,-0.00000,-0.938,0.938,-0.182,0.182,0.364
29319,-55.514,439.767,202.249,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29319,-55.313,439.800,133.828,-3.14159,-0.938,0.938,-0.182,0.182,0.364
29320,-64.526,439.796,133.832,-6.28319,-0.938,0.938,-0.182,0.182,0.364
29319,26.504,427.685,220.757,-3.14159,-0.938,0.938,-0.182,0.182,0.364
7705,47.099,424.954,168.412,-1.57080,-1.333,1.301,-0.755,0.841,1.244
7705,-166.500,424.954,168.500,1.57080,-1.333,1.301,-0.755,0.841,1.244
11284,-53.044,424.896,234.179,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,-67.323,424.896,233.972,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,-66.796,423.591,90.796,-3.14159,-1.333,1.441,-0.755,0.899,1.209
11284,-52.517,423.591,91.004,0.00000,-1.333,1.441,-0.755,0.899,1.209
11284,-99.882,430.916,159.896,-1.57080,-1.333,1.440,-0.755,0.899,1.209
11284,-20.318,430.916,176.288,1.57080,-1.333,1.441,-0.755,0.899,1.209
11284,46.936,425.041,170.713,-1.57080,-1.333,1.440,-0.755,0.899,1.209
11284,46.879,424.806,178.652,1.57080,-1.333,1.441,-0.755,0.899,1.209
11284,-166.261,424.687,157.893,-1.57079,-1.333,1.440,-0.755,0.899,1.209
11284,-166.389,424.669,166.611,1.57080,-1.333,1.441,-0.755,0.899,1.209
7703,-202.062,424.500,55.346,-2.35619,-2.150,2.143,-0.773,0.841,1.261
20699,-396.750,420.459,174.500,1.57079,-1.020,1.020,0.000,1.020,1.716
20699,-407.250,420.459,174.500,-1.57080,-1.020,1.020,-0.000,1.020,1.716
20324,-399.947,422.616,149.986,-3.14159,-1.782,1.924,-0.259,0.109,1.015
20324,-403.943,422.616,150.001,-3.14159,-1.782,1.924,-0.259,0.109,1.015
24969,-394.475,422.213,168.588,-3.14159,-0.286,0.268,-1.734,1.258,3.112
20699,276.750,420.500,161.500,-1.57080,-1.020,1.020,0.000,1.020,1.716
20699,287.250,420.500,161.500,1.57080,-1.020,1.020,-0.000,1.020,1.716
20324,279.924,422.657,186.259,0.00000,-1.782,1.924,-0.259,0.109,1.015
20324,283.924,422.657,186.031,0.00000,-1.782,1.924,-0.259,0.109,1.015
24969,274.000,422.000,167.750,0.00000,-0.286,0.268,-1.734,1.258,3.112
20635,56.000,363.524,-8.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20375,72.750,363.524,-53.000,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,72.000,364.774,-52.250,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,72.750,363.524,-51.500,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,71.250,363.524,-51.500,0.00000,-0.774,0.782,-0.763,0.773,1.292
20375,71.250,363.524,-53.000,0.00000,-0.774,0.782,-0.763,0.773,1.292
11285,21.000,363.524,-52.000,0.00000,-1.558,1.537,-1.339,1.191,0.852
11285,18.000,363.524,-51.000,-2.35619,-1.558,1.537,-1.339,1.191,0.852
11285,20.000,363.524,-49.000,-1.57080,-1.558,1.537,-1.339,1.191,0.852
11318,20.000,363.524,-46.000,0.00000,-1.527,2.576,-0.957,0.348,0.340
11318,14.000,363.524,-43.000,-2.35619,-1.527,2.576,-0.957,0.348,0.340
20635,24.000,367.524,-6.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
20635,24.000,367.524,11.000,0.00000,-0.045,0.045,-0.045,0.045,1.000
8081,32.559,361.524,-29.437,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,40.000,361.524,-30.000,0.00000,-0.969,0.969,-0.969,0.969,0.930
8081,48.354,361.524,-29.628,-0.78540,-0.969,0.969,-0.969,0.969,0.930
8081,44.000,361.524,-34.000,0.00000,-0.969,0.969,-0.969,0.969,0.930
8065,40.000,361.524,-28.750,0.00000,-0.260,0.260,-0.367,0.367,0.975
8065,31.322,361.524,-28.553,-0.78540,-0.260,0.260,-0.367,0.367,0.975
8065,43.750,361.524,-32.750,0.00000,-0.260,0.260,-0.367,0.367,0.975
8065,47.470,361.524,-28.744,-0.78540,-0.260,0.260,-0.367,0.367,0.975
8065,49.390,361.524,-28.496,-0.22224,-0.260,0.260,-0.367,0.367,0.975
8065,45.160,361.524,-34.977,2.35620,-0.260,0.260,-0.367,0.367,0.975
8065,39.750,361.524,-31.500,-3.14159,-0.260,0.260,-0.367,0.367,0.975
8065,33.620,361.524,-30.498,2.35619,-0.260,0.260,-0.367,0.367,0.975
8065,31.499,361.524,-30.851,-2.35619,-0.260,0.260,-0.367,0.367,0.975
8065,33.443,361.524,-28.553,0.78540,-0.260,0.260,-0.367,0.367,0.975
8065,38.250,361.524,-30.000,-1.57080,-0.260,0.260,-0.367,0.367,0.975
8065,41.500,361.524,-30.000,1.57080,-0.260,0.260,-0.367,0.367,0.975
8065,45.298,361.524,-33.465,0.78540,-0.260,0.260,-0.367,0.367,0.975
